"key","English (en)","Spanish (es)","Chinese (Simplified) (zh-CN)"
"fusion.enableP2p","Enable P2P Fusion","Activar fusión P2P","启用 P2P Fusion"
"fusion.enableServer","Enable Server Fusion","Activar fusión por servidor","启用服务器融合"
"fusion.excessFeeRange","Excess fee range","Rango de tarifa excedente","额外费用范围"
"fusion.experimentalPending","Experimental — still pending: {items}.","Experimental; pendiente: {items}.","实验性功能，仍待完成：{items}。"
"fusion.failed","Failed ✗","Falló ✗","失败 ✗"
"fusion.fewServers","CashFusion intentionally has few public servers — a larger anonymity set on fewer servers is better than being spread thin. Add your own or a community server above.","CashFusion mantiene intencionadamente pocos servidores públicos: un conjunto de anonimato mayor en menos servidores es mejor que dispersarlo. Añade arriba tu propio servidor o uno de la comunidad.","CashFusion 有意保持较少的公共服务器；在较少服务器上形成更大的匿名集，比把参与者分散开更好。你可以在上方添加自己的服务器或社区服务器。"
"fusion.fused","Fused ✓ — txid {txid}","Fusionado ✓ — txid {txid}","已融合 ✓ — txid {txid}"
"fusion.fusing","Fusing…","Fusionando…","融合中…"
"fusion.handshakeOk","Handshake OK ✓","Negociación correcta ✓","握手成功 ✓"
"fusion.handshaking","Handshaking…","Negociando…","握手中…"
"fusion.hide","Hide","Ocultar","隐藏"
"fusion.howWorks","How does it work?","¿Cómo funciona?","它如何工作？"
"fusion.mobileUnsupported","CashFusion needs a raw TCP connection, which a mobile/web browser cannot open. Available in the desktop app.","CashFusion necesita una conexión TCP directa, que un navegador móvil/web no puede abrir. Disponible en la aplicación de escritorio.","CashFusion 需要移动端或网页浏览器无法打开的原始 TCP 连接。桌面应用可用。"
"fusion.more","more","más","更多"
"fusion.noEligibleCoins","No coins are eligible to fuse right now.","No hay monedas aptas para fusionar ahora.","当前没有符合条件的币可进行融合。"
"fusion.now","Fuse Now","Fusionar ahora","立即融合"
"fusion.nowDescription","CoinJoin via the server configured in Servers. Needs Tor + at least 2 players in a tier.","CoinJoin mediante el servidor configurado en Servidores. Requiere Tor y al menos 2 participantes en un nivel.","通过“服务器”中配置的服务器进行 CoinJoin。需要 Tor，并且一个层级中至少有 2 位参与者。"
"fusion.openWallet","Open a wallet to run a P2P round.","Abre una billetera para ejecutar una ronda P2P.","打开钱包以运行 P2P 轮次。"
"fusion.or","or","o","或"
"fusion.p2pMode","P2P Fusion","Fusión P2P","P2P Fusion"
"fusion.p2pModeDescription","Serverless — peers over Nostr + Tor. Auto-fuses when on. Turning this on turns Server Fusion off.","Sin servidor: pares mediante Nostr + Tor. Se fusiona automáticamente al activarlo; desactiva la fusión por servidor.","无服务器，通过 Nostr + Tor 连接节点。启用后会自动融合，开启此项会关闭服务器融合。"
"fusion.p2pModeLabel","P2P Fusion","Fusión P2P","P2P Fusion"
"fusion.poolTiers","Pool tiers","Niveles del grupo","池层级"
"fusion.privacy","Privacy","Privacidad","隐私"
"fusion.protocolNote","Steps 1–4 run end-to-end on the server path: the wallet joins a pool, exchanges blind signatures, submits over Tor, and broadcasts the assembled CoinJoin. P2P Fusion runs the same round without a server over Nostr and Tor. Experimental wallet-hardening items are still pending, but your own outputs are verified before signing, so an invalid round fails safely.","Los pasos 1–4 se ejecutan de principio a fin mediante el servidor: la billetera se une a un grupo, intercambia firmas ciegas, envía datos mediante Tor y transmite el CoinJoin ensamblado. P2P Fusion ejecuta la misma ronda sin servidor mediante Nostr y Tor. Aún hay elementos experimentales de endurecimiento de la billetera, pero tus salidas se verifican antes de firmar para que una ronda no válida falle de forma segura.","步骤 1–4 会在服务器路径上端到端运行：钱包加入池、交换盲签名、通过 Tor 提交，并广播组装好的 CoinJoin。P2P Fusion 通过 Nostr 和 Tor 在没有服务器的情况下运行相同轮次。部分实验性钱包强化项目仍在完善，但签名前会验证您自己的输出，因此无效轮次会安全失败。"
"fusion.queryAuto","Query (Auto)","Consultar (automático)","查询（自动）"
"fusion.queryServer","Query Server","Consultar servidor","查询服务器"
"fusion.remoteTorRequired","This is a remote server, so Tor is required — but no Tor proxy was found. Start Tor above, or the query will be refused.","Es un servidor remoto, por lo que se requiere Tor, pero no se encontró ningún proxy Tor. Inicia Tor arriba o se rechazará la consulta.","这是远程服务器，需要 Tor，但未找到 Tor 代理。请在上方启动 Tor，否则查询会被拒绝。"
"fusion.selected","● selected","● seleccionado","● 已选择"
"fusion.serverMode","Fuse Now using CashFusion server","Fusionar ahora usando el servidor CashFusion","使用 CashFusion 服务器立即融合"
"fusion.serverModeDescription","Fuse via a CashFusion server. Auto-fuses when on.","Fusiona mediante un servidor CashFusion. Se fusiona automáticamente al activarlo.","通过 CashFusion 服务器融合，启用后会自动融合。"
"fusion.serverModeLabel","Server Fusion","Fusión por servidor","服务器融合"
"fusion.serverParameters","Server parameters (live)","Parámetros del servidor (en vivo)","服务器参数（实时）"
"fusion.servers","Fusion servers","Servidores de fusión","融合服务器"
"fusion.step1","1. Pool joining.","1. Unirse al grupo.","1. 加入池。"
"fusion.step1Text","Your wallet announces UTXOs it wants to fuse to the server.","Tu billetera anuncia al servidor los UTXO que quiere fusionar.","钱包向服务器宣布希望参与融合的 UTXO。"
"fusion.step2","2. Blind signing.","2. Firma ciega.","2. 盲签名。"
"fusion.step2Text","Participants generate blinded output addresses and exchange blind signatures — nobody learns the input-to-output mapping.","Los participantes generan direcciones de salida ocultas e intercambian firmas ciegas; nadie conoce la relación entre entradas y salidas.","参与者生成盲化的输出地址并交换盲签名，任何人都不知道输入到输出的对应关系。"
"fusion.step3","3. Covert submission.","3. Envío encubierto.","3. 隐蔽提交。"
"fusion.step3Text","Each participant submits the transaction via Tor or direct connection. The server assembles the final transaction.","Cada participante envía la transacción mediante Tor o una conexión directa. El servidor ensambla la transacción final.","每位参与者通过 Tor 或直接连接独立提交交易，服务器组装最终交易。"
"fusion.step4","4. Broadcast.","4. Transmisión.","4. 广播。"
"fusion.step4Text","All participants broadcast the jointly constructed transaction.","Todos los participantes transmiten la transacción construida conjuntamente.","所有参与者广播共同构建的交易。"
"fusion.summary","CashFusion combines UTXOs from many participants into a single transaction, breaking blockchain history links between inputs and outputs. It is non-custodial — your funds never leave your control.","CashFusion combina UTXO de muchos participantes en una sola transacción, rompiendo los vínculos del historial entre entradas y salidas. No tiene custodia: tus fondos nunca salen de tu control.","CashFusion 将多个参与者的 UTXO 组合成一笔交易，打断输入与输出之间的区块链历史关联。它是非托管的，资金始终由你控制。"
"fusion.syncingCoins","Syncing wallet coins — try again in a moment.","Sincronizando monedas de la billetera; inténtalo de nuevo en un momento.","正在同步钱包币，请稍后重试。"
"fusion.tiers","Tiers","Niveles","层级"
"fusion.torOff","Tor is off. Remote fusion queries will be refused — enable Tor above, or use a localhost server.","Tor está desactivado. Se rechazarán las consultas de fusión remota; activa Tor arriba o usa un servidor local.","Tor 已关闭。远程融合查询会被拒绝，请在上方启用 Tor 或使用本地主机服务器。"
"hardware.active","active","activo","活动"
"hardware.advanced","Advanced (derivation path)","Avanzado (ruta de derivación)","高级（派生路径）"
"hardware.airGap","air-gap","aislado","隔离"
"hardware.beforeConnecting","Before connecting","Antes de conectar","连接前"
"hardware.bip44Path","BIP44 path","Ruta BIP44","BIP44 路径"
"hardware.comingSoon","Coming soon","Próximamente","即将推出"
"hardware.connect","Connect {device}","Conectar {device}","连接 {device}"
"hardware.connecting","Connecting…","Conectando…","连接中…"
"hardware.connectionType","Connection type","Tipo de conexión","连接类型"
"hardware.description","The device holds your private keys. The wallet is the bridge. Keys never leave the hardware.","El dispositivo guarda tus claves privadas. La billetera actúa como puente. Las claves nunca salen del hardware.","设备保存你的私钥，钱包作为桥梁。密钥永远不会离开硬件设备。"
"hardware.disconnect","Disconnect","Desconectar","断开连接"
"hardware.enableKeystone","Enable Keystone (QR mode)","Activar Keystone (modo QR)","启用 Keystone（二维码模式）"
"hardware.howItWorks","How it works","Cómo funciona","工作原理"
"hardware.keystoneHow","Keystone's air-gapped QR signing isn't finished yet — the app can't build or read the QR codes it would need to in this build. Support is planned but not ready for real funds.","La firma QR aislada de Keystone aún no está terminada; la aplicación no puede crear ni leer los códigos QR necesarios en esta versión. Está prevista, pero no está lista para fondos reales.","Keystone 的隔离二维码签名尚未完成；当前版本无法生成或读取所需二维码。该功能已规划，但尚未准备好处理真实资金。"
"hardware.keystoneSubtitle","Air-gapped QR signing — not yet supported","Firma QR aislada — aún no compatible","隔离二维码签名 — 尚不支持"
"hardware.ledgerStep1","USB: plug in → enter PIN → open Bitcoin Cash app","USB: conecta → introduce el PIN → abre la aplicación Bitcoin Cash","USB：插入 → 输入 PIN → 打开 Bitcoin Cash 应用"
"hardware.ledgerStep2","Bluetooth (Nano X): enable BLE on device → open Bitcoin Cash app","Bluetooth (Nano X): activa BLE → abre la aplicación Bitcoin Cash","蓝牙（Nano X）：启用 BLE → 打开 Bitcoin Cash 应用"
"hardware.ledgerStep3","The browser will show a device picker prompt","El navegador mostrará un selector de dispositivos","浏览器会显示设备选择提示"
"hardware.ledgerSubtitle","USB (WebHID) or Bluetooth (Nano X)","USB (WebHID) o Bluetooth (Nano X)","USB（WebHID）或蓝牙（Nano X）"
"hardware.notSupported","{device} support isn't finished yet — it can't connect or sign in this build. Pick another device, or use the software wallet.","La compatibilidad con {device} aún no está terminada; no puede conectarse ni firmar en esta versión. Elige otro dispositivo o usa la billetera de software.","{device} 支持尚未完成；此版本无法连接或签名。请选择其他设备，或使用软件钱包。"
"hardware.onekeyStep1","Install OneKey Bridge if not already installed","Instala OneKey Bridge si aún no lo has hecho","如果尚未安装，请先安装 OneKey Bridge"
"hardware.onekeyStep2","Plug in your OneKey device or pair via Bluetooth","Conecta tu OneKey o vincúlalo por Bluetooth","插入 OneKey 设备或通过蓝牙配对"
"hardware.onekeyStep3","Unlock your device with your PIN","Desbloquea el dispositivo con tu PIN","使用 PIN 解锁设备"
"hardware.onekeyStep4","Allow the connection when requested","Permite la conexión cuando se solicite","出现请求时允许连接"
"hardware.onekeySubtitle","USB or Bluetooth via OneKey Bridge","USB o Bluetooth mediante OneKey Bridge","通过 OneKey Bridge 使用 USB 或蓝牙"
"hardware.path","Path","Ruta","路径"
"hardware.softwareHow","Your private keys never leave the device. The wallet builds an unsigned transaction, the device shows the details on its screen, you physically confirm, and the device sends back only the signature. Like Electron Cash's hardware wallet mode.","Tus claves privadas nunca salen del dispositivo. La billetera crea una transacción sin firmar, el dispositivo muestra los detalles, tú confirmas físicamente y el dispositivo devuelve solo la firma. Es como el modo de billetera de hardware de Electron Cash.","你的私钥永远不会离开设备。钱包创建未签名交易，设备在屏幕上显示详情，你进行实体确认，设备只返回签名。这类似于 Electron Cash 的硬件钱包模式。"
"hardware.softwareSubtitle","Encrypted keys stored on this device","Claves cifradas almacenadas en este dispositivo","加密密钥存储在此设备上"
"hardware.title","Hardware Wallet","Billetera de hardware","硬件钱包"
"hardware.trezorStep1","Install Trezor Suite — it includes the Bridge daemon","Instala Trezor Suite; incluye el demonio Bridge","安装 Trezor Suite，其中包含 Bridge 守护进程"
"hardware.trezorStep2","Plug in your Trezor (USB) or pair via Bluetooth (newer models)","Conecta tu Trezor por USB o vincúlalo por Bluetooth (modelos nuevos)","插入 Trezor（USB）或通过蓝牙配对（较新型号）"
"hardware.trezorStep3","Unlock your device with your PIN","Desbloquea el dispositivo con tu PIN","使用 PIN 解锁设备"
"hardware.trezorStep4","Allow the connection popup when it appears","Permite la ventana emergente de conexión cuando aparezca","出现连接弹窗时允许连接"
"hardware.trezorSubtitle","USB or Bluetooth via Trezor Bridge","USB o Bluetooth mediante Trezor Bridge","通过 Trezor Bridge 使用 USB 或蓝牙"
"history.awaitingConfirmation","Awaiting confirmation","Esperando confirmación","等待确认"
"history.block","Block","Bloque","区块"
"history.closeDetails","Close details","Cerrar detalles","关闭详情"
"history.confirmations","{count} confirmations","{count} confirmaciones","{count} 次确认"
"history.confirmed","Confirmed","Confirmada","已确认"
"history.detailsUnavailable","Transaction details are not available from Electrum right now.","Los detalles de la transacción no están disponibles en Electrum ahora mismo.","Electrum 当前无法提供交易详情。"
"history.fee","Fee","Comisión","费用"
"history.first","First","Primera","第一页"
"history.last","Last","Última","最后一页"
"history.loadDetailsFailed","Failed to load transaction details.","No se pudieron cargar los detalles de la transacción.","加载交易详情失败。"
"history.loadingDetails","Loading transaction details…","Cargando detalles de la transacción…","正在加载交易详情…"
"history.newestFirst","Newest first","Más recientes primero","最新优先"
"history.noActivity","No activity yet","Aún no hay actividad","暂无活动"
"history.noData","No data available.","No hay datos disponibles.","暂无数据。"
"history.noTransactions","No transactions available yet.","Aún no hay transacciones disponibles.","暂无可用交易。"
"history.oldestFirst","Oldest first","Más antiguas primero","最早优先"
"history.openExplorer","Open in explorer","Abrir en el explorador","在浏览器中打开"
"history.pending","Pending","Pendiente","待处理"
"history.perPage","{count} per page","{count} por página","每页 {count} 笔"
"history.recipients","Recipients","Destinatarios","接收方"
"history.recorded","{count} recorded","{count} registradas","已记录 {count} 笔"
"history.senders","Senders","Remitentes","发送方"
"history.status","Status","Estado","状态"
"history.sync","Sync","Sincronizar","同步"
"history.timestamp","Timestamp","Marca de tiempo","时间戳"
"history.title","Transaction History","Historial de transacciones","交易历史"
"history.transaction","Transaction","Transacción","交易"
"history.transactionHash","Transaction Hash","Hash de transacción","交易哈希"
"history.unavailable","Unavailable","No disponible","不可用"
"history.unconfirmed","Unconfirmed","Sin confirmar","未确认"
"history.unknown","Unknown","Desconocido","未知"
"history.yourWallet","Your wallet","Tu billetera","你的钱包"
"home.block","Block","Bloque","区块"
"home.confirmed","Confirmed","Confirmado","已确认"
"home.latestActivity","Latest wallet activity","Última actividad de la billetera","钱包最新活动"
"home.noQrCode","No QR code detected. Try again.","No se detectó ningún código QR. Inténtalo de nuevo.","未检测到二维码，请重试。"
"home.noRecentActivity","No recent activity yet.","Aún no hay actividad reciente.","暂无最近活动。"
"home.pending","Pending","Pendiente","待处理"
"home.pendingConfirmation","Pending confirmation","Confirmación pendiente","等待确认"
"home.portfolio","Portfolio","Cartera","资产总览"
"home.quickActions","Quick Actions","Acciones rápidas","快捷操作"
"home.receive","Receive","Recibir","接收"
"home.recentActivity","Recent Activity","Actividad reciente","最近活动"
"home.scanQr","Scan QR","Escanear QR","扫描二维码"
"home.send","Send","Enviar","发送"
"home.sync","Sync","Sincronizar","同步"
"home.syncing","Syncing…","Sincronizando…","同步中…"
"home.title","Home","Inicio","首页"
"home.toggleBalance","Toggle BCH and USD balance","Cambiar entre saldo BCH y USD","切换 BCH 和 USD 余额"
"home.unsupportedQr","QR scanned, but it is not a supported wallet payload.","Se escaneó un QR, pero no es un formato de billetera compatible.","已扫描二维码，但不是支持的钱包格式。"
"home.usdPriceUnavailable","USD price unavailable","Precio en USD no disponible","USD 价格不可用"
"home.usdUnavailable","USD unavailable","USD no disponible","USD 不可用"
"home.viewAll","View all","Ver todo","查看全部"
"home.walletOverview","Wallet overview","Resumen de la billetera","钱包概览"
"nav.actions","Actions","Acciones","操作"
"nav.apps","Apps","Apps","应用"
"nav.assets","Assets","Activos","资产"
"nav.home","Home","Inicio","首页"
"nav.settings","Settings","Configuración","设置"
"network.chipnet","Chipnet","Chipnet","Chipnet"
"network.mainnet","Mainnet","Mainnet","Mainnet"
"network.switch","Switch network. Current: {network}","Cambiar de red. Actual: {network}","切换网络。当前：{network}"
"nftConfig.capability","NFT Capability","Capacidad del NFT","NFT 能力"
"nftConfig.commitment","NFT Commitment","Compromiso del NFT","NFT 承诺值"
"nftConfig.done","Done","Listo","完成"
"nftConfig.mintingDescription","one NFT authority that can create multiple next NFTs.","una autoridad NFT que puede crear varios NFT posteriores.","一个可以创建多个后续 NFT 的 NFT 权限。"
"nftConfig.mutableDescription","one NFT that may update its commitment when spent.","un NFT que puede actualizar su compromiso al gastarse.","一个在花费时可以更新承诺值的 NFT。"
"nftConfig.noneDescription","one immutable NFT, best for approvals or receipts.","un NFT inmutable, ideal para aprobaciones o recibos.","一个不可变 NFT，适合批准或收据。"
"nftConfig.placeholder","Up to 40 bytes","Hasta 40 bytes","最多 40 字节"
"nftConfig.title","NFT Configuration","Configuración del NFT","NFT 配置"
"nostr.active","{active}/{total} active","{active}/{total} activos","{active}/{total} 活动"
"nostr.add","Add","Añadir","添加"
"nostr.chat","Nostr chat","Chat de Nostr","Nostr 聊天"
"nostr.checking","Checking…","Comprobando…","检查中…"
"nostr.checkRelayStatus","Check relay status","Comprobar estado de los relays","检查中继状态"
"nostr.connected","connected","conectado","已连接"
"nostr.deriving","Deriving…","Derivando…","派生中…"
"nostr.disable","Disable","Desactivar","禁用"
"nostr.dmDescription","End-to-end encrypted DMs using NIP-17.","Mensajes directos cifrados de extremo a extremo mediante NIP-17.","使用 NIP-17 的端到端加密私信。"
"nostr.enable","Enable","Activar","启用"
"nostr.identity","Nostr identity","Identidad de Nostr","Nostr 身份"
"nostr.identityDescription","Derived from your seed via NIP-06 (a separate path) — your spending keys are never reused.","Derivada de tu semilla mediante NIP-06 (una ruta separada); tus claves de gasto nunca se reutilizan.","通过 NIP-06 从种子派生（使用独立路径），不会重复使用你的花费密钥。"
"nostr.invalidRelay","Enter a secure relay URL beginning with wss://","Introduce una URL de relay segura que comience por wss://","请输入以 wss:// 开头的安全中继 URL"
"nostr.privacyWarning","Relay operators can still observe connection metadata, timing, and recipient tags. Encrypted content is not the same as network anonymity.","Los operadores de relays aún pueden observar metadatos de conexión, tiempos y etiquetas de destinatarios. El contenido cifrado no equivale al anonimato de red.","中继运营者仍可观察连接元数据、时间和收件人标签。加密内容不等同于网络匿名性。"
"nostr.relays","Relays","Relays","中继"
"nostr.relaysDescription","WSS relays used for chat and the P2P-fusion transport. Add your own or use the defaults.","Relays WSS usados para el chat y el transporte de fusión P2P. Añade los tuyos o usa los predeterminados.","用于聊天和 P2P Fusion 传输的 WSS 中继。你可以添加自己的中继或使用默认值。"
"nostr.remove","Remove","Eliminar","移除"
"nostr.unknown","unknown","desconocido","未知"
"nostr.unreachable","unreachable","inaccesible","无法访问"
"notifications.dismiss","Dismiss","Descartar","关闭"
"notifications.fundsReceived","Funds received","Fondos recibidos","收到资金"
"notifications.fundsReceivedBody","{amount} sats to {address} • {txid}","{amount} sats a {address} • {txid}","{amount} sats 转入 {address} • {txid}"
"notifications.incomingBch","Incoming BCH","BCH entrante","收到 BCH"
"notifications.incomingToken","Incoming token","Token entrante","收到代币"
"notifications.transactionConfirmed","Transaction confirmed","Transacción confirmada","交易已确认"
"notifications.unknownAddress","unknown address","dirección desconocida","未知地址"
"onboarding.back","Back","Atrás","返回"
"onboarding.confirm","Confirm","Confirmar","确认"
"onboarding.confirmError","Those don't match your seed phrase. Check the words and try again.","La frase no coincide. Comprueba las palabras e inténtalo de nuevo.","短语不匹配，请检查词语后重试。"
"onboarding.confirmInstruction","Type the requested words to prove you saved them correctly.","Escribe las palabras solicitadas para demostrar que las guardaste correctamente.","输入指定词语，以确认你已正确保存恢复短语。"
"onboarding.confirmPasswordPlaceholder","Confirm password","Confirmar contraseña","确认密码"
"onboarding.confirmSeed","Confirm Your Seed Phrase","Confirma tu frase de recuperación","确认恢复短语"
"onboarding.connectHardware","Connect Hardware Wallet","Conectar billetera física","连接硬件钱包"
"onboarding.continue","Continue","Continuar","继续"
"onboarding.createNewWallet","Create New Wallet","Crear billetera nueva","创建新钱包"
"onboarding.createWallet","Create Wallet","Crear billetera","创建钱包"
"onboarding.createWatchOnly","Create Watch-Only Wallet","Crear billetera de solo lectura","创建只读钱包"
"onboarding.creating","Creating Wallet…","Creando billetera…","正在创建钱包…"
"onboarding.creationFailed","Wallet creation failed. Please try again.","No se pudo crear la billetera. Inténtalo de nuevo.","钱包创建失败，请重试。"
"onboarding.databasePreparationFailed","Could not prepare the wallet on this device.","No se pudo preparar la billetera en este dispositivo.","无法在此设备上准备钱包。"
"onboarding.generatedMnemonic","Generated Mnemonic:","Frase mnemónica generada:","生成的助记词："
"onboarding.generatingSeed","Generating seed phrase…","Generando frase de recuperación…","正在生成恢复短语…"
"onboarding.helpDescription","Create a wallet for the first time or restore one you already have.","Crea una billetera por primera vez o restaura una que ya tienes.","创建新钱包，或恢复已有钱包。"
"onboarding.helpTitle","Getting started","Primeros pasos","开始使用"
"onboarding.importFailed","Wallet import failed. Please try again.","No se pudo importar la billetera. Inténtalo de nuevo.","钱包导入失败，请重试。"
"onboarding.importing","Importing Wallet…","Importando billetera…","正在导入钱包…"
"onboarding.importWallet","Import Wallet","Importar billetera","导入钱包"
"onboarding.invalidMnemonic","Enter a valid 12-, 15-, 18-, 21-, or 24-word BIP39 recovery phrase.","Introduce una frase BIP39 válida de 12, 15, 18, 21 o 24 palabras.","请输入有效的 12、15、18、21 或 24 个 BIP39 助记词。"
"onboarding.missingWord","Word {number} is missing.","Falta la palabra {number}.","缺少第 {number} 个词。"
"onboarding.mnemonicLoading","The recovery phrase is still loading. Please wait a moment.","La frase de recuperación todavía se está cargando. Espera un momento.","恢复短语仍在加载，请稍候。"
"onboarding.mnemonicWarning","Your recovery phrase is the master key to your wallet. Store it securely and never share it.","Tu frase de recuperación es la clave maestra de tu billetera. Guárdala de forma segura y no la compartas.","恢复短语是钱包的主密钥。请妥善保存，切勿分享。"
"onboarding.nameRequired","Give this wallet a name.","Dale un nombre a esta billetera.","请为钱包设置名称。"
"onboarding.nameWallet","Name This Wallet","Nombra esta billetera","命名钱包"
"onboarding.nameWalletDescription","Give this wallet a name and a password. Each wallet on this device has its own independent password.","Dale un nombre y una contraseña a esta billetera. Cada billetera de este dispositivo tiene su propia contraseña independiente.","为钱包设置名称和密码。此设备上的每个钱包都有独立的密码。"
"onboarding.passwordMismatch","Passwords do not match.","Las contraseñas no coinciden.","两次输入的密码不一致。"
"onboarding.passwordPlaceholder","Password (or leave blank)","Contraseña (o déjalo en blanco)","密码（可留空）"
"onboarding.recoveryDescription","Enter your BIP39 recovery phrase (12, 15, 18, 21, or 24 words). Each box corresponds to the word order.","Introduce tu frase BIP39 de 12, 15, 18, 21 o 24 palabras. Cada casilla corresponde al orden de una palabra.","请输入 BIP39 恢复短语（12、15、18、21 或 24 个词）。每个输入框对应一个词的顺序。"
"onboarding.recoveryPhrase","Recovery Phrase","Frase de recuperación","恢复短语"
"onboarding.seedInstruction","Write these 12 words down in order and keep them somewhere safe. Anyone with this phrase can spend your funds — never share it or store it digitally.","Escribe estas 12 palabras en orden y guárdalas en un lugar seguro. Cualquiera que tenga esta frase puede gastar tus fondos; no la compartas ni la guardes digitalmente.","请按顺序写下这 12 个词并妥善保存。任何拥有此短语的人都可以花费你的资金；请勿分享或以数字方式保存。"
"onboarding.seedTitle","Your Seed Phrase","Tu frase de recuperación","你的恢复短语"
"onboarding.walletAlreadyAvailable","This wallet is already available on this device.","Esta billetera ya está disponible en este dispositivo.","此钱包已在设备上可用。"
"onboarding.walletAlreadyExists","This wallet may already exist on this device.","Es posible que esta billetera ya exista en este dispositivo.","此钱包可能已存在于设备上。"
"onboarding.walletNamePlaceholder","Wallet name","Nombre de la billetera","钱包名称"
"onboarding.walletSavedIdFailed","Wallet was saved, but its wallet ID could not be resolved.","La billetera se guardó, pero no se pudo resolver su identificador.","钱包已保存，但无法解析钱包 ID。"
"onboarding.walletSetup","Wallet Setup","Configuración de billetera","钱包设置"
"onboarding.walletSetupDescription","Choose the network and address path this wallet will use.","Elige la red y la ruta de direcciones que usará esta billetera.","选择此钱包使用的网络和地址路径。"
"onboarding.word","Word","Palabra","词语"
"onboarding.wordCountLabel","Phrase length","Longitud de la frase","短语长度"
"onboarding.wordPlaceholder","word","palabra","词语"
"onboarding.words","words","palabras","个词"
"onboarding.wroteItDown","I've written it down","Ya la he escrito","我已写下"
"outbox.amount","Amount","Importe","金额"
"outbox.clearPending","Clear pending lock","Borrar bloqueo pendiente","清除待处理锁"
"outbox.clearPendingTitle","Clear this pending lock if the transaction was not actually sent","Borra este bloqueo si la transacción realmente no se envió","如果交易实际上未发送，则清除此待处理锁"
"outbox.copyTxid","Copy txid","Copiar txid","复制 txid"
"outbox.daysAgo","{count}d ago","hace {count} d","{count} 天前"
"outbox.description","Offline-first protection keeps new sends paused until these transactions are seen or safely released.","La protección offline mantiene en pausa los nuevos envíos hasta que estas transacciones se detecten o se liberen de forma segura.","离线优先保护会暂停新发送，直到这些交易被发现或安全释放。"
"outbox.destination","Destination","Destino","目的地"
"outbox.dismiss","Dismiss","Descartar","关闭"
"outbox.dismissPending","Dismiss pending transactions popup","Descartar ventana de transacciones pendientes","关闭待处理交易弹窗"
"outbox.finalizing","Finalizing transaction","Finalizando transacción","正在完成交易"
"outbox.finalizingMultiple","Finalizing {count} transactions","Finalizando {count} transacciones","正在完成 {count} 笔交易"
"outbox.historyUpdate","Your wallet history will update automatically. This usually takes a moment.","El historial de tu billetera se actualizará automáticamente. Normalmente tarda un momento.","钱包历史会自动更新，通常只需片刻。"
"outbox.hoursAgo","{count}h ago","hace {count} h","{count} 小时前"
"outbox.justNow","just now","ahora mismo","刚刚"
"outbox.lastNetworkIssue","Last network issue","Último problema de red","最近的网络问题"
"outbox.minutesAgo","{count}m ago","hace {count} min","{count} 分钟前"
"outbox.noPending","No pending outgoing transactions.","No hay transacciones salientes pendientes.","没有待处理的转出交易。"
"outbox.pendingOutgoing","Pending outgoing transactions","Transacciones salientes pendientes","待处理转出交易"
"outbox.prompt","Prompt","Solicitud","提示"
"outbox.releaseSendLock","Release send lock","Liberar bloqueo de envío","释放发送锁定"
"outbox.releaseStale","Release if stale","Liberar si está obsoleta","过期后释放"
"outbox.releaseStaleTitle","Available after {minutes} minutes if the transaction is still unresolved","Disponible después de {minutes} minutos si la transacción sigue sin resolverse","如果交易仍未解决，{minutes} 分钟后可用"
"outbox.requestedBy","Requested by","Solicitada por","请求方"
"outbox.title","Outbox","Bandeja de salida","发件箱"
"outbox.txid","Txid","Txid","Txid"
"outbox.updated","Updated {age}","Actualizada {age}","更新于 {age}"
"outbox.walletSend","Wallet send","Envío de la billetera","钱包发送"
"p2p.description","No server: peers meet on Nostr relays over Tor, deterministically elect a coordinator, and run the CoinJoin peer-to-peer. Outputs are unlinkable; you sign only your own inputs after verifying your own outputs.","Sin servidor: los pares se encuentran en relays Nostr mediante Tor, eligen un coordinador de forma determinista y ejecutan CoinJoin entre pares. Las salidas no se pueden vincular; solo firmas tus propias entradas después de verificar tus propias salidas.","无需服务器：参与者通过 Tor 在 Nostr 中继上会合，确定性地选出协调者，并点对点运行 CoinJoin。输出无法关联；只有在确认自己的输出存在后，您才会签名自己的输入。"
"p2p.phase.announce","Announcing & finding peers","Anunciando y buscando pares","广播并寻找参与者"
"p2p.phase.assemble","Assembling & verifying","Ensamblando y verificando","组装并验证"
"p2p.phase.broadcast","Broadcasting","Transmitiendo","广播"
"p2p.phase.register","Registering inputs & outputs","Registrando entradas y salidas","注册输入和输出"
"p2p.phase.sign","Signing","Firmando","签名"
"p2p.requiresPeers","Requires Tor + at least 2 peers in the same tier.","Requiere Tor y al menos 2 pares en el mismo nivel.","需要 Tor，并且同一层级至少有 2 个参与者。"
"p2p.running","Running P2P round…","Ejecutando ronda P2P…","正在运行 P2P 轮次…"
"p2p.start","Start P2P round","Iniciar ronda P2P","开始 P2P 轮次"
"p2p.title","P2P Fusion over Nostr","Fusión P2P sobre Nostr","通过 Nostr 的 P2P Fusion"
"paper.addressConversionError","Address conversion error","Error de conversión de dirección","地址转换错误"
"paper.addressDerivationFailed","Unable to derive a valid paper wallet address from the scanned key.","No se pudo derivar una dirección válida de billetera de papel a partir de la clave escaneada.","无法从扫描的密钥派生有效的纸钱包地址。"
"paper.back","Back","Atrás","返回"
"paper.bchOutputs","BCH outputs","Salidas BCH","BCH 输出"
"paper.buildFailed","Failed to build sweep transaction.","No se pudo construir la transacción de barrido.","无法构建转移交易。"
