"key","English (en)","Chinese (Traditional) (zh-TW)","Status"
"history.loadingDetails","Loading transaction details…","正在載入交易詳細資料…","translated"
"history.newestFirst","Newest first","最新優先","translated"
"history.noActivity","No activity yet","目前沒有活動","translated"
"history.noData","No data available.","沒有可用資料。","translated"
"history.noTransactions","No transactions available yet.","目前沒有可用的交易。","translated"
"history.oldestFirst","Oldest first","最早優先","translated"
"history.openExplorer","Open in explorer","在區塊瀏覽器中開啟","translated"
"history.output","Output","輸出","translated"
"history.pending","Pending","待處理","translated"
"history.perPage","{count} per page","每頁 {count} 筆","translated"
"history.recipients","Recipients","收件人","translated"
"history.recorded","{count} recorded","已記錄 {count} 筆","translated"
"history.senders","Senders","寄件人","translated"
"history.status","Status","狀態","stable-term"
"history.sync","Sync","同步","translated"
"history.timestamp","Timestamp","時間戳記","translated"
"history.title","Transaction History","交易記錄","translated"
"history.transaction","Transaction","交易","stable-term"
"history.transactionHash","Transaction Hash","交易雜湊","translated"
"history.unavailable","Unavailable","無法使用","translated"
"history.unconfirmed","Unconfirmed","未確認","translated"
"history.unknown","Unknown","未知","translated"
"history.yourWallet","Your wallet","你的錢包","translated"
"home.block","Block","區塊","translated"
"home.confirmed","Confirmed","已確認","translated"
"home.latestActivity","Latest wallet activity","錢包最新活動","translated"
"home.noQrCode","No QR code detected. Try again.","未偵測到 QR 碼。請再試一次。","translated"
"home.noRecentActivity","No recent activity yet.","目前沒有最近活動。","translated"
"home.pending","Pending","待處理","translated"
"home.pendingConfirmation","Pending confirmation","等待確認","translated"
"home.portfolio","Portfolio","投資組合","translated"
"home.quickActions","Quick Actions","快速操作","translated"
"home.receive","Receive","接收","translated"
"home.recentActivity","Recent Activity","最近活動","translated"
"home.scanQr","Scan QR","掃描 QR","translated"
"home.send","Send","傳送","translated"
"home.sync","Sync","同步","translated"
"home.syncing","Syncing…","同步中…","translated"
"home.title","Home","首頁","translated"
"home.toggleBalance","Toggle BCH and USD balance","切換 BCH 和 USD 餘額","translated"
"home.unsupportedQr","QR scanned, but it is not a supported wallet payload.","已掃描 QR，但不是支援的錢包資料。","translated"
"home.usdPriceUnavailable","USD price unavailable","USD 價格無法使用","translated"
"home.usdUnavailable","USD unavailable","USD 無法使用","translated"
"home.viewAll","View all","檢視全部","translated"
"home.walletOverview","Wallet overview","錢包總覽","translated"
"nav.actions","Actions","操作","stable-term"
"nav.apps","Apps","應用程式","translated"
"nav.assets","Assets","資產","translated"
"nav.home","Home","首頁","translated"
"nav.settings","Settings","設定","translated"
"network.chipnet","Chipnet","Chipnet","stable-term"
"network.mainnet","Mainnet","Mainnet","stable-term"
"network.switch","Switch network. Current: {network}","切換網路。目前：{network}","translated"
"nftConfig.capability","NFT Capability","NFT 能力","translated"
"nftConfig.commitment","NFT Commitment","NFT 承諾","translated"
"nftConfig.done","Done","完成","translated"
"nftConfig.minting","minting","鑄造","translated"
"nftConfig.mintingDescription","one NFT authority that can create multiple next NFTs.","一個可建立多個後續 NFT 的 NFT 權限。","translated"
"nftConfig.mutable","mutable","可變更","translated"
"nftConfig.mutableDescription","one NFT that may update its commitment when spent.","一個花費時可更新 commitment 的 NFT。","translated"
"nftConfig.none","none","無","translated"
"nftConfig.noneDescription","one immutable NFT, best for approvals or receipts.","一個不可變 NFT，適合核准或收據。","translated"
"nftConfig.placeholder","Up to 40 bytes","最多 40 位元組","translated"
"nftConfig.title","NFT Configuration","NFT 設定","translated"
"nostr.active","{active}/{total} active","{active}/{total} 個作用中","translated"
"nostr.add","Add","新增","translated"
"nostr.chat","Nostr chat","Nostr 聊天","translated"
"nostr.checking","Checking…","檢查中…","translated"
"nostr.checkRelayStatus","Check relay status","檢查 relay 狀態","translated"
"nostr.connected","connected","已連線","translated"
"nostr.deriving","Deriving…","衍生中…","translated"
"nostr.disable","Disable","停用","translated"
"nostr.dmDescription","End-to-end encrypted DMs using NIP-17.","使用 NIP-17 的端對端加密私訊。","translated"
"nostr.enable","Enable","啟用","translated"
"nostr.identity","Nostr identity","Nostr 身分","translated"
"nostr.identityDescription","Derived from your seed via NIP-06 (a separate path) — your spending keys are never reused.","透過 NIP-06 從您的 seed 衍生（獨立路徑），不會重複使用支出金鑰。","translated"
"nostr.invalidRelay","Enter a secure relay URL beginning with wss://","輸入以 wss:// 開頭的安全 relay URL","translated"
"nostr.privacyWarning","Relay operators can still observe connection metadata, timing, and recipient tags. Encrypted content is not the same as network anonymity.","Relay 營運者仍可觀察連線中繼資料、時間與收款人標籤。加密內容不等於網路匿名。","translated"
"nostr.relays","Relays","Relays","stable-term"
"nostr.relaysDescription","WSS relays used for chat and the P2P-fusion transport. Add your own or use the defaults.","用於聊天與 P2P-Fusion 傳輸的 WSS relays。新增自己的 relay 或使用預設值。","translated"
"nostr.remove","Remove","移除","translated"
"nostr.unknown","unknown","未知","translated"
"nostr.unreachable","unreachable","無法連線","translated"
"notifications.dismiss","Dismiss","關閉","translated"
"notifications.fundsReceived","Funds received","已收到資金","translated"
"notifications.fundsReceivedBody","{amount} sats to {address} • {txid}","{amount} sats 至 {address} • {txid}","translated"
"notifications.incomingBch","Incoming BCH","收到 BCH","translated"
"notifications.incomingToken","Incoming token","收到 token","translated"
"notifications.transactionConfirmed","Transaction confirmed","交易已確認","translated"
"notifications.unknownAddress","unknown address","未知地址","translated"
"onboarding.back","Back","返回","translated"
"onboarding.closeHelp","Close help","關閉說明","translated"
"onboarding.confirm","Confirm","確認","translated"
"onboarding.confirmError","Those don't match your seed phrase. Check the words and try again.","這些單字與您的種子片語不符。請檢查後再試。","translated"
"onboarding.confirmInstruction","Type the requested words to prove you saved them correctly.","輸入指定單字，以確認您已正確儲存。","translated"
"onboarding.confirmPasswordPlaceholder","Confirm password","確認密碼","translated"
"onboarding.confirmSeed","Confirm Your Seed Phrase","確認你的復原片語","translated"
"onboarding.connectHardware","Connect Hardware Wallet","連接硬體錢包","translated"
"onboarding.continue","Continue","繼續","translated"
"onboarding.createNewWallet","Create New Wallet","建立新錢包","translated"
"onboarding.createWallet","Create Wallet","建立錢包","translated"
"onboarding.createWatchOnly","Create Watch-Only Wallet","建立僅觀看錢包","translated"
"onboarding.creating","Creating Wallet…","正在建立錢包…","translated"
"onboarding.creationFailed","Wallet creation failed. Please try again.","錢包建立失敗。請再試一次。","translated"
"onboarding.databasePreparationFailed","Could not prepare the wallet on this device.","無法在此裝置上準備錢包。","translated"
"onboarding.generatedMnemonic","Generated Mnemonic:","產生的復原片語：","translated"
"onboarding.generatingSeed","Generating seed phrase…","正在產生復原片語…","translated"
"onboarding.helpCreateDescription","Use this if you want a new wallet with a fresh seed phrase on this device.","如果您要在此裝置上使用新的種子片語建立錢包，請選擇此選項。","translated"
"onboarding.helpCreateTitle","Create Wallet","建立錢包","translated"
"onboarding.helpDescription","Create a wallet for the first time or restore one you already have.","建立新錢包，或復原已有的錢包。","translated"
"onboarding.helpImportDescription","Use this if you already have a 12-word recovery phrase and want access to an existing wallet.","如果您已有 12 字的復原片語並要存取現有錢包，請選擇此選項。","translated"
"onboarding.helpImportTitle","Import Wallet","匯入錢包","translated"
"onboarding.helpNetworkDescription","Select Mainnet for real funds or CHIPNET for test funds before you proceed.","繼續前，請選擇用於真實資金的 Mainnet，或用於測試資金的 CHIPNET。","translated"
"onboarding.helpNetworkTitle","Choose a network","選擇網路","translated"
"onboarding.helpTitle","Getting started","開始使用","translated"
"onboarding.importFailed","Wallet import failed. Please try again.","錢包匯入失敗。請再試一次。","translated"
"onboarding.importing","Importing Wallet…","正在匯入錢包…","translated"
"onboarding.importWallet","Import Wallet","匯入錢包","translated"
"onboarding.invalidMnemonic","Enter a valid English BIP39 recovery phrase with 12, 15, 18, 21, or 24 words.","請輸入有效的英文 BIP39 復原片語，包含 12、15、18、21 或 24 個字詞。","translated"
"onboarding.missingWord","Word {number} is missing.","缺少第 {number} 個字詞。","translated"
"onboarding.mnemonicLoading","The recovery phrase is still loading. Please wait a moment.","復原片語仍在載入中，請稍候。","translated"
"onboarding.mnemonicWarning","Your recovery phrase is the master key to your wallet. Store it securely and never share it.","您的復原片語是錢包的主密鑰。請妥善保存，絕不要分享。","translated"
"onboarding.nameRequired","Give this wallet a name.","請為此錢包命名。","translated"
"onboarding.nameWallet","Name This Wallet","命名此錢包","translated"
"onboarding.nameWalletDescription","Give this wallet a name and a password. Each wallet on this device has its own independent password.","為此錢包命名並設定密碼。此裝置上的每個錢包都有獨立的密碼。","translated"
"onboarding.passwordMismatch","Passwords do not match.","密碼不相符。","translated"
"onboarding.passwordPlaceholder","Password (or leave blank)","密碼（或留白）","translated"
"onboarding.poweredBy","Powered with Bitcoin Covenants for Bitcoin Cash","由 Bitcoin Cash 的 Bitcoin Covenants 提供支援","translated"
"onboarding.recoveryDescription","Enter your BIP39 recovery phrase (12, 15, 18, 21, or 24 words). Each box corresponds to the word order.","輸入英文 BIP39 復原片語（12、15、18、21 或 24 個單字）。每個欄位對應單字順序。","translated"
"onboarding.recoveryPhrase","Recovery Phrase","復原片語","translated"
"onboarding.seedInstruction","Write these 12 words down in order and keep them somewhere safe. Anyone with this phrase can spend your funds — never share it or store it digitally.","請依序寫下這 12 個單字並存放在安全處。任何擁有此片語的人都能花費您的資金 — 絕不要分享或以數位方式儲存。","translated"
"onboarding.seedTitle","Your Seed Phrase","你的復原片語","translated"
"onboarding.toggleTheme","Toggle theme","切換主題","translated"
"onboarding.walletAlreadyAvailable","This wallet is already available on this device.","此錢包已可在此裝置上使用。","translated"
"onboarding.walletAlreadyExists","This wallet may already exist on this device.","此錢包可能已存在於此裝置。","translated"
"onboarding.walletNamePlaceholder","Wallet name","錢包名稱","translated"
"onboarding.walletSavedIdFailed","Wallet was saved, but its wallet ID could not be resolved.","錢包已儲存，但無法解析其錢包 ID。","translated"
"onboarding.walletSetup","Wallet Setup","錢包設定","translated"
"onboarding.walletSetupDescription","Choose the network and address path this wallet will use.","選擇此錢包要使用的網路與地址路徑。","translated"
"onboarding.welcomeAlt","Smart BCH Wallet","Smart BCH 錢包","stable-term"
"onboarding.word","Word","字詞","translated"
"onboarding.wordCountLabel","Phrase length","片語長度","translated"
"onboarding.wordPlaceholder","word","字詞","translated"
"onboarding.words","words","個字詞","translated"
"onboarding.wroteItDown","I've written it down","我已記下","translated"
"outbox.amount","Amount","金額","translated"
"outbox.clearPending","Clear pending lock","清除待處理鎖定","translated"
"outbox.clearPendingTitle","Clear this pending lock if the transaction was not actually sent","若交易實際未送出，請清除此待處理鎖定","translated"
"outbox.copyTxid","Copy txid","複製 txid","translated"
"outbox.daysAgo","{count}d ago","{count} 天前","translated"
"outbox.description","Offline-first protection keeps new sends paused until these transactions are seen or safely released.","離線優先保護會暫停新的傳送，直到這些交易被看見或安全釋放。","translated"
"outbox.destination","Destination","目的地","stable-term"
"outbox.dismiss","Dismiss","關閉","translated"
"outbox.dismissPending","Dismiss pending transactions popup","關閉待處理交易彈窗","translated"
"outbox.finalizing","Finalizing transaction","正在完成交易","translated"
"outbox.finalizingMultiple","Finalizing {count} transactions","正在完成 {count} 筆交易","translated"
"outbox.historyUpdate","Your wallet history will update automatically. This usually takes a moment.","錢包歷史會自動更新，通常只需片刻。","translated"
"outbox.hoursAgo","{count}h ago","{count} 小時前","translated"
"outbox.justNow","just now","剛剛","translated"
"outbox.lastNetworkIssue","Last network issue","最近的網路問題","translated"
"outbox.minutesAgo","{count}m ago","{count} 分鐘前","translated"
"outbox.noPending","No pending outgoing transactions.","沒有待處理的送出交易。","translated"
"outbox.pendingOutgoing","Pending outgoing transactions","待處理的送出交易","translated"
"outbox.prompt","Prompt","提示","translated"
"outbox.releaseSendLock","Release send lock","釋放傳送鎖定","translated"
"outbox.releaseStale","Release if stale","過期時釋放","translated"
"outbox.releaseStaleTitle","Available after {minutes} minutes if the transaction is still unresolved","若交易仍未解決，{minutes} 分鐘後可用","translated"
"outbox.requestedBy","Requested by","要求者","translated"
"outbox.title","Outbox","寄件匣","translated"
"outbox.txid","Txid","Txid","stable-term"
"outbox.updated","Updated {age}","已更新 {age}","translated"
"outbox.walletSend","Wallet send","錢包傳送","translated"
"p2p.description","No server: peers meet on Nostr relays over Tor, deterministically elect a coordinator, and run the CoinJoin peer-to-peer. Outputs are unlinkable; you sign only your own inputs after verifying your own outputs.","無需伺服器：節點透過 Tor 在 Nostr relays 上相遇，確定性選出協調者，並執行點對點 CoinJoin。輸出無法連結；確認自己的輸出後，只需簽署自己的輸入。","translated"
"p2p.phase.announce","Announcing & finding peers","公告並尋找節點","translated"
"p2p.phase.assemble","Assembling & verifying","組合並驗證","translated"
"p2p.phase.broadcast","Broadcasting","廣播中","translated"
"p2p.phase.register","Registering inputs & outputs","註冊輸入與輸出","translated"
"p2p.phase.sign","Signing","簽署中","translated"
"p2p.requiresPeers","Requires Tor + at least 2 peers in the same tier.","需要 Tor 以及同一層級至少 2 個節點。","translated"
"p2p.running","Running P2P round…","正在執行 P2P 回合…","translated"
"p2p.start","Start P2P round","開始 P2P 回合","translated"
"p2p.title","P2P Fusion over Nostr","透過 Nostr 的 P2P Fusion","translated"
"paper.addressConversionError","Address conversion error","地址轉換錯誤","translated"
"paper.addressDerivationFailed","Unable to derive a valid paper wallet address from the scanned key.","無法從掃描的金鑰導出有效紙錢包地址。","translated"
"paper.back","Back","返回","translated"
"paper.bchOutputs","BCH outputs","BCH 輸出","translated"
"paper.buildFailed","Failed to build sweep transaction.","建立轉移交易失敗。","translated"
"paper.confirmDescription","Slide to confirm the one-transaction paper wallet sweep.","滑動以確認以單筆交易轉移紙錢包。","translated"
"paper.confirmTitle","Confirm sweep","確認轉移","translated"
"paper.decodingError","Decoding error","解碼錯誤","translated"
"paper.description","Scan a WIF paper wallet and sweep BCH + CashTokens in one transaction.","掃描 WIF 紙錢包，透過一筆交易轉移 BCH + CashTokens。","translated"
"paper.label","Paper wallet","紙錢包","translated"
"paper.noCashTokens","No CashTokens detected.","未偵測到 CashToken。","translated"
"paper.noDestination","No destination wallet address is available.","沒有可用的目的錢包地址。","translated"
"paper.noQrCode","No QR code detected. Please try again.","未偵測到 QR 碼。請再試一次。","translated"
"paper.notScanned","No paper wallet scanned yet.","尚未掃描紙錢包。","translated"
"paper.noUtxos","No UTXOs found for this paper wallet. If this is a mainnet wallet and you are on chipnet, try switching networks.","找不到此紙錢包的 UTXO。若這是 mainnet 錢包但您位於 chipnet，請嘗試切換網路。","translated"
"paper.oneTransaction","One transaction only.","僅限一筆交易。","translated"
"paper.paperInputs","Paper wallet inputs","紙錢包輸入","translated"
"paper.scan","Scan","掃描","translated"
"paper.scanBeforeSweep","Scan a paper wallet before sweeping.","請先掃描紙錢包再進行轉移。","translated"
"paper.spendableOutputPlural","spendable outputs","可支出輸出","translated"
"paper.spendableOutputSingular","spendable output","可支出輸出","translated"
"paper.sweep","Sweep","轉移","translated"
"paper.sweepBroadcast","Sweep broadcast","轉移已廣播","translated"
"paper.title","Paper Wallet","紙錢包","translated"
"paper.tokenBacking","Token outputs are backed with 1000 sats.","代幣輸出以 1000 sats 作為支撐。","translated"
"paper.tokenGroups","Token groups","代幣群組","translated"
"paper.tokenOutputs","Token outputs","代幣輸出","translated"
"paper.unexpected","An unexpected error occurred.","發生未預期的錯誤。","translated"
"paper.unexpectedTryAgain","An unexpected error occurred. Please try again.","發生未預期的錯誤。請再試一次。","translated"
"paper.utxosTitle","Paper wallet UTXOs","紙錢包 UTXO","translated"
"paper.walletFeeInputs","Wallet fee inputs","錢包費用輸入","translated"
"priceFeed.loading","Loading…","載入中…","translated"
"qr.animatedTransfer","Animated QR transfer","動畫 QR 傳輸","translated"
"qr.blocksRecovered","blocks recovered","個已復原區塊","translated"
"qr.cameraActive","Camera active — point at animated QR","相機已啟用 — 對準動畫 QR","translated"
"qr.cameraError","Camera unavailable","相機無法使用","translated"
"qr.cameraUnavailable","Camera access is unavailable","無法使用相機","translated"
"qr.cancel","Cancel","取消","translated"
"qr.duplicates","duplicates","個重複項目","translated"
"qr.holdSteady","Hold the phone steady and fill the frame with the QR code.","請穩住手機，讓 QR 碼填滿畫面。","translated"
"qr.receivingStream","Receiving QR stream","正在接收 QR 串流","translated"
"qr.scan","Scan QR","掃描 QR","translated"
"qr.scanning","Scanning…","掃描中…","translated"
"qr.streaming","Streaming frame {frame} · {blocks} blocks · {bytes} bytes","正在傳輸影格 {frame} · {blocks} 個區塊 · {bytes} 位元組","translated"
"qr.unableToDecode","Unable to decode QR stream","無法解碼 QR 串流","translated"
"qr.uniqueFrames","unique frames","個不重複影格","translated"
"qr.walletUpdateProgress","Wallet update progress","錢包更新進度","translated"
"qrSigning.approvedBy","Approved by {name}","由 {name} 核准","translated"
"qrSigning.approveDemo","Approve demo request","核准示範請求","translated"
"qrSigning.approveReturn","2. Approve and return","2. 核准並返回","translated"
"qrSigning.close","Close","關閉","translated"
"qrSigning.collectResponse","2. Collect response","2. 收集回應","translated"
"qrSigning.fingerprint","Fingerprint","指紋","translated"
"qrSigning.invalidRequest","Invalid signing request","無效的簽署請求","translated"
"qrSigning.invalidResponse","Invalid signing response","無效的簽署回應","translated"
"qrSigning.mismatch","Signing response does not match this request","簽署回應與此請求不相符","translated"
"qrSigning.network","Network","網路","translated"
"qrSigning.payload","Payload","承載資料","translated"
"qrSigning.placeholderWarning","This demo returns a placeholder signature and never broadcasts.","此示範會回傳佔位簽章，且絕不會廣播交易。","translated"
"qrSigning.prepareFailed","Unable to prepare mocknet fixture","無法準備 mocknet fixture","translated"
"qrSigning.preparing","Preparing mocknet fixture…","正在準備 mocknet fixture…","translated"
"qrSigning.purpose","Purpose","用途","translated"
"qrSigning.rejectedBy","Rejected by {name}","由 {name} 拒絕","translated"
"qrSigning.requestReceived","Request received","已收到請求","translated"
"qrSigning.requestSignature","Request signature","請求簽章","translated"
"qrSigning.scanAnother","Scan another request","掃描另一個請求","translated"
"qrSigning.scanApproval","Scan approval response","掃描核准回應","translated"
"qrSigning.scanRequest","1. Scan request","1. 掃描請求","translated"
"qrSigning.showRequest","1. Show request","1. 顯示請求","translated"
"qrSigning.showRequestHelp","On the other wallet, choose “Sign request” and scan this stream.","在另一個錢包選擇「簽署請求」，並掃描此串流。","translated"
"qrSigning.signRequest","Sign request","簽署請求","translated"
"qrSigning.subtitle","Exchange a partially signed transaction between two OPTN wallet screens.","在兩個 OPTN Wallet 畫面之間交換部分簽署的交易。","translated"
"qrSigning.title","QR signing demo","QR 簽署示範","translated"
"quantumroot.activeNetwork","Quantumroot is active on this network. Use the vault workspace below to manage a normal spend lane and a quantum-safe recovery lane.","Quantumroot 已在此網路啟用。使用下方工作區管理一般花費路徑與抗量子的復原路徑。","translated"
"quantumroot.activeWorkspace","Active workspace for the beta-production Quantumroot flow.","Beta production Quantumroot 流程的作用中工作區。","translated"
"quantumroot.back","Back","返回","translated"
"quantumroot.betaProduction","Beta production","Beta production","needs-review"
"quantumroot.betaTitle","Quantumroot Beta Production","Quantumroot Beta Production","needs-review"
"quantumroot.checkingBalances","Checking balances…","正在檢查餘額…","translated"
"quantumroot.close","Close","關閉","translated"
"quantumroot.funded","{count} funded","{count} 個已入金","translated"
"quantumroot.fundedStatus","Funded","已入金","translated"
"quantumroot.guidedNow","Guided now: choose one approval key, lock it in Quantum Lock, then spend the matching coin.","目前有操作導引：選擇一把核准金鑰，將其鎖定在 Quantum Lock，然後花費對應硬幣。","translated"
"quantumroot.liveNow","Live now: normal spending, balance tracking, and Quantum Lock BCH recovery.","目前可用：一般花費、餘額追蹤，以及 Quantum Lock BCH 復原。","translated"
"quantumroot.livePreview","Live preview","即時預覽","translated"
"quantumroot.mainnetAhead","Quantumroot is visible on mainnet ahead of activation. The layout stays available, but key actions remain disabled until {date}.","Quantumroot 在啟用前提前顯示於 Mainnet。版面仍可使用，但主要操作會停用至 {date}。","translated"
"quantumroot.mainnetPreview","Mainnet preview stays visible before activation.","啟用前會持續顯示 Mainnet 預覽。","translated"
"quantumroot.noFundsYet","No funds yet","尚無資金","translated"
"quantumroot.noVaults","No Quantumroot vaults derived yet. Sync vaults to provision them for existing wallet address indexes.","尚未衍生 Quantumroot 保管庫。請同步保管庫，為現有錢包地址索引建立保管庫。","translated"
"quantumroot.openVaults","Open Vaults","開啟保管庫","translated"
"quantumroot.popup.action.chooseCoinLabel","Choose coin to spend","Choose coin to spend","needs-review"
"quantumroot.popup.action.chooseDescription","Choose one approval key for this vault.","Choose one approval key for this vault.","needs-review"
"quantumroot.popup.action.chooseLabel","Choose approval key","Choose approval key","needs-review"
"quantumroot.popup.action.chooseTitle","Choose an approval key","Choose an approval key","needs-review"
"quantumroot.popup.action.createDescription","Create or receive a plain NFT first, then use it as the approval key.","Create or receive a plain NFT first, then use it as the approval key.","needs-review"
"quantumroot.popup.action.createTitle","Create an approval key","Create an approval key","needs-review"
"quantumroot.popup.action.destinationDescription","Choose where the coin should go, then open the spend list.","Choose where the coin should go, then open the spend list.","needs-review"
"quantumroot.popup.action.destinationLabel","Set destination","Set destination","needs-review"
"quantumroot.popup.action.destinationTitle","Choose a destination","Choose a destination","needs-review"
"quantumroot.popup.action.disabledDescription","The spend list is ready, but spending is disabled on this network.","The spend list is ready, but spending is disabled on this network.","needs-review"
"quantumroot.popup.action.readyDescription","Tap a ready coin to spend it.","Tap a ready coin to spend it.","needs-review"
"quantumroot.popup.action.readyTitle","Ready to spend","Ready to spend","needs-review"
"quantumroot.popup.action.receiveDescription","Send the matching receive coin to the normal lane.","Send the matching receive coin to the normal lane.","needs-review"
"quantumroot.popup.action.receiveLabel","Add receive coin","Add receive coin","needs-review"
"quantumroot.popup.action.receiveTitle","Add the matching receive coin","Add the matching receive coin","needs-review"
"quantumroot.popup.action.refreshDescription","Refresh the wallet scan or choose another approval key.","Refresh the wallet scan or choose another approval key.","needs-review"
"quantumroot.popup.action.refreshLabel","Refresh vault","Refresh vault","needs-review"
"quantumroot.popup.action.refreshTitle","Refresh the vault","Refresh the vault","needs-review"
"quantumroot.popup.action.reviewLabel","Review spend","Review spend","needs-review"
"quantumroot.popup.action.sendDescription","Send the approval key to Quantum Lock.","Send the approval key to Quantum Lock.","needs-review"
"quantumroot.popup.action.sendLabel","Send approval key","Send approval key","needs-review"
"quantumroot.popup.action.sendTitle","Send the approval key","Send the approval key","needs-review"
"quantumroot.popup.addDestinationReview","Add a destination, then review spend.","Add a destination, then review spend.","needs-review"
"quantumroot.popup.addMatchingCoin","Add the matching coin to unlock spend.","Add the matching coin to unlock spend.","needs-review"
"quantumroot.popup.advanced","Advanced","Advanced","needs-review"
"quantumroot.popup.advancedRecovery","Advanced recovery","Advanced recovery","needs-review"
"quantumroot.popup.advancedRecoveryDescription","Recover regular BCH, recover Quantum Lock funds, or refresh vault status.","Recover regular BCH, recover Quantum Lock funds, or refresh vault status.","needs-review"
"quantumroot.popup.approvalKey","Approval key","Approval key","needs-review"
"quantumroot.popup.approvalKeyCapability","Approval key","Approval key","needs-review"
"quantumroot.popup.approvalKeyChanged","Approval key changed on chain","Approval key changed on chain","needs-review"
"quantumroot.popup.approvalKeyInLock","Approval key is in Quantum Lock.","Approval key is in Quantum Lock.","needs-review"
"quantumroot.popup.approvalKeyInQuantumLock","Your approval key is in Quantum Lock.","Your approval key is in Quantum Lock.","needs-review"
"quantumroot.popup.approvalKeyPicked","Approval key picked.","Approval key picked.","needs-review"
"quantumroot.popup.approvalKeySelected","Approval key selected","Approval key selected","needs-review"
"quantumroot.popup.approvalLane","Approval lane","Approval lane","needs-review"
"quantumroot.popup.approvalLaneDescription","Your approval key goes to Quantum Lock.","Your approval key goes to Quantum Lock.","needs-review"
"quantumroot.popup.available","{count} available","{count} available","needs-review"
"quantumroot.popup.availableApprovalKeys","Available approval keys","Available approval keys","needs-review"
"quantumroot.popup.bchRecoveryDescription","BCH recovery sends back to the matching standard wallet address for this vault index when available.","BCH recovery sends back to the matching standard wallet address for this vault index when available.","needs-review"
"quantumroot.popup.bchRecoveryDisabled","BCH recovery is temporarily disabled until the on-chain receive-script validation issue is resolved.","BCH recovery is temporarily disabled until the on-chain receive-script validation issue is resolved.","needs-review"
"quantumroot.popup.block.approvalPending","Send one approval key to Quantum Lock.","Send one approval key to Quantum Lock.","needs-review"
"quantumroot.popup.block.inactiveNetwork","Quantumroot spending is disabled on this network.","Quantumroot spending is disabled on this network.","needs-review"
"quantumroot.popup.block.noDestination","Choose a destination address before spending.","Choose a destination address before spending.","needs-review"
"quantumroot.popup.block.noFamily","Create or receive a plain NFT first. It becomes your approval key.","Create or receive a plain NFT first. It becomes your approval key.","needs-review"
"quantumroot.popup.block.pickFamily","Choose one plain NFT to use as the approval key.","Choose one plain NFT to use as the approval key.","needs-review"
"quantumroot.popup.block.receivePending","Send the matching receive coin to the normal lane.","Send the matching receive coin to the normal lane.","needs-review"
"quantumroot.popup.block.staleInventory","Your selected approval key is not visible right now. Refresh the vault or choose another key.","Your selected approval key is not visible right now. Refresh the vault or choose another key.","needs-review"
"quantumroot.popup.broadcastWarning","This will broadcast after confirmation.","This will broadcast after confirmation.","needs-review"
"quantumroot.popup.category","Category:","Category:","needs-review"
"quantumroot.popup.chooseApprovalKey","Choose approval key","Choose approval key","needs-review"
"quantumroot.popup.chooseApprovalKeyDescription","Quantumroot uses one plain NFT as the approval key. Advanced token tools live in CashTokens.","Quantumroot uses one plain NFT as the approval key. Advanced token tools live in CashTokens.","needs-review"
"quantumroot.popup.chooseOneApproval","Choose one approval key to continue.","Choose one approval key to continue.","needs-review"
"quantumroot.popup.commitment","Commitment:","Commitment:","needs-review"
"quantumroot.popup.completeSteps","Complete the approval key and matching receive coin steps before spending.","Complete the approval key and matching receive coin steps before spending.","needs-review"
"quantumroot.popup.confirmed","Confirmed","Confirmed","needs-review"
"quantumroot.popup.copyDestination","Copy destination","Copy destination","needs-review"
"quantumroot.popup.copyOrScanFund","Copy or scan to fund this vault.","Copy or scan to fund this vault.","needs-review"
"quantumroot.popup.copyQuantumLock","Copy Quantum Lock","Copy Quantum Lock","needs-review"
"quantumroot.popup.copyReceiveAddress","Copy receive address","Copy receive address","needs-review"
"quantumroot.popup.copyRecoveryAddress","Copy recovery address","Copy recovery address","needs-review"
"quantumroot.popup.createOrReceive","Create or receive a plain NFT first, then it will appear here as an approval key you can choose.","Create or receive a plain NFT first, then it will appear here as an approval key you can choose.","needs-review"
"quantumroot.popup.destination","Destination","Destination","needs-review"
"quantumroot.popup.destinationAddress","Destination address","Destination address","needs-review"
"quantumroot.popup.done","Done","Done","needs-review"
"quantumroot.popup.empty","empty","empty","needs-review"
"quantumroot.popup.found","{count} found","{count} found","needs-review"
"quantumroot.popup.fundMatchingReceive","Fund matching receive coin","Fund matching receive coin","needs-review"
"quantumroot.popup.fundMatchingReceiveDescription","Open the send screen prefilled to the vault receive address with the same approval key.","Open the send screen prefilled to the vault receive address with the same approval key.","needs-review"
"quantumroot.popup.helpShortcuts","Help and shortcuts","Help and shortcuts","needs-review"
"quantumroot.popup.inQuantumLock","{count} in Quantum Lock","{count} in Quantum Lock","needs-review"
"quantumroot.popup.inWallet","{count} in wallet","{count} in wallet","needs-review"
"quantumroot.popup.locked","{count} locked","{count} locked","needs-review"
"quantumroot.popup.mainnetDisabled","Mainnet Quantumroot uses the same UI as Chipnet, but the spend, recovery, and token-configuration actions remain disabled until activation on {date}.","Mainnet Quantumroot uses the same UI as Chipnet, but the spend, recovery, and token-configuration actions remain disabled until activation on {date}.","needs-review"
"quantumroot.popup.mintingNft","Minting NFT","Minting NFT","needs-review"
"quantumroot.popup.missing","Missing","Missing","needs-review"
"quantumroot.popup.mutableNft","Mutable NFT","Mutable NFT","needs-review"
"quantumroot.popup.needed","Needed","Needed","needs-review"
"quantumroot.popup.neededLater","Needed later","Needed later","needs-review"
