"key","English (en)","Spanish (es)","Status"
"outbox.destination","Destination","Destino","stable-term"
"outbox.dismiss","Dismiss","Descartar","translated"
"outbox.dismissPending","Dismiss pending transactions popup","Descartar ventana de transacciones pendientes","translated"
"outbox.finalizing","Finalizing transaction","Finalizando transacción","translated"
"outbox.finalizingMultiple","Finalizing {count} transactions","Finalizando {count} transacciones","translated"
"outbox.historyUpdate","Your wallet history will update automatically. This usually takes a moment.","El historial de tu billetera se actualizará automáticamente. Normalmente tarda un momento.","translated"
"outbox.hoursAgo","{count}h ago","hace {count} h","translated"
"outbox.justNow","just now","ahora mismo","translated"
"outbox.lastNetworkIssue","Last network issue","Último problema de red","translated"
"outbox.minutesAgo","{count}m ago","hace {count} min","translated"
"outbox.noPending","No pending outgoing transactions.","No hay transacciones salientes pendientes.","translated"
"outbox.pendingOutgoing","Pending outgoing transactions","Transacciones salientes pendientes","translated"
"outbox.prompt","Prompt","Solicitud","translated"
"outbox.releaseSendLock","Release send lock","Liberar bloqueo de envío","translated"
"outbox.releaseStale","Release if stale","Liberar si está obsoleta","translated"
"outbox.releaseStaleTitle","Available after {minutes} minutes if the transaction is still unresolved","Disponible después de {minutes} minutos si la transacción sigue sin resolverse","translated"
"outbox.requestedBy","Requested by","Solicitada por","translated"
"outbox.title","Outbox","Bandeja de salida","translated"
"outbox.txid","Txid","Txid","stable-term"
"outbox.updated","Updated {age}","Actualizada {age}","translated"
"outbox.walletSend","Wallet send","Envío de la billetera","translated"
"p2p.description","No server: peers meet on Nostr relays over Tor, deterministically elect a coordinator, and run the CoinJoin peer-to-peer. Outputs are unlinkable; you sign only your own inputs after verifying your own outputs.","Sin servidor: los pares se encuentran en relays Nostr mediante Tor, eligen un coordinador de forma determinista y ejecutan CoinJoin entre pares. Las salidas no se pueden vincular; solo firmas tus propias entradas después de verificar tus propias salidas.","translated"
"p2p.phase.announce","Announcing & finding peers","Anunciando y buscando pares","translated"
"p2p.phase.assemble","Assembling & verifying","Ensamblando y verificando","translated"
"p2p.phase.broadcast","Broadcasting","Transmitiendo","translated"
"p2p.phase.register","Registering inputs & outputs","Registrando entradas y salidas","translated"
"p2p.phase.sign","Signing","Firmando","translated"
"p2p.requiresPeers","Requires Tor + at least 2 peers in the same tier.","Requiere Tor y al menos 2 pares en el mismo nivel.","translated"
"p2p.running","Running P2P round…","Ejecutando ronda P2P…","translated"
"p2p.start","Start P2P round","Iniciar ronda P2P","translated"
"p2p.title","P2P Fusion over Nostr","Fusión P2P sobre Nostr","translated"
"paper.addressConversionError","Address conversion error","Error de conversión de dirección","translated"
"paper.addressDerivationFailed","Unable to derive a valid paper wallet address from the scanned key.","No se pudo derivar una dirección válida de billetera de papel a partir de la clave escaneada.","translated"
"paper.back","Back","Atrás","translated"
"paper.bchOutputs","BCH outputs","Salidas BCH","translated"
"paper.buildFailed","Failed to build sweep transaction.","No se pudo construir la transacción de barrido.","translated"
"paper.confirmDescription","Slide to confirm the one-transaction paper wallet sweep.","Desliza para confirmar el barrido de la billetera de papel en una sola transacción.","translated"
"paper.confirmTitle","Confirm sweep","Confirmar barrido","translated"
"paper.decodingError","Decoding error","Error de decodificación","translated"
"paper.description","Scan a WIF paper wallet and sweep BCH + CashTokens in one transaction.","Escanea una billetera de papel WIF y barre BCH + CashTokens en una transacción.","translated"
"paper.label","Paper wallet","Billetera de papel","translated"
"paper.noCashTokens","No CashTokens detected.","No se detectaron CashTokens.","translated"
"paper.noDestination","No destination wallet address is available.","No hay una dirección de destino disponible.","translated"
"paper.noQrCode","No QR code detected. Please try again.","No se detectó ningún código QR. Inténtalo de nuevo.","translated"
"paper.notScanned","No paper wallet scanned yet.","Aún no se ha escaneado ninguna billetera de papel.","translated"
"paper.noUtxos","No UTXOs found for this paper wallet. If this is a mainnet wallet and you are on chipnet, try switching networks.","No se encontraron UTXO para esta billetera de papel. Si es una billetera de mainnet y estás en chipnet, intenta cambiar de red.","translated"
"paper.oneTransaction","One transaction only.","Una sola transacción.","translated"
"paper.paperInputs","Paper wallet inputs","Entradas de la billetera de papel","translated"
"paper.scan","Scan","Escanear","translated"
"paper.scanBeforeSweep","Scan a paper wallet before sweeping.","Escanea una billetera de papel antes de barrerla.","translated"
"paper.spendableOutputPlural","spendable outputs","salidas gastables","translated"
"paper.spendableOutputSingular","spendable output","salida gastable","translated"
"paper.sweep","Sweep","Barrer","translated"
"paper.sweepBroadcast","Sweep broadcast","Barrido transmitido","translated"
"paper.title","Paper Wallet","Billetera de papel","translated"
"paper.tokenBacking","Token outputs are backed with 1000 sats.","Las salidas de tokens están respaldadas con 1000 sats.","translated"
"paper.tokenGroups","Token groups","Grupos de tokens","translated"
"paper.tokenOutputs","Token outputs","Salidas de tokens","translated"
"paper.unexpected","An unexpected error occurred.","Ocurrió un error inesperado.","translated"
"paper.unexpectedTryAgain","An unexpected error occurred. Please try again.","Ocurrió un error inesperado. Inténtalo de nuevo.","translated"
"paper.utxosTitle","Paper wallet UTXOs","UTXO de la billetera de papel","translated"
"paper.walletFeeInputs","Wallet fee inputs","Entradas de comisión de la billetera","translated"
"priceFeed.loading","Loading…","Cargando…","translated"
"qr.animatedTransfer","Animated QR transfer","Transferencia QR animada","translated"
"qr.blocksRecovered","blocks recovered","bloques recuperados","translated"
"qr.cameraActive","Camera active — point at animated QR","Cámara activa — apunta al QR animado","translated"
"qr.cameraError","Camera unavailable","Cámara no disponible","translated"
"qr.cameraUnavailable","Camera access is unavailable","El acceso a la cámara no está disponible","translated"
"qr.cancel","Cancel","Cancelar","translated"
"qr.duplicates","duplicates","duplicados","translated"
"qr.holdSteady","Hold the phone steady and fill the frame with the QR code.","Mantén el teléfono estable y llena el cuadro con el código QR.","translated"
"qr.receivingStream","Receiving QR stream","Recibiendo flujo QR","translated"
"qr.scan","Scan QR","Escanear QR","translated"
"qr.scanning","Scanning…","Escaneando…","translated"
"qr.streaming","Streaming frame {frame} · {blocks} blocks · {bytes} bytes","Transmitiendo marco {frame} · {blocks} bloques · {bytes} bytes","translated"
"qr.unableToDecode","Unable to decode QR stream","No se pudo decodificar el flujo QR","translated"
"qr.uniqueFrames","unique frames","marcos únicos","translated"
"qr.walletUpdateProgress","Wallet update progress","Progreso de actualización de la billetera","translated"
"qrSigning.approvedBy","Approved by {name}","Aprobada por {name}","translated"
"qrSigning.approveDemo","Approve demo request","Aprobar solicitud de demo","translated"
"qrSigning.approveReturn","2. Approve and return","2. Aprobar y devolver","translated"
"qrSigning.close","Close","Cerrar","translated"
"qrSigning.collectResponse","2. Collect response","2. Recopilar respuesta","translated"
"qrSigning.fingerprint","Fingerprint","Huella","translated"
"qrSigning.invalidRequest","Invalid signing request","Solicitud de firma no válida","translated"
"qrSigning.invalidResponse","Invalid signing response","Respuesta de firma no válida","translated"
"qrSigning.mismatch","Signing response does not match this request","La respuesta de firma no coincide con esta solicitud","translated"
"qrSigning.network","Network","Red","translated"
"qrSigning.payload","Payload","Carga útil","translated"
"qrSigning.placeholderWarning","This demo returns a placeholder signature and never broadcasts.","Esta demo devuelve una firma de marcador y nunca transmite la transacción.","translated"
"qrSigning.prepareFailed","Unable to prepare mocknet fixture","No se pudo preparar el fixture de mocknet","translated"
"qrSigning.preparing","Preparing mocknet fixture…","Preparando fixture de mocknet…","translated"
"qrSigning.purpose","Purpose","Propósito","translated"
"qrSigning.rejectedBy","Rejected by {name}","Rechazada por {name}","translated"
"qrSigning.requestReceived","Request received","Solicitud recibida","translated"
"qrSigning.requestSignature","Request signature","Solicitar firma","translated"
"qrSigning.scanAnother","Scan another request","Escanear otra solicitud","translated"
"qrSigning.scanApproval","Scan approval response","Escanear respuesta de aprobación","translated"
"qrSigning.scanRequest","1. Scan request","1. Escanear solicitud","translated"
"qrSigning.showRequest","1. Show request","1. Mostrar solicitud","translated"
"qrSigning.showRequestHelp","On the other wallet, choose “Sign request” and scan this stream.","En la otra billetera, elige «Firmar solicitud» y escanea este flujo.","translated"
"qrSigning.signRequest","Sign request","Firmar solicitud","translated"
"qrSigning.subtitle","Exchange a partially signed transaction between two OPTN wallet screens.","Intercambia una transacción parcialmente firmada entre dos pantallas de OPTN Wallet.","translated"
"qrSigning.title","QR signing demo","Demo de firma QR","translated"
"quantumroot.activeNetwork","Quantumroot is active on this network. Use the vault workspace below to manage a normal spend lane and a quantum-safe recovery lane.","Quantumroot está activo en esta red. Usa el espacio de bóvedas para gestionar una vía de gasto normal y una vía de recuperación resistente a la computación cuántica.","translated"
"quantumroot.activeWorkspace","Active workspace for the beta-production Quantumroot flow.","Espacio activo para el flujo de Quantumroot en beta de producción.","translated"
"quantumroot.back","Back","Atrás","translated"
"quantumroot.betaProduction","Beta production","Beta de producción","translated"
"quantumroot.betaTitle","Quantumroot Beta Production","Beta de producción de Quantumroot","translated"
"quantumroot.checkingBalances","Checking balances…","Comprobando saldos…","translated"
"quantumroot.close","Close","Cerrar","translated"
"quantumroot.funded","{count} funded","{count} financiadas","translated"
"quantumroot.fundedStatus","Funded","Financiada","translated"
"quantumroot.guidedNow","Guided now: choose one approval key, lock it in Quantum Lock, then spend the matching coin.","Guiado ahora: elige una clave de aprobación, bloquéala en Quantum Lock y gasta la moneda correspondiente.","translated"
"quantumroot.liveNow","Live now: normal spending, balance tracking, and Quantum Lock BCH recovery.","Disponible ahora: gasto normal, seguimiento de saldo y recuperación BCH de Quantum Lock.","translated"
"quantumroot.livePreview","Live preview","Vista previa activa","translated"
"quantumroot.mainnetAhead","Quantumroot is visible on mainnet ahead of activation. The layout stays available, but key actions remain disabled until {date}.","Quantumroot está visible en Mainnet antes de la activación. El diseño permanece disponible, pero las acciones clave estarán desactivadas hasta {date}.","translated"
"quantumroot.mainnetPreview","Mainnet preview stays visible before activation.","La vista previa de Mainnet permanece visible antes de la activación.","translated"
"quantumroot.noFundsYet","No funds yet","Aún no hay fondos","translated"
"quantumroot.noVaults","No Quantumroot vaults derived yet. Sync vaults to provision them for existing wallet address indexes.","Aún no se han derivado bóvedas Quantumroot. Sincroniza las bóvedas para aprovisionarlas para los índices de direcciones existentes.","translated"
"quantumroot.openVaults","Open Vaults","Abrir bóvedas","translated"
"quantumroot.popup.action.chooseCoinLabel","Choose coin to spend","Elegir moneda para gastar","translated"
"quantumroot.popup.action.chooseDescription","Choose one approval key for this vault.","Elige una clave de aprobación para esta bóveda.","translated"
"quantumroot.popup.action.chooseLabel","Choose approval key","Elegir clave de aprobación","translated"
"quantumroot.popup.action.chooseTitle","Choose an approval key","Elegir una clave de aprobación","translated"
"quantumroot.popup.action.createDescription","Create or receive a plain NFT first, then use it as the approval key.","Crea o recibe primero un NFT simple y úsalo como clave de aprobación.","translated"
"quantumroot.popup.action.createTitle","Create an approval key","Crear una clave de aprobación","translated"
"quantumroot.popup.action.destinationDescription","Choose where the coin should go, then open the spend list.","Elige adónde debe ir la moneda y abre la lista de gastos.","translated"
"quantumroot.popup.action.destinationLabel","Set destination","Establecer destino","translated"
"quantumroot.popup.action.destinationTitle","Choose a destination","Elegir un destino","translated"
"quantumroot.popup.action.disabledDescription","The spend list is ready, but spending is disabled on this network.","La lista de gastos está lista, pero gastar está desactivado en esta red.","translated"
"quantumroot.popup.action.readyDescription","Tap a ready coin to spend it.","Toca una moneda lista para gastarla.","translated"
"quantumroot.popup.action.readyTitle","Ready to spend","Listo para gastar","translated"
"quantumroot.popup.action.receiveDescription","Send the matching receive coin to the normal lane.","Envía la moneda de recepción correspondiente a la vía normal.","translated"
"quantumroot.popup.action.receiveLabel","Add receive coin","Añadir moneda de recepción","translated"
"quantumroot.popup.action.receiveTitle","Add the matching receive coin","Añadir la moneda de recepción correspondiente","translated"
"quantumroot.popup.action.refreshDescription","Refresh the wallet scan or choose another approval key.","Actualiza el escaneo de la billetera o elige otra clave de aprobación.","translated"
"quantumroot.popup.action.refreshLabel","Refresh vault","Actualizar bóveda","translated"
"quantumroot.popup.action.refreshTitle","Refresh the vault","Actualizar la bóveda","translated"
"quantumroot.popup.action.reviewLabel","Review spend","Revisar gasto","translated"
"quantumroot.popup.action.sendDescription","Send the approval key to Quantum Lock.","Envía la clave de aprobación a Quantum Lock.","translated"
"quantumroot.popup.action.sendLabel","Send approval key","Enviar clave de aprobación","translated"
"quantumroot.popup.action.sendTitle","Send the approval key","Enviar la clave de aprobación","translated"
"quantumroot.popup.addDestinationReview","Add a destination, then review spend.","Añade un destino y revisa el gasto.","translated"
"quantumroot.popup.addMatchingCoin","Add the matching coin to unlock spend.","Añade la moneda correspondiente para desbloquear el gasto.","translated"
"quantumroot.popup.advanced","Advanced","Avanzado","translated"
"quantumroot.popup.advancedRecovery","Advanced recovery","Recuperación avanzada","translated"
"quantumroot.popup.advancedRecoveryDescription","Recover regular BCH, recover Quantum Lock funds, or refresh vault status.","Recupera BCH normal, recupera fondos de Quantum Lock o actualiza el estado de la bóveda.","translated"
"quantumroot.popup.approvalKey","Approval key","Clave de aprobación","translated"
"quantumroot.popup.approvalKeyCapability","Approval key","Clave de aprobación","translated"
"quantumroot.popup.approvalKeyChanged","Approval key changed on chain","La clave de aprobación cambió en la cadena","translated"
"quantumroot.popup.approvalKeyInLock","Approval key is in Quantum Lock.","La clave está en Quantum Lock.","translated"
"quantumroot.popup.approvalKeyInQuantumLock","Your approval key is in Quantum Lock.","Tu clave de aprobación está en Quantum Lock.","translated"
"quantumroot.popup.approvalKeyPicked","Approval key picked.","Clave de aprobación elegida.","translated"
"quantumroot.popup.approvalKeySelected","Approval key selected","Clave de aprobación seleccionada","translated"
"quantumroot.popup.approvalLane","Approval lane","Vía de aprobación","translated"
"quantumroot.popup.approvalLaneDescription","Your approval key goes to Quantum Lock.","La clave de aprobación va a Quantum Lock.","translated"
"quantumroot.popup.available","{count} available","{count} disponible(s)","translated"
"quantumroot.popup.availableApprovalKeys","Available approval keys","Claves de aprobación disponibles","translated"
"quantumroot.popup.bchRecoveryDescription","BCH recovery sends back to the matching standard wallet address for this vault index when available.","La recuperación de BCH devuelve los fondos a la dirección estándar correspondiente al índice de esta bóveda cuando está disponible.","translated"
"quantumroot.popup.bchRecoveryDisabled","BCH recovery is temporarily disabled until the on-chain receive-script validation issue is resolved.","La recuperación de BCH está desactivada temporalmente hasta resolver el problema de validación del script de recepción en la cadena.","translated"
"quantumroot.popup.block.approvalPending","Send one approval key to Quantum Lock.","Envía una clave de aprobación a Quantum Lock.","translated"
"quantumroot.popup.block.inactiveNetwork","Quantumroot spending is disabled on this network.","El gasto de Quantumroot está desactivado en esta red.","translated"
"quantumroot.popup.block.noDestination","Choose a destination address before spending.","Elige una dirección de destino antes de gastar.","translated"
"quantumroot.popup.block.noFamily","Create or receive a plain NFT first. It becomes your approval key.","Crea o recibe primero un NFT simple. Será tu clave de aprobación.","translated"
"quantumroot.popup.block.pickFamily","Choose one plain NFT to use as the approval key.","Elige un NFT simple para usarlo como clave de aprobación.","translated"
"quantumroot.popup.block.receivePending","Send the matching receive coin to the normal lane.","Envía la moneda de recepción correspondiente a la vía normal.","translated"
"quantumroot.popup.block.staleInventory","Your selected approval key is not visible right now. Refresh the vault or choose another key.","La clave de aprobación seleccionada no está visible ahora. Actualiza la bóveda o elige otra clave.","translated"
"quantumroot.popup.broadcastWarning","This will broadcast after confirmation.","Esto se transmitirá después de la confirmación.","translated"
"quantumroot.popup.category","Category:","Categoría:","translated"
"quantumroot.popup.chooseApprovalKey","Choose approval key","Elegir clave de aprobación","translated"
"quantumroot.popup.chooseApprovalKeyDescription","Quantumroot uses one plain NFT as the approval key. Advanced token tools live in CashTokens.","Quantumroot usa un NFT simple como clave de aprobación. Las herramientas avanzadas de tokens están en CashTokens.","translated"
"quantumroot.popup.chooseOneApproval","Choose one approval key to continue.","Elige una clave de aprobación para continuar.","translated"
"quantumroot.popup.commitment","Commitment:","Compromiso:","translated"
"quantumroot.popup.completeSteps","Complete the approval key and matching receive coin steps before spending.","Completa los pasos de la clave de aprobación y la moneda de recepción antes de gastar.","translated"
"quantumroot.popup.confirmed","Confirmed","Confirmado","translated"
"quantumroot.popup.copyDestination","Copy destination","Copiar destino","translated"
"quantumroot.popup.copyOrScanFund","Copy or scan to fund this vault.","Copia o escanea para financiar esta bóveda.","translated"
"quantumroot.popup.copyQuantumLock","Copy Quantum Lock","Copiar Quantum Lock","translated"
"quantumroot.popup.copyReceiveAddress","Copy receive address","Copiar dirección de recepción","translated"
"quantumroot.popup.copyRecoveryAddress","Copy recovery address","Copiar dirección de recuperación","translated"
"quantumroot.popup.createOrReceive","Create or receive a plain NFT first, then it will appear here as an approval key you can choose.","Crea o recibe primero un NFT simple; aparecerá aquí para que puedas elegirlo como clave de aprobación.","translated"
"quantumroot.popup.destination","Destination","Destino","translated"
"quantumroot.popup.destinationAddress","Destination address","Dirección de destino","translated"
"quantumroot.popup.done","Done","Listo","translated"
"quantumroot.popup.empty","empty","vacío","translated"
"quantumroot.popup.found","{count} found","{count} encontrada(s)","translated"
"quantumroot.popup.fundMatchingReceive","Fund matching receive coin","Financiar moneda de recepción correspondiente","translated"
"quantumroot.popup.fundMatchingReceiveDescription","Open the send screen prefilled to the vault receive address with the same approval key.","Abre el envío preparado a la dirección de recepción de la bóveda con la misma clave de aprobación.","translated"
"quantumroot.popup.helpShortcuts","Help and shortcuts","Ayuda y accesos directos","translated"
"quantumroot.popup.inQuantumLock","{count} in Quantum Lock","{count} en Quantum Lock","translated"
"quantumroot.popup.inWallet","{count} in wallet","{count} en la billetera","translated"
"quantumroot.popup.locked","{count} locked","{count} bloqueado(s)","translated"
"quantumroot.popup.mainnetDisabled","Mainnet Quantumroot uses the same UI as Chipnet, but the spend, recovery, and token-configuration actions remain disabled until activation on {date}.","Quantumroot en Mainnet usa la misma interfaz que Chipnet, pero las acciones de gasto, recuperación y configuración de tokens permanecen desactivadas hasta la activación el {date}.","translated"
"quantumroot.popup.mintingNft","Minting NFT","NFT de acuñación","translated"
"quantumroot.popup.missing","Missing","Falta","translated"
"quantumroot.popup.mutableNft","Mutable NFT","NFT mutable","translated"
"quantumroot.popup.needed","Needed","Necesario","translated"
"quantumroot.popup.neededLater","Needed later","Necesario después","translated"
"quantumroot.popup.nextStep","Next step","Siguiente paso","translated"
"quantumroot.popup.noApprovalKey","No approval key","No hay clave de aprobación","translated"
"quantumroot.popup.noDestination","No destination set","No se ha establecido ningún destino","translated"
"quantumroot.popup.noReadyCoin","No ready coin is available yet. After the approval key and the matching receive coin are present, spendable coins appear here.","Aún no hay una moneda lista. Cuando estén presentes la clave de aprobación y la moneda de recepción correspondiente, aquí aparecerán las monedas gastables.","translated"
"quantumroot.popup.normalLane","Normal vault lane","Vía de bóveda normal","translated"
"quantumroot.popup.normalLaneDescription","Your BCH and matching receive coin go here.","Aquí van tu BCH y la moneda de recepción correspondiente.","translated"
"quantumroot.popup.normalLanePending","Add the matching receive coin after the approval key is in Quantum Lock.","Añade la moneda de recepción correspondiente después de enviar la clave de aprobación a Quantum Lock.","translated"
"quantumroot.popup.normalLaneReady","Your normal lane is ready.","La vía normal está lista.","translated"
"quantumroot.popup.noStandardAddress","No standard wallet address available","No hay una dirección estándar de la billetera disponible","translated"
"quantumroot.popup.openCashTokens","Open CashTokens","Abrir CashTokens","translated"
"quantumroot.popup.openReceiveScreen","Open receive screen","Abrir pantalla de recepción","translated"
"quantumroot.popup.otherNft","Other NFT","Otro NFT","translated"
"quantumroot.popup.otherNftDescription","It sits in Quantum Lock, but it is not the selected approval key. No direct withdrawal path exists yet.","Está en Quantum Lock, pero no es la clave de aprobación seleccionada. Aún no existe una ruta de retiro directa.","translated"
"quantumroot.popup.otherNftInQuantumLock","Other NFT in Quantum Lock","Otro NFT en Quantum Lock","translated"
"quantumroot.popup.otherNfts","{count} other NFT(s)","{count} NFT adicional(es)","translated"
"quantumroot.popup.outpoint","Outpoint","Outpoint","stable-term"
"quantumroot.popup.pending","Pending","Pendiente","translated"
"quantumroot.popup.pendingCoin","Pending coin","Moneda pendiente","translated"
"quantumroot.popup.pickApprovalKey","Pick one approval key.","Elige una clave de aprobación.","translated"
"quantumroot.popup.plainBchCoins","{count} plain BCH coin(s)","{count} moneda(s) BCH simple(s)","translated"
"quantumroot.popup.plainBchDescription","Use this for plain BCH coins. Protected coins stay in the lanes above.","Usa esto para monedas BCH simples. Las monedas protegidas permanecen en las vías superiores.","translated"
"quantumroot.popup.previewOnly","Preview only on mainnet until activation.","Solo vista previa en Mainnet hasta la activación.","translated"
"quantumroot.popup.protectedReceiveCount","Coins already handled by Protected spend: {count}","Monedas ya gestionadas por Gasto protegido: {count}","translated"
"quantumroot.popup.protectedSpend","Protected spend","Gasto protegido","translated"
"quantumroot.popup.protectedSpendDescription","When the approval key and matching receive coin are present, spending opens here.","Cuando estén presentes la clave de aprobación y la moneda de recepción correspondiente, el gasto se abrirá aquí.","translated"
"quantumroot.popup.quantumLock","Quantum Lock","Quantum Lock","stable-term"
"quantumroot.popup.quantumLockBch","Quantum Lock BCH","BCH de Quantum Lock","translated"
"quantumroot.popup.quantumLockRecovery","Quantum Lock recovery","Recuperación de Quantum Lock","translated"
"quantumroot.popup.quantumLockRecoveryCount","Quantum Lock recovery coins: {count}","Monedas de recuperación de Quantum Lock: {count}","translated"
"quantumroot.popup.quantumrootOpens","Quantumroot opens once the approval key sits in Quantum Lock and the matching receive coin sits in the normal lane.","Quantumroot se abre cuando la clave de aprobación esté en Quantum Lock y la moneda de recepción correspondiente esté en la vía normal.","translated"
"quantumroot.popup.ready","Ready","Listo","translated"
"quantumroot.popup.readyCoin","Ready coin","Moneda lista","translated"
"quantumroot.popup.readyCoinAvailable","Ready coin available.","Hay una moneda lista.","translated"
"quantumroot.popup.readyCoins","{count} ready coin(s)","{count} moneda(s) lista(s)","translated"
"quantumroot.popup.receiveAddress","Receive address","Dirección de recepción","translated"
"quantumroot.popup.receiveBch","Receive BCH","Recibir BCH","translated"
"quantumroot.popup.recover","Recover","Recuperar","translated"
"quantumroot.popup.recoverableBchCoins","Recoverable BCH coins","Monedas BCH recuperables","translated"
"quantumroot.popup.recoverableBchCount","Recoverable BCH coins: {count}","Monedas BCH recuperables: {count}","translated"
"quantumroot.popup.recovering","Recovering…","Recuperando…","translated"
"quantumroot.popup.recoverRegularBch","Recover regular BCH","Recuperar BCH normal","translated"
"quantumroot.popup.refresh","Refresh","Actualizar","translated"
"quantumroot.popup.refreshChooseAnother","Refresh the vault or choose another approval key.","Actualiza la bóveda o elige otra clave de aprobación.","translated"
"quantumroot.popup.refreshVault","Refresh vault","Actualizar bóveda","translated"
"quantumroot.popup.refreshVaultStatus","Refresh vault status","Actualizar estado de la bóveda","translated"
"quantumroot.popup.reviewDestination","Review the destination before broadcasting.","Revisa el destino antes de transmitir.","translated"
"quantumroot.popup.reviewSpend","Review spend","Revisar gasto","translated"
"quantumroot.popup.reviewSpendSubtitle","Check the destination, approval key, and ready coin before you broadcast.","Comprueba el destino, la clave de aprobación y la moneda lista antes de transmitir.","translated"
"quantumroot.popup.reviewSpendTitle","Review spend","Revisar gasto","translated"
"quantumroot.popup.saveApprovalKey","Save approval key","Guardar clave de aprobación","translated"
"quantumroot.popup.saving","Saving…","Guardando…","translated"
"quantumroot.popup.selectedApprovalKey","Selected approval key","Clave de aprobación seleccionada","translated"
"quantumroot.popup.selectedAsApproval","Selected as approval key","Seleccionada como clave de aprobación","translated"
"quantumroot.popup.sendApprovalHere","Send the approval key here.","Envía aquí la clave de aprobación.","translated"
"quantumroot.popup.sendApprovalKey","Send approval key","Enviar clave de aprobación","translated"
"quantumroot.popup.sendApprovalKeyDescription","Open the send screen prefilled to Quantum Lock with the selected approval key.","Abre el envío preparado a Quantum Lock con la clave de aprobación seleccionada.","translated"
"quantumroot.popup.sendApprovalKeyToLock","Send the approval key to Quantum Lock.","Envía la clave a Quantum Lock.","translated"
"quantumroot.popup.sendSelectedApprovalKey","Send the selected approval key to Quantum Lock.","Envía la clave seleccionada a Quantum Lock.","translated"
"quantumroot.popup.spend","Spend","Gastar","translated"
"quantumroot.popup.spendDestination","Spend destination","Destino del gasto","translated"
"quantumroot.popup.spending","Spending…","Gastando…","translated"
"quantumroot.popup.sweepBch","Sweep BCH coins ({count})","Barrer monedas BCH ({count})","translated"
"quantumroot.popup.sweeping","Sweeping…","Barriendo…","translated"
"quantumroot.popup.tapToOpen","Tap to open","Toca para abrir","translated"
"quantumroot.popup.unsupportedQuantumLock","Coins in Quantum Lock that belong to Protected spend are handled above; this recovery list only includes plain BCH coins.","Las monedas de Quantum Lock que pertenecen a Gasto protegido se gestionan arriba; esta lista de recuperación solo incluye monedas BCH simples.","translated"
"quantumroot.popup.unsupportedReceive","Coins with an approval key stay in Protected spend; this recovery list only includes plain BCH coins.","Las monedas con una clave de aprobación permanecen en Gasto protegido; esta lista de recuperación solo incluye monedas BCH simples.","translated"
"quantumroot.popup.useRecoveryAddress","Use wallet recovery address","Usar la dirección de recuperación de la billetera","translated"
"quantumroot.popup.vaultSetup","Vault setup","Configuración de la bóveda","translated"
"quantumroot.popup.vaultSetupDescription","Copy addresses and choose the approval key.","Copia las direcciones y elige la clave de aprobación.","translated"
"quantumroot.popup.waiting","Waiting","Esperando","translated"
"quantumroot.popup.walletRecoveryAddress","Wallet recovery address","Dirección de recuperación de la billetera","translated"
"quantumroot.readyToRecover","{count} ready to recover","{count} listas para recuperar","translated"
"quantumroot.refreshing","Refreshing balances and UTXO status. Vaults remain available while sync completes.","Actualizando saldos y estado de UTXO. Las bóvedas seguirán disponibles mientras termina la sincronización.","translated"
"quantumroot.subtitle","Two spending lanes in one vault","Dos vías de gasto en una bóveda","translated"
"quantumroot.syncingVaults","Syncing Vaults…","Sincronizando bóvedas…","translated"
"quantumroot.syncVaults","Sync Vaults","Sincronizar bóvedas","translated"
"quantumroot.toast.approvalKeyMissing","This approval key is no longer visible. Refresh the vault or choose another key.","Esta clave de aprobación ya no está visible. Actualiza la bóveda o elige otra clave.","translated"
"quantumroot.toast.authorizedBroadcast","Quantumroot authorized spend broadcast: {txid}","Gasto autorizado de Quantumroot transmitido: {txid}","translated"
"quantumroot.toast.authorizedFailed","Quantumroot authorized spend failed: {message}","Falló el gasto autorizado de Quantumroot: {message}","translated"
"quantumroot.toast.broadcastAuthorizedFailed","Failed to broadcast Quantumroot authorized spend.","No se pudo transmitir el gasto autorizado de Quantumroot.","translated"
"quantumroot.toast.broadcastLockRecoveryFailed","Failed to broadcast Quantum Lock recovery.","No se pudo transmitir la recuperación de Quantum Lock.","translated"
"quantumroot.toast.broadcastSpendFailed","Failed to broadcast Quantumroot spend.","No se pudo transmitir el gasto de Quantumroot.","translated"
"quantumroot.toast.broadcastSweepFailed","Failed to broadcast Quantumroot sweep.","No se pudo transmitir el barrido de Quantumroot.","translated"
"quantumroot.toast.configureFailed","Failed to configure vault: {message}","No se pudo configurar la bóveda: {message}","translated"
"quantumroot.toast.destinationRequired","Destination address is required.","La dirección de destino es obligatoria.","translated"
"quantumroot.toast.ineligibleReceiveUtxo","That receive UTXO is not eligible for authorized spend.","Ese UTXO de recepción no puede usarse para un gasto autorizado.","translated"
"quantumroot.toast.invalidTokenCategory","Token category must be 64 hexadecimal characters.","La categoría del token debe tener 64 caracteres hexadecimales.","translated"
"quantumroot.toast.lockRecoveryBroadcast","Quantum Lock recovery broadcast: {txid}","Recuperación de Quantum Lock transmitida: {txid}","translated"
"quantumroot.toast.lockRecoveryFailed","Quantum Lock recovery failed: {message}","Falló la recuperación de Quantum Lock: {message}","translated"
"quantumroot.toast.noBchUtxos","No BCH-only receive UTXOs available to sweep.","No hay UTXO de recepción solo BCH para barrer.","translated"
"quantumroot.toast.noControlToken","No matching Quantum Lock control token is available yet.","Aún no hay un token de control coincidente en Quantum Lock.","translated"
