"key","English (en)","Japanese (ja)","Status"
"outbox.walletSend","Wallet send","ウォレット送信","translated"
"p2p.description","No server: peers meet on Nostr relays over Tor, deterministically elect a coordinator, and run the CoinJoin peer-to-peer. Outputs are unlinkable; you sign only your own inputs after verifying your own outputs.","サーバーなしで、ピアが Tor 経由で Nostr relay に集まり、決定論的にコーディネーターを選び、P2P CoinJoin を実行します。出力はリンクできず、自分の出力を確認した後に自分の入力だけに署名します。","translated"
"p2p.phase.announce","Announcing & finding peers","通知してピアを検索","translated"
"p2p.phase.assemble","Assembling & verifying","組み立てて検証","translated"
"p2p.phase.broadcast","Broadcasting","ブロードキャスト中","translated"
"p2p.phase.register","Registering inputs & outputs","入力と出力を登録","translated"
"p2p.phase.sign","Signing","署名中","translated"
"p2p.requiresPeers","Requires Tor + at least 2 peers in the same tier.","Tor と同じティアの 2 ピア以上が必要です。","translated"
"p2p.running","Running P2P round…","P2P ラウンドを実行中…","translated"
"p2p.start","Start P2P round","P2P ラウンドを開始","translated"
"p2p.title","P2P Fusion over Nostr","Nostr 上の P2P Fusion","translated"
"paper.addressConversionError","Address conversion error","アドレス変換エラー","translated"
"paper.addressDerivationFailed","Unable to derive a valid paper wallet address from the scanned key.","スキャンしたキーから有効なペーパーウォレットアドレスを導出できませんでした。","translated"
"paper.back","Back","戻る","translated"
"paper.bchOutputs","BCH outputs","BCH 出力","translated"
"paper.buildFailed","Failed to build sweep transaction.","スイープトランザクションを作成できませんでした。","translated"
"paper.confirmDescription","Slide to confirm the one-transaction paper wallet sweep.","1 件のトランザクションでペーパーウォレットをスイープするにはスライドして確認します。","translated"
"paper.confirmTitle","Confirm sweep","スイープを確認","translated"
"paper.decodingError","Decoding error","デコードエラー","translated"
"paper.description","Scan a WIF paper wallet and sweep BCH + CashTokens in one transaction.","WIF ペーパーウォレットをスキャンし、1 件のトランザクションで BCH + CashTokens をスイープします。","translated"
"paper.label","Paper wallet","ペーパーウォレット","translated"
"paper.noCashTokens","No CashTokens detected.","CashToken が見つかりません。","translated"
"paper.noDestination","No destination wallet address is available.","利用できる送付先ウォレットアドレスがありません。","translated"
"paper.noQrCode","No QR code detected. Please try again.","QR コードを検出できません。もう一度お試しください。","translated"
"paper.notScanned","No paper wallet scanned yet.","ペーパーウォレットはまだスキャンされていません。","translated"
"paper.noUtxos","No UTXOs found for this paper wallet. If this is a mainnet wallet and you are on chipnet, try switching networks.","このペーパーウォレットの UTXO が見つかりません。mainnet ウォレットで chipnet を使用している場合はネットワークを切り替えてください。","translated"
"paper.oneTransaction","One transaction only.","トランザクションは 1 件のみです。","translated"
"paper.paperInputs","Paper wallet inputs","ペーパーウォレット入力","translated"
"paper.scan","Scan","スキャン","translated"
"paper.scanBeforeSweep","Scan a paper wallet before sweeping.","スイープする前にペーパーウォレットをスキャンしてください。","translated"
"paper.spendableOutputPlural","spendable outputs","使用可能な出力","translated"
"paper.spendableOutputSingular","spendable output","使用可能な出力","translated"
"paper.sweep","Sweep","スイープ","translated"
"paper.sweepBroadcast","Sweep broadcast","スイープをブロードキャストしました","translated"
"paper.title","Paper Wallet","ペーパーウォレット","translated"
"paper.tokenBacking","Token outputs are backed with 1000 sats.","トークン出力は 1000 sats で裏付けられます。","translated"
"paper.tokenGroups","Token groups","トークングループ","translated"
"paper.tokenOutputs","Token outputs","トークン出力","translated"
"paper.unexpected","An unexpected error occurred.","予期しないエラーが発生しました。","translated"
"paper.unexpectedTryAgain","An unexpected error occurred. Please try again.","予期しないエラーが発生しました。もう一度お試しください。","translated"
"paper.utxosTitle","Paper wallet UTXOs","ペーパーウォレットの UTXO","translated"
"paper.walletFeeInputs","Wallet fee inputs","ウォレット手数料入力","translated"
"priceFeed.loading","Loading…","読み込み中…","translated"
"qr.animatedTransfer","Animated QR transfer","アニメーション QR 転送","translated"
"qr.blocksRecovered","blocks recovered","復元ブロック","translated"
"qr.cameraActive","Camera active — point at animated QR","カメラ有効 — アニメーション QR に向けてください","translated"
"qr.cameraError","Camera unavailable","カメラを利用できません","translated"
"qr.cameraUnavailable","Camera access is unavailable","カメラにアクセスできません","translated"
"qr.cancel","Cancel","キャンセル","translated"
"qr.duplicates","duplicates","重複","translated"
"qr.holdSteady","Hold the phone steady and fill the frame with the QR code.","スマートフォンを動かさず、QR コードを画面いっぱいに映してください。","translated"
"qr.receivingStream","Receiving QR stream","QR ストリームを受信中","translated"
"qr.scan","Scan QR","QR をスキャン","translated"
"qr.scanning","Scanning…","スキャン中…","translated"
"qr.streaming","Streaming frame {frame} · {blocks} blocks · {bytes} bytes","フレーム {frame} を送信中 · {blocks} ブロック · {bytes} バイト","translated"
"qr.unableToDecode","Unable to decode QR stream","QR ストリームをデコードできません","translated"
"qr.uniqueFrames","unique frames","固有フレーム","translated"
"qr.walletUpdateProgress","Wallet update progress","ウォレット更新の進捗","translated"
"qrSigning.approvedBy","Approved by {name}","{name} により承認","translated"
"qrSigning.approveDemo","Approve demo request","デモリクエストを承認","translated"
"qrSigning.approveReturn","2. Approve and return","2. 承認して戻る","translated"
"qrSigning.close","Close","閉じる","translated"
"qrSigning.collectResponse","2. Collect response","2. 応答を収集","translated"
"qrSigning.fingerprint","Fingerprint","フィンガープリント","translated"
"qrSigning.invalidRequest","Invalid signing request","無効な署名リクエスト","translated"
"qrSigning.invalidResponse","Invalid signing response","無効な署名応答","translated"
"qrSigning.mismatch","Signing response does not match this request","署名応答がこのリクエストと一致しません","translated"
"qrSigning.network","Network","ネットワーク","translated"
"qrSigning.payload","Payload","ペイロード","translated"
"qrSigning.placeholderWarning","This demo returns a placeholder signature and never broadcasts.","このデモはプレースホルダー署名を返し、ブロードキャストは行いません。","translated"
"qrSigning.prepareFailed","Unable to prepare mocknet fixture","mocknet fixture を準備できませんでした","translated"
"qrSigning.preparing","Preparing mocknet fixture…","mocknet fixture を準備中…","translated"
"qrSigning.purpose","Purpose","目的","translated"
"qrSigning.rejectedBy","Rejected by {name}","{name} により拒否","translated"
"qrSigning.requestReceived","Request received","リクエストを受信しました","translated"
"qrSigning.requestSignature","Request signature","署名を要求","translated"
"qrSigning.scanAnother","Scan another request","別のリクエストをスキャン","translated"
"qrSigning.scanApproval","Scan approval response","承認応答をスキャン","translated"
"qrSigning.scanRequest","1. Scan request","1. リクエストをスキャン","translated"
"qrSigning.showRequest","1. Show request","1. リクエストを表示","translated"
"qrSigning.showRequestHelp","On the other wallet, choose “Sign request” and scan this stream.","もう一方のウォレットで「リクエストに署名」を選び、このストリームをスキャンします。","translated"
"qrSigning.signRequest","Sign request","リクエストに署名","translated"
"qrSigning.subtitle","Exchange a partially signed transaction between two OPTN wallet screens.","2 つの OPTN Wallet 画面で部分署名済みトランザクションを交換します。","translated"
"qrSigning.title","QR signing demo","QR 署名デモ","translated"
"quantumroot.activeNetwork","Quantumroot is active on this network. Use the vault workspace below to manage a normal spend lane and a quantum-safe recovery lane.","このネットワークでは Quantumroot が有効です。下のワークスペースで通常の支出レーンと量子安全な復元レーンを管理してください。","translated"
"quantumroot.activeWorkspace","Active workspace for the beta-production Quantumroot flow.","ベータプロダクション Quantumroot フローのアクティブなワークスペースです。","translated"
"quantumroot.back","Back","戻る","translated"
"quantumroot.betaProduction","Beta production","ベータプロダクション","translated"
"quantumroot.betaTitle","Quantumroot Beta Production","Quantumroot ベータプロダクション","translated"
"quantumroot.checkingBalances","Checking balances…","残高を確認中…","translated"
"quantumroot.close","Close","閉じる","translated"
"quantumroot.funded","{count} funded","{count} 件の入金済み","translated"
"quantumroot.fundedStatus","Funded","入金済み","translated"
"quantumroot.guidedNow","Guided now: choose one approval key, lock it in Quantum Lock, then spend the matching coin.","ガイド付き：承認キーを 1 つ選び、Quantum Lock にロックしてから対応するコインを支出します。","translated"
"quantumroot.liveNow","Live now: normal spending, balance tracking, and Quantum Lock BCH recovery.","現在利用可能：通常の支出、残高追跡、Quantum Lock BCH の復元。","translated"
"quantumroot.livePreview","Live preview","ライブプレビュー","translated"
"quantumroot.mainnetAhead","Quantumroot is visible on mainnet ahead of activation. The layout stays available, but key actions remain disabled until {date}.","Quantumroot は有効化前の Mainnet に表示されます。レイアウトは利用できますが、主な操作は {date} まで無効です。","translated"
"quantumroot.mainnetPreview","Mainnet preview stays visible before activation.","有効化前は Mainnet のプレビューが表示されます。","translated"
"quantumroot.noFundsYet","No funds yet","資金はまだありません","translated"
"quantumroot.noVaults","No Quantumroot vaults derived yet. Sync vaults to provision them for existing wallet address indexes.","導出された Quantumroot 保管庫はまだありません。保管庫を同期して、既存のウォレットアドレスインデックスに作成してください。","translated"
"quantumroot.openVaults","Open Vaults","保管庫を開く","translated"
"quantumroot.popup.action.chooseCoinLabel","Choose coin to spend","Choose coin to spend","needs-review"
"quantumroot.popup.action.chooseDescription","Choose one approval key for this vault.","Choose one approval key for this vault.","needs-review"
"quantumroot.popup.action.chooseLabel","Choose approval key","Choose approval key","needs-review"
"quantumroot.popup.action.chooseTitle","Choose an approval key","Choose an approval key","needs-review"
"quantumroot.popup.action.createDescription","Create or receive a plain NFT first, then use it as the approval key.","Create or receive a plain NFT first, then use it as the approval key.","needs-review"
"quantumroot.popup.action.createTitle","Create an approval key","Create an approval key","needs-review"
"quantumroot.popup.action.destinationDescription","Choose where the coin should go, then open the spend list.","Choose where the coin should go, then open the spend list.","needs-review"
"quantumroot.popup.action.destinationLabel","Set destination","Set destination","needs-review"
"quantumroot.popup.action.destinationTitle","Choose a destination","Choose a destination","needs-review"
"quantumroot.popup.action.disabledDescription","The spend list is ready, but spending is disabled on this network.","The spend list is ready, but spending is disabled on this network.","needs-review"
"quantumroot.popup.action.readyDescription","Tap a ready coin to spend it.","Tap a ready coin to spend it.","needs-review"
"quantumroot.popup.action.readyTitle","Ready to spend","Ready to spend","needs-review"
"quantumroot.popup.action.receiveDescription","Send the matching receive coin to the normal lane.","Send the matching receive coin to the normal lane.","needs-review"
"quantumroot.popup.action.receiveLabel","Add receive coin","Add receive coin","needs-review"
"quantumroot.popup.action.receiveTitle","Add the matching receive coin","Add the matching receive coin","needs-review"
"quantumroot.popup.action.refreshDescription","Refresh the wallet scan or choose another approval key.","Refresh the wallet scan or choose another approval key.","needs-review"
"quantumroot.popup.action.refreshLabel","Refresh vault","Refresh vault","needs-review"
"quantumroot.popup.action.refreshTitle","Refresh the vault","Refresh the vault","needs-review"
"quantumroot.popup.action.reviewLabel","Review spend","Review spend","needs-review"
"quantumroot.popup.action.sendDescription","Send the approval key to Quantum Lock.","Send the approval key to Quantum Lock.","needs-review"
"quantumroot.popup.action.sendLabel","Send approval key","Send approval key","needs-review"
"quantumroot.popup.action.sendTitle","Send the approval key","Send the approval key","needs-review"
"quantumroot.popup.addDestinationReview","Add a destination, then review spend.","Add a destination, then review spend.","needs-review"
"quantumroot.popup.addMatchingCoin","Add the matching coin to unlock spend.","Add the matching coin to unlock spend.","needs-review"
"quantumroot.popup.advanced","Advanced","Advanced","needs-review"
"quantumroot.popup.advancedRecovery","Advanced recovery","Advanced recovery","needs-review"
"quantumroot.popup.advancedRecoveryDescription","Recover regular BCH, recover Quantum Lock funds, or refresh vault status.","Recover regular BCH, recover Quantum Lock funds, or refresh vault status.","needs-review"
"quantumroot.popup.approvalKey","Approval key","Approval key","needs-review"
"quantumroot.popup.approvalKeyCapability","Approval key","Approval key","needs-review"
"quantumroot.popup.approvalKeyChanged","Approval key changed on chain","Approval key changed on chain","needs-review"
"quantumroot.popup.approvalKeyInLock","Approval key is in Quantum Lock.","Approval key is in Quantum Lock.","needs-review"
"quantumroot.popup.approvalKeyInQuantumLock","Your approval key is in Quantum Lock.","Your approval key is in Quantum Lock.","needs-review"
"quantumroot.popup.approvalKeyPicked","Approval key picked.","Approval key picked.","needs-review"
"quantumroot.popup.approvalKeySelected","Approval key selected","Approval key selected","needs-review"
"quantumroot.popup.approvalLane","Approval lane","Approval lane","needs-review"
"quantumroot.popup.approvalLaneDescription","Your approval key goes to Quantum Lock.","Your approval key goes to Quantum Lock.","needs-review"
"quantumroot.popup.available","{count} available","{count} available","needs-review"
"quantumroot.popup.availableApprovalKeys","Available approval keys","Available approval keys","needs-review"
"quantumroot.popup.bchRecoveryDescription","BCH recovery sends back to the matching standard wallet address for this vault index when available.","BCH recovery sends back to the matching standard wallet address for this vault index when available.","needs-review"
"quantumroot.popup.bchRecoveryDisabled","BCH recovery is temporarily disabled until the on-chain receive-script validation issue is resolved.","BCH recovery is temporarily disabled until the on-chain receive-script validation issue is resolved.","needs-review"
"quantumroot.popup.block.approvalPending","Send one approval key to Quantum Lock.","Send one approval key to Quantum Lock.","needs-review"
"quantumroot.popup.block.inactiveNetwork","Quantumroot spending is disabled on this network.","Quantumroot spending is disabled on this network.","needs-review"
"quantumroot.popup.block.noDestination","Choose a destination address before spending.","Choose a destination address before spending.","needs-review"
"quantumroot.popup.block.noFamily","Create or receive a plain NFT first. It becomes your approval key.","Create or receive a plain NFT first. It becomes your approval key.","needs-review"
"quantumroot.popup.block.pickFamily","Choose one plain NFT to use as the approval key.","Choose one plain NFT to use as the approval key.","needs-review"
"quantumroot.popup.block.receivePending","Send the matching receive coin to the normal lane.","Send the matching receive coin to the normal lane.","needs-review"
"quantumroot.popup.block.staleInventory","Your selected approval key is not visible right now. Refresh the vault or choose another key.","Your selected approval key is not visible right now. Refresh the vault or choose another key.","needs-review"
"quantumroot.popup.broadcastWarning","This will broadcast after confirmation.","This will broadcast after confirmation.","needs-review"
"quantumroot.popup.category","Category:","Category:","needs-review"
"quantumroot.popup.chooseApprovalKey","Choose approval key","Choose approval key","needs-review"
"quantumroot.popup.chooseApprovalKeyDescription","Quantumroot uses one plain NFT as the approval key. Advanced token tools live in CashTokens.","Quantumroot uses one plain NFT as the approval key. Advanced token tools live in CashTokens.","needs-review"
"quantumroot.popup.chooseOneApproval","Choose one approval key to continue.","Choose one approval key to continue.","needs-review"
"quantumroot.popup.commitment","Commitment:","Commitment:","needs-review"
"quantumroot.popup.completeSteps","Complete the approval key and matching receive coin steps before spending.","Complete the approval key and matching receive coin steps before spending.","needs-review"
"quantumroot.popup.confirmed","Confirmed","Confirmed","needs-review"
"quantumroot.popup.copyDestination","Copy destination","Copy destination","needs-review"
"quantumroot.popup.copyOrScanFund","Copy or scan to fund this vault.","Copy or scan to fund this vault.","needs-review"
"quantumroot.popup.copyQuantumLock","Copy Quantum Lock","Copy Quantum Lock","needs-review"
"quantumroot.popup.copyReceiveAddress","Copy receive address","Copy receive address","needs-review"
"quantumroot.popup.copyRecoveryAddress","Copy recovery address","Copy recovery address","needs-review"
"quantumroot.popup.createOrReceive","Create or receive a plain NFT first, then it will appear here as an approval key you can choose.","Create or receive a plain NFT first, then it will appear here as an approval key you can choose.","needs-review"
"quantumroot.popup.destination","Destination","Destination","needs-review"
"quantumroot.popup.destinationAddress","Destination address","Destination address","needs-review"
"quantumroot.popup.done","Done","Done","needs-review"
"quantumroot.popup.empty","empty","empty","needs-review"
"quantumroot.popup.found","{count} found","{count} found","needs-review"
"quantumroot.popup.fundMatchingReceive","Fund matching receive coin","Fund matching receive coin","needs-review"
"quantumroot.popup.fundMatchingReceiveDescription","Open the send screen prefilled to the vault receive address with the same approval key.","Open the send screen prefilled to the vault receive address with the same approval key.","needs-review"
"quantumroot.popup.helpShortcuts","Help and shortcuts","Help and shortcuts","needs-review"
"quantumroot.popup.inQuantumLock","{count} in Quantum Lock","{count} in Quantum Lock","needs-review"
"quantumroot.popup.inWallet","{count} in wallet","{count} in wallet","needs-review"
"quantumroot.popup.locked","{count} locked","{count} locked","needs-review"
"quantumroot.popup.mainnetDisabled","Mainnet Quantumroot uses the same UI as Chipnet, but the spend, recovery, and token-configuration actions remain disabled until activation on {date}.","Mainnet Quantumroot uses the same UI as Chipnet, but the spend, recovery, and token-configuration actions remain disabled until activation on {date}.","needs-review"
"quantumroot.popup.mintingNft","Minting NFT","Minting NFT","needs-review"
"quantumroot.popup.missing","Missing","Missing","needs-review"
"quantumroot.popup.mutableNft","Mutable NFT","Mutable NFT","needs-review"
"quantumroot.popup.needed","Needed","Needed","needs-review"
"quantumroot.popup.neededLater","Needed later","Needed later","needs-review"
"quantumroot.popup.nextStep","Next step","Next step","needs-review"
"quantumroot.popup.noApprovalKey","No approval key","No approval key","needs-review"
"quantumroot.popup.noDestination","No destination set","No destination set","needs-review"
"quantumroot.popup.noReadyCoin","No ready coin is available yet. After the approval key and the matching receive coin are present, spendable coins appear here.","No ready coin is available yet. After the approval key and the matching receive coin are present, spendable coins appear here.","needs-review"
"quantumroot.popup.normalLane","Normal vault lane","Normal vault lane","needs-review"
"quantumroot.popup.normalLaneDescription","Your BCH and matching receive coin go here.","Your BCH and matching receive coin go here.","needs-review"
"quantumroot.popup.normalLanePending","Add the matching receive coin after the approval key is in Quantum Lock.","Add the matching receive coin after the approval key is in Quantum Lock.","needs-review"
"quantumroot.popup.normalLaneReady","Your normal lane is ready.","Your normal lane is ready.","needs-review"
"quantumroot.popup.noStandardAddress","No standard wallet address available","No standard wallet address available","needs-review"
"quantumroot.popup.openCashTokens","Open CashTokens","Open CashTokens","needs-review"
"quantumroot.popup.openReceiveScreen","Open receive screen","Open receive screen","needs-review"
"quantumroot.popup.otherNft","Other NFT","Other NFT","needs-review"
"quantumroot.popup.otherNftDescription","It sits in Quantum Lock, but it is not the selected approval key. No direct withdrawal path exists yet.","It sits in Quantum Lock, but it is not the selected approval key. No direct withdrawal path exists yet.","needs-review"
"quantumroot.popup.otherNftInQuantumLock","Other NFT in Quantum Lock","Other NFT in Quantum Lock","needs-review"
"quantumroot.popup.otherNfts","{count} other NFT(s)","{count} other NFT(s)","needs-review"
"quantumroot.popup.outpoint","Outpoint","Outpoint","stable-term"
"quantumroot.popup.pending","Pending","Pending","needs-review"
"quantumroot.popup.pendingCoin","Pending coin","Pending coin","needs-review"
"quantumroot.popup.pickApprovalKey","Pick one approval key.","Pick one approval key.","needs-review"
"quantumroot.popup.plainBchCoins","{count} plain BCH coin(s)","{count} plain BCH coin(s)","needs-review"
"quantumroot.popup.plainBchDescription","Use this for plain BCH coins. Protected coins stay in the lanes above.","Use this for plain BCH coins. Protected coins stay in the lanes above.","needs-review"
"quantumroot.popup.previewOnly","Preview only on mainnet until activation.","Preview only on mainnet until activation.","needs-review"
"quantumroot.popup.protectedReceiveCount","Coins already handled by Protected spend: {count}","Coins already handled by Protected spend: {count}","needs-review"
"quantumroot.popup.protectedSpend","Protected spend","Protected spend","needs-review"
"quantumroot.popup.protectedSpendDescription","When the approval key and matching receive coin are present, spending opens here.","When the approval key and matching receive coin are present, spending opens here.","needs-review"
"quantumroot.popup.quantumLock","Quantum Lock","Quantum Lock","stable-term"
"quantumroot.popup.quantumLockBch","Quantum Lock BCH","Quantum Lock BCH","needs-review"
"quantumroot.popup.quantumLockRecovery","Quantum Lock recovery","Quantum Lock recovery","needs-review"
"quantumroot.popup.quantumLockRecoveryCount","Quantum Lock recovery coins: {count}","Quantum Lock recovery coins: {count}","needs-review"
"quantumroot.popup.quantumrootOpens","Quantumroot opens once the approval key sits in Quantum Lock and the matching receive coin sits in the normal lane.","Quantumroot opens once the approval key sits in Quantum Lock and the matching receive coin sits in the normal lane.","needs-review"
"quantumroot.popup.ready","Ready","Ready","needs-review"
"quantumroot.popup.readyCoin","Ready coin","Ready coin","needs-review"
"quantumroot.popup.readyCoinAvailable","Ready coin available.","Ready coin available.","needs-review"
"quantumroot.popup.readyCoins","{count} ready coin(s)","{count} ready coin(s)","needs-review"
"quantumroot.popup.receiveAddress","Receive address","Receive address","needs-review"
"quantumroot.popup.receiveBch","Receive BCH","Receive BCH","needs-review"
"quantumroot.popup.recover","Recover","Recover","needs-review"
"quantumroot.popup.recoverableBchCoins","Recoverable BCH coins","Recoverable BCH coins","needs-review"
"quantumroot.popup.recoverableBchCount","Recoverable BCH coins: {count}","Recoverable BCH coins: {count}","needs-review"
"quantumroot.popup.recovering","Recovering…","Recovering…","needs-review"
"quantumroot.popup.recoverRegularBch","Recover regular BCH","Recover regular BCH","needs-review"
"quantumroot.popup.refresh","Refresh","Refresh","needs-review"
"quantumroot.popup.refreshChooseAnother","Refresh the vault or choose another approval key.","Refresh the vault or choose another approval key.","needs-review"
"quantumroot.popup.refreshVault","Refresh vault","Refresh vault","needs-review"
"quantumroot.popup.refreshVaultStatus","Refresh vault status","Refresh vault status","needs-review"
"quantumroot.popup.reviewDestination","Review the destination before broadcasting.","Review the destination before broadcasting.","needs-review"
"quantumroot.popup.reviewSpend","Review spend","Review spend","needs-review"
"quantumroot.popup.reviewSpendSubtitle","Check the destination, approval key, and ready coin before you broadcast.","Check the destination, approval key, and ready coin before you broadcast.","needs-review"
"quantumroot.popup.reviewSpendTitle","Review spend","Review spend","needs-review"
"quantumroot.popup.saveApprovalKey","Save approval key","Save approval key","needs-review"
"quantumroot.popup.saving","Saving…","Saving…","needs-review"
"quantumroot.popup.selectedApprovalKey","Selected approval key","Selected approval key","needs-review"
"quantumroot.popup.selectedAsApproval","Selected as approval key","Selected as approval key","needs-review"
"quantumroot.popup.sendApprovalHere","Send the approval key here.","Send the approval key here.","needs-review"
"quantumroot.popup.sendApprovalKey","Send approval key","Send approval key","needs-review"
"quantumroot.popup.sendApprovalKeyDescription","Open the send screen prefilled to Quantum Lock with the selected approval key.","Open the send screen prefilled to Quantum Lock with the selected approval key.","needs-review"
"quantumroot.popup.sendApprovalKeyToLock","Send the approval key to Quantum Lock.","Send the approval key to Quantum Lock.","needs-review"
"quantumroot.popup.sendSelectedApprovalKey","Send the selected approval key to Quantum Lock.","Send the selected approval key to Quantum Lock.","needs-review"
"quantumroot.popup.spend","Spend","Spend","needs-review"
"quantumroot.popup.spendDestination","Spend destination","Spend destination","needs-review"
"quantumroot.popup.spending","Spending…","Spending…","needs-review"
"quantumroot.popup.sweepBch","Sweep BCH coins ({count})","Sweep BCH coins ({count})","needs-review"
"quantumroot.popup.sweeping","Sweeping…","Sweeping…","needs-review"
"quantumroot.popup.tapToOpen","Tap to open","Tap to open","needs-review"
"quantumroot.popup.unsupportedQuantumLock","Coins in Quantum Lock that belong to Protected spend are handled above; this recovery list only includes plain BCH coins.","Coins in Quantum Lock that belong to Protected spend are handled above; this recovery list only includes plain BCH coins.","needs-review"
"quantumroot.popup.unsupportedReceive","Coins with an approval key stay in Protected spend; this recovery list only includes plain BCH coins.","Coins with an approval key stay in Protected spend; this recovery list only includes plain BCH coins.","needs-review"
"quantumroot.popup.useRecoveryAddress","Use wallet recovery address","Use wallet recovery address","needs-review"
"quantumroot.popup.vaultSetup","Vault setup","Vault setup","needs-review"
"quantumroot.popup.vaultSetupDescription","Copy addresses and choose the approval key.","Copy addresses and choose the approval key.","needs-review"
"quantumroot.popup.waiting","Waiting","Waiting","needs-review"
"quantumroot.popup.walletRecoveryAddress","Wallet recovery address","Wallet recovery address","needs-review"
"quantumroot.readyToRecover","{count} ready to recover","{count} 件が復元可能","translated"
"quantumroot.refreshing","Refreshing balances and UTXO status. Vaults remain available while sync completes.","残高と UTXO 状態を更新中です。同期が完了するまで保管庫は利用できます。","translated"
"quantumroot.subtitle","Two spending lanes in one vault","1 つの保管庫に 2 つの支出レーン","translated"
"quantumroot.syncingVaults","Syncing Vaults…","保管庫を同期中…","translated"
"quantumroot.syncVaults","Sync Vaults","保管庫を同期","translated"
"quantumroot.toast.approvalKeyMissing","This approval key is no longer visible. Refresh the vault or choose another key.","This approval key is no longer visible. Refresh the vault or choose another key.","needs-review"
"quantumroot.toast.authorizedBroadcast","Quantumroot authorized spend broadcast: {txid}","Quantumroot authorized spend broadcast: {txid}","needs-review"
"quantumroot.toast.authorizedFailed","Quantumroot authorized spend failed: {message}","Quantumroot authorized spend failed: {message}","needs-review"
"quantumroot.toast.broadcastAuthorizedFailed","Failed to broadcast Quantumroot authorized spend.","Failed to broadcast Quantumroot authorized spend.","needs-review"
"quantumroot.toast.broadcastLockRecoveryFailed","Failed to broadcast Quantum Lock recovery.","Failed to broadcast Quantum Lock recovery.","needs-review"
"quantumroot.toast.broadcastSpendFailed","Failed to broadcast Quantumroot spend.","Failed to broadcast Quantumroot spend.","needs-review"
"quantumroot.toast.broadcastSweepFailed","Failed to broadcast Quantumroot sweep.","Failed to broadcast Quantumroot sweep.","needs-review"
"quantumroot.toast.configureFailed","Failed to configure vault: {message}","Failed to configure vault: {message}","needs-review"
"quantumroot.toast.destinationRequired","Destination address is required.","Destination address is required.","needs-review"
"quantumroot.toast.ineligibleReceiveUtxo","That receive UTXO is not eligible for authorized spend.","That receive UTXO is not eligible for authorized spend.","needs-review"
"quantumroot.toast.invalidTokenCategory","Token category must be 64 hexadecimal characters.","Token category must be 64 hexadecimal characters.","needs-review"
"quantumroot.toast.lockRecoveryBroadcast","Quantum Lock recovery broadcast: {txid}","Quantum Lock recovery broadcast: {txid}","needs-review"
"quantumroot.toast.lockRecoveryFailed","Quantum Lock recovery failed: {message}","Quantum Lock recovery failed: {message}","needs-review"
"quantumroot.toast.noBchUtxos","No BCH-only receive UTXOs available to sweep.","No BCH-only receive UTXOs available to sweep.","needs-review"
"quantumroot.toast.noControlToken","No matching Quantum Lock control token is available yet.","No matching Quantum Lock control token is available yet.","needs-review"
"quantumroot.toast.previewActive","Quantumroot mainnet preview is active until activation.","Quantumroot mainnet preview is active until activation.","needs-review"
"quantumroot.toast.reconfigured","Quantumroot vault reconfigured.","Quantumroot vault reconfigured.","needs-review"
"quantumroot.toast.spendBroadcast","Quantumroot spend broadcast: {txid}","Quantumroot spend broadcast: {txid}","needs-review"
"quantumroot.toast.spendFailed","Quantumroot spend failed: {message}","Quantumroot spend failed: {message}","needs-review"
"quantumroot.toast.sweepBroadcast","Quantumroot sweep broadcast: {txid}","Quantumroot sweep broadcast: {txid}","needs-review"
"quantumroot.toast.sweepFailed","Quantumroot sweep failed: {message}","Quantumroot sweep failed: {message}","needs-review"
"quantumroot.toast.unavailable","Quantumroot vault unavailable.","Quantumroot vault unavailable.","needs-review"
"quantumroot.trackedBalance","Tracked Balance","追跡残高","translated"
"quantumroot.vaultNumber","Vault #{id}","保管庫 #{id}","translated"
"quantumroot.vaults","Vaults","保管庫","translated"
"quantumroot.workspaceRefreshFailed","Workspace Refresh Failed","ワークスペースを更新できませんでした","translated"
"receive.addressesNotReady","Receive addresses not ready","受取アドレスの準備ができていません","translated"
"receive.amountBch","Amount (BCH)","金額（BCH）","translated"
"receive.back","Back","戻る","translated"
"receive.bip21Active","Request details are active and the QR is now encoding the BIP21 URI.","リクエスト情報が有効になり、QR は BIP21 URI をエンコードしています。","translated"
"receive.bip21Description","Encode amount, label, and message into the QR payload.","金額、ラベル、メッセージを QR payload にエンコードします。","translated"
"receive.bip21Help","When enabled, the QR and copied payload use a BIP21-style `bitcoincash:` URI so compatible wallets can autofill request details.","有効にすると、QR とコピーした payload は BIP21 形式の `bitcoincash:` URI を使い、対応ウォレットでリクエスト情報を自動入力できます。","translated"
"receive.bip21Title","BIP21 payment request","BIP21 支払いリクエスト","translated"
"receive.cashToken","CashToken","CashToken","stable-term"
"receive.change","Change","おつり","translated"
"receive.changeAddressCount","{count} change addresses","おつりアドレス {count} 件","translated"
"receive.clear","Clear","クリア","translated"
"receive.close","Close","閉じる","translated"
"receive.copied","Copied to clipboard!","クリップボードにコピーしました！","translated"
"receive.copyBip21","Copy BIP21 URI","BIP21 URI をコピー","translated"
"receive.copyFailed","Failed to copy.","コピーに失敗しました。","translated"
"receive.copyQrPayload","Copy receive QR payload","受取 QR payload をコピー","translated"
"receive.dismiss","Dismiss","閉じる","translated"
"receive.dismissUnlockAlert","Dismiss unlock alert","ロック解除アラートを閉じる","translated"
"receive.label","Label","ラベル","translated"
"receive.main","Main","メイン","translated"
"receive.mainAddressCount","{count} main addresses","メインアドレス {count} 件","translated"
