"key","English (en)","Status"
"quantumroot.popup.helpShortcuts","Help and shortcuts","translated"
"quantumroot.popup.inQuantumLock","{count} in Quantum Lock","translated"
"quantumroot.popup.inWallet","{count} in wallet","translated"
"quantumroot.popup.locked","{count} locked","translated"
"quantumroot.popup.mainnetDisabled","Mainnet Quantumroot uses the same UI as Chipnet, but the spend, recovery, and token-configuration actions remain disabled until activation on {date}.","translated"
"quantumroot.popup.mintingNft","Minting NFT","translated"
"quantumroot.popup.missing","Missing","translated"
"quantumroot.popup.mutableNft","Mutable NFT","translated"
"quantumroot.popup.needed","Needed","translated"
"quantumroot.popup.neededLater","Needed later","translated"
"quantumroot.popup.nextStep","Next step","translated"
"quantumroot.popup.noApprovalKey","No approval key","translated"
"quantumroot.popup.noDestination","No destination set","translated"
"quantumroot.popup.noReadyCoin","No ready coin is available yet. After the approval key and the matching receive coin are present, spendable coins appear here.","translated"
"quantumroot.popup.normalLane","Normal vault lane","translated"
"quantumroot.popup.normalLaneDescription","Your BCH and matching receive coin go here.","translated"
"quantumroot.popup.normalLanePending","Add the matching receive coin after the approval key is in Quantum Lock.","translated"
"quantumroot.popup.normalLaneReady","Your normal lane is ready.","translated"
"quantumroot.popup.noStandardAddress","No standard wallet address available","translated"
"quantumroot.popup.openCashTokens","Open CashTokens","translated"
"quantumroot.popup.openReceiveScreen","Open receive screen","translated"
"quantumroot.popup.otherNft","Other NFT","translated"
"quantumroot.popup.otherNftDescription","It sits in Quantum Lock, but it is not the selected approval key. No direct withdrawal path exists yet.","translated"
"quantumroot.popup.otherNftInQuantumLock","Other NFT in Quantum Lock","translated"
"quantumroot.popup.otherNfts","{count} other NFT(s)","translated"
"quantumroot.popup.outpoint","Outpoint","stable-term"
"quantumroot.popup.pending","Pending","translated"
"quantumroot.popup.pendingCoin","Pending coin","translated"
"quantumroot.popup.pickApprovalKey","Pick one approval key.","translated"
"quantumroot.popup.plainBchCoins","{count} plain BCH coin(s)","translated"
"quantumroot.popup.plainBchDescription","Use this for plain BCH coins. Protected coins stay in the lanes above.","translated"
"quantumroot.popup.previewOnly","Preview only on mainnet until activation.","translated"
"quantumroot.popup.protectedReceiveCount","Coins already handled by Protected spend: {count}","translated"
"quantumroot.popup.protectedSpend","Protected spend","translated"
"quantumroot.popup.protectedSpendDescription","When the approval key and matching receive coin are present, spending opens here.","translated"
"quantumroot.popup.quantumLock","Quantum Lock","stable-term"
"quantumroot.popup.quantumLockBch","Quantum Lock BCH","translated"
"quantumroot.popup.quantumLockRecovery","Quantum Lock recovery","translated"
"quantumroot.popup.quantumLockRecoveryCount","Quantum Lock recovery coins: {count}","translated"
"quantumroot.popup.quantumrootOpens","Quantumroot opens once the approval key sits in Quantum Lock and the matching receive coin sits in the normal lane.","translated"
"quantumroot.popup.ready","Ready","translated"
"quantumroot.popup.readyCoin","Ready coin","translated"
"quantumroot.popup.readyCoinAvailable","Ready coin available.","translated"
"quantumroot.popup.readyCoins","{count} ready coin(s)","translated"
"quantumroot.popup.receiveAddress","Receive address","translated"
"quantumroot.popup.receiveBch","Receive BCH","translated"
"quantumroot.popup.recover","Recover","translated"
"quantumroot.popup.recoverableBchCoins","Recoverable BCH coins","translated"
"quantumroot.popup.recoverableBchCount","Recoverable BCH coins: {count}","translated"
"quantumroot.popup.recovering","Recovering…","translated"
"quantumroot.popup.recoverRegularBch","Recover regular BCH","translated"
"quantumroot.popup.refresh","Refresh","translated"
"quantumroot.popup.refreshChooseAnother","Refresh the vault or choose another approval key.","translated"
"quantumroot.popup.refreshVault","Refresh vault","translated"
"quantumroot.popup.refreshVaultStatus","Refresh vault status","translated"
"quantumroot.popup.reviewDestination","Review the destination before broadcasting.","translated"
"quantumroot.popup.reviewSpend","Review spend","translated"
"quantumroot.popup.reviewSpendSubtitle","Check the destination, approval key, and ready coin before you broadcast.","translated"
"quantumroot.popup.reviewSpendTitle","Review spend","translated"
"quantumroot.popup.saveApprovalKey","Save approval key","translated"
"quantumroot.popup.saving","Saving…","translated"
"quantumroot.popup.selectedApprovalKey","Selected approval key","translated"
"quantumroot.popup.selectedAsApproval","Selected as approval key","translated"
"quantumroot.popup.sendApprovalHere","Send the approval key here.","translated"
"quantumroot.popup.sendApprovalKey","Send approval key","translated"
"quantumroot.popup.sendApprovalKeyDescription","Open the send screen prefilled to Quantum Lock with the selected approval key.","translated"
"quantumroot.popup.sendApprovalKeyToLock","Send the approval key to Quantum Lock.","translated"
"quantumroot.popup.sendSelectedApprovalKey","Send the selected approval key to Quantum Lock.","translated"
"quantumroot.popup.spend","Spend","translated"
"quantumroot.popup.spendDestination","Spend destination","translated"
"quantumroot.popup.spending","Spending…","translated"
"quantumroot.popup.sweepBch","Sweep BCH coins ({count})","translated"
"quantumroot.popup.sweeping","Sweeping…","translated"
"quantumroot.popup.tapToOpen","Tap to open","translated"
"quantumroot.popup.unsupportedQuantumLock","Coins in Quantum Lock that belong to Protected spend are handled above; this recovery list only includes plain BCH coins.","translated"
"quantumroot.popup.unsupportedReceive","Coins with an approval key stay in Protected spend; this recovery list only includes plain BCH coins.","translated"
"quantumroot.popup.useRecoveryAddress","Use wallet recovery address","translated"
"quantumroot.popup.vaultSetup","Vault setup","translated"
"quantumroot.popup.vaultSetupDescription","Copy addresses and choose the approval key.","translated"
"quantumroot.popup.waiting","Waiting","translated"
"quantumroot.popup.walletRecoveryAddress","Wallet recovery address","translated"
"quantumroot.readyToRecover","{count} ready to recover","translated"
"quantumroot.refreshing","Refreshing balances and UTXO status. Vaults remain available while sync completes.","translated"
"quantumroot.subtitle","Two spending lanes in one vault","translated"
"quantumroot.syncingVaults","Syncing Vaults…","translated"
"quantumroot.syncVaults","Sync Vaults","translated"
"quantumroot.toast.approvalKeyMissing","This approval key is no longer visible. Refresh the vault or choose another key.","translated"
"quantumroot.toast.authorizedBroadcast","Quantumroot authorized spend broadcast: {txid}","translated"
"quantumroot.toast.authorizedFailed","Quantumroot authorized spend failed: {message}","translated"
"quantumroot.toast.broadcastAuthorizedFailed","Failed to broadcast Quantumroot authorized spend.","translated"
"quantumroot.toast.broadcastLockRecoveryFailed","Failed to broadcast Quantum Lock recovery.","translated"
"quantumroot.toast.broadcastSpendFailed","Failed to broadcast Quantumroot spend.","translated"
"quantumroot.toast.broadcastSweepFailed","Failed to broadcast Quantumroot sweep.","translated"
"quantumroot.toast.configureFailed","Failed to configure vault: {message}","translated"
"quantumroot.toast.destinationRequired","Destination address is required.","translated"
"quantumroot.toast.ineligibleReceiveUtxo","That receive UTXO is not eligible for authorized spend.","translated"
"quantumroot.toast.invalidTokenCategory","Token category must be 64 hexadecimal characters.","translated"
"quantumroot.toast.lockRecoveryBroadcast","Quantum Lock recovery broadcast: {txid}","translated"
"quantumroot.toast.lockRecoveryFailed","Quantum Lock recovery failed: {message}","translated"
"quantumroot.toast.noBchUtxos","No BCH-only receive UTXOs available to sweep.","translated"
"quantumroot.toast.noControlToken","No matching Quantum Lock control token is available yet.","translated"
"quantumroot.toast.previewActive","Quantumroot mainnet preview is active until activation.","translated"
"quantumroot.toast.reconfigured","Quantumroot vault reconfigured.","translated"
"quantumroot.toast.spendBroadcast","Quantumroot spend broadcast: {txid}","translated"
"quantumroot.toast.spendFailed","Quantumroot spend failed: {message}","translated"
"quantumroot.toast.sweepBroadcast","Quantumroot sweep broadcast: {txid}","translated"
"quantumroot.toast.sweepFailed","Quantumroot sweep failed: {message}","translated"
"quantumroot.toast.unavailable","Quantumroot vault unavailable.","translated"
"quantumroot.trackedBalance","Tracked Balance","translated"
"quantumroot.vaultNumber","Vault #{id}","translated"
"quantumroot.vaults","Vaults","translated"
"quantumroot.workspaceRefreshFailed","Workspace Refresh Failed","translated"
"receive.addressesNotReady","Receive addresses not ready","translated"
"receive.amountBch","Amount (BCH)","translated"
"receive.back","Back","translated"
"receive.bip21Active","Request details are active and the QR is now encoding the BIP21 URI.","translated"
"receive.bip21Description","Encode amount, label, and message into the QR payload.","translated"
"receive.bip21Help","When enabled, the QR and copied payload use a BIP21-style `bitcoincash:` URI so compatible wallets can autofill request details.","translated"
"receive.bip21Title","BIP21 payment request","translated"
"receive.cashToken","CashToken","stable-term"
"receive.change","Change","translated"
"receive.changeAddressCount","{count} change addresses","translated"
"receive.clear","Clear","translated"
"receive.close","Close","translated"
"receive.copied","Copied to clipboard!","translated"
"receive.copyBip21","Copy BIP21 URI","translated"
"receive.copyFailed","Failed to copy.","translated"
"receive.copyQrPayload","Copy receive QR payload","translated"
"receive.dismiss","Dismiss","translated"
"receive.dismissUnlockAlert","Dismiss unlock alert","translated"
"receive.label","Label","translated"
"receive.main","Main","translated"
"receive.mainAddressCount","{count} main addresses","translated"
"receive.message","Message","stable-term"
"receive.noAddressesLoaded","This wallet does not have receive addresses loaded yet.","translated"
"receive.noBranchAddresses","No addresses found in this branch yet.","translated"
"receive.noVaultFunds","No Quantumroot vault funds detected yet.","translated"
"receive.openQrPreview","Open larger QR code preview","translated"
"receive.optional","Optional","translated"
"receive.optionalExample","Optional, e.g. 0.0105","translated"
"receive.prepareAddresses","Prepare receive addresses","translated"
"receive.prepareAddressesDescription","Prepare addresses to show your receive QR and address list.","translated"
"receive.privKeyReady","Private key view unlocked","translated"
"receive.privKeyUnlock","Private key unlock in {count} taps","translated"
"receive.pubKeyTapProgress","PubKey pressed {count}/{total} times","translated"
"receive.qrCopyDescription","Tap the QR to copy the current payload. Close to return.","translated"
"receive.quantumLock","Quantum Lock","stable-term"
"receive.quantumLockAddress","Quantum Lock Address","translated"
"receive.quantumrootStatus","Quantumroot Status","translated"
"receive.readOnlyStatus","This view is read-only. It shows vault status and key receive data, but no spending or recovery actions.","translated"
"receive.receiveAddress","Receive Address","translated"
"receive.receiveBalance","Receive Balance","translated"
"receive.receiveQr","Receive QR","translated"
"receive.regular","Regular","translated"
"receive.seeAllAddresses","See all addresses","translated"
"receive.switch","Switch","translated"
"receive.switchAddress","Switch address","translated"
"receive.syncing","Syncing…","translated"
"receive.tapPubKey","Tap PubKey to reveal the private key view.","translated"
"receive.title","Receive","translated"
"receive.toggleAddressType","Toggle receive address type","translated"
"receive.unavailable","Unavailable","translated"
"reconfiguration.changingPath","Changing derivation path","translated"
"reconfiguration.clearing","Clearing old wallet data","translated"
"reconfiguration.clearingDetail","Removing the previous address, history, and UTXO records.","translated"
"reconfiguration.deriving","Generating wallet addresses","translated"
"reconfiguration.derivingDetail","Creating the receive and change addresses for this wallet path.","translated"
"reconfiguration.dismiss","Dismiss","translated"
"reconfiguration.failed","Wallet update failed","translated"
"reconfiguration.failedDetail","The wallet could not be reconfigured.","translated"
"reconfiguration.keepOpen","Please keep OPTN Wallet open. Navigation is temporarily disabled while wallet data is rebuilt.","translated"
"reconfiguration.movingTo","Moving to {network}","translated"
"reconfiguration.preparing","Preparing wallet","translated"
"reconfiguration.preparingDetail","Stopping background sync and reconnecting to the selected network.","translated"
"reconfiguration.progress","Wallet update progress","translated"
"reconfiguration.reloading","Reloading wallet","translated"
"reconfiguration.stepOf","Step {current} of {total}","translated"
"reconfiguration.switchingNetwork","Switching network","translated"
"reconfiguration.syncing","Synchronizing wallet","translated"
"reconfiguration.syncingDetail","Fetching balances, UTXOs, and transaction history. This can take 15–20 seconds.","translated"
"reconfiguration.updating","Updating wallet","translated"
"reconfiguration.working","Working…","translated"
"recovery.hide","Hide Backup Phrase","translated"
"recovery.reveal","Reveal Backup Phrase","translated"
"recovery.warning","Warning","translated"
"recovery.warningDescription","Displaying your mnemonic backup phrase can compromise your funds. Ensure you keep it secure.","translated"
"rpa.confirmedPayment","confirmed stealth payment","translated"
"rpa.confirmedPayments","{count} confirmed stealth payment(s) found","translated"
"rpa.copyFailed","Copy failed.","translated"
"rpa.copySuccess","Paycode copied!","translated"
"rpa.derivationFailed","Paycode derivation failed. Unlock your wallet and try again.","translated"
"rpa.derivationPaths","Derivation paths","translated"
"rpa.deriving","Deriving paycode…","translated"
"rpa.found","found","translated"
"rpa.howWorks","How it works","translated"
"rpa.lastScanned","Last scanned","translated"
"rpa.noNotification","No notification tx.","translated"
"rpa.noNotificationText","The sender grinds their signature nonce until the input hash prefix matches your scan key — detectability is embedded in the signature itself.","translated"
"rpa.paycode","Paycode","translated"
"rpa.prefixFilter","Prefix filter","translated"
"rpa.scanDescription","Scans a Fulcrum-RPA server for transactions whose input signature prefix matches your scan key. Uses ECDH to verify each candidate and detect your stealth outputs.","translated"
"rpa.scanKey","Scan key","translated"
"rpa.scanning","Scanning…","translated"
"rpa.serverUnsupported","This server does not support RPA scanning.","translated"
"rpa.shareDescription","Share this paycode with senders. Each payment creates a unique stealth address — no link between payments on-chain.","translated"
"rpa.spendKey","Spend key","translated"
"rpa.stealthBalance","Stealth BCH","translated"
"rpa.sync","Sync","translated"
"rpa.title","RPA Paycode","stable-term"
"rpa.walletUnavailable","Wallet not available","translated"
"send.address","Address","translated"
"send.advanced","Advanced","translated"
"send.advancedBuilder","Open Advanced Builder","translated"
"send.airdrops","Airdrops","translated"
"send.amount","Amount","translated"
"send.amountBch","Amount (BCH)","translated"
"send.amountUsd","Amount (USD)","translated"
"send.asset","Asset","translated"
"send.assetControl","Asset control","translated"
"send.back","Back","translated"
"send.balance","Balance","translated"
"send.bcmrMetadata","Parsed using BCMR metadata from the selected category.","translated"
"send.bytes","bytes","stable-term"
"send.changeAddress","Change address","translated"
"send.clearForm","Clear form","translated"
"send.confirmed","Confirmed","translated"
"send.contract","Contract","translated"
"send.contractInputs","Contract inputs","translated"
"send.copy","Copy","translated"
"send.debug","Debug","translated"
"send.decimals","{count} decimals","translated"
"send.details","Details","translated"
"send.enterBchForUsd","Enter a BCH amount to see the USD equivalent.","translated"
"send.enterUsdForBch","Enter a USD amount to see the BCH equivalent.","translated"
"send.fee","Fee","translated"
"send.fillMax","Fill the full spendable balance minus network fee","translated"
"send.fillRequired","Fill the required fields first","translated"
"send.finalOutputs","Final outputs","translated"
"send.guidedDescription","Send BCH, fungible tokens, or NFTs with one guided flow.","translated"
"send.height","Height","translated"
"send.hide","Hide","translated"
"send.inputs","Inputs","translated"
"send.inputsUsed","Inputs used","translated"
"send.insufficientFunds","Not enough funds. Check your balance or reduce the amount.","translated"
"send.integer","integer","translated"
"send.invalidAddress","Invalid address—double-check for typos or try scanning a QR code.","translated"
"send.keepTxid","Keep this txid as your reference and avoid sending it again.","translated"
"send.leaveBlankNft","Leave blank to send the first available NFT in this category.","translated"
"send.loading","Loading…","translated"
"send.max","Max","stable-term"
"send.networkError","Network error. Check your connection and try again.","translated"
"send.nft","NFT","stable-term"
"send.nftCategory","NFT category","translated"
"send.nftCommitment","NFT commitment","translated"
"send.nfts","NFTs","stable-term"
"send.noInputs","No inputs selected yet (run Review).","translated"
"send.noOutputs","No outputs yet (run Review).","translated"
"send.noTxBuilt","(no tx built yet)","translated"
"send.openAirdrops","Open Airdrops","translated"
"send.optionalHexCommitment","Optional hex commitment…","translated"
"send.outpoint","Outpoint","stable-term"
"send.outputsCreated","Outputs created","translated"
"send.pending","Pending","translated"
"send.quantumrootApproval","approval key to Quantum Lock","translated"
"send.quantumrootHint","Review the recipient and token category, then tap Review to build the transaction.","translated"
"send.quantumrootNftHint","If there are multiple NFT entries, choose the one that matches the approval key.","translated"
"send.quantumrootPrefilled","Prefilled to send the {label}","translated"
"send.quantumrootReceive","matching receive coin to the vault receive address","translated"
"send.quantumrootShortcut","Quantumroot shortcut","translated"
"send.rawTransaction","Raw transaction","translated"
"send.recipient","Recipient","translated"
"send.recipientAmountLoaded","Recipient and amount loaded from QR.","translated"
"send.recipientLoaded","Recipient loaded from QR.","translated"
"send.releaseToSend","Release to send","translated"
"send.reset","Reset","translated"
"send.review","Review","translated"
"send.reviewTitle","Review Transaction","translated"
"send.sats","Sats","stable-term"
"send.scanQr","Scan QR","translated"
"send.selectCategory","Select category…","translated"
"send.selectedInputs","Selected inputs","translated"
"send.send","Send","translated"
"send.sending","Sending…","translated"
"send.sent","Transaction sent","translated"
"send.show","Show","translated"
"send.slideToConfirm","Slide to confirm","translated"
"send.submitted","Transaction submitted","translated"
"send.summary","Summary","translated"
"send.switchToBch","Switch amount input to BCH","translated"
"send.switchToUsd","Switch amount input to USD","translated"
"send.technicalDetails","Technical details","translated"
"send.title","Simple Send","translated"
"send.to","To","translated"
"send.token","Token","stable-term"
"send.tokenAmount","Token amount","translated"
"send.tokenCategory","Token category","translated"
"send.tokenChange","Token change","translated"
"send.tokenInputs","Token inputs","translated"
"send.tokenLabel","Token","stable-term"
"send.totalBch","Total (BCH)","stable-term"
"send.transactionSize","Transaction size","translated"
"send.transferMode","Transfer mode","translated"
"send.type","Type","stable-term"
"send.unconfirmedInputs","Unconfirmed inputs","translated"
"send.usdUnavailable","USD conversion is unavailable right now.","translated"
"send.verifyRecipient","QR scanned. Verify recipient before sending.","translated"
"send.verifySlide","Verify details and slide to send.","translated"
"send.waitingSync","Waiting for sync","translated"
"send.waitPrevious","Wait for your previous outgoing transaction to sync first","translated"
"server.active","● active","translated"
"server.add","Add","translated"
"server.addDesktopPlaceholder","Add server — Fulcrum host:50002, or a node host:8333","translated"
"server.addMobilePlaceholder","Add WSS server — host:50004","translated"
"server.addressUrlPlaceholder","Address URL, e.g. https://example.com/address/{address}","translated"
"server.auto","Auto","translated"
"server.autoBackend","Auto — server pool, with failover","translated"
"server.automatic","Automatic","translated"
"server.backend","Backend","stable-term"
"server.blockExplorer","Block explorer","translated"
"server.connect","Connect","translated"
"server.connected","Connected.","translated"
"server.connectedServer","Connected server","translated"
"server.connecting","Connecting…","translated"
"server.connectionFailed","Connection failed","translated"
"server.connectTitle","Connect to this server","translated"
"server.custom","Custom…","translated"
"server.customFee","Custom","translated"
"server.defaultPortHint","Default port: 50004 (WSS). Use wss:// prefix to force WSS, or ws:// for unencrypted.","translated"
"server.explorerDescription","Used for “open in explorer” links on transactions.","translated"
"server.feeDescription","Fee rate for new transactions. Automatic uses the network minimum (~1 sat/byte, Electron Cash default).","translated"
"server.feeUnit","sat/byte — applies to your next transaction","translated"
"server.invalidHost","Enter a valid host:port (e.g. 192.168.0.129:50002).","translated"
"server.manual","Manual","stable-term"
"server.node","Node","stable-term"
"server.notConnected","Not connected","translated"
"server.onlyBackend","Only this backend is used — pinning a node means Electrum servers aren't consulted.","translated"
"server.placeholderHelp","Use {txid} and {address} as placeholders.","translated"
"server.pool","{network} server pool","translated"
"server.rawNodeMobileError","Raw BCH node connections are only available on desktop. Add an Electrum/Fulcrum WSS server instead.","translated"
"server.remove","Remove","translated"
"server.saveCustom","Save custom explorer","translated"
"server.server","Server","translated"
"server.serverInputPlaceholder","host, host:50004, or wss://host:50004","translated"
"server.transactionFee","Transaction fee","translated"
"server.trustless","trustless","translated"
"server.txUrlPlaceholder","Tx URL, e.g. https://example.com/tx/{txid}","translated"
"server.useAuto","Use Auto","translated"
"settings.about","About OPTN","translated"
"settings.aboutSupport","About & support","translated"
"settings.aboutSupportDescription","Help, contact, terms, and app information","translated"
"settings.connectionsFeatures","Connections & features","translated"
"settings.connectionsFeaturesDescription","Servers, integrations, privacy features, and advanced tools","translated"
"settings.contact","Contact Us","translated"
"settings.language","Language","translated"
"settings.languageDescription","Choose the wallet interface language","translated"
"settings.network","Network","translated"
"settings.recovery","Recovery Phrase","translated"
"settings.terms","Terms of Use","translated"
"settings.walletSecurity","Wallet & security","translated"
"settings.walletSecurityDescription","Recovery, derivation path, app lock, and wallet controls","translated"
"settingsAppLock.autoLockAfter","Auto-lock after","translated"
"settingsAppLock.biometricDescription","Use {label} to unlock instead of typing your password.","translated"
"settingsAppLock.biometricSetupFailed","Biometric setup failed: {message}","translated"
"settingsAppLock.biometricUnlock","Biometric unlock","translated"
"settingsAppLock.cancel","Cancel","translated"
"settingsAppLock.changePassword","Change Password","translated"
"settingsAppLock.confirm","Confirm","translated"
"settingsAppLock.confirmNewPassword","Confirm new password","translated"
"settingsAppLock.currentPassword","Current password","translated"
"settingsAppLock.currentPasswordIncorrect","Current password is incorrect.","translated"
"settingsAppLock.disabled","Disabled","translated"
"settingsAppLock.enabled","Enabled","translated"
"settingsAppLock.enabling","Enabling…","translated"
"settingsAppLock.encryption","Encryption","translated"
"settingsAppLock.encryptionDescription","Your wallet is encrypted with a password-derived key (PBKDF2 · 600k iterations · AES-256-GCM). The key is never stored — it is derived in memory each time you unlock.","translated"
"settingsAppLock.lockNow","Lock Now","translated"
"settingsAppLock.minute","1 minute","stable-term"
"settingsAppLock.minutes","{count} minutes","stable-term"
"settingsAppLock.never","Never","translated"
"settingsAppLock.newPassword","New password","translated"
"settingsAppLock.noWalletOpen","No wallet is open.","translated"
"settingsAppLock.passwordChanged","Password changed successfully.","translated"
"settingsAppLock.passwordChangeFailed","Password change failed. Please try again.","translated"
"settingsAppLock.passwordMismatch","New passwords do not match.","translated"
"settingsAppLock.updating","Updating…","translated"
"settingsDerivation.activePath","Active BIP44 account path","translated"
"settingsDerivation.alreadyActive","This derivation path is already active.","translated"
"settingsDerivation.changeResync","Change and resync","translated"
"settingsDerivation.completed","Derivation path changed and wallet resync completed.","translated"
"settingsDerivation.confirm","Changing the derivation path clears the current address, history, and UTXO records. The wallet will then regenerate and resync only the new path. Continue?","translated"
"settingsDerivation.currentMode","Current mode: {mode}.","translated"
"settingsDerivation.custom","custom","translated"
"settingsDerivation.description","OPTN supports one active BIP44 account path at a time. Reconfiguring it removes the old derived records and performs a fresh receive/change discovery and resync.","translated"
"settingsDerivation.failed","Wallet reconfiguration failed.","translated"
"settingsDerivation.invalidPath","Invalid derivation path.","translated"
"settingsDerivation.networkDefault","network default","translated"
"settingsDerivation.reconfiguring","Reconfiguring…","translated"
"settingsDerivation.useDefault","Use network default","translated"
"settingsNetwork.active","Active","translated"
"settingsNetwork.chipnet","Chipnet","stable-term"
"settingsNetwork.chipnetDescription","BCH testnet for upcoming CHIPs — test funds only","translated"
"settingsNetwork.comingSoon","Coming soon","translated"
"settingsNetwork.description","Switching networks clears the active network records, derives the network path, and resynchronizes receive/change addresses. Custom paths are preserved across network changes.","translated"
"settingsNetwork.mainnet","Mainnet","stable-term"
"settingsNetwork.mainnetDescription","Live BCH network — real funds","translated"
"settingsNetwork.regtest","Regtest","stable-term"
"settingsNetwork.reload","Reload and resync current wallet","translated"
"settingsNetwork.reloading","Reloading wallet…","translated"
"settingsNetwork.switching","Switching…","translated"
"settingsNetwork.testnet3","Testnet3","stable-term"
"settingsNetwork.testnet4","Testnet4","stable-term"
"settingsPanels.addons","Addons","translated"
"settingsPanels.appLock","App Lock","translated"
"settingsPanels.cashfusion","CashFusion","stable-term"
"settingsPanels.console","Console","stable-term"
"settingsPanels.contract","Contract Info","translated"
"settingsPanels.derivation","Derivation Path","translated"
"settingsPanels.experimental","Experimental Features","translated"
"settingsPanels.faucet","Chipnet Faucet","stable-term"
"settingsPanels.nostr","Nostr & Chat","translated"
"settingsPanels.server","Server","stable-term"
"settingsPanels.walletConnect","WalletConnect","stable-term"
"settingsPanels.wizardConnect","WizardConnect","stable-term"
"settingsRows.about","About OPTN","translated"
"settingsRows.aboutDescription","Version info","translated"
"settingsRows.addons","Addons","translated"
"settingsRows.addonsDescription","Install and manage third-party addons","translated"
"settingsRows.appLock","App Lock","translated"
"settingsRows.appLockDescription","Auto-lock · Change password","translated"
"settingsRows.console","Console","stable-term"
"settingsRows.consoleDescription","App log · Electrum RPC","translated"
"settingsRows.contact","Contact Us","translated"
"settingsRows.contactDescription","Get help and support","translated"
"settingsRows.contractInfo","Contract Info","translated"
"settingsRows.contractInfoDescription","View contract details","translated"
"settingsRows.derivation","Derivation Path","translated"
"settingsRows.derivationDescription","Customize and resync the active BIP44 path","translated"
"settingsRows.experimental","Experimental Features","translated"
"settingsRows.experimentalDescription","RPA · Quantumroot","translated"
"settingsRows.faucet","Chipnet Faucet","stable-term"
"settingsRows.faucetDescription","Get test BCH on Chipnet","translated"
"settingsRows.language","Language","translated"
"settingsRows.languageDescription","Choose the wallet interface language","translated"
"settingsRows.network","Network","translated"
"settingsRows.networkDescription","Switch between Mainnet and Chipnet","translated"
"settingsRows.nostr","Nostr & Chat","translated"
"settingsRows.nostrDescription","Private messages · Identity · Relay pool","translated"
"settingsRows.pendingOutbox","Pending Tx Locks","translated"
"settingsRows.pendingOutboxDescription","Review outgoing transaction locks","translated"
"settingsRows.recovery","Recovery Phrase","translated"
"settingsRows.recoveryDescription","Back up your wallet","translated"
"settingsRows.server","Servers","translated"
"settingsRows.serverDescription","Electrum · Block explorer · Transaction fees","translated"
"settingsRows.terms","Terms of Use","translated"
"settingsRows.termsDescription","Read our terms","translated"
"settingsRows.walletConnect","WalletConnect","stable-term"
"settingsRows.walletConnectDescription","Manage dApp connections","translated"
"settingsRows.wizardConnect","WizardConnect","stable-term"
"settingsRows.wizardConnectDescription","Connect to token wizards","translated"
"terms.acceptance","1. Acceptance of Terms","translated"
"terms.acceptanceText","By accessing and using the OPTN Wallet App (“the App”), you agree to comply with and be bound by these Terms of Use. If you do not agree, please do not use the App.","translated"
"terms.deviceSecurity","Ensuring the security of your device and the App.","translated"
"terms.modifications","6. Modifications","stable-term"
"terms.modificationsText","The developers may modify, suspend, or discontinue the App without prior notice and may update these Terms. You are responsible for reviewing them periodically.","translated"
"terms.noLiability","4. No Liability","translated"
"terms.noLiabilityText","The developers assume no liability for loss, damage, or unauthorized access arising from use of the App, including cryptocurrency loss, data breaches, or device malfunctions. You use the App at your own risk.","translated"
"terms.noWarranty","5. No Warranty","translated"
"terms.noWarrantyText","The App is provided “as is” without express or implied warranties. The developers do not guarantee reliability, accuracy, completeness, error-free operation, or uninterrupted service.","translated"
"terms.purpose","2. Purpose","translated"
"terms.purposeText","The OPTN Wallet App lets users securely store, send, and receive cryptocurrency. You are responsible for the security of your private keys and assets.","translated"
"terms.responsibilities","3. User Responsibilities","translated"
"terms.responsibilitiesIntro","The OPTN Wallet App handles real cryptocurrency. You are solely responsible for:","translated"
"terms.responsibilitiesText","The development team is not responsible for loss of assets or unauthorized access resulting from failure to follow these practices.","translated"
"terms.safeguard","Safeguarding your private keys and recovery phrases.","translated"
"terms.verify","Verifying transaction details before confirming any actions.","translated"
"token.activeMinting","Active Minting","translated"
"token.authHead","Auth Head","translated"
"token.bcmr","BCMR","stable-term"
"token.bcmrUnavailable","BCMR metadata unavailable","translated"
"token.category","Category","translated"
"token.chainStatsError","Unable to load token chain statistics right now.","translated"
"token.decimals","Decimals","translated"
"token.id","Token ID","translated"
"token.loading","Loading token data…","translated"
"token.no","No","translated"
"token.symbol","Symbol","translated"
"token.totalNfts","Total NFTs","translated"
"token.totalSupply","Total Supply","translated"
"token.unavailable","Unavailable","translated"
"token.yes","Yes","translated"
"tor.appRunsOwn","The app runs its own Tor — no Tor Browser needed","translated"
"tor.autoDetect","Auto-detect (9050 / 9150)","translated"
"tor.bootstrapping","Bootstrapping Tor… {percent}%","translated"
"tor.check","Check Tor","translated"
"tor.checking","Checking…","translated"
"tor.desktopOnly","Desktop only","translated"
"tor.disable","Disable","translated"
"tor.enable","Enable","translated"
"tor.externalOption","Or use a Tor you run yourself:","translated"
"tor.foundOnPort","Tor found on port {port} ✓","translated"
"tor.integrated","Integrated Tor","translated"
"tor.manualPort","Manual port","translated"
"tor.noExternal","No external Tor found. Either press “Start integrated Tor” above (recommended), or start Tor Browser (9150) / a system Tor daemon (9050) and press “Check Tor”. Without Tor, remote CashFusion is blocked.","translated"
"tor.noProxy","No Tor proxy running ✗","translated"
"tor.remoteRequired","Required for remote CashFusion servers","translated"
"tor.runningOn","Running on port {port} ✓","translated"
"tor.starting","Starting…","translated"
"tor.startIntegrated","Start integrated Tor","translated"
"tor.stop","Stop","translated"
"tor.title","Tor","stable-term"
"tor.usingManual","Using manual port {port}","translated"
