"key","English (en)","Vietnamese (vi)","Status"
"outbox.finalizing","Finalizing transaction","Đang hoàn tất giao dịch","translated"
"outbox.finalizingMultiple","Finalizing {count} transactions","Đang hoàn tất {count} giao dịch","translated"
"outbox.historyUpdate","Your wallet history will update automatically. This usually takes a moment.","Lịch sử ví sẽ tự động cập nhật. Thường chỉ mất một lát.","translated"
"outbox.hoursAgo","{count}h ago","{count} giờ trước","translated"
"outbox.justNow","just now","vừa xong","translated"
"outbox.lastNetworkIssue","Last network issue","Sự cố mạng gần nhất","translated"
"outbox.minutesAgo","{count}m ago","{count} phút trước","translated"
"outbox.noPending","No pending outgoing transactions.","Không có giao dịch gửi đi đang chờ.","translated"
"outbox.pendingOutgoing","Pending outgoing transactions","Giao dịch gửi đi đang chờ","translated"
"outbox.prompt","Prompt","Yêu cầu","translated"
"outbox.releaseSendLock","Release send lock","Giải phóng khóa gửi","translated"
"outbox.releaseStale","Release if stale","Giải phóng nếu đã cũ","translated"
"outbox.releaseStaleTitle","Available after {minutes} minutes if the transaction is still unresolved","Có thể dùng sau {minutes} phút nếu giao dịch vẫn chưa được xử lý","translated"
"outbox.requestedBy","Requested by","Yêu cầu bởi","translated"
"outbox.title","Outbox","Hộp thư đi","translated"
"outbox.txid","Txid","Txid","stable-term"
"outbox.updated","Updated {age}","Đã cập nhật {age}","translated"
"outbox.walletSend","Wallet send","Gửi từ ví","translated"
"p2p.description","No server: peers meet on Nostr relays over Tor, deterministically elect a coordinator, and run the CoinJoin peer-to-peer. Outputs are unlinkable; you sign only your own inputs after verifying your own outputs.","Không cần máy chủ: các peer gặp nhau trên relay Nostr qua Tor, bầu điều phối viên xác định và chạy CoinJoin ngang hàng. Đầu ra không thể liên kết; bạn chỉ ký đầu vào của mình sau khi xác minh đầu ra.","translated"
"p2p.phase.announce","Announcing & finding peers","Thông báo và tìm peer","translated"
"p2p.phase.assemble","Assembling & verifying","Lắp ráp và xác minh","translated"
"p2p.phase.broadcast","Broadcasting","Đang phát","translated"
"p2p.phase.register","Registering inputs & outputs","Đăng ký đầu vào và đầu ra","translated"
"p2p.phase.sign","Signing","Đang ký","translated"
"p2p.requiresPeers","Requires Tor + at least 2 peers in the same tier.","Cần Tor và ít nhất 2 peer cùng nhóm.","translated"
"p2p.running","Running P2P round…","Đang chạy vòng P2P…","translated"
"p2p.start","Start P2P round","Bắt đầu vòng P2P","translated"
"p2p.title","P2P Fusion over Nostr","Fusion P2P qua Nostr","translated"
"paper.addressConversionError","Address conversion error","Lỗi chuyển đổi địa chỉ","translated"
"paper.addressDerivationFailed","Unable to derive a valid paper wallet address from the scanned key.","Không thể dẫn xuất địa chỉ ví giấy hợp lệ từ khóa đã quét.","translated"
"paper.back","Back","Quay lại","translated"
"paper.bchOutputs","BCH outputs","Đầu ra BCH","translated"
"paper.buildFailed","Failed to build sweep transaction.","Tạo giao dịch chuyển thất bại.","translated"
"paper.confirmDescription","Slide to confirm the one-transaction paper wallet sweep.","Trượt để xác nhận chuyển ví giấy trong một giao dịch.","translated"
"paper.confirmTitle","Confirm sweep","Xác nhận chuyển","translated"
"paper.decodingError","Decoding error","Lỗi giải mã","translated"
"paper.description","Scan a WIF paper wallet and sweep BCH + CashTokens in one transaction.","Quét ví giấy WIF và chuyển BCH + CashTokens trong một giao dịch.","translated"
"paper.label","Paper wallet","Ví giấy","translated"
"paper.noCashTokens","No CashTokens detected.","Không phát hiện CashToken.","translated"
"paper.noDestination","No destination wallet address is available.","Không có địa chỉ ví đích.","translated"
"paper.noQrCode","No QR code detected. Please try again.","Không phát hiện mã QR. Hãy thử lại.","translated"
"paper.notScanned","No paper wallet scanned yet.","Chưa quét ví giấy nào.","translated"
"paper.noUtxos","No UTXOs found for this paper wallet. If this is a mainnet wallet and you are on chipnet, try switching networks.","Không tìm thấy UTXO cho ví giấy này. Nếu là ví mainnet nhưng bạn đang ở chipnet, hãy đổi mạng.","translated"
"paper.oneTransaction","One transaction only.","Chỉ một giao dịch.","translated"
"paper.paperInputs","Paper wallet inputs","Đầu vào ví giấy","translated"
"paper.scan","Scan","Quét","translated"
"paper.scanBeforeSweep","Scan a paper wallet before sweeping.","Hãy quét ví giấy trước khi chuyển.","translated"
"paper.spendableOutputPlural","spendable outputs","đầu ra có thể chi","translated"
"paper.spendableOutputSingular","spendable output","đầu ra có thể chi","translated"
"paper.sweep","Sweep","Chuyển","translated"
"paper.sweepBroadcast","Sweep broadcast","Đã phát giao dịch chuyển","translated"
"paper.title","Paper Wallet","Ví giấy","translated"
"paper.tokenBacking","Token outputs are backed with 1000 sats.","Đầu ra token được bảo chứng bằng 1000 sats.","translated"
"paper.tokenGroups","Token groups","Nhóm token","translated"
"paper.tokenOutputs","Token outputs","Đầu ra token","translated"
"paper.unexpected","An unexpected error occurred.","Đã xảy ra lỗi không mong muốn.","translated"
"paper.unexpectedTryAgain","An unexpected error occurred. Please try again.","Đã xảy ra lỗi không mong muốn. Hãy thử lại.","translated"
"paper.utxosTitle","Paper wallet UTXOs","UTXO ví giấy","translated"
"paper.walletFeeInputs","Wallet fee inputs","Đầu vào phí ví","translated"
"priceFeed.loading","Loading…","Đang tải…","translated"
"qr.animatedTransfer","Animated QR transfer","Chuyển QR động","translated"
"qr.blocksRecovered","blocks recovered","khối đã khôi phục","translated"
"qr.cameraActive","Camera active — point at animated QR","Đã bật máy ảnh — hướng vào QR động","translated"
"qr.cameraError","Camera unavailable","Máy ảnh không khả dụng","translated"
"qr.cameraUnavailable","Camera access is unavailable","Không thể truy cập máy ảnh","translated"
"qr.cancel","Cancel","Hủy","translated"
"qr.duplicates","duplicates","bản trùng","translated"
"qr.holdSteady","Hold the phone steady and fill the frame with the QR code.","Giữ điện thoại yên và đưa mã QR vào đầy khung hình.","translated"
"qr.receivingStream","Receiving QR stream","Đang nhận luồng QR","translated"
"qr.scan","Scan QR","Quét QR","translated"
"qr.scanning","Scanning…","Đang quét…","translated"
"qr.streaming","Streaming frame {frame} · {blocks} blocks · {bytes} bytes","Đang truyền khung {frame} · {blocks} khối · {bytes} byte","translated"
"qr.unableToDecode","Unable to decode QR stream","Không thể giải mã luồng QR","translated"
"qr.uniqueFrames","unique frames","khung duy nhất","translated"
"qr.walletUpdateProgress","Wallet update progress","Tiến trình cập nhật ví","translated"
"qrSigning.approvedBy","Approved by {name}","Được phê duyệt bởi {name}","translated"
"qrSigning.approveDemo","Approve demo request","Phê duyệt yêu cầu demo","translated"
"qrSigning.approveReturn","2. Approve and return","2. Phê duyệt và trả về","translated"
"qrSigning.close","Close","Đóng","translated"
"qrSigning.collectResponse","2. Collect response","2. Nhận phản hồi","translated"
"qrSigning.fingerprint","Fingerprint","Dấu vân tay","translated"
"qrSigning.invalidRequest","Invalid signing request","Yêu cầu ký không hợp lệ","translated"
"qrSigning.invalidResponse","Invalid signing response","Phản hồi ký không hợp lệ","translated"
"qrSigning.mismatch","Signing response does not match this request","Phản hồi ký không khớp yêu cầu này","translated"
"qrSigning.network","Network","Mạng","translated"
"qrSigning.payload","Payload","Dữ liệu tải","translated"
"qrSigning.placeholderWarning","This demo returns a placeholder signature and never broadcasts.","Bản demo này trả về chữ ký giữ chỗ và không bao giờ phát giao dịch.","translated"
"qrSigning.prepareFailed","Unable to prepare mocknet fixture","Không thể chuẩn bị fixture mocknet","translated"
"qrSigning.preparing","Preparing mocknet fixture…","Đang chuẩn bị fixture mocknet…","translated"
"qrSigning.purpose","Purpose","Mục đích","translated"
"qrSigning.rejectedBy","Rejected by {name}","Bị từ chối bởi {name}","translated"
"qrSigning.requestReceived","Request received","Đã nhận yêu cầu","translated"
"qrSigning.requestSignature","Request signature","Yêu cầu chữ ký","translated"
"qrSigning.scanAnother","Scan another request","Quét yêu cầu khác","translated"
"qrSigning.scanApproval","Scan approval response","Quét phản hồi phê duyệt","translated"
"qrSigning.scanRequest","1. Scan request","1. Quét yêu cầu","translated"
"qrSigning.showRequest","1. Show request","1. Hiện yêu cầu","translated"
"qrSigning.showRequestHelp","On the other wallet, choose “Sign request” and scan this stream.","Trên ví kia, chọn “Ký yêu cầu” và quét luồng này.","translated"
"qrSigning.signRequest","Sign request","Ký yêu cầu","translated"
"qrSigning.subtitle","Exchange a partially signed transaction between two OPTN wallet screens.","Trao đổi giao dịch đã ký một phần giữa hai màn hình OPTN Wallet.","translated"
"qrSigning.title","QR signing demo","Bản demo ký bằng QR","translated"
"quantumroot.activeNetwork","Quantumroot is active on this network. Use the vault workspace below to manage a normal spend lane and a quantum-safe recovery lane.","Quantumroot đang hoạt động trên mạng này. Dùng không gian bên dưới để quản lý tuyến chi tiêu thường và tuyến khôi phục chống lượng tử.","translated"
"quantumroot.activeWorkspace","Active workspace for the beta-production Quantumroot flow.","Không gian hoạt động cho quy trình Quantumroot sản xuất beta.","translated"
"quantumroot.back","Back","Quay lại","translated"
"quantumroot.betaProduction","Beta production","Sản xuất beta","translated"
"quantumroot.betaTitle","Quantumroot Beta Production","Quantumroot sản xuất beta","translated"
"quantumroot.checkingBalances","Checking balances…","Đang kiểm tra số dư…","translated"
"quantumroot.close","Close","Đóng","translated"
"quantumroot.funded","{count} funded","{count} đã cấp tiền","translated"
"quantumroot.fundedStatus","Funded","Đã cấp tiền","translated"
"quantumroot.guidedNow","Guided now: choose one approval key, lock it in Quantum Lock, then spend the matching coin.","Có hướng dẫn: chọn một khóa phê duyệt, khóa trong Quantum Lock rồi chi coin tương ứng.","translated"
"quantumroot.liveNow","Live now: normal spending, balance tracking, and Quantum Lock BCH recovery.","Đã dùng được: chi tiêu thường, theo dõi số dư và khôi phục BCH bằng Quantum Lock.","translated"
"quantumroot.livePreview","Live preview","Bản xem trước trực tiếp","translated"
"quantumroot.mainnetAhead","Quantumroot is visible on mainnet ahead of activation. The layout stays available, but key actions remain disabled until {date}.","Quantumroot hiển thị trên Mainnet trước khi kích hoạt. Bố cục vẫn dùng được nhưng các thao tác chính bị tắt cho đến {date}.","translated"
"quantumroot.mainnetPreview","Mainnet preview stays visible before activation.","Bản xem trước Mainnet vẫn hiển thị trước khi kích hoạt.","translated"
"quantumroot.noFundsYet","No funds yet","Chưa có tiền","translated"
"quantumroot.noVaults","No Quantumroot vaults derived yet. Sync vaults to provision them for existing wallet address indexes.","Chưa có vault Quantumroot nào được dẫn xuất. Đồng bộ vault để cấp chúng cho các chỉ mục địa chỉ hiện có của ví.","translated"
"quantumroot.openVaults","Open Vaults","Mở vault","translated"
"quantumroot.popup.action.chooseCoinLabel","Choose coin to spend","Choose coin to spend","needs-review"
"quantumroot.popup.action.chooseDescription","Choose one approval key for this vault.","Choose one approval key for this vault.","needs-review"
"quantumroot.popup.action.chooseLabel","Choose approval key","Choose approval key","needs-review"
"quantumroot.popup.action.chooseTitle","Choose an approval key","Choose an approval key","needs-review"
"quantumroot.popup.action.createDescription","Create or receive a plain NFT first, then use it as the approval key.","Create or receive a plain NFT first, then use it as the approval key.","needs-review"
"quantumroot.popup.action.createTitle","Create an approval key","Create an approval key","needs-review"
"quantumroot.popup.action.destinationDescription","Choose where the coin should go, then open the spend list.","Choose where the coin should go, then open the spend list.","needs-review"
"quantumroot.popup.action.destinationLabel","Set destination","Set destination","needs-review"
"quantumroot.popup.action.destinationTitle","Choose a destination","Choose a destination","needs-review"
"quantumroot.popup.action.disabledDescription","The spend list is ready, but spending is disabled on this network.","The spend list is ready, but spending is disabled on this network.","needs-review"
"quantumroot.popup.action.readyDescription","Tap a ready coin to spend it.","Tap a ready coin to spend it.","needs-review"
"quantumroot.popup.action.readyTitle","Ready to spend","Ready to spend","needs-review"
"quantumroot.popup.action.receiveDescription","Send the matching receive coin to the normal lane.","Send the matching receive coin to the normal lane.","needs-review"
"quantumroot.popup.action.receiveLabel","Add receive coin","Add receive coin","needs-review"
"quantumroot.popup.action.receiveTitle","Add the matching receive coin","Add the matching receive coin","needs-review"
"quantumroot.popup.action.refreshDescription","Refresh the wallet scan or choose another approval key.","Refresh the wallet scan or choose another approval key.","needs-review"
"quantumroot.popup.action.refreshLabel","Refresh vault","Refresh vault","needs-review"
"quantumroot.popup.action.refreshTitle","Refresh the vault","Refresh the vault","needs-review"
"quantumroot.popup.action.reviewLabel","Review spend","Review spend","needs-review"
"quantumroot.popup.action.sendDescription","Send the approval key to Quantum Lock.","Send the approval key to Quantum Lock.","needs-review"
"quantumroot.popup.action.sendLabel","Send approval key","Send approval key","needs-review"
"quantumroot.popup.action.sendTitle","Send the approval key","Send the approval key","needs-review"
"quantumroot.popup.addDestinationReview","Add a destination, then review spend.","Add a destination, then review spend.","needs-review"
"quantumroot.popup.addMatchingCoin","Add the matching coin to unlock spend.","Add the matching coin to unlock spend.","needs-review"
"quantumroot.popup.advanced","Advanced","Advanced","needs-review"
"quantumroot.popup.advancedRecovery","Advanced recovery","Advanced recovery","needs-review"
"quantumroot.popup.advancedRecoveryDescription","Recover regular BCH, recover Quantum Lock funds, or refresh vault status.","Recover regular BCH, recover Quantum Lock funds, or refresh vault status.","needs-review"
"quantumroot.popup.approvalKey","Approval key","Approval key","needs-review"
"quantumroot.popup.approvalKeyCapability","Approval key","Approval key","needs-review"
"quantumroot.popup.approvalKeyChanged","Approval key changed on chain","Approval key changed on chain","needs-review"
"quantumroot.popup.approvalKeyInLock","Approval key is in Quantum Lock.","Approval key is in Quantum Lock.","needs-review"
"quantumroot.popup.approvalKeyInQuantumLock","Your approval key is in Quantum Lock.","Your approval key is in Quantum Lock.","needs-review"
"quantumroot.popup.approvalKeyPicked","Approval key picked.","Approval key picked.","needs-review"
"quantumroot.popup.approvalKeySelected","Approval key selected","Approval key selected","needs-review"
"quantumroot.popup.approvalLane","Approval lane","Approval lane","needs-review"
"quantumroot.popup.approvalLaneDescription","Your approval key goes to Quantum Lock.","Your approval key goes to Quantum Lock.","needs-review"
"quantumroot.popup.available","{count} available","{count} available","needs-review"
"quantumroot.popup.availableApprovalKeys","Available approval keys","Available approval keys","needs-review"
"quantumroot.popup.bchRecoveryDescription","BCH recovery sends back to the matching standard wallet address for this vault index when available.","BCH recovery sends back to the matching standard wallet address for this vault index when available.","needs-review"
"quantumroot.popup.bchRecoveryDisabled","BCH recovery is temporarily disabled until the on-chain receive-script validation issue is resolved.","BCH recovery is temporarily disabled until the on-chain receive-script validation issue is resolved.","needs-review"
"quantumroot.popup.block.approvalPending","Send one approval key to Quantum Lock.","Send one approval key to Quantum Lock.","needs-review"
"quantumroot.popup.block.inactiveNetwork","Quantumroot spending is disabled on this network.","Quantumroot spending is disabled on this network.","needs-review"
"quantumroot.popup.block.noDestination","Choose a destination address before spending.","Choose a destination address before spending.","needs-review"
"quantumroot.popup.block.noFamily","Create or receive a plain NFT first. It becomes your approval key.","Create or receive a plain NFT first. It becomes your approval key.","needs-review"
"quantumroot.popup.block.pickFamily","Choose one plain NFT to use as the approval key.","Choose one plain NFT to use as the approval key.","needs-review"
"quantumroot.popup.block.receivePending","Send the matching receive coin to the normal lane.","Send the matching receive coin to the normal lane.","needs-review"
"quantumroot.popup.block.staleInventory","Your selected approval key is not visible right now. Refresh the vault or choose another key.","Your selected approval key is not visible right now. Refresh the vault or choose another key.","needs-review"
"quantumroot.popup.broadcastWarning","This will broadcast after confirmation.","This will broadcast after confirmation.","needs-review"
"quantumroot.popup.category","Category:","Category:","needs-review"
"quantumroot.popup.chooseApprovalKey","Choose approval key","Choose approval key","needs-review"
"quantumroot.popup.chooseApprovalKeyDescription","Quantumroot uses one plain NFT as the approval key. Advanced token tools live in CashTokens.","Quantumroot uses one plain NFT as the approval key. Advanced token tools live in CashTokens.","needs-review"
"quantumroot.popup.chooseOneApproval","Choose one approval key to continue.","Choose one approval key to continue.","needs-review"
"quantumroot.popup.commitment","Commitment:","Commitment:","needs-review"
"quantumroot.popup.completeSteps","Complete the approval key and matching receive coin steps before spending.","Complete the approval key and matching receive coin steps before spending.","needs-review"
"quantumroot.popup.confirmed","Confirmed","Confirmed","needs-review"
"quantumroot.popup.copyDestination","Copy destination","Copy destination","needs-review"
"quantumroot.popup.copyOrScanFund","Copy or scan to fund this vault.","Copy or scan to fund this vault.","needs-review"
"quantumroot.popup.copyQuantumLock","Copy Quantum Lock","Copy Quantum Lock","needs-review"
"quantumroot.popup.copyReceiveAddress","Copy receive address","Copy receive address","needs-review"
"quantumroot.popup.copyRecoveryAddress","Copy recovery address","Copy recovery address","needs-review"
"quantumroot.popup.createOrReceive","Create or receive a plain NFT first, then it will appear here as an approval key you can choose.","Create or receive a plain NFT first, then it will appear here as an approval key you can choose.","needs-review"
"quantumroot.popup.destination","Destination","Destination","needs-review"
"quantumroot.popup.destinationAddress","Destination address","Destination address","needs-review"
"quantumroot.popup.done","Done","Done","needs-review"
"quantumroot.popup.empty","empty","empty","needs-review"
"quantumroot.popup.found","{count} found","{count} found","needs-review"
"quantumroot.popup.fundMatchingReceive","Fund matching receive coin","Fund matching receive coin","needs-review"
"quantumroot.popup.fundMatchingReceiveDescription","Open the send screen prefilled to the vault receive address with the same approval key.","Open the send screen prefilled to the vault receive address with the same approval key.","needs-review"
"quantumroot.popup.helpShortcuts","Help and shortcuts","Help and shortcuts","needs-review"
"quantumroot.popup.inQuantumLock","{count} in Quantum Lock","{count} in Quantum Lock","needs-review"
"quantumroot.popup.inWallet","{count} in wallet","{count} in wallet","needs-review"
"quantumroot.popup.locked","{count} locked","{count} locked","needs-review"
"quantumroot.popup.mainnetDisabled","Mainnet Quantumroot uses the same UI as Chipnet, but the spend, recovery, and token-configuration actions remain disabled until activation on {date}.","Mainnet Quantumroot uses the same UI as Chipnet, but the spend, recovery, and token-configuration actions remain disabled until activation on {date}.","needs-review"
"quantumroot.popup.mintingNft","Minting NFT","Minting NFT","needs-review"
"quantumroot.popup.missing","Missing","Missing","needs-review"
"quantumroot.popup.mutableNft","Mutable NFT","Mutable NFT","needs-review"
"quantumroot.popup.needed","Needed","Needed","needs-review"
"quantumroot.popup.neededLater","Needed later","Needed later","needs-review"
"quantumroot.popup.nextStep","Next step","Next step","needs-review"
"quantumroot.popup.noApprovalKey","No approval key","No approval key","needs-review"
"quantumroot.popup.noDestination","No destination set","No destination set","needs-review"
"quantumroot.popup.noReadyCoin","No ready coin is available yet. After the approval key and the matching receive coin are present, spendable coins appear here.","No ready coin is available yet. After the approval key and the matching receive coin are present, spendable coins appear here.","needs-review"
"quantumroot.popup.normalLane","Normal vault lane","Normal vault lane","needs-review"
"quantumroot.popup.normalLaneDescription","Your BCH and matching receive coin go here.","Your BCH and matching receive coin go here.","needs-review"
"quantumroot.popup.normalLanePending","Add the matching receive coin after the approval key is in Quantum Lock.","Add the matching receive coin after the approval key is in Quantum Lock.","needs-review"
"quantumroot.popup.normalLaneReady","Your normal lane is ready.","Your normal lane is ready.","needs-review"
"quantumroot.popup.noStandardAddress","No standard wallet address available","No standard wallet address available","needs-review"
"quantumroot.popup.openCashTokens","Open CashTokens","Open CashTokens","needs-review"
"quantumroot.popup.openReceiveScreen","Open receive screen","Open receive screen","needs-review"
"quantumroot.popup.otherNft","Other NFT","Other NFT","needs-review"
"quantumroot.popup.otherNftDescription","It sits in Quantum Lock, but it is not the selected approval key. No direct withdrawal path exists yet.","It sits in Quantum Lock, but it is not the selected approval key. No direct withdrawal path exists yet.","needs-review"
"quantumroot.popup.otherNftInQuantumLock","Other NFT in Quantum Lock","Other NFT in Quantum Lock","needs-review"
"quantumroot.popup.otherNfts","{count} other NFT(s)","{count} other NFT(s)","needs-review"
"quantumroot.popup.outpoint","Outpoint","Outpoint","stable-term"
"quantumroot.popup.pending","Pending","Pending","needs-review"
"quantumroot.popup.pendingCoin","Pending coin","Pending coin","needs-review"
"quantumroot.popup.pickApprovalKey","Pick one approval key.","Pick one approval key.","needs-review"
"quantumroot.popup.plainBchCoins","{count} plain BCH coin(s)","{count} plain BCH coin(s)","needs-review"
"quantumroot.popup.plainBchDescription","Use this for plain BCH coins. Protected coins stay in the lanes above.","Use this for plain BCH coins. Protected coins stay in the lanes above.","needs-review"
"quantumroot.popup.previewOnly","Preview only on mainnet until activation.","Preview only on mainnet until activation.","needs-review"
"quantumroot.popup.protectedReceiveCount","Coins already handled by Protected spend: {count}","Coins already handled by Protected spend: {count}","needs-review"
"quantumroot.popup.protectedSpend","Protected spend","Protected spend","needs-review"
"quantumroot.popup.protectedSpendDescription","When the approval key and matching receive coin are present, spending opens here.","When the approval key and matching receive coin are present, spending opens here.","needs-review"
"quantumroot.popup.quantumLock","Quantum Lock","Quantum Lock","stable-term"
"quantumroot.popup.quantumLockBch","Quantum Lock BCH","Quantum Lock BCH","needs-review"
"quantumroot.popup.quantumLockRecovery","Quantum Lock recovery","Quantum Lock recovery","needs-review"
"quantumroot.popup.quantumLockRecoveryCount","Quantum Lock recovery coins: {count}","Quantum Lock recovery coins: {count}","needs-review"
"quantumroot.popup.quantumrootOpens","Quantumroot opens once the approval key sits in Quantum Lock and the matching receive coin sits in the normal lane.","Quantumroot opens once the approval key sits in Quantum Lock and the matching receive coin sits in the normal lane.","needs-review"
"quantumroot.popup.ready","Ready","Ready","needs-review"
"quantumroot.popup.readyCoin","Ready coin","Ready coin","needs-review"
"quantumroot.popup.readyCoinAvailable","Ready coin available.","Ready coin available.","needs-review"
"quantumroot.popup.readyCoins","{count} ready coin(s)","{count} ready coin(s)","needs-review"
"quantumroot.popup.receiveAddress","Receive address","Receive address","needs-review"
"quantumroot.popup.receiveBch","Receive BCH","Receive BCH","needs-review"
"quantumroot.popup.recover","Recover","Recover","needs-review"
"quantumroot.popup.recoverableBchCoins","Recoverable BCH coins","Recoverable BCH coins","needs-review"
"quantumroot.popup.recoverableBchCount","Recoverable BCH coins: {count}","Recoverable BCH coins: {count}","needs-review"
"quantumroot.popup.recovering","Recovering…","Recovering…","needs-review"
"quantumroot.popup.recoverRegularBch","Recover regular BCH","Recover regular BCH","needs-review"
"quantumroot.popup.refresh","Refresh","Refresh","needs-review"
"quantumroot.popup.refreshChooseAnother","Refresh the vault or choose another approval key.","Refresh the vault or choose another approval key.","needs-review"
"quantumroot.popup.refreshVault","Refresh vault","Refresh vault","needs-review"
"quantumroot.popup.refreshVaultStatus","Refresh vault status","Refresh vault status","needs-review"
"quantumroot.popup.reviewDestination","Review the destination before broadcasting.","Review the destination before broadcasting.","needs-review"
"quantumroot.popup.reviewSpend","Review spend","Review spend","needs-review"
"quantumroot.popup.reviewSpendSubtitle","Check the destination, approval key, and ready coin before you broadcast.","Check the destination, approval key, and ready coin before you broadcast.","needs-review"
"quantumroot.popup.reviewSpendTitle","Review spend","Review spend","needs-review"
"quantumroot.popup.saveApprovalKey","Save approval key","Save approval key","needs-review"
"quantumroot.popup.saving","Saving…","Saving…","needs-review"
"quantumroot.popup.selectedApprovalKey","Selected approval key","Selected approval key","needs-review"
"quantumroot.popup.selectedAsApproval","Selected as approval key","Selected as approval key","needs-review"
"quantumroot.popup.sendApprovalHere","Send the approval key here.","Send the approval key here.","needs-review"
"quantumroot.popup.sendApprovalKey","Send approval key","Send approval key","needs-review"
"quantumroot.popup.sendApprovalKeyDescription","Open the send screen prefilled to Quantum Lock with the selected approval key.","Open the send screen prefilled to Quantum Lock with the selected approval key.","needs-review"
"quantumroot.popup.sendApprovalKeyToLock","Send the approval key to Quantum Lock.","Send the approval key to Quantum Lock.","needs-review"
"quantumroot.popup.sendSelectedApprovalKey","Send the selected approval key to Quantum Lock.","Send the selected approval key to Quantum Lock.","needs-review"
"quantumroot.popup.spend","Spend","Spend","needs-review"
"quantumroot.popup.spendDestination","Spend destination","Spend destination","needs-review"
"quantumroot.popup.spending","Spending…","Spending…","needs-review"
"quantumroot.popup.sweepBch","Sweep BCH coins ({count})","Sweep BCH coins ({count})","needs-review"
"quantumroot.popup.sweeping","Sweeping…","Sweeping…","needs-review"
"quantumroot.popup.tapToOpen","Tap to open","Tap to open","needs-review"
"quantumroot.popup.unsupportedQuantumLock","Coins in Quantum Lock that belong to Protected spend are handled above; this recovery list only includes plain BCH coins.","Coins in Quantum Lock that belong to Protected spend are handled above; this recovery list only includes plain BCH coins.","needs-review"
"quantumroot.popup.unsupportedReceive","Coins with an approval key stay in Protected spend; this recovery list only includes plain BCH coins.","Coins with an approval key stay in Protected spend; this recovery list only includes plain BCH coins.","needs-review"
"quantumroot.popup.useRecoveryAddress","Use wallet recovery address","Use wallet recovery address","needs-review"
"quantumroot.popup.vaultSetup","Vault setup","Vault setup","needs-review"
"quantumroot.popup.vaultSetupDescription","Copy addresses and choose the approval key.","Copy addresses and choose the approval key.","needs-review"
"quantumroot.popup.waiting","Waiting","Waiting","needs-review"
"quantumroot.popup.walletRecoveryAddress","Wallet recovery address","Wallet recovery address","needs-review"
"quantumroot.readyToRecover","{count} ready to recover","{count} sẵn sàng khôi phục","translated"
"quantumroot.refreshing","Refreshing balances and UTXO status. Vaults remain available while sync completes.","Đang làm mới số dư và trạng thái UTXO. Vault vẫn dùng được trong khi đồng bộ hoàn tất.","translated"
"quantumroot.subtitle","Two spending lanes in one vault","Hai tuyến chi tiêu trong một vault","translated"
"quantumroot.syncingVaults","Syncing Vaults…","Đang đồng bộ vault…","translated"
"quantumroot.syncVaults","Sync Vaults","Đồng bộ vault","translated"
"quantumroot.toast.approvalKeyMissing","This approval key is no longer visible. Refresh the vault or choose another key.","This approval key is no longer visible. Refresh the vault or choose another key.","needs-review"
"quantumroot.toast.authorizedBroadcast","Quantumroot authorized spend broadcast: {txid}","Quantumroot authorized spend broadcast: {txid}","needs-review"
"quantumroot.toast.authorizedFailed","Quantumroot authorized spend failed: {message}","Quantumroot authorized spend failed: {message}","needs-review"
"quantumroot.toast.broadcastAuthorizedFailed","Failed to broadcast Quantumroot authorized spend.","Failed to broadcast Quantumroot authorized spend.","needs-review"
"quantumroot.toast.broadcastLockRecoveryFailed","Failed to broadcast Quantum Lock recovery.","Failed to broadcast Quantum Lock recovery.","needs-review"
"quantumroot.toast.broadcastSpendFailed","Failed to broadcast Quantumroot spend.","Failed to broadcast Quantumroot spend.","needs-review"
"quantumroot.toast.broadcastSweepFailed","Failed to broadcast Quantumroot sweep.","Failed to broadcast Quantumroot sweep.","needs-review"
"quantumroot.toast.configureFailed","Failed to configure vault: {message}","Failed to configure vault: {message}","needs-review"
"quantumroot.toast.destinationRequired","Destination address is required.","Destination address is required.","needs-review"
"quantumroot.toast.ineligibleReceiveUtxo","That receive UTXO is not eligible for authorized spend.","That receive UTXO is not eligible for authorized spend.","needs-review"
"quantumroot.toast.invalidTokenCategory","Token category must be 64 hexadecimal characters.","Token category must be 64 hexadecimal characters.","needs-review"
"quantumroot.toast.lockRecoveryBroadcast","Quantum Lock recovery broadcast: {txid}","Quantum Lock recovery broadcast: {txid}","needs-review"
"quantumroot.toast.lockRecoveryFailed","Quantum Lock recovery failed: {message}","Quantum Lock recovery failed: {message}","needs-review"
"quantumroot.toast.noBchUtxos","No BCH-only receive UTXOs available to sweep.","No BCH-only receive UTXOs available to sweep.","needs-review"
"quantumroot.toast.noControlToken","No matching Quantum Lock control token is available yet.","No matching Quantum Lock control token is available yet.","needs-review"
"quantumroot.toast.previewActive","Quantumroot mainnet preview is active until activation.","Quantumroot mainnet preview is active until activation.","needs-review"
"quantumroot.toast.reconfigured","Quantumroot vault reconfigured.","Quantumroot vault reconfigured.","needs-review"
"quantumroot.toast.spendBroadcast","Quantumroot spend broadcast: {txid}","Quantumroot spend broadcast: {txid}","needs-review"
"quantumroot.toast.spendFailed","Quantumroot spend failed: {message}","Quantumroot spend failed: {message}","needs-review"
"quantumroot.toast.sweepBroadcast","Quantumroot sweep broadcast: {txid}","Quantumroot sweep broadcast: {txid}","needs-review"
"quantumroot.toast.sweepFailed","Quantumroot sweep failed: {message}","Quantumroot sweep failed: {message}","needs-review"
