"key","English (en)","Arabic (ar)","Status"
"onboarding.toggleTheme","Toggle theme","تبديل المظهر","translated"
"onboarding.walletAlreadyAvailable","This wallet is already available on this device.","هذه المحفظة متاحة بالفعل على الجهاز.","translated"
"onboarding.walletAlreadyExists","This wallet may already exist on this device.","قد تكون هذه المحفظة موجودة بالفعل على الجهاز.","translated"
"onboarding.walletNamePlaceholder","Wallet name","اسم المحفظة","translated"
"onboarding.walletSavedIdFailed","Wallet was saved, but its wallet ID could not be resolved.","تم حفظ المحفظة، لكن تعذّر تحديد معرّفها.","translated"
"onboarding.walletSetup","Wallet Setup","إعداد المحفظة","translated"
"onboarding.walletSetupDescription","Choose the network and address path this wallet will use.","اختر الشبكة ومسار العناوين الذي ستستخدمه هذه المحفظة.","translated"
"onboarding.welcomeAlt","OPTN Wallet","محفظة OPTN","stable-term"
"onboarding.word","Word","كلمة","translated"
"onboarding.wordCountLabel","Phrase length","طول العبارة","translated"
"onboarding.wordPlaceholder","word","كلمة","translated"
"onboarding.words","words","كلمات","translated"
"onboarding.wroteItDown","I've written it down","لقد دوّنتها","translated"
"outbox.amount","Amount","المبلغ","translated"
"outbox.clearPending","Clear pending lock","مسح القفل المعلق","translated"
"outbox.clearPendingTitle","Clear this pending lock if the transaction was not actually sent","امسح هذا القفل إذا لم تُرسل المعاملة فعليًا","translated"
"outbox.copyTxid","Copy txid","نسخ معرّف المعاملة","translated"
"outbox.daysAgo","{count}d ago","قبل {count} يوم","translated"
"outbox.description","Offline-first protection keeps new sends paused until these transactions are seen or safely released.","تحافظ الحماية التي تعمل دون اتصال على إيقاف الإرسالات الجديدة حتى تُرى هذه المعاملات أو تُحرر بأمان.","translated"
"outbox.destination","Destination","الوجهة","stable-term"
"outbox.dismiss","Dismiss","إغلاق","translated"
"outbox.dismissPending","Dismiss pending transactions popup","إغلاق نافذة المعاملات المعلقة","translated"
"outbox.finalizing","Finalizing transaction","جارٍ إنهاء المعاملة","translated"
"outbox.finalizingMultiple","Finalizing {count} transactions","جارٍ إنهاء {count} معاملات","translated"
"outbox.historyUpdate","Your wallet history will update automatically. This usually takes a moment.","سيُحدّث سجل محفظتك تلقائيًا. يستغرق ذلك عادةً لحظة.","translated"
"outbox.hoursAgo","{count}h ago","قبل {count} ساعة","translated"
"outbox.justNow","just now","الآن","translated"
"outbox.lastNetworkIssue","Last network issue","آخر مشكلة في الشبكة","translated"
"outbox.minutesAgo","{count}m ago","قبل {count} دقيقة","translated"
"outbox.noPending","No pending outgoing transactions.","لا توجد معاملات صادرة معلقة.","translated"
"outbox.pendingOutgoing","Pending outgoing transactions","المعاملات الصادرة المعلقة","translated"
"outbox.prompt","Prompt","المطالبة","translated"
"outbox.releaseSendLock","Release send lock","تحرير قفل الإرسال","translated"
"outbox.releaseStale","Release if stale","تحرير إذا كان قديمًا","translated"
"outbox.releaseStaleTitle","Available after {minutes} minutes if the transaction is still unresolved","متاح بعد {minutes} دقيقة إذا بقيت المعاملة دون حل","translated"
"outbox.requestedBy","Requested by","طلبه","translated"
"outbox.title","Outbox","صندوق الصادر","translated"
"outbox.txid","Txid","معرّف المعاملة","stable-term"
"outbox.updated","Updated {age}","تم التحديث {age}","translated"
"outbox.walletSend","Wallet send","إرسال من المحفظة","translated"
"p2p.description","No server: peers meet on Nostr relays over Tor, deterministically elect a coordinator, and run the CoinJoin peer-to-peer. Outputs are unlinkable; you sign only your own inputs after verifying your own outputs.","دون خادم: يلتقي الأقران عبر مرحلات Nostr باستخدام Tor، وينتخبون منسقًا حتميًا، وينفذون CoinJoin من نظير إلى نظير. لا يمكن ربط المخرجات، ولا توقّع إلا مدخلاتك بعد التحقق من مخرجاتك.","translated"
"p2p.phase.announce","Announcing & finding peers","الإعلان والعثور على أقران","translated"
"p2p.phase.assemble","Assembling & verifying","التجميع والتحقق","translated"
"p2p.phase.broadcast","Broadcasting","البث","translated"
"p2p.phase.register","Registering inputs & outputs","تسجيل المدخلات والمخرجات","translated"
"p2p.phase.sign","Signing","التوقيع","translated"
"p2p.requiresPeers","Requires Tor + at least 2 peers in the same tier.","يتطلب Tor واثنين من الأقران على الأقل في الفئة نفسها.","translated"
"p2p.running","Running P2P round…","جارٍ تشغيل جولة P2P…","translated"
"p2p.start","Start P2P round","بدء جولة P2P","translated"
"p2p.title","P2P Fusion over Nostr","P2P Fusion عبر Nostr","translated"
"paper.addressConversionError","Address conversion error","خطأ في تحويل العنوان","translated"
"paper.addressDerivationFailed","Unable to derive a valid paper wallet address from the scanned key.","تعذر اشتقاق عنوان محفظة ورقية صالح من المفتاح الممسوح.","translated"
"paper.back","Back","رجوع","translated"
"paper.bchOutputs","BCH outputs","مخرجات BCH","translated"
"paper.buildFailed","Failed to build sweep transaction.","فشل بناء معاملة التحويل الشامل.","translated"
"paper.confirmDescription","Slide to confirm the one-transaction paper wallet sweep.","اسحب لتأكيد تحويل المحفظة الورقية في معاملة واحدة.","translated"
"paper.confirmTitle","Confirm sweep","تأكيد التحويل الشامل","translated"
"paper.decodingError","Decoding error","خطأ في فك الترميز","translated"
"paper.description","Scan a WIF paper wallet and sweep BCH + CashTokens in one transaction.","امسح محفظة WIF الورقية وابث BCH وCashTokens في معاملة واحدة.","translated"
"paper.label","Paper wallet","محفظة ورقية","translated"
"paper.noCashTokens","No CashTokens detected.","لم يتم العثور على CashTokens.","translated"
"paper.noDestination","No destination wallet address is available.","لا يتوفر عنوان محفظة وجهة.","translated"
"paper.noQrCode","No QR code detected. Please try again.","لم يتم العثور على رمز QR. حاول مرة أخرى.","translated"
"paper.notScanned","No paper wallet scanned yet.","لم يتم مسح محفظة ورقية بعد.","translated"
"paper.noUtxos","No UTXOs found for this paper wallet. If this is a mainnet wallet and you are on chipnet, try switching networks.","لم يتم العثور على UTXOs لهذه المحفظة الورقية.","translated"
"paper.oneTransaction","One transaction only.","معاملة واحدة فقط.","translated"
"paper.paperInputs","Paper wallet inputs","مدخلات المحفظة الورقية","translated"
"paper.scan","Scan","مسح","translated"
"paper.scanBeforeSweep","Scan a paper wallet before sweeping.","امسح محفظة ورقية قبل التحويل الشامل.","translated"
"paper.spendableOutputPlural","spendable outputs","مخرجات قابلة للإنفاق","translated"
"paper.spendableOutputSingular","spendable output","مخرج قابل للإنفاق","translated"
"paper.sweep","Sweep","تحويل شامل","translated"
"paper.sweepBroadcast","Sweep broadcast","بث التحويل الشامل","translated"
"paper.title","Paper Wallet","محفظة ورقية","translated"
"paper.tokenBacking","Token outputs are backed with 1000 sats.","تدعم مخرجات الرموز 1000 ساتوشي.","translated"
"paper.tokenGroups","Token groups","مجموعات الرموز","translated"
"paper.tokenOutputs","Token outputs","مخرجات الرموز","translated"
"paper.unexpected","An unexpected error occurred.","حدث خطأ غير متوقع.","translated"
"paper.unexpectedTryAgain","An unexpected error occurred. Please try again.","حدث خطأ غير متوقع. حاول مرة أخرى.","translated"
"paper.utxosTitle","Paper wallet UTXOs","UTXOs المحفظة الورقية","translated"
"paper.walletFeeInputs","Wallet fee inputs","مدخلات رسوم المحفظة","translated"
"priceFeed.loading","Loading…","جارٍ التحميل…","translated"
"qr.animatedTransfer","Animated QR transfer","تحويل QR متحرك","translated"
"qr.blocksRecovered","blocks recovered","كتل مستعادة","translated"
"qr.cameraActive","Camera active — point at animated QR","الكاميرا نشطة — وجّهها إلى QR متحرك","translated"
"qr.cameraError","Camera unavailable","الكاميرا غير متاحة","translated"
"qr.cameraUnavailable","Camera access is unavailable","الوصول إلى الكاميرا غير متاح","translated"
"qr.cancel","Cancel","إلغاء","translated"
"qr.duplicates","duplicates","مكررات","translated"
"qr.holdSteady","Hold the phone steady and fill the frame with the QR code.","ثبّت الهاتف واملأ الإطار برمز QR.","translated"
"qr.receivingStream","Receiving QR stream","جارٍ استقبال بث QR","translated"
"qr.scan","Scan QR","مسح QR","translated"
"qr.scanning","Scanning…","جارٍ المسح…","translated"
"qr.streaming","Streaming frame {frame} · {blocks} blocks · {bytes} bytes","بث الإطار {frame} · {blocks} كتل · {bytes} بايت","translated"
"qr.unableToDecode","Unable to decode QR stream","تعذر فك بث QR","translated"
"qr.uniqueFrames","unique frames","إطارات فريدة","translated"
"qr.walletUpdateProgress","Wallet update progress","تقدم تحديث المحفظة","translated"
"qrSigning.approvedBy","Approved by {name}","تمت الموافقة بواسطة {name}","translated"
"qrSigning.approveDemo","Approve demo request","الموافقة على الطلب التجريبي","translated"
"qrSigning.approveReturn","2. Approve and return","2. الموافقة والعودة","translated"
"qrSigning.close","Close","إغلاق","translated"
"qrSigning.collectResponse","2. Collect response","2. جمع الاستجابة","translated"
"qrSigning.fingerprint","Fingerprint","البصمة","translated"
"qrSigning.invalidRequest","Invalid signing request","طلب توقيع غير صالح","translated"
"qrSigning.invalidResponse","Invalid signing response","استجابة توقيع غير صالحة","translated"
"qrSigning.mismatch","Signing response does not match this request","لا تطابق استجابة التوقيع هذا الطلب","translated"
"qrSigning.network","Network","الشبكة","translated"
"qrSigning.payload","Payload","الحمولة","translated"
"qrSigning.placeholderWarning","This demo returns a placeholder signature and never broadcasts.","يعيد هذا العرض توقيعًا وهميًا ولا يبث أي معاملة.","translated"
"qrSigning.prepareFailed","Unable to prepare mocknet fixture","تعذر تجهيز بيانات Mocknet","translated"
"qrSigning.preparing","Preparing mocknet fixture…","جارٍ تجهيز بيانات Mocknet…","translated"
"qrSigning.purpose","Purpose","الغرض","translated"
"qrSigning.rejectedBy","Rejected by {name}","تم الرفض بواسطة {name}","translated"
"qrSigning.requestReceived","Request received","تم استلام الطلب","translated"
"qrSigning.requestSignature","Request signature","طلب توقيع","translated"
"qrSigning.scanAnother","Scan another request","مسح طلب آخر","translated"
"qrSigning.scanApproval","Scan approval response","مسح استجابة الموافقة","translated"
"qrSigning.scanRequest","1. Scan request","1. مسح الطلب","translated"
"qrSigning.showRequest","1. Show request","1. عرض الطلب","translated"
"qrSigning.showRequestHelp","On the other wallet, choose “Sign request” and scan this stream.","على المحفظة الأخرى، اختر «توقيع الطلب» وامسح هذا البث.","translated"
"qrSigning.signRequest","Sign request","توقيع الطلب","translated"
"qrSigning.subtitle","Exchange a partially signed transaction between two OPTN wallet screens.","تبادل معاملة موقعة جزئيًا بين شاشتي محفظة OPTN.","translated"
"qrSigning.title","QR signing demo","عرض توقيع QR","translated"
"quantumroot.activeNetwork","Quantumroot is active on this network. Use the vault workspace below to manage a normal spend lane and a quantum-safe recovery lane.","Quantumroot نشط على هذه الشبكة. استخدم مساحة الخزينة أدناه لإدارة مسار إنفاق عادي ومسار استرداد آمن كموميًا.","translated"
"quantumroot.activeWorkspace","Active workspace for the beta-production Quantumroot flow.","مساحة العمل النشطة لمسار Quantumroot التجريبي الإنتاجي.","translated"
"quantumroot.back","Back","رجوع","translated"
"quantumroot.betaProduction","Beta production","إصدار تجريبي إنتاجي","translated"
"quantumroot.betaTitle","Quantumroot Beta Production","إصدار Quantumroot التجريبي الإنتاجي","translated"
"quantumroot.checkingBalances","Checking balances…","جارٍ التحقق من الأرصدة…","translated"
"quantumroot.close","Close","إغلاق","translated"
"quantumroot.funded","{count} funded","{count} ممولة","translated"
"quantumroot.fundedStatus","Funded","مموّلة","translated"
"quantumroot.guidedNow","Guided now: choose one approval key, lock it in Quantum Lock, then spend the matching coin.","متاح بإرشاد: اختر مفتاح موافقة واحدًا، واقفله في Quantum Lock، ثم أنفق العملة المطابقة.","translated"
"quantumroot.liveNow","Live now: normal spending, balance tracking, and Quantum Lock BCH recovery.","متاح الآن: الإنفاق العادي وتتبع الرصيد واسترداد BCH من Quantum Lock.","translated"
"quantumroot.livePreview","Live preview","معاينة مباشرة","translated"
"quantumroot.mainnetAhead","Quantumroot is visible on mainnet ahead of activation. The layout stays available, but key actions remain disabled until {date}.","يظهر Quantumroot على Mainnet قبل التفعيل. تبقى الواجهة متاحة، لكن الإجراءات الرئيسية معطلة حتى {date}.","translated"
"quantumroot.mainnetPreview","Mainnet preview stays visible before activation.","تبقى معاينة Mainnet ظاهرة قبل التفعيل.","translated"
"quantumroot.noFundsYet","No funds yet","لا توجد أموال بعد","translated"
"quantumroot.noVaults","No Quantumroot vaults derived yet. Sync vaults to provision them for existing wallet address indexes.","لم يتم اشتقاق خزائن Quantumroot بعد. زامن الخزائن لتجهيزها لفهارس عناوين المحفظة الحالية.","translated"
"quantumroot.openVaults","Open Vaults","فتح الخزائن","translated"
"quantumroot.popup.action.chooseCoinLabel","Choose coin to spend","اختيار عملة للإنفاق","translated"
"quantumroot.popup.action.chooseDescription","Choose one approval key for this vault.","اختر مفتاح موافقة واحدًا لهذه الخزينة.","translated"
"quantumroot.popup.action.chooseLabel","Choose approval key","اختيار مفتاح الموافقة","translated"
"quantumroot.popup.action.chooseTitle","Choose an approval key","اختيار مفتاح موافقة","translated"
"quantumroot.popup.action.createDescription","Create or receive a plain NFT first, then use it as the approval key.","أنشئ أو استلم NFT عادية أولًا، ثم استخدمها كمفتاح موافقة.","translated"
"quantumroot.popup.action.createTitle","Create an approval key","إنشاء مفتاح موافقة","translated"
"quantumroot.popup.action.destinationDescription","Choose where the coin should go, then open the spend list.","اختر وجهة العملة ثم افتح قائمة الإنفاق.","translated"
"quantumroot.popup.action.destinationLabel","Set destination","تعيين الوجهة","translated"
"quantumroot.popup.action.destinationTitle","Choose a destination","اختيار وجهة","translated"
"quantumroot.popup.action.disabledDescription","The spend list is ready, but spending is disabled on this network.","قائمة الإنفاق جاهزة، لكن الإنفاق معطل على هذه الشبكة.","translated"
"quantumroot.popup.action.readyDescription","Tap a ready coin to spend it.","اضغط على عملة جاهزة لإنفاقها.","translated"
"quantumroot.popup.action.readyTitle","Ready to spend","جاهزة للإنفاق","translated"
"quantumroot.popup.action.receiveDescription","Send the matching receive coin to the normal lane.","أرسل عملة الاستلام المطابقة إلى المسار العادي.","translated"
"quantumroot.popup.action.receiveLabel","Add receive coin","إضافة عملة استلام","translated"
"quantumroot.popup.action.receiveTitle","Add the matching receive coin","إضافة عملة الاستلام المطابقة","translated"
"quantumroot.popup.action.refreshDescription","Refresh the wallet scan or choose another approval key.","حدّث فحص المحفظة أو اختر مفتاح موافقة آخر.","translated"
"quantumroot.popup.action.refreshLabel","Refresh vault","تحديث الخزينة","translated"
"quantumroot.popup.action.refreshTitle","Refresh the vault","تحديث الخزينة","translated"
"quantumroot.popup.action.reviewLabel","Review spend","مراجعة الإنفاق","translated"
"quantumroot.popup.action.sendDescription","Send the approval key to Quantum Lock.","أرسل مفتاح الموافقة إلى القفل الكمي.","translated"
"quantumroot.popup.action.sendLabel","Send approval key","إرسال مفتاح الموافقة","translated"
"quantumroot.popup.action.sendTitle","Send the approval key","إرسال مفتاح الموافقة","translated"
"quantumroot.popup.addDestinationReview","Add a destination, then review spend.","أضف وجهة ثم راجع الإنفاق.","translated"
"quantumroot.popup.addMatchingCoin","Add the matching coin to unlock spend.","أضف العملة المطابقة لفتح الإنفاق.","translated"
"quantumroot.popup.advanced","Advanced","متقدم","translated"
"quantumroot.popup.advancedRecovery","Advanced recovery","استرداد متقدم","translated"
"quantumroot.popup.advancedRecoveryDescription","Recover regular BCH, recover Quantum Lock funds, or refresh vault status.","استرد BCH العادي أو أموال القفل الكمي أو حدّث حالة الخزينة.","translated"
"quantumroot.popup.approvalKey","Approval key","مفتاح الموافقة","translated"
"quantumroot.popup.approvalKeyCapability","Approval key","مفتاح الموافقة","translated"
"quantumroot.popup.approvalKeyChanged","Approval key changed on chain","تغير مفتاح الموافقة على السلسلة","translated"
"quantumroot.popup.approvalKeyInLock","Approval key is in Quantum Lock.","مفتاح الموافقة موجود في القفل الكمي.","translated"
"quantumroot.popup.approvalKeyInQuantumLock","Your approval key is in Quantum Lock.","مفتاح الموافقة موجود في القفل الكمي.","translated"
"quantumroot.popup.approvalKeyPicked","Approval key picked.","تم اختيار مفتاح الموافقة.","translated"
"quantumroot.popup.approvalKeySelected","Approval key selected","تم تحديد مفتاح الموافقة","translated"
"quantumroot.popup.approvalLane","Approval lane","مسار الموافقة","translated"
"quantumroot.popup.approvalLaneDescription","Your approval key goes to Quantum Lock.","ينتقل مفتاح الموافقة إلى القفل الكمي.","translated"
"quantumroot.popup.available","{count} available","{count} متاحة","translated"
"quantumroot.popup.availableApprovalKeys","Available approval keys","مفاتيح الموافقة المتاحة","translated"
"quantumroot.popup.bchRecoveryDescription","BCH recovery sends back to the matching standard wallet address for this vault index when available.","يعيد استرداد BCH الإرسال إلى عنوان المحفظة القياسي المطابق لفهرس هذه الخزينة عند توفره.","translated"
"quantumroot.popup.bchRecoveryDisabled","BCH recovery is temporarily disabled until the on-chain receive-script validation issue is resolved.","تم تعطيل استرداد BCH مؤقتًا حتى حل مشكلة التحقق من نص الاستلام على السلسلة.","translated"
"quantumroot.popup.block.approvalPending","Send one approval key to Quantum Lock.","أرسل مفتاح موافقة واحدًا إلى القفل الكمي.","translated"
"quantumroot.popup.block.inactiveNetwork","Quantumroot spending is disabled on this network.","إنفاق Quantumroot معطل على هذه الشبكة.","translated"
"quantumroot.popup.block.noDestination","Choose a destination address before spending.","اختر عنوان وجهة قبل الإنفاق.","translated"
"quantumroot.popup.block.noFamily","Create or receive a plain NFT first. It becomes your approval key.","أنشئ أو استلم NFT عادية أولًا. ستصبح مفتاح الموافقة.","translated"
"quantumroot.popup.block.pickFamily","Choose one plain NFT to use as the approval key.","اختر NFT عادية واحدة لاستخدامها كمفتاح موافقة.","translated"
"quantumroot.popup.block.receivePending","Send the matching receive coin to the normal lane.","أرسل عملة الاستلام المطابقة إلى المسار العادي.","translated"
"quantumroot.popup.block.staleInventory","Your selected approval key is not visible right now. Refresh the vault or choose another key.","مفتاح الموافقة المحدد غير ظاهر الآن. حدّث الخزينة أو اختر مفتاحًا آخر.","translated"
"quantumroot.popup.broadcastWarning","This will broadcast after confirmation.","سيتم البث بعد التأكيد.","translated"
"quantumroot.popup.category","Category:","الفئة:","translated"
"quantumroot.popup.chooseApprovalKey","Choose approval key","اختيار مفتاح الموافقة","translated"
"quantumroot.popup.chooseApprovalKeyDescription","Quantumroot uses one plain NFT as the approval key. Advanced token tools live in CashTokens.","يستخدم Quantumroot‏ NFT عادية واحدة كمفتاح موافقة. توجد أدوات الرموز المتقدمة في CashTokens.","translated"
"quantumroot.popup.chooseOneApproval","Choose one approval key to continue.","اختر مفتاح موافقة واحدًا للمتابعة.","translated"
"quantumroot.popup.commitment","Commitment:","الالتزام:","translated"
"quantumroot.popup.completeSteps","Complete the approval key and matching receive coin steps before spending.","أكمل خطوات مفتاح الموافقة وعملة الاستلام المطابقة قبل الإنفاق.","translated"
"quantumroot.popup.confirmed","Confirmed","مؤكد","translated"
"quantumroot.popup.copyDestination","Copy destination","نسخ الوجهة","translated"
"quantumroot.popup.copyOrScanFund","Copy or scan to fund this vault.","انسخ أو امسح لتمويل هذه الخزينة.","translated"
"quantumroot.popup.copyQuantumLock","Copy Quantum Lock","نسخ القفل الكمي","translated"
"quantumroot.popup.copyReceiveAddress","Copy receive address","نسخ عنوان الاستلام","translated"
"quantumroot.popup.copyRecoveryAddress","Copy recovery address","نسخ عنوان الاسترداد","translated"
"quantumroot.popup.createOrReceive","Create or receive a plain NFT first, then it will appear here as an approval key you can choose.","أنشئ أو استلم NFT عادية أولًا، ثم ستظهر هنا كمفتاح موافقة يمكنك اختياره.","translated"
"quantumroot.popup.destination","Destination","الوجهة","translated"
"quantumroot.popup.destinationAddress","Destination address","عنوان الوجهة","translated"
"quantumroot.popup.done","Done","تم","translated"
"quantumroot.popup.empty","empty","فارغ","translated"
"quantumroot.popup.found","{count} found","تم العثور على {count}","translated"
"quantumroot.popup.fundMatchingReceive","Fund matching receive coin","تمويل عملة الاستلام المطابقة","translated"
"quantumroot.popup.fundMatchingReceiveDescription","Open the send screen prefilled to the vault receive address with the same approval key.","افتح شاشة الإرسال المعبأة مسبقًا إلى عنوان استلام الخزينة باستخدام مفتاح الموافقة نفسه.","translated"
"quantumroot.popup.helpShortcuts","Help and shortcuts","المساعدة والاختصارات","translated"
"quantumroot.popup.inQuantumLock","{count} in Quantum Lock","{count} في القفل الكمي","translated"
"quantumroot.popup.inWallet","{count} in wallet","{count} في المحفظة","translated"
"quantumroot.popup.locked","{count} locked","{count} مقفلة","translated"
"quantumroot.popup.mainnetDisabled","Mainnet Quantumroot uses the same UI as Chipnet, but the spend, recovery, and token-configuration actions remain disabled until activation on {date}.","يستخدم Quantumroot على Mainnet الواجهة نفسها الموجودة على Chipnet، لكن تظل إجراءات الإنفاق والاسترداد وتهيئة الرموز معطلة حتى التفعيل في {date}.","translated"
"quantumroot.popup.mintingNft","Minting NFT","NFT قابلة للسك","translated"
"quantumroot.popup.missing","Missing","مفقود","translated"
"quantumroot.popup.mutableNft","Mutable NFT","NFT قابلة للتغيير","translated"
"quantumroot.popup.needed","Needed","مطلوب","translated"
"quantumroot.popup.neededLater","Needed later","مطلوب لاحقًا","translated"
"quantumroot.popup.nextStep","Next step","الخطوة التالية","translated"
"quantumroot.popup.noApprovalKey","No approval key","لا يوجد مفتاح موافقة","translated"
"quantumroot.popup.noDestination","No destination set","لم يتم تحديد وجهة","translated"
"quantumroot.popup.noReadyCoin","No ready coin is available yet. After the approval key and the matching receive coin are present, spendable coins appear here.","لا تتوفر عملة جاهزة بعد. بعد وجود مفتاح الموافقة وعملة الاستلام المطابقة، ستظهر العملات القابلة للإنفاق هنا.","translated"
"quantumroot.popup.normalLane","Normal vault lane","مسار الخزينة العادي","translated"
"quantumroot.popup.normalLaneDescription","Your BCH and matching receive coin go here.","توجد عملة BCH وعملة الاستلام المطابقة هنا.","translated"
"quantumroot.popup.normalLanePending","Add the matching receive coin after the approval key is in Quantum Lock.","أضف عملة الاستلام المطابقة بعد وجود مفتاح الموافقة في القفل الكمي.","translated"
"quantumroot.popup.normalLaneReady","Your normal lane is ready.","المسار العادي جاهز.","translated"
"quantumroot.popup.noStandardAddress","No standard wallet address available","لا يتوفر عنوان محفظة قياسي","translated"
"quantumroot.popup.openCashTokens","Open CashTokens","فتح CashTokens","translated"
"quantumroot.popup.openReceiveScreen","Open receive screen","فتح شاشة الاستلام","translated"
"quantumroot.popup.otherNft","Other NFT","NFT أخرى","translated"
"quantumroot.popup.otherNftDescription","It sits in Quantum Lock, but it is not the selected approval key. No direct withdrawal path exists yet.","توجد في القفل الكمي، لكنها ليست مفتاح الموافقة المحدد. لا يتوفر مسار سحب مباشر لها بعد.","translated"
"quantumroot.popup.otherNftInQuantumLock","Other NFT in Quantum Lock","NFT أخرى في القفل الكمي","translated"
"quantumroot.popup.otherNfts","{count} other NFT(s)","{count} من NFTs الأخرى","translated"
"quantumroot.popup.outpoint","Outpoint","نقطة المخرج","stable-term"
"quantumroot.popup.pending","Pending","معلق","translated"
"quantumroot.popup.pendingCoin","Pending coin","عملة معلقة","translated"
"quantumroot.popup.pickApprovalKey","Pick one approval key.","اختر مفتاح موافقة واحدًا.","translated"
"quantumroot.popup.plainBchCoins","{count} plain BCH coin(s)","{count} عملة BCH عادية","translated"
"quantumroot.popup.plainBchDescription","Use this for plain BCH coins. Protected coins stay in the lanes above.","استخدم هذا للعملات العادية من BCH. تبقى العملات المحمية في المسارات أعلاه.","translated"
"quantumroot.popup.previewOnly","Preview only on mainnet until activation.","معاينة فقط على Mainnet حتى التفعيل.","translated"
"quantumroot.popup.protectedReceiveCount","Coins already handled by Protected spend: {count}","العملات التي عالجها الإنفاق المحمي: {count}","translated"
"quantumroot.popup.protectedSpend","Protected spend","إنفاق محمي","translated"
"quantumroot.popup.protectedSpendDescription","When the approval key and matching receive coin are present, spending opens here.","عند وجود مفتاح الموافقة وعملة الاستلام المطابقة، يفتح الإنفاق هنا.","translated"
"quantumroot.popup.quantumLock","Quantum Lock","القفل الكمي","stable-term"
"quantumroot.popup.quantumLockBch","Quantum Lock BCH","BCH القفل الكمي","translated"
"quantumroot.popup.quantumLockRecovery","Quantum Lock recovery","استرداد القفل الكمي","translated"
"quantumroot.popup.quantumLockRecoveryCount","Quantum Lock recovery coins: {count}","عملات استرداد القفل الكمي: {count}","translated"
"quantumroot.popup.quantumrootOpens","Quantumroot opens once the approval key sits in Quantum Lock and the matching receive coin sits in the normal lane.","يفتح Quantumroot بعد وجود مفتاح الموافقة في القفل الكمي وعملة الاستلام المطابقة في المسار العادي.","translated"
"quantumroot.popup.ready","Ready","جاهز","translated"
"quantumroot.popup.readyCoin","Ready coin","عملة جاهزة","translated"
"quantumroot.popup.readyCoinAvailable","Ready coin available.","تتوفر عملة جاهزة.","translated"
"quantumroot.popup.readyCoins","{count} ready coin(s)","{count} عملة جاهزة","translated"
"quantumroot.popup.receiveAddress","Receive address","عنوان الاستلام","translated"
"quantumroot.popup.receiveBch","Receive BCH","استلام BCH","translated"
"quantumroot.popup.recover","Recover","استرداد","translated"
"quantumroot.popup.recoverableBchCoins","Recoverable BCH coins","عملات BCH القابلة للاسترداد","translated"
"quantumroot.popup.recoverableBchCount","Recoverable BCH coins: {count}","عملات BCH القابلة للاسترداد: {count}","translated"
"quantumroot.popup.recovering","Recovering…","جارٍ الاسترداد…","translated"
"quantumroot.popup.recoverRegularBch","Recover regular BCH","استرداد BCH العادي","translated"
"quantumroot.popup.refresh","Refresh","تحديث","translated"
"quantumroot.popup.refreshChooseAnother","Refresh the vault or choose another approval key.","حدّث الخزينة أو اختر مفتاح موافقة آخر.","translated"
"quantumroot.popup.refreshVault","Refresh vault","تحديث الخزينة","translated"
"quantumroot.popup.refreshVaultStatus","Refresh vault status","تحديث حالة الخزينة","translated"
"quantumroot.popup.reviewDestination","Review the destination before broadcasting.","راجع الوجهة قبل البث.","translated"
"quantumroot.popup.reviewSpend","Review spend","مراجعة الإنفاق","translated"
"quantumroot.popup.reviewSpendSubtitle","Check the destination, approval key, and ready coin before you broadcast.","تحقق من الوجهة ومفتاح الموافقة والعملة الجاهزة قبل البث.","translated"
"quantumroot.popup.reviewSpendTitle","Review spend","مراجعة الإنفاق","translated"
"quantumroot.popup.saveApprovalKey","Save approval key","حفظ مفتاح الموافقة","translated"
"quantumroot.popup.saving","Saving…","جارٍ الحفظ…","translated"
"quantumroot.popup.selectedApprovalKey","Selected approval key","مفتاح الموافقة المحدد","translated"
"quantumroot.popup.selectedAsApproval","Selected as approval key","تم تحديده كمفتاح موافقة","translated"
"quantumroot.popup.sendApprovalHere","Send the approval key here.","أرسل مفتاح الموافقة إلى هنا.","translated"
"quantumroot.popup.sendApprovalKey","Send approval key","إرسال مفتاح الموافقة","translated"
"quantumroot.popup.sendApprovalKeyDescription","Open the send screen prefilled to Quantum Lock with the selected approval key.","افتح شاشة الإرسال المعبأة مسبقًا إلى القفل الكمي مع مفتاح الموافقة المحدد.","translated"
"quantumroot.popup.sendApprovalKeyToLock","Send the approval key to Quantum Lock.","أرسل مفتاح الموافقة إلى القفل الكمي.","translated"
"quantumroot.popup.sendSelectedApprovalKey","Send the selected approval key to Quantum Lock.","أرسل مفتاح الموافقة المحدد إلى القفل الكمي.","translated"
"quantumroot.popup.spend","Spend","إنفاق","translated"
"quantumroot.popup.spendDestination","Spend destination","وجهة الإنفاق","translated"
"quantumroot.popup.spending","Spending…","جارٍ الإنفاق…","translated"
"quantumroot.popup.sweepBch","Sweep BCH coins ({count})","تحويل شامل لعملات BCH ({count})","translated"
"quantumroot.popup.sweeping","Sweeping…","جارٍ التحويل الشامل…","translated"
"quantumroot.popup.tapToOpen","Tap to open","اضغط للفتح","translated"
"quantumroot.popup.unsupportedQuantumLock","Coins in Quantum Lock that belong to Protected spend are handled above; this recovery list only includes plain BCH coins.","تُعالج العملات الموجودة في القفل الكمي التابعة للإنفاق المحمي أعلاه؛ وتضم قائمة الاسترداد هذه عملات BCH العادية فقط.","translated"
