"key","English (en)","Korean (ko)","Status"
"outbox.justNow","just now","방금","translated"
"outbox.lastNetworkIssue","Last network issue","최근 네트워크 문제","translated"
"outbox.minutesAgo","{count}m ago","{count}분 전","translated"
"outbox.noPending","No pending outgoing transactions.","대기 중인 송금 거래가 없습니다.","translated"
"outbox.pendingOutgoing","Pending outgoing transactions","대기 중인 송금 거래","translated"
"outbox.prompt","Prompt","요청","translated"
"outbox.releaseSendLock","Release send lock","송금 잠금 해제","translated"
"outbox.releaseStale","Release if stale","오래된 경우 해제","translated"
"outbox.releaseStaleTitle","Available after {minutes} minutes if the transaction is still unresolved","거래가 해결되지 않은 경우 {minutes}분 후 사용 가능","translated"
"outbox.requestedBy","Requested by","요청자","translated"
"outbox.title","Outbox","보낼 편지함","translated"
"outbox.txid","Txid","Txid","stable-term"
"outbox.updated","Updated {age}","{age} 업데이트됨","translated"
"outbox.walletSend","Wallet send","지갑 송금","translated"
"p2p.description","No server: peers meet on Nostr relays over Tor, deterministically elect a coordinator, and run the CoinJoin peer-to-peer. Outputs are unlinkable; you sign only your own inputs after verifying your own outputs.","서버 없이 피어가 Tor를 통해 Nostr 릴레이에서 만나 결정론적으로 코디네이터를 선택하고 P2P CoinJoin을 실행합니다. 출력은 연결할 수 없으며, 내 출력을 확인한 뒤 내 입력만 서명합니다.","translated"
"p2p.phase.announce","Announcing & finding peers","알리고 피어 찾기","translated"
"p2p.phase.assemble","Assembling & verifying","구성 및 확인","translated"
"p2p.phase.broadcast","Broadcasting","브로드캐스트 중","translated"
"p2p.phase.register","Registering inputs & outputs","입력 및 출력 등록","translated"
"p2p.phase.sign","Signing","서명 중","translated"
"p2p.requiresPeers","Requires Tor + at least 2 peers in the same tier.","Tor와 같은 티어의 피어 2개 이상이 필요합니다.","translated"
"p2p.running","Running P2P round…","P2P 라운드 실행 중…","translated"
"p2p.start","Start P2P round","P2P 라운드 시작","translated"
"p2p.title","P2P Fusion over Nostr","Nostr를 통한 P2P Fusion","translated"
"paper.addressConversionError","Address conversion error","주소 변환 오류","translated"
"paper.addressDerivationFailed","Unable to derive a valid paper wallet address from the scanned key.","스캔한 키에서 유효한 종이 지갑 주소를 파생하지 못했습니다.","translated"
"paper.back","Back","뒤로","translated"
"paper.bchOutputs","BCH outputs","BCH 출력","translated"
"paper.buildFailed","Failed to build sweep transaction.","스윕 트랜잭션을 생성하지 못했습니다.","translated"
"paper.confirmDescription","Slide to confirm the one-transaction paper wallet sweep.","한 번의 트랜잭션으로 종이 지갑을 스윕하려면 밀어서 확인하세요.","translated"
"paper.confirmTitle","Confirm sweep","스윕 확인","translated"
"paper.decodingError","Decoding error","디코딩 오류","translated"
"paper.description","Scan a WIF paper wallet and sweep BCH + CashTokens in one transaction.","WIF 종이 지갑을 스캔하고 한 번의 트랜잭션으로 BCH + CashTokens를 스윕합니다.","translated"
"paper.label","Paper wallet","종이 지갑","translated"
"paper.noCashTokens","No CashTokens detected.","CashToken을 감지하지 못했습니다.","translated"
"paper.noDestination","No destination wallet address is available.","사용 가능한 대상 지갑 주소가 없습니다.","translated"
"paper.noQrCode","No QR code detected. Please try again.","QR 코드를 감지하지 못했습니다. 다시 시도하세요.","translated"
"paper.notScanned","No paper wallet scanned yet.","스캔한 종이 지갑이 없습니다.","translated"
"paper.noUtxos","No UTXOs found for this paper wallet. If this is a mainnet wallet and you are on chipnet, try switching networks.","이 종이 지갑의 UTXO를 찾지 못했습니다. mainnet 지갑인데 chipnet에 있다면 네트워크를 전환하세요.","translated"
"paper.oneTransaction","One transaction only.","트랜잭션 하나만 사용합니다.","translated"
"paper.paperInputs","Paper wallet inputs","종이 지갑 입력","translated"
"paper.scan","Scan","스캔","translated"
"paper.scanBeforeSweep","Scan a paper wallet before sweeping.","스윕하기 전에 종이 지갑을 스캔하세요.","translated"
"paper.spendableOutputPlural","spendable outputs","사용 가능한 출력","translated"
"paper.spendableOutputSingular","spendable output","사용 가능한 출력","translated"
"paper.sweep","Sweep","스윕","translated"
"paper.sweepBroadcast","Sweep broadcast","스윕 브로드캐스트됨","translated"
"paper.title","Paper Wallet","종이 지갑","translated"
"paper.tokenBacking","Token outputs are backed with 1000 sats.","토큰 출력은 1000 sats로 뒷받침됩니다.","translated"
"paper.tokenGroups","Token groups","토큰 그룹","translated"
"paper.tokenOutputs","Token outputs","토큰 출력","translated"
"paper.unexpected","An unexpected error occurred.","예기치 않은 오류가 발생했습니다.","translated"
"paper.unexpectedTryAgain","An unexpected error occurred. Please try again.","예기치 않은 오류가 발생했습니다. 다시 시도하세요.","translated"
"paper.utxosTitle","Paper wallet UTXOs","종이 지갑 UTXO","translated"
"paper.walletFeeInputs","Wallet fee inputs","지갑 수수료 입력","translated"
"priceFeed.loading","Loading…","로드 중…","translated"
"qr.animatedTransfer","Animated QR transfer","애니메이션 QR 전송","translated"
"qr.blocksRecovered","blocks recovered","복구된 블록","translated"
"qr.cameraActive","Camera active — point at animated QR","카메라 활성 — 애니메이션 QR을 비추세요","translated"
"qr.cameraError","Camera unavailable","카메라를 사용할 수 없습니다","translated"
"qr.cameraUnavailable","Camera access is unavailable","카메라에 접근할 수 없습니다","translated"
"qr.cancel","Cancel","취소","translated"
"qr.duplicates","duplicates","중복","translated"
"qr.holdSteady","Hold the phone steady and fill the frame with the QR code.","휴대전화를 움직이지 말고 QR 코드를 화면에 가득 맞추세요.","translated"
"qr.receivingStream","Receiving QR stream","QR 스트림 수신 중","translated"
"qr.scan","Scan QR","QR 스캔","translated"
"qr.scanning","Scanning…","스캔 중…","translated"
"qr.streaming","Streaming frame {frame} · {blocks} blocks · {bytes} bytes","프레임 {frame} 전송 중 · 블록 {blocks}개 · 바이트 {bytes}개","translated"
"qr.unableToDecode","Unable to decode QR stream","QR 스트림을 디코딩할 수 없습니다","translated"
"qr.uniqueFrames","unique frames","고유 프레임","translated"
"qr.walletUpdateProgress","Wallet update progress","지갑 업데이트 진행률","translated"
"qrSigning.approvedBy","Approved by {name}","{name}이(가) 승인함","translated"
"qrSigning.approveDemo","Approve demo request","데모 요청 승인","translated"
"qrSigning.approveReturn","2. Approve and return","2. 승인하고 돌아가기","translated"
"qrSigning.close","Close","닫기","translated"
"qrSigning.collectResponse","2. Collect response","2. 응답 수집","translated"
"qrSigning.fingerprint","Fingerprint","지문","translated"
"qrSigning.invalidRequest","Invalid signing request","잘못된 서명 요청","translated"
"qrSigning.invalidResponse","Invalid signing response","잘못된 서명 응답","translated"
"qrSigning.mismatch","Signing response does not match this request","서명 응답이 이 요청과 일치하지 않습니다","translated"
"qrSigning.network","Network","네트워크","translated"
"qrSigning.payload","Payload","페이로드","translated"
"qrSigning.placeholderWarning","This demo returns a placeholder signature and never broadcasts.","이 데모는 자리 표시자 서명을 반환하며 브로드캐스트하지 않습니다.","translated"
"qrSigning.prepareFailed","Unable to prepare mocknet fixture","mocknet fixture를 준비하지 못했습니다","translated"
"qrSigning.preparing","Preparing mocknet fixture…","mocknet fixture 준비 중…","translated"
"qrSigning.purpose","Purpose","용도","translated"
"qrSigning.rejectedBy","Rejected by {name}","{name}이(가) 거부함","translated"
"qrSigning.requestReceived","Request received","요청 수신됨","translated"
"qrSigning.requestSignature","Request signature","서명 요청","translated"
"qrSigning.scanAnother","Scan another request","다른 요청 스캔","translated"
"qrSigning.scanApproval","Scan approval response","승인 응답 스캔","translated"
"qrSigning.scanRequest","1. Scan request","1. 요청 스캔","translated"
"qrSigning.showRequest","1. Show request","1. 요청 표시","translated"
"qrSigning.showRequestHelp","On the other wallet, choose “Sign request” and scan this stream.","다른 지갑에서 “요청 서명”을 선택하고 이 스트림을 스캔하세요.","translated"
"qrSigning.signRequest","Sign request","요청 서명","translated"
"qrSigning.subtitle","Exchange a partially signed transaction between two OPTN wallet screens.","두 OPTN Wallet 화면 간에 부분 서명 트랜잭션을 교환합니다.","translated"
"qrSigning.title","QR signing demo","QR 서명 데모","translated"
"quantumroot.activeNetwork","Quantumroot is active on this network. Use the vault workspace below to manage a normal spend lane and a quantum-safe recovery lane.","이 네트워크에서 Quantumroot가 활성화되었습니다. 아래 작업 공간에서 일반 지출 경로와 양자 안전 복구 경로를 관리하세요.","translated"
"quantumroot.activeWorkspace","Active workspace for the beta-production Quantumroot flow.","베타 프로덕션 Quantumroot 흐름을 위한 활성 작업 공간입니다.","translated"
"quantumroot.back","Back","뒤로","translated"
"quantumroot.betaProduction","Beta production","베타 프로덕션","translated"
"quantumroot.betaTitle","Quantumroot Beta Production","Quantumroot 베타 프로덕션","translated"
"quantumroot.checkingBalances","Checking balances…","잔액 확인 중…","translated"
"quantumroot.close","Close","닫기","translated"
"quantumroot.funded","{count} funded","{count}개 자금 지원됨","translated"
"quantumroot.fundedStatus","Funded","자금 지원됨","translated"
"quantumroot.guidedNow","Guided now: choose one approval key, lock it in Quantum Lock, then spend the matching coin.","현재 안내됨: 승인 키를 하나 선택해 Quantum Lock에 잠근 다음 일치하는 코인을 사용하세요.","translated"
"quantumroot.liveNow","Live now: normal spending, balance tracking, and Quantum Lock BCH recovery.","현재 사용 가능: 일반 지출, 잔액 추적 및 Quantum Lock BCH 복구.","translated"
"quantumroot.livePreview","Live preview","실시간 미리 보기","translated"
"quantumroot.mainnetAhead","Quantumroot is visible on mainnet ahead of activation. The layout stays available, but key actions remain disabled until {date}.","Quantumroot가 활성화 전에 Mainnet에 표시됩니다. 레이아웃은 사용할 수 있지만 주요 작업은 {date}까지 비활성화됩니다.","translated"
"quantumroot.mainnetPreview","Mainnet preview stays visible before activation.","활성화 전까지 Mainnet 미리 보기가 표시됩니다.","translated"
"quantumroot.noFundsYet","No funds yet","아직 자금 없음","translated"
"quantumroot.noVaults","No Quantumroot vaults derived yet. Sync vaults to provision them for existing wallet address indexes.","아직 파생된 Quantumroot 볼트가 없습니다. 볼트를 동기화하여 기존 지갑 주소 인덱스에 생성하세요.","translated"
"quantumroot.openVaults","Open Vaults","볼트 열기","translated"
"quantumroot.popup.action.chooseCoinLabel","Choose coin to spend","Choose coin to spend","needs-review"
"quantumroot.popup.action.chooseDescription","Choose one approval key for this vault.","Choose one approval key for this vault.","needs-review"
"quantumroot.popup.action.chooseLabel","Choose approval key","Choose approval key","needs-review"
"quantumroot.popup.action.chooseTitle","Choose an approval key","Choose an approval key","needs-review"
"quantumroot.popup.action.createDescription","Create or receive a plain NFT first, then use it as the approval key.","Create or receive a plain NFT first, then use it as the approval key.","needs-review"
"quantumroot.popup.action.createTitle","Create an approval key","Create an approval key","needs-review"
"quantumroot.popup.action.destinationDescription","Choose where the coin should go, then open the spend list.","Choose where the coin should go, then open the spend list.","needs-review"
"quantumroot.popup.action.destinationLabel","Set destination","Set destination","needs-review"
"quantumroot.popup.action.destinationTitle","Choose a destination","Choose a destination","needs-review"
"quantumroot.popup.action.disabledDescription","The spend list is ready, but spending is disabled on this network.","The spend list is ready, but spending is disabled on this network.","needs-review"
"quantumroot.popup.action.readyDescription","Tap a ready coin to spend it.","Tap a ready coin to spend it.","needs-review"
"quantumroot.popup.action.readyTitle","Ready to spend","Ready to spend","needs-review"
"quantumroot.popup.action.receiveDescription","Send the matching receive coin to the normal lane.","Send the matching receive coin to the normal lane.","needs-review"
"quantumroot.popup.action.receiveLabel","Add receive coin","Add receive coin","needs-review"
"quantumroot.popup.action.receiveTitle","Add the matching receive coin","Add the matching receive coin","needs-review"
"quantumroot.popup.action.refreshDescription","Refresh the wallet scan or choose another approval key.","Refresh the wallet scan or choose another approval key.","needs-review"
"quantumroot.popup.action.refreshLabel","Refresh vault","Refresh vault","needs-review"
"quantumroot.popup.action.refreshTitle","Refresh the vault","Refresh the vault","needs-review"
"quantumroot.popup.action.reviewLabel","Review spend","Review spend","needs-review"
"quantumroot.popup.action.sendDescription","Send the approval key to Quantum Lock.","Send the approval key to Quantum Lock.","needs-review"
"quantumroot.popup.action.sendLabel","Send approval key","Send approval key","needs-review"
"quantumroot.popup.action.sendTitle","Send the approval key","Send the approval key","needs-review"
"quantumroot.popup.addDestinationReview","Add a destination, then review spend.","Add a destination, then review spend.","needs-review"
"quantumroot.popup.addMatchingCoin","Add the matching coin to unlock spend.","Add the matching coin to unlock spend.","needs-review"
"quantumroot.popup.advanced","Advanced","Advanced","needs-review"
"quantumroot.popup.advancedRecovery","Advanced recovery","Advanced recovery","needs-review"
"quantumroot.popup.advancedRecoveryDescription","Recover regular BCH, recover Quantum Lock funds, or refresh vault status.","Recover regular BCH, recover Quantum Lock funds, or refresh vault status.","needs-review"
"quantumroot.popup.approvalKey","Approval key","Approval key","needs-review"
"quantumroot.popup.approvalKeyCapability","Approval key","Approval key","needs-review"
"quantumroot.popup.approvalKeyChanged","Approval key changed on chain","Approval key changed on chain","needs-review"
"quantumroot.popup.approvalKeyInLock","Approval key is in Quantum Lock.","Approval key is in Quantum Lock.","needs-review"
"quantumroot.popup.approvalKeyInQuantumLock","Your approval key is in Quantum Lock.","Your approval key is in Quantum Lock.","needs-review"
"quantumroot.popup.approvalKeyPicked","Approval key picked.","Approval key picked.","needs-review"
"quantumroot.popup.approvalKeySelected","Approval key selected","Approval key selected","needs-review"
"quantumroot.popup.approvalLane","Approval lane","Approval lane","needs-review"
"quantumroot.popup.approvalLaneDescription","Your approval key goes to Quantum Lock.","Your approval key goes to Quantum Lock.","needs-review"
"quantumroot.popup.available","{count} available","{count} available","needs-review"
"quantumroot.popup.availableApprovalKeys","Available approval keys","Available approval keys","needs-review"
"quantumroot.popup.bchRecoveryDescription","BCH recovery sends back to the matching standard wallet address for this vault index when available.","BCH recovery sends back to the matching standard wallet address for this vault index when available.","needs-review"
"quantumroot.popup.bchRecoveryDisabled","BCH recovery is temporarily disabled until the on-chain receive-script validation issue is resolved.","BCH recovery is temporarily disabled until the on-chain receive-script validation issue is resolved.","needs-review"
"quantumroot.popup.block.approvalPending","Send one approval key to Quantum Lock.","Send one approval key to Quantum Lock.","needs-review"
"quantumroot.popup.block.inactiveNetwork","Quantumroot spending is disabled on this network.","Quantumroot spending is disabled on this network.","needs-review"
"quantumroot.popup.block.noDestination","Choose a destination address before spending.","Choose a destination address before spending.","needs-review"
"quantumroot.popup.block.noFamily","Create or receive a plain NFT first. It becomes your approval key.","Create or receive a plain NFT first. It becomes your approval key.","needs-review"
"quantumroot.popup.block.pickFamily","Choose one plain NFT to use as the approval key.","Choose one plain NFT to use as the approval key.","needs-review"
"quantumroot.popup.block.receivePending","Send the matching receive coin to the normal lane.","Send the matching receive coin to the normal lane.","needs-review"
"quantumroot.popup.block.staleInventory","Your selected approval key is not visible right now. Refresh the vault or choose another key.","Your selected approval key is not visible right now. Refresh the vault or choose another key.","needs-review"
"quantumroot.popup.broadcastWarning","This will broadcast after confirmation.","This will broadcast after confirmation.","needs-review"
"quantumroot.popup.category","Category:","Category:","needs-review"
"quantumroot.popup.chooseApprovalKey","Choose approval key","Choose approval key","needs-review"
"quantumroot.popup.chooseApprovalKeyDescription","Quantumroot uses one plain NFT as the approval key. Advanced token tools live in CashTokens.","Quantumroot uses one plain NFT as the approval key. Advanced token tools live in CashTokens.","needs-review"
"quantumroot.popup.chooseOneApproval","Choose one approval key to continue.","Choose one approval key to continue.","needs-review"
"quantumroot.popup.commitment","Commitment:","Commitment:","needs-review"
"quantumroot.popup.completeSteps","Complete the approval key and matching receive coin steps before spending.","Complete the approval key and matching receive coin steps before spending.","needs-review"
"quantumroot.popup.confirmed","Confirmed","Confirmed","needs-review"
"quantumroot.popup.copyDestination","Copy destination","Copy destination","needs-review"
"quantumroot.popup.copyOrScanFund","Copy or scan to fund this vault.","Copy or scan to fund this vault.","needs-review"
"quantumroot.popup.copyQuantumLock","Copy Quantum Lock","Copy Quantum Lock","needs-review"
"quantumroot.popup.copyReceiveAddress","Copy receive address","Copy receive address","needs-review"
"quantumroot.popup.copyRecoveryAddress","Copy recovery address","Copy recovery address","needs-review"
"quantumroot.popup.createOrReceive","Create or receive a plain NFT first, then it will appear here as an approval key you can choose.","Create or receive a plain NFT first, then it will appear here as an approval key you can choose.","needs-review"
"quantumroot.popup.destination","Destination","Destination","needs-review"
"quantumroot.popup.destinationAddress","Destination address","Destination address","needs-review"
"quantumroot.popup.done","Done","Done","needs-review"
"quantumroot.popup.empty","empty","empty","needs-review"
"quantumroot.popup.found","{count} found","{count} found","needs-review"
"quantumroot.popup.fundMatchingReceive","Fund matching receive coin","Fund matching receive coin","needs-review"
"quantumroot.popup.fundMatchingReceiveDescription","Open the send screen prefilled to the vault receive address with the same approval key.","Open the send screen prefilled to the vault receive address with the same approval key.","needs-review"
"quantumroot.popup.helpShortcuts","Help and shortcuts","Help and shortcuts","needs-review"
"quantumroot.popup.inQuantumLock","{count} in Quantum Lock","{count} in Quantum Lock","needs-review"
"quantumroot.popup.inWallet","{count} in wallet","{count} in wallet","needs-review"
"quantumroot.popup.locked","{count} locked","{count} locked","needs-review"
"quantumroot.popup.mainnetDisabled","Mainnet Quantumroot uses the same UI as Chipnet, but the spend, recovery, and token-configuration actions remain disabled until activation on {date}.","Mainnet Quantumroot uses the same UI as Chipnet, but the spend, recovery, and token-configuration actions remain disabled until activation on {date}.","needs-review"
"quantumroot.popup.mintingNft","Minting NFT","Minting NFT","needs-review"
"quantumroot.popup.missing","Missing","Missing","needs-review"
"quantumroot.popup.mutableNft","Mutable NFT","Mutable NFT","needs-review"
"quantumroot.popup.needed","Needed","Needed","needs-review"
"quantumroot.popup.neededLater","Needed later","Needed later","needs-review"
"quantumroot.popup.nextStep","Next step","Next step","needs-review"
"quantumroot.popup.noApprovalKey","No approval key","No approval key","needs-review"
"quantumroot.popup.noDestination","No destination set","No destination set","needs-review"
"quantumroot.popup.noReadyCoin","No ready coin is available yet. After the approval key and the matching receive coin are present, spendable coins appear here.","No ready coin is available yet. After the approval key and the matching receive coin are present, spendable coins appear here.","needs-review"
"quantumroot.popup.normalLane","Normal vault lane","Normal vault lane","needs-review"
"quantumroot.popup.normalLaneDescription","Your BCH and matching receive coin go here.","Your BCH and matching receive coin go here.","needs-review"
"quantumroot.popup.normalLanePending","Add the matching receive coin after the approval key is in Quantum Lock.","Add the matching receive coin after the approval key is in Quantum Lock.","needs-review"
"quantumroot.popup.normalLaneReady","Your normal lane is ready.","Your normal lane is ready.","needs-review"
"quantumroot.popup.noStandardAddress","No standard wallet address available","No standard wallet address available","needs-review"
"quantumroot.popup.openCashTokens","Open CashTokens","Open CashTokens","needs-review"
"quantumroot.popup.openReceiveScreen","Open receive screen","Open receive screen","needs-review"
"quantumroot.popup.otherNft","Other NFT","Other NFT","needs-review"
"quantumroot.popup.otherNftDescription","It sits in Quantum Lock, but it is not the selected approval key. No direct withdrawal path exists yet.","It sits in Quantum Lock, but it is not the selected approval key. No direct withdrawal path exists yet.","needs-review"
"quantumroot.popup.otherNftInQuantumLock","Other NFT in Quantum Lock","Other NFT in Quantum Lock","needs-review"
"quantumroot.popup.otherNfts","{count} other NFT(s)","{count} other NFT(s)","needs-review"
"quantumroot.popup.outpoint","Outpoint","Outpoint","stable-term"
"quantumroot.popup.pending","Pending","Pending","needs-review"
"quantumroot.popup.pendingCoin","Pending coin","Pending coin","needs-review"
"quantumroot.popup.pickApprovalKey","Pick one approval key.","Pick one approval key.","needs-review"
"quantumroot.popup.plainBchCoins","{count} plain BCH coin(s)","{count} plain BCH coin(s)","needs-review"
"quantumroot.popup.plainBchDescription","Use this for plain BCH coins. Protected coins stay in the lanes above.","Use this for plain BCH coins. Protected coins stay in the lanes above.","needs-review"
"quantumroot.popup.previewOnly","Preview only on mainnet until activation.","Preview only on mainnet until activation.","needs-review"
"quantumroot.popup.protectedReceiveCount","Coins already handled by Protected spend: {count}","Coins already handled by Protected spend: {count}","needs-review"
"quantumroot.popup.protectedSpend","Protected spend","Protected spend","needs-review"
"quantumroot.popup.protectedSpendDescription","When the approval key and matching receive coin are present, spending opens here.","When the approval key and matching receive coin are present, spending opens here.","needs-review"
"quantumroot.popup.quantumLock","Quantum Lock","Quantum Lock","stable-term"
"quantumroot.popup.quantumLockBch","Quantum Lock BCH","Quantum Lock BCH","needs-review"
"quantumroot.popup.quantumLockRecovery","Quantum Lock recovery","Quantum Lock recovery","needs-review"
"quantumroot.popup.quantumLockRecoveryCount","Quantum Lock recovery coins: {count}","Quantum Lock recovery coins: {count}","needs-review"
"quantumroot.popup.quantumrootOpens","Quantumroot opens once the approval key sits in Quantum Lock and the matching receive coin sits in the normal lane.","Quantumroot opens once the approval key sits in Quantum Lock and the matching receive coin sits in the normal lane.","needs-review"
"quantumroot.popup.ready","Ready","Ready","needs-review"
"quantumroot.popup.readyCoin","Ready coin","Ready coin","needs-review"
"quantumroot.popup.readyCoinAvailable","Ready coin available.","Ready coin available.","needs-review"
"quantumroot.popup.readyCoins","{count} ready coin(s)","{count} ready coin(s)","needs-review"
"quantumroot.popup.receiveAddress","Receive address","Receive address","needs-review"
"quantumroot.popup.receiveBch","Receive BCH","Receive BCH","needs-review"
"quantumroot.popup.recover","Recover","Recover","needs-review"
"quantumroot.popup.recoverableBchCoins","Recoverable BCH coins","Recoverable BCH coins","needs-review"
"quantumroot.popup.recoverableBchCount","Recoverable BCH coins: {count}","Recoverable BCH coins: {count}","needs-review"
"quantumroot.popup.recovering","Recovering…","Recovering…","needs-review"
"quantumroot.popup.recoverRegularBch","Recover regular BCH","Recover regular BCH","needs-review"
"quantumroot.popup.refresh","Refresh","Refresh","needs-review"
"quantumroot.popup.refreshChooseAnother","Refresh the vault or choose another approval key.","Refresh the vault or choose another approval key.","needs-review"
"quantumroot.popup.refreshVault","Refresh vault","Refresh vault","needs-review"
"quantumroot.popup.refreshVaultStatus","Refresh vault status","Refresh vault status","needs-review"
"quantumroot.popup.reviewDestination","Review the destination before broadcasting.","Review the destination before broadcasting.","needs-review"
"quantumroot.popup.reviewSpend","Review spend","Review spend","needs-review"
"quantumroot.popup.reviewSpendSubtitle","Check the destination, approval key, and ready coin before you broadcast.","Check the destination, approval key, and ready coin before you broadcast.","needs-review"
"quantumroot.popup.reviewSpendTitle","Review spend","Review spend","needs-review"
"quantumroot.popup.saveApprovalKey","Save approval key","Save approval key","needs-review"
"quantumroot.popup.saving","Saving…","Saving…","needs-review"
"quantumroot.popup.selectedApprovalKey","Selected approval key","Selected approval key","needs-review"
"quantumroot.popup.selectedAsApproval","Selected as approval key","Selected as approval key","needs-review"
"quantumroot.popup.sendApprovalHere","Send the approval key here.","Send the approval key here.","needs-review"
"quantumroot.popup.sendApprovalKey","Send approval key","Send approval key","needs-review"
"quantumroot.popup.sendApprovalKeyDescription","Open the send screen prefilled to Quantum Lock with the selected approval key.","Open the send screen prefilled to Quantum Lock with the selected approval key.","needs-review"
"quantumroot.popup.sendApprovalKeyToLock","Send the approval key to Quantum Lock.","Send the approval key to Quantum Lock.","needs-review"
"quantumroot.popup.sendSelectedApprovalKey","Send the selected approval key to Quantum Lock.","Send the selected approval key to Quantum Lock.","needs-review"
"quantumroot.popup.spend","Spend","Spend","needs-review"
"quantumroot.popup.spendDestination","Spend destination","Spend destination","needs-review"
"quantumroot.popup.spending","Spending…","Spending…","needs-review"
"quantumroot.popup.sweepBch","Sweep BCH coins ({count})","Sweep BCH coins ({count})","needs-review"
"quantumroot.popup.sweeping","Sweeping…","Sweeping…","needs-review"
"quantumroot.popup.tapToOpen","Tap to open","Tap to open","needs-review"
"quantumroot.popup.unsupportedQuantumLock","Coins in Quantum Lock that belong to Protected spend are handled above; this recovery list only includes plain BCH coins.","Coins in Quantum Lock that belong to Protected spend are handled above; this recovery list only includes plain BCH coins.","needs-review"
"quantumroot.popup.unsupportedReceive","Coins with an approval key stay in Protected spend; this recovery list only includes plain BCH coins.","Coins with an approval key stay in Protected spend; this recovery list only includes plain BCH coins.","needs-review"
"quantumroot.popup.useRecoveryAddress","Use wallet recovery address","Use wallet recovery address","needs-review"
"quantumroot.popup.vaultSetup","Vault setup","Vault setup","needs-review"
"quantumroot.popup.vaultSetupDescription","Copy addresses and choose the approval key.","Copy addresses and choose the approval key.","needs-review"
"quantumroot.popup.waiting","Waiting","Waiting","needs-review"
"quantumroot.popup.walletRecoveryAddress","Wallet recovery address","Wallet recovery address","needs-review"
"quantumroot.readyToRecover","{count} ready to recover","{count}개 복구 가능","translated"
"quantumroot.refreshing","Refreshing balances and UTXO status. Vaults remain available while sync completes.","잔액과 UTXO 상태를 새로 고치는 중입니다. 동기화가 끝날 때까지 볼트를 사용할 수 있습니다.","translated"
"quantumroot.subtitle","Two spending lanes in one vault","하나의 볼트에 있는 두 개의 지출 경로","translated"
"quantumroot.syncingVaults","Syncing Vaults…","볼트 동기화 중…","translated"
"quantumroot.syncVaults","Sync Vaults","볼트 동기화","translated"
"quantumroot.toast.approvalKeyMissing","This approval key is no longer visible. Refresh the vault or choose another key.","This approval key is no longer visible. Refresh the vault or choose another key.","needs-review"
"quantumroot.toast.authorizedBroadcast","Quantumroot authorized spend broadcast: {txid}","Quantumroot authorized spend broadcast: {txid}","needs-review"
"quantumroot.toast.authorizedFailed","Quantumroot authorized spend failed: {message}","Quantumroot authorized spend failed: {message}","needs-review"
"quantumroot.toast.broadcastAuthorizedFailed","Failed to broadcast Quantumroot authorized spend.","Failed to broadcast Quantumroot authorized spend.","needs-review"
"quantumroot.toast.broadcastLockRecoveryFailed","Failed to broadcast Quantum Lock recovery.","Failed to broadcast Quantum Lock recovery.","needs-review"
"quantumroot.toast.broadcastSpendFailed","Failed to broadcast Quantumroot spend.","Failed to broadcast Quantumroot spend.","needs-review"
"quantumroot.toast.broadcastSweepFailed","Failed to broadcast Quantumroot sweep.","Failed to broadcast Quantumroot sweep.","needs-review"
"quantumroot.toast.configureFailed","Failed to configure vault: {message}","Failed to configure vault: {message}","needs-review"
"quantumroot.toast.destinationRequired","Destination address is required.","Destination address is required.","needs-review"
"quantumroot.toast.ineligibleReceiveUtxo","That receive UTXO is not eligible for authorized spend.","That receive UTXO is not eligible for authorized spend.","needs-review"
"quantumroot.toast.invalidTokenCategory","Token category must be 64 hexadecimal characters.","Token category must be 64 hexadecimal characters.","needs-review"
"quantumroot.toast.lockRecoveryBroadcast","Quantum Lock recovery broadcast: {txid}","Quantum Lock recovery broadcast: {txid}","needs-review"
"quantumroot.toast.lockRecoveryFailed","Quantum Lock recovery failed: {message}","Quantum Lock recovery failed: {message}","needs-review"
"quantumroot.toast.noBchUtxos","No BCH-only receive UTXOs available to sweep.","No BCH-only receive UTXOs available to sweep.","needs-review"
"quantumroot.toast.noControlToken","No matching Quantum Lock control token is available yet.","No matching Quantum Lock control token is available yet.","needs-review"
"quantumroot.toast.previewActive","Quantumroot mainnet preview is active until activation.","Quantumroot mainnet preview is active until activation.","needs-review"
"quantumroot.toast.reconfigured","Quantumroot vault reconfigured.","Quantumroot vault reconfigured.","needs-review"
"quantumroot.toast.spendBroadcast","Quantumroot spend broadcast: {txid}","Quantumroot spend broadcast: {txid}","needs-review"
"quantumroot.toast.spendFailed","Quantumroot spend failed: {message}","Quantumroot spend failed: {message}","needs-review"
"quantumroot.toast.sweepBroadcast","Quantumroot sweep broadcast: {txid}","Quantumroot sweep broadcast: {txid}","needs-review"
"quantumroot.toast.sweepFailed","Quantumroot sweep failed: {message}","Quantumroot sweep failed: {message}","needs-review"
"quantumroot.toast.unavailable","Quantumroot vault unavailable.","Quantumroot vault unavailable.","needs-review"
"quantumroot.trackedBalance","Tracked Balance","추적 잔액","translated"
"quantumroot.vaultNumber","Vault #{id}","볼트 #{id}","translated"
"quantumroot.vaults","Vaults","볼트","translated"
"quantumroot.workspaceRefreshFailed","Workspace Refresh Failed","작업 공간을 새로 고치지 못했습니다","translated"
"receive.addressesNotReady","Receive addresses not ready","수신 주소가 준비되지 않음","translated"
"receive.amountBch","Amount (BCH)","금액(BCH)","translated"
