"key","English (en)","Chinese (Simplified) (zh-CN)","Status"
"home.noRecentActivity","No recent activity yet.","暂无最近活动。","translated"
"home.pending","Pending","待处理","translated"
"home.pendingConfirmation","Pending confirmation","等待确认","translated"
"home.portfolio","Portfolio","资产总览","translated"
"home.quickActions","Quick Actions","快捷操作","translated"
"home.receive","Receive","接收","translated"
"home.recentActivity","Recent Activity","最近活动","translated"
"home.scanQr","Scan QR","扫描二维码","translated"
"home.send","Send","发送","translated"
"home.sync","Sync","同步","translated"
"home.syncing","Syncing…","同步中…","translated"
"home.title","Home","首页","translated"
"home.toggleBalance","Toggle BCH and USD balance","切换 BCH 和 USD 余额","translated"
"home.unsupportedQr","QR scanned, but it is not a supported wallet payload.","已扫描二维码，但不是支持的钱包格式。","translated"
"home.usdPriceUnavailable","USD price unavailable","USD 价格不可用","translated"
"home.usdUnavailable","USD unavailable","USD 不可用","translated"
"home.viewAll","View all","查看全部","translated"
"home.walletOverview","Wallet overview","钱包概览","translated"
"nav.actions","Actions","操作","stable-term"
"nav.apps","Apps","应用","translated"
"nav.assets","Assets","资产","translated"
"nav.home","Home","首页","translated"
"nav.settings","Settings","设置","translated"
"network.chipnet","Chipnet","Chipnet","stable-term"
"network.mainnet","Mainnet","Mainnet","stable-term"
"network.switch","Switch network. Current: {network}","切换网络。当前：{network}","translated"
"nftConfig.capability","NFT Capability","NFT 能力","translated"
"nftConfig.commitment","NFT Commitment","NFT 承诺值","translated"
"nftConfig.done","Done","完成","translated"
"nftConfig.minting","minting","铸造","translated"
"nftConfig.mintingDescription","one NFT authority that can create multiple next NFTs.","一个可以创建多个后续 NFT 的 NFT 权限。","translated"
"nftConfig.mutable","mutable","可变","translated"
"nftConfig.mutableDescription","one NFT that may update its commitment when spent.","一个在花费时可以更新承诺值的 NFT。","translated"
"nftConfig.none","none","无","translated"
"nftConfig.noneDescription","one immutable NFT, best for approvals or receipts.","一个不可变 NFT，适合批准或收据。","translated"
"nftConfig.placeholder","Up to 40 bytes","最多 40 字节","translated"
"nftConfig.title","NFT Configuration","NFT 配置","translated"
"nostr.active","{active}/{total} active","{active}/{total} 活动","translated"
"nostr.add","Add","添加","translated"
"nostr.chat","Nostr chat","Nostr 聊天","translated"
"nostr.checking","Checking…","检查中…","translated"
"nostr.checkRelayStatus","Check relay status","检查中继状态","translated"
"nostr.connected","connected","已连接","translated"
"nostr.deriving","Deriving…","派生中…","translated"
"nostr.disable","Disable","禁用","translated"
"nostr.dmDescription","End-to-end encrypted DMs using NIP-17.","使用 NIP-17 的端到端加密私信。","translated"
"nostr.enable","Enable","启用","translated"
"nostr.identity","Nostr identity","Nostr 身份","translated"
"nostr.identityDescription","Derived from your seed via NIP-06 (a separate path) — your spending keys are never reused.","通过 NIP-06 从种子派生（使用独立路径），不会重复使用你的花费密钥。","translated"
"nostr.invalidRelay","Enter a secure relay URL beginning with wss://","请输入以 wss:// 开头的安全中继 URL","translated"
"nostr.privacyWarning","Relay operators can still observe connection metadata, timing, and recipient tags. Encrypted content is not the same as network anonymity.","中继运营者仍可观察连接元数据、时间和收件人标签。加密内容不等同于网络匿名性。","translated"
"nostr.relays","Relays","中继","stable-term"
"nostr.relaysDescription","WSS relays used for chat and the P2P-fusion transport. Add your own or use the defaults.","用于聊天和 P2P Fusion 传输的 WSS 中继。你可以添加自己的中继或使用默认值。","translated"
"nostr.remove","Remove","移除","translated"
"nostr.unknown","unknown","未知","translated"
"nostr.unreachable","unreachable","无法访问","translated"
"notifications.dismiss","Dismiss","关闭","translated"
"notifications.fundsReceived","Funds received","收到资金","translated"
"notifications.fundsReceivedBody","{amount} sats to {address} • {txid}","{amount} sats 转入 {address} • {txid}","translated"
"notifications.incomingBch","Incoming BCH","收到 BCH","translated"
"notifications.incomingToken","Incoming token","收到代币","translated"
"notifications.transactionConfirmed","Transaction confirmed","交易已确认","translated"
"notifications.unknownAddress","unknown address","未知地址","translated"
"onboarding.back","Back","返回","translated"
"onboarding.closeHelp","Close help","关闭帮助","translated"
"onboarding.confirm","Confirm","确认","translated"
"onboarding.confirmError","Those don't match your seed phrase. Check the words and try again.","短语不匹配，请检查词语后重试。","translated"
"onboarding.confirmInstruction","Type the requested words to prove you saved them correctly.","输入指定词语，以确认你已正确保存恢复短语。","translated"
"onboarding.confirmPasswordPlaceholder","Confirm password","确认密码","translated"
"onboarding.confirmSeed","Confirm Your Seed Phrase","确认恢复短语","translated"
"onboarding.connectHardware","Connect Hardware Wallet","连接硬件钱包","translated"
"onboarding.continue","Continue","继续","translated"
"onboarding.createNewWallet","Create New Wallet","创建新钱包","translated"
"onboarding.createWallet","Create Wallet","创建钱包","translated"
"onboarding.createWatchOnly","Create Watch-Only Wallet","创建只读钱包","translated"
"onboarding.creating","Creating Wallet…","正在创建钱包…","translated"
"onboarding.creationFailed","Wallet creation failed. Please try again.","钱包创建失败，请重试。","translated"
"onboarding.databasePreparationFailed","Could not prepare the wallet on this device.","无法在此设备上准备钱包。","translated"
"onboarding.generatedMnemonic","Generated Mnemonic:","生成的助记词：","translated"
"onboarding.generatingSeed","Generating seed phrase…","正在生成恢复短语…","translated"
"onboarding.helpCreateDescription","Use this if you want a new wallet with a fresh seed phrase on this device.","如果你想在此设备上使用全新的助记词创建钱包，请选择此项。","translated"
"onboarding.helpCreateTitle","Create Wallet","创建钱包","translated"
"onboarding.helpDescription","Create a wallet for the first time or restore one you already have.","创建新钱包，或恢复已有钱包。","translated"
"onboarding.helpImportDescription","Use this if you already have a 12-word recovery phrase and want access to an existing wallet.","如果你已有 12 个单词的恢复短语并想访问现有钱包，请选择此项。","translated"
"onboarding.helpImportTitle","Import Wallet","导入钱包","translated"
"onboarding.helpNetworkDescription","Select Mainnet for real funds or CHIPNET for test funds before you proceed.","继续前选择 Mainnet 使用真实资金，或选择 CHIPNET 使用测试资金。","translated"
"onboarding.helpNetworkTitle","Choose a network","选择网络","translated"
"onboarding.helpTitle","Getting started","开始使用","translated"
"onboarding.importFailed","Wallet import failed. Please try again.","钱包导入失败，请重试。","translated"
"onboarding.importing","Importing Wallet…","正在导入钱包…","translated"
"onboarding.importWallet","Import Wallet","导入钱包","translated"
"onboarding.invalidMnemonic","Enter a valid English BIP39 recovery phrase with 12, 15, 18, 21, or 24 words.","请输入有效的 12、15、18、21 或 24 个 BIP39 助记词。","translated"
"onboarding.missingWord","Word {number} is missing.","缺少第 {number} 个词。","translated"
"onboarding.mnemonicLoading","The recovery phrase is still loading. Please wait a moment.","恢复短语仍在加载，请稍候。","translated"
"onboarding.mnemonicWarning","Your recovery phrase is the master key to your wallet. Store it securely and never share it.","恢复短语是钱包的主密钥。请妥善保存，切勿分享。","translated"
"onboarding.nameRequired","Give this wallet a name.","请为钱包设置名称。","translated"
"onboarding.nameWallet","Name This Wallet","命名钱包","translated"
"onboarding.nameWalletDescription","Give this wallet a name and a password. Each wallet on this device has its own independent password.","为钱包设置名称和密码。此设备上的每个钱包都有独立的密码。","translated"
"onboarding.passwordMismatch","Passwords do not match.","两次输入的密码不一致。","translated"
"onboarding.passwordPlaceholder","Password (or leave blank)","密码（可留空）","translated"
"onboarding.poweredBy","Powered with Bitcoin Covenants for Bitcoin Cash","由 Bitcoin Cash 的 Bitcoin Covenant 提供支持","translated"
"onboarding.recoveryDescription","Enter your BIP39 recovery phrase (12, 15, 18, 21, or 24 words). Each box corresponds to the word order.","请输入 BIP39 恢复短语（12、15、18、21 或 24 个词）。每个输入框对应一个词的顺序。","translated"
"onboarding.recoveryPhrase","Recovery Phrase","恢复短语","translated"
"onboarding.seedInstruction","Write these 12 words down in order and keep them somewhere safe. Anyone with this phrase can spend your funds — never share it or store it digitally.","请按顺序写下这 12 个词并妥善保存。任何拥有此短语的人都可以花费你的资金；请勿分享或以数字方式保存。","translated"
"onboarding.seedTitle","Your Seed Phrase","你的恢复短语","translated"
"onboarding.toggleTheme","Toggle theme","切换主题","translated"
"onboarding.walletAlreadyAvailable","This wallet is already available on this device.","此钱包已在设备上可用。","translated"
"onboarding.walletAlreadyExists","This wallet may already exist on this device.","此钱包可能已存在于设备上。","translated"
"onboarding.walletNamePlaceholder","Wallet name","钱包名称","translated"
"onboarding.walletSavedIdFailed","Wallet was saved, but its wallet ID could not be resolved.","钱包已保存，但无法解析钱包 ID。","translated"
"onboarding.walletSetup","Wallet Setup","钱包设置","translated"
"onboarding.walletSetupDescription","Choose the network and address path this wallet will use.","选择此钱包使用的网络和地址路径。","translated"
"onboarding.welcomeAlt","Smart BCH Wallet","Smart BCH 钱包","stable-term"
"onboarding.word","Word","词语","translated"
"onboarding.wordCountLabel","Phrase length","短语长度","translated"
"onboarding.wordPlaceholder","word","词语","translated"
"onboarding.words","words","个词","translated"
"onboarding.wroteItDown","I've written it down","我已写下","translated"
"outbox.amount","Amount","金额","translated"
"outbox.clearPending","Clear pending lock","清除待处理锁","translated"
"outbox.clearPendingTitle","Clear this pending lock if the transaction was not actually sent","如果交易实际上未发送，则清除此待处理锁","translated"
"outbox.copyTxid","Copy txid","复制 txid","translated"
"outbox.daysAgo","{count}d ago","{count} 天前","translated"
"outbox.description","Offline-first protection keeps new sends paused until these transactions are seen or safely released.","离线优先保护会暂停新发送，直到这些交易被发现或安全释放。","translated"
"outbox.destination","Destination","目的地","stable-term"
"outbox.dismiss","Dismiss","关闭","translated"
"outbox.dismissPending","Dismiss pending transactions popup","关闭待处理交易弹窗","translated"
"outbox.finalizing","Finalizing transaction","正在完成交易","translated"
"outbox.finalizingMultiple","Finalizing {count} transactions","正在完成 {count} 笔交易","translated"
"outbox.historyUpdate","Your wallet history will update automatically. This usually takes a moment.","钱包历史会自动更新，通常只需片刻。","translated"
"outbox.hoursAgo","{count}h ago","{count} 小时前","translated"
"outbox.justNow","just now","刚刚","translated"
"outbox.lastNetworkIssue","Last network issue","最近的网络问题","translated"
"outbox.minutesAgo","{count}m ago","{count} 分钟前","translated"
"outbox.noPending","No pending outgoing transactions.","没有待处理的转出交易。","translated"
"outbox.pendingOutgoing","Pending outgoing transactions","待处理转出交易","translated"
"outbox.prompt","Prompt","提示","translated"
"outbox.releaseSendLock","Release send lock","释放发送锁定","translated"
"outbox.releaseStale","Release if stale","过期后释放","translated"
"outbox.releaseStaleTitle","Available after {minutes} minutes if the transaction is still unresolved","如果交易仍未解决，{minutes} 分钟后可用","translated"
"outbox.requestedBy","Requested by","请求方","translated"
"outbox.title","Outbox","发件箱","translated"
"outbox.txid","Txid","Txid","stable-term"
"outbox.updated","Updated {age}","更新于 {age}","translated"
"outbox.walletSend","Wallet send","钱包发送","translated"
"p2p.description","No server: peers meet on Nostr relays over Tor, deterministically elect a coordinator, and run the CoinJoin peer-to-peer. Outputs are unlinkable; you sign only your own inputs after verifying your own outputs.","无需服务器：参与者通过 Tor 在 Nostr 中继上会合，确定性地选出协调者，并点对点运行 CoinJoin。输出无法关联；只有在确认自己的输出存在后，您才会签名自己的输入。","translated"
"p2p.phase.announce","Announcing & finding peers","广播并寻找参与者","translated"
"p2p.phase.assemble","Assembling & verifying","组装并验证","translated"
"p2p.phase.broadcast","Broadcasting","广播","translated"
"p2p.phase.register","Registering inputs & outputs","注册输入和输出","translated"
"p2p.phase.sign","Signing","签名","translated"
"p2p.requiresPeers","Requires Tor + at least 2 peers in the same tier.","需要 Tor，并且同一层级至少有 2 个参与者。","translated"
"p2p.running","Running P2P round…","正在运行 P2P 轮次…","translated"
"p2p.start","Start P2P round","开始 P2P 轮次","translated"
"p2p.title","P2P Fusion over Nostr","通过 Nostr 的 P2P Fusion","translated"
"paper.addressConversionError","Address conversion error","地址转换错误","translated"
"paper.addressDerivationFailed","Unable to derive a valid paper wallet address from the scanned key.","无法从扫描的密钥派生有效的纸钱包地址。","translated"
"paper.back","Back","返回","translated"
"paper.bchOutputs","BCH outputs","BCH 输出","translated"
"paper.buildFailed","Failed to build sweep transaction.","无法构建转移交易。","translated"
"paper.confirmDescription","Slide to confirm the one-transaction paper wallet sweep.","滑动以确认在一笔交易中转移纸钱包。","translated"
"paper.confirmTitle","Confirm sweep","确认转移","translated"
"paper.decodingError","Decoding error","解码错误","translated"
"paper.description","Scan a WIF paper wallet and sweep BCH + CashTokens in one transaction.","扫描 WIF 纸钱包，在一笔交易中转移 BCH 和 CashTokens。","translated"
"paper.label","Paper wallet","纸钱包","translated"
"paper.noCashTokens","No CashTokens detected.","未检测到 CashTokens。","translated"
"paper.noDestination","No destination wallet address is available.","没有可用的钱包目标地址。","translated"
"paper.noQrCode","No QR code detected. Please try again.","未检测到二维码，请重试。","translated"
"paper.notScanned","No paper wallet scanned yet.","尚未扫描纸钱包。","translated"
"paper.noUtxos","No UTXOs found for this paper wallet. If this is a mainnet wallet and you are on chipnet, try switching networks.","未找到此纸钱包的 UTXO。如果这是主网钱包而你正在使用 Chipnet，请尝试切换网络。","translated"
"paper.oneTransaction","One transaction only.","仅一笔交易。","translated"
"paper.paperInputs","Paper wallet inputs","纸钱包输入","translated"
"paper.scan","Scan","扫描","translated"
"paper.scanBeforeSweep","Scan a paper wallet before sweeping.","请先扫描纸钱包再进行转移。","translated"
"paper.spendableOutputPlural","spendable outputs","个可花费输出","translated"
"paper.spendableOutputSingular","spendable output","个可花费输出","translated"
"paper.sweep","Sweep","转移","translated"
"paper.sweepBroadcast","Sweep broadcast","转移已广播","translated"
"paper.title","Paper Wallet","纸钱包","translated"
"paper.tokenBacking","Token outputs are backed with 1000 sats.","代币输出由 1000 sats 支持。","translated"
"paper.tokenGroups","Token groups","代币组","translated"
"paper.tokenOutputs","Token outputs","代币输出","translated"
"paper.unexpected","An unexpected error occurred.","发生意外错误。","translated"
"paper.unexpectedTryAgain","An unexpected error occurred. Please try again.","发生意外错误，请重试。","translated"
"paper.utxosTitle","Paper wallet UTXOs","纸钱包 UTXO","translated"
"paper.walletFeeInputs","Wallet fee inputs","钱包费用输入","translated"
"priceFeed.loading","Loading…","正在加载…","translated"
"qr.animatedTransfer","Animated QR transfer","动态二维码传输","translated"
"qr.blocksRecovered","blocks recovered","个区块已恢复","translated"
"qr.cameraActive","Camera active — point at animated QR","相机已启用 — 对准动态二维码","translated"
"qr.cameraError","Camera unavailable","相机不可用","translated"
"qr.cameraUnavailable","Camera access is unavailable","无法访问相机","translated"
"qr.cancel","Cancel","取消","translated"
"qr.duplicates","duplicates","个重复帧","translated"
"qr.holdSteady","Hold the phone steady and fill the frame with the QR code.","请保持手机稳定，让二维码充满画面。","translated"
"qr.receivingStream","Receiving QR stream","正在接收二维码流","translated"
"qr.scan","Scan QR","扫描二维码","translated"
"qr.scanning","Scanning…","扫描中…","translated"
"qr.streaming","Streaming frame {frame} · {blocks} blocks · {bytes} bytes","正在传输帧 {frame} · {blocks} 个区块 · {bytes} 字节","translated"
"qr.unableToDecode","Unable to decode QR stream","无法解码二维码流","translated"
"qr.uniqueFrames","unique frames","个唯一帧","translated"
"qr.walletUpdateProgress","Wallet update progress","钱包更新进度","translated"
"qrSigning.approvedBy","Approved by {name}","批准者：{name}","translated"
"qrSigning.approveDemo","Approve demo request","批准演示请求","translated"
"qrSigning.approveReturn","2. Approve and return","2. 批准并返回","translated"
"qrSigning.close","Close","关闭","translated"
"qrSigning.collectResponse","2. Collect response","2. 收集响应","translated"
"qrSigning.fingerprint","Fingerprint","指纹","translated"
"qrSigning.invalidRequest","Invalid signing request","签名请求无效","translated"
"qrSigning.invalidResponse","Invalid signing response","签名响应无效","translated"
"qrSigning.mismatch","Signing response does not match this request","签名响应与此请求不匹配","translated"
"qrSigning.network","Network","网络","translated"
"qrSigning.payload","Payload","负载","translated"
"qrSigning.placeholderWarning","This demo returns a placeholder signature and never broadcasts.","此演示返回占位签名，绝不会广播交易。","translated"
"qrSigning.prepareFailed","Unable to prepare mocknet fixture","无法准备 mocknet 测试数据","translated"
"qrSigning.preparing","Preparing mocknet fixture…","正在准备 mocknet 测试数据…","translated"
"qrSigning.purpose","Purpose","用途","translated"
"qrSigning.rejectedBy","Rejected by {name}","拒绝者：{name}","translated"
"qrSigning.requestReceived","Request received","已收到请求","translated"
"qrSigning.requestSignature","Request signature","请求签名","translated"
"qrSigning.scanAnother","Scan another request","扫描其他请求","translated"
"qrSigning.scanApproval","Scan approval response","扫描批准响应","translated"
"qrSigning.scanRequest","1. Scan request","1. 扫描请求","translated"
"qrSigning.showRequest","1. Show request","1. 显示请求","translated"
"qrSigning.showRequestHelp","On the other wallet, choose “Sign request” and scan this stream.","在另一钱包中选择“签名请求”，然后扫描此二维码流。","translated"
"qrSigning.signRequest","Sign request","签名请求","translated"
"qrSigning.subtitle","Exchange a partially signed transaction between two OPTN wallet screens.","在两个 OPTN 钱包界面之间交换部分签名交易。","translated"
"qrSigning.title","QR signing demo","二维码签名演示","translated"
"quantumroot.activeNetwork","Quantumroot is active on this network. Use the vault workspace below to manage a normal spend lane and a quantum-safe recovery lane.","Quantumroot 已在此网络启用。使用下方保险库工作区管理普通支出通道和抗量子恢复通道。","translated"
"quantumroot.activeWorkspace","Active workspace for the beta-production Quantumroot flow.","Quantumroot 生产测试版流程的活动工作区。","translated"
"quantumroot.back","Back","返回","translated"
"quantumroot.betaProduction","Beta production","生产测试版","translated"
"quantumroot.betaTitle","Quantumroot Beta Production","Quantumroot 生产测试版","translated"
"quantumroot.checkingBalances","Checking balances…","正在检查余额…","translated"
"quantumroot.close","Close","关闭","translated"
"quantumroot.funded","{count} funded","{count} 个已注资","translated"
"quantumroot.fundedStatus","Funded","已注资","translated"
"quantumroot.guidedNow","Guided now: choose one approval key, lock it in Quantum Lock, then spend the matching coin.","引导流程：选择一个批准密钥，将其锁定到 Quantum Lock，然后支出匹配的币。","translated"
"quantumroot.liveNow","Live now: normal spending, balance tracking, and Quantum Lock BCH recovery.","当前可用：普通支出、余额跟踪和 Quantum Lock BCH 恢复。","translated"
"quantumroot.livePreview","Live preview","实时预览","translated"
"quantumroot.mainnetAhead","Quantumroot is visible on mainnet ahead of activation. The layout stays available, but key actions remain disabled until {date}.","Quantumroot 在激活前已显示于 Mainnet。布局仍可用，但关键操作将在 {date} 前保持禁用。","translated"
"quantumroot.mainnetPreview","Mainnet preview stays visible before activation.","激活前仍显示 Mainnet 预览。","translated"
"quantumroot.noFundsYet","No funds yet","暂无资金","translated"
"quantumroot.noVaults","No Quantumroot vaults derived yet. Sync vaults to provision them for existing wallet address indexes.","尚未派生 Quantumroot 保险库。同步保险库即可为现有钱包地址索引配置保险库。","translated"
"quantumroot.openVaults","Open Vaults","打开保险库","translated"
"quantumroot.popup.action.chooseCoinLabel","Choose coin to spend","选择要支出的币","translated"
"quantumroot.popup.action.chooseDescription","Choose one approval key for this vault.","为此保险库选择一个批准密钥。","translated"
"quantumroot.popup.action.chooseLabel","Choose approval key","选择批准密钥","translated"
"quantumroot.popup.action.chooseTitle","Choose an approval key","选择批准密钥","translated"
"quantumroot.popup.action.createDescription","Create or receive a plain NFT first, then use it as the approval key.","先创建或接收一个普通 NFT，然后将其用作批准密钥。","translated"
"quantumroot.popup.action.createTitle","Create an approval key","创建批准密钥","translated"
"quantumroot.popup.action.destinationDescription","Choose where the coin should go, then open the spend list.","选择币的去向，然后打开支出列表。","translated"
"quantumroot.popup.action.destinationLabel","Set destination","设置目的地","translated"
"quantumroot.popup.action.destinationTitle","Choose a destination","选择目的地","translated"
"quantumroot.popup.action.disabledDescription","The spend list is ready, but spending is disabled on this network.","支出列表已准备好，但此网络禁用了支出。","translated"
"quantumroot.popup.action.readyDescription","Tap a ready coin to spend it.","点击就绪币即可支出。","translated"
"quantumroot.popup.action.readyTitle","Ready to spend","可以支出","translated"
"quantumroot.popup.action.receiveDescription","Send the matching receive coin to the normal lane.","将匹配的接收币发送到普通通道。","translated"
"quantumroot.popup.action.receiveLabel","Add receive coin","添加接收币","translated"
"quantumroot.popup.action.receiveTitle","Add the matching receive coin","添加匹配的接收币","translated"
"quantumroot.popup.action.refreshDescription","Refresh the wallet scan or choose another approval key.","刷新钱包扫描或选择其他批准密钥。","translated"
"quantumroot.popup.action.refreshLabel","Refresh vault","刷新保险库","translated"
"quantumroot.popup.action.refreshTitle","Refresh the vault","刷新保险库","translated"
"quantumroot.popup.action.reviewLabel","Review spend","检查支出","translated"
"quantumroot.popup.action.sendDescription","Send the approval key to Quantum Lock.","将批准密钥发送到 Quantum Lock。","translated"
"quantumroot.popup.action.sendLabel","Send approval key","发送批准密钥","translated"
"quantumroot.popup.action.sendTitle","Send the approval key","发送批准密钥","translated"
"quantumroot.popup.addDestinationReview","Add a destination, then review spend.","添加目的地，然后检查支出。","translated"
"quantumroot.popup.addMatchingCoin","Add the matching coin to unlock spend.","添加匹配的币以解锁支出。","translated"
"quantumroot.popup.advanced","Advanced","高级","translated"
"quantumroot.popup.advancedRecovery","Advanced recovery","高级恢复","translated"
"quantumroot.popup.advancedRecoveryDescription","Recover regular BCH, recover Quantum Lock funds, or refresh vault status.","恢复普通 BCH、恢复 Quantum Lock 资金或刷新保险库状态。","translated"
"quantumroot.popup.approvalKey","Approval key","批准密钥","translated"
"quantumroot.popup.approvalKeyCapability","Approval key","批准密钥","translated"
"quantumroot.popup.approvalKeyChanged","Approval key changed on chain","链上的批准密钥已更改","translated"
"quantumroot.popup.approvalKeyInLock","Approval key is in Quantum Lock.","批准密钥已在 Quantum Lock 中。","translated"
"quantumroot.popup.approvalKeyInQuantumLock","Your approval key is in Quantum Lock.","你的批准密钥已在 Quantum Lock 中。","translated"
"quantumroot.popup.approvalKeyPicked","Approval key picked.","已选择批准密钥。","translated"
"quantumroot.popup.approvalKeySelected","Approval key selected","已选择批准密钥","translated"
"quantumroot.popup.approvalLane","Approval lane","批准通道","translated"
"quantumroot.popup.approvalLaneDescription","Your approval key goes to Quantum Lock.","批准密钥会发送到 Quantum Lock。","translated"
"quantumroot.popup.available","{count} available","可用 {count} 个","translated"
"quantumroot.popup.availableApprovalKeys","Available approval keys","可用的批准密钥","translated"
"quantumroot.popup.bchRecoveryDescription","BCH recovery sends back to the matching standard wallet address for this vault index when available.","BCH 恢复会在有可用地址时，将资金发回此保险库索引对应的标准钱包地址。","translated"
"quantumroot.popup.bchRecoveryDisabled","BCH recovery is temporarily disabled until the on-chain receive-script validation issue is resolved.","在链上接收脚本验证问题解决前，BCH 恢复暂时被禁用。","translated"
"quantumroot.popup.block.approvalPending","Send one approval key to Quantum Lock.","将一个批准密钥发送到 Quantum Lock。","translated"
"quantumroot.popup.block.inactiveNetwork","Quantumroot spending is disabled on this network.","此网络已禁用 Quantumroot 支出。","translated"
"quantumroot.popup.block.noDestination","Choose a destination address before spending.","支出前选择目的地地址。","translated"
"quantumroot.popup.block.noFamily","Create or receive a plain NFT first. It becomes your approval key.","先创建或接收一个普通 NFT。它会成为你的批准密钥。","translated"
"quantumroot.popup.block.pickFamily","Choose one plain NFT to use as the approval key.","选择一个普通 NFT 作为批准密钥。","translated"
"quantumroot.popup.block.receivePending","Send the matching receive coin to the normal lane.","将匹配的接收币发送到普通通道。","translated"
"quantumroot.popup.block.staleInventory","Your selected approval key is not visible right now. Refresh the vault or choose another key.","当前看不到选中的批准密钥。刷新保险库或选择其他密钥。","translated"
"quantumroot.popup.broadcastWarning","This will broadcast after confirmation.","确认后将广播此交易。","translated"
"quantumroot.popup.category","Category:","类别：","translated"
"quantumroot.popup.chooseApprovalKey","Choose approval key","选择批准密钥","translated"
"quantumroot.popup.chooseApprovalKeyDescription","Quantumroot uses one plain NFT as the approval key. Advanced token tools live in CashTokens.","Quantumroot 使用一个普通 NFT 作为批准密钥。高级代币工具位于 CashTokens 中。","translated"
"quantumroot.popup.chooseOneApproval","Choose one approval key to continue.","选择一个批准密钥以继续。","translated"
"quantumroot.popup.commitment","Commitment:","承诺值：","translated"
"quantumroot.popup.completeSteps","Complete the approval key and matching receive coin steps before spending.","完成批准密钥和匹配接收币步骤后才能支出。","translated"
"quantumroot.popup.confirmed","Confirmed","已确认","translated"
"quantumroot.popup.copyDestination","Copy destination","复制目的地","translated"
"quantumroot.popup.copyOrScanFund","Copy or scan to fund this vault.","复制或扫描以为此保险库注资。","translated"
"quantumroot.popup.copyQuantumLock","Copy Quantum Lock","复制 Quantum Lock","translated"
"quantumroot.popup.copyReceiveAddress","Copy receive address","复制接收地址","translated"
"quantumroot.popup.copyRecoveryAddress","Copy recovery address","复制恢复地址","translated"
"quantumroot.popup.createOrReceive","Create or receive a plain NFT first, then it will appear here as an approval key you can choose.","先创建或接收一个普通 NFT，它会显示在这里供你选择为批准密钥。","translated"
"quantumroot.popup.destination","Destination","目的地","translated"
"quantumroot.popup.destinationAddress","Destination address","目的地地址","translated"
"quantumroot.popup.done","Done","完成","translated"
"quantumroot.popup.empty","empty","空","translated"
"quantumroot.popup.found","{count} found","找到 {count} 个","translated"
"quantumroot.popup.fundMatchingReceive","Fund matching receive coin","为匹配的接收币注资","translated"
"quantumroot.popup.fundMatchingReceiveDescription","Open the send screen prefilled to the vault receive address with the same approval key.","打开预填充的发送界面，将相同批准密钥发送到保险库接收地址。","translated"
"quantumroot.popup.helpShortcuts","Help and shortcuts","帮助和快捷方式","translated"
"quantumroot.popup.inQuantumLock","{count} in Quantum Lock","Quantum Lock 中有 {count} 个","translated"
"quantumroot.popup.inWallet","{count} in wallet","钱包中有 {count} 个","translated"
"quantumroot.popup.locked","{count} locked","{count} 个已锁定","translated"
"quantumroot.popup.mainnetDisabled","Mainnet Quantumroot uses the same UI as Chipnet, but the spend, recovery, and token-configuration actions remain disabled until activation on {date}.","Mainnet Quantumroot 使用与 Chipnet 相同的界面，但支出、恢复和代币配置操作在 {date} 激活前仍被禁用。","translated"
"quantumroot.popup.mintingNft","Minting NFT","铸造型 NFT","translated"
"quantumroot.popup.missing","Missing","缺少","translated"
"quantumroot.popup.mutableNft","Mutable NFT","可变 NFT","translated"
"quantumroot.popup.needed","Needed","需要","translated"
"quantumroot.popup.neededLater","Needed later","稍后需要","translated"
"quantumroot.popup.nextStep","Next step","下一步","translated"
"quantumroot.popup.noApprovalKey","No approval key","没有批准密钥","translated"
"quantumroot.popup.noDestination","No destination set","尚未设置目的地","translated"
"quantumroot.popup.noReadyCoin","No ready coin is available yet. After the approval key and the matching receive coin are present, spendable coins appear here.","目前还没有就绪币。批准密钥和匹配的接收币到位后，可支出的币会显示在这里。","translated"
"quantumroot.popup.normalLane","Normal vault lane","普通保险库通道","translated"
"quantumroot.popup.normalLaneDescription","Your BCH and matching receive coin go here.","BCH 和匹配的接收币会进入这里。","translated"
"quantumroot.popup.normalLanePending","Add the matching receive coin after the approval key is in Quantum Lock.","批准密钥进入 Quantum Lock 后，添加匹配的接收币。","translated"
"quantumroot.popup.normalLaneReady","Your normal lane is ready.","普通通道已就绪。","translated"
"quantumroot.popup.noStandardAddress","No standard wallet address available","没有可用的标准钱包地址","translated"
"quantumroot.popup.openCashTokens","Open CashTokens","打开 CashTokens","translated"
"quantumroot.popup.openReceiveScreen","Open receive screen","打开接收界面","translated"
"quantumroot.popup.otherNft","Other NFT","其他 NFT","translated"
"quantumroot.popup.otherNftDescription","It sits in Quantum Lock, but it is not the selected approval key. No direct withdrawal path exists yet.","它位于 Quantum Lock，但不是选中的批准密钥。目前还没有直接提取路径。","translated"
"quantumroot.popup.otherNftInQuantumLock","Other NFT in Quantum Lock","Quantum Lock 中的其他 NFT","translated"
"quantumroot.popup.otherNfts","{count} other NFT(s)","{count} 个其他 NFT","translated"
"quantumroot.popup.outpoint","Outpoint","Outpoint","stable-term"
"quantumroot.popup.pending","Pending","待处理","translated"
"quantumroot.popup.pendingCoin","Pending coin","待处理币","translated"
"quantumroot.popup.pickApprovalKey","Pick one approval key.","选择一个批准密钥。","translated"
"quantumroot.popup.plainBchCoins","{count} plain BCH coin(s)","{count} 个普通 BCH 币","translated"
