"key","English (en)","Portuguese (Brazil) (pt-BR)","Status"
"outbox.hoursAgo","{count}h ago","há {count} h","translated"
"outbox.justNow","just now","agora mesmo","translated"
"outbox.lastNetworkIssue","Last network issue","Último problema de rede","translated"
"outbox.minutesAgo","{count}m ago","há {count} min","translated"
"outbox.noPending","No pending outgoing transactions.","Nenhuma transação de saída pendente.","translated"
"outbox.pendingOutgoing","Pending outgoing transactions","Transações de saída pendentes","translated"
"outbox.prompt","Prompt","Solicitação","translated"
"outbox.releaseSendLock","Release send lock","Liberar bloqueio de envio","translated"
"outbox.releaseStale","Release if stale","Liberar se estiver obsoleto","translated"
"outbox.releaseStaleTitle","Available after {minutes} minutes if the transaction is still unresolved","Disponível após {minutes} minutos se a transação continuar sem resolução","translated"
"outbox.requestedBy","Requested by","Solicitado por","translated"
"outbox.title","Outbox","Caixa de saída","translated"
"outbox.txid","Txid","Txid","stable-term"
"outbox.updated","Updated {age}","Atualizado {age}","translated"
"outbox.walletSend","Wallet send","Envio da carteira","translated"
"p2p.description","No server: peers meet on Nostr relays over Tor, deterministically elect a coordinator, and run the CoinJoin peer-to-peer. Outputs are unlinkable; you sign only your own inputs after verifying your own outputs.","Sem servidor: pares se encontram em relays Nostr via Tor, elegem um coordenador determinístico e executam o CoinJoin ponto a ponto. As saídas não podem ser vinculadas; você assina apenas suas entradas após verificar suas saídas.","translated"
"p2p.phase.announce","Announcing & finding peers","Anunciando e encontrando pares","translated"
"p2p.phase.assemble","Assembling & verifying","Montando e verificando","translated"
"p2p.phase.broadcast","Broadcasting","Transmitindo","translated"
"p2p.phase.register","Registering inputs & outputs","Registrando entradas e saídas","translated"
"p2p.phase.sign","Signing","Assinando","translated"
"p2p.requiresPeers","Requires Tor + at least 2 peers in the same tier.","Exige Tor e pelo menos 2 pares na mesma categoria.","translated"
"p2p.running","Running P2P round…","Executando rodada P2P…","translated"
"p2p.start","Start P2P round","Iniciar rodada P2P","translated"
"p2p.title","P2P Fusion over Nostr","Fusion P2P via Nostr","translated"
"paper.addressConversionError","Address conversion error","Erro de conversão de endereço","translated"
"paper.addressDerivationFailed","Unable to derive a valid paper wallet address from the scanned key.","Não foi possível derivar um endereço válido da carteira de papel a partir da chave escaneada.","translated"
"paper.back","Back","Voltar","translated"
"paper.bchOutputs","BCH outputs","Saídas BCH","translated"
"paper.buildFailed","Failed to build sweep transaction.","Falha ao criar a transação de transferência.","translated"
"paper.confirmDescription","Slide to confirm the one-transaction paper wallet sweep.","Deslize para confirmar a transferência da carteira de papel em uma transação.","translated"
"paper.confirmTitle","Confirm sweep","Confirmar transferência","translated"
"paper.decodingError","Decoding error","Erro de decodificação","translated"
"paper.description","Scan a WIF paper wallet and sweep BCH + CashTokens in one transaction.","Escaneie uma carteira de papel WIF e transfira BCH + CashTokens em uma transação.","translated"
"paper.label","Paper wallet","Carteira de papel","translated"
"paper.noCashTokens","No CashTokens detected.","Nenhum CashToken detectado.","translated"
"paper.noDestination","No destination wallet address is available.","Nenhum endereço de carteira de destino disponível.","translated"
"paper.noQrCode","No QR code detected. Please try again.","Nenhum código QR detectado. Tente novamente.","translated"
"paper.notScanned","No paper wallet scanned yet.","Nenhuma carteira de papel escaneada ainda.","translated"
"paper.noUtxos","No UTXOs found for this paper wallet. If this is a mainnet wallet and you are on chipnet, try switching networks.","Nenhum UTXO encontrado para esta carteira de papel. Se for uma carteira mainnet e você estiver no chipnet, tente trocar de rede.","translated"
"paper.oneTransaction","One transaction only.","Apenas uma transação.","translated"
"paper.paperInputs","Paper wallet inputs","Entradas da carteira de papel","translated"
"paper.scan","Scan","Escanear","translated"
"paper.scanBeforeSweep","Scan a paper wallet before sweeping.","Escaneie uma carteira de papel antes de transferir.","translated"
"paper.spendableOutputPlural","spendable outputs","saídas disponíveis","translated"
"paper.spendableOutputSingular","spendable output","saída disponível","translated"
"paper.sweep","Sweep","Transferir","translated"
"paper.sweepBroadcast","Sweep broadcast","Transferência transmitida","translated"
"paper.title","Paper Wallet","Carteira de papel","translated"
"paper.tokenBacking","Token outputs are backed with 1000 sats.","As saídas de tokens são respaldadas com 1000 sats.","translated"
"paper.tokenGroups","Token groups","Grupos de tokens","translated"
"paper.tokenOutputs","Token outputs","Saídas de tokens","translated"
"paper.unexpected","An unexpected error occurred.","Ocorreu um erro inesperado.","translated"
"paper.unexpectedTryAgain","An unexpected error occurred. Please try again.","Ocorreu um erro inesperado. Tente novamente.","translated"
"paper.utxosTitle","Paper wallet UTXOs","UTXOs da carteira de papel","translated"
"paper.walletFeeInputs","Wallet fee inputs","Entradas de taxa da carteira","translated"
"priceFeed.loading","Loading…","Carregando…","translated"
"qr.animatedTransfer","Animated QR transfer","Transferência QR animada","translated"
"qr.blocksRecovered","blocks recovered","blocos recuperados","translated"
"qr.cameraActive","Camera active — point at animated QR","Câmera ativa — aponte para o QR animado","translated"
"qr.cameraError","Camera unavailable","Câmera indisponível","translated"
"qr.cameraUnavailable","Camera access is unavailable","O acesso à câmera não está disponível","translated"
"qr.cancel","Cancel","Cancelar","translated"
"qr.duplicates","duplicates","duplicados","translated"
"qr.holdSteady","Hold the phone steady and fill the frame with the QR code.","Mantenha o celular firme e preencha o quadro com o código QR.","translated"
"qr.receivingStream","Receiving QR stream","Recebendo fluxo QR","translated"
"qr.scan","Scan QR","Ler QR","translated"
"qr.scanning","Scanning…","Lendo…","translated"
"qr.streaming","Streaming frame {frame} · {blocks} blocks · {bytes} bytes","Transmitindo quadro {frame} · {blocks} blocos · {bytes} bytes","translated"
"qr.unableToDecode","Unable to decode QR stream","Não foi possível decodificar o fluxo QR","translated"
"qr.uniqueFrames","unique frames","quadros únicos","translated"
"qr.walletUpdateProgress","Wallet update progress","Progresso da atualização da carteira","translated"
"qrSigning.approvedBy","Approved by {name}","Aprovada por {name}","translated"
"qrSigning.approveDemo","Approve demo request","Aprovar solicitação de demonstração","translated"
"qrSigning.approveReturn","2. Approve and return","2. Aprovar e retornar","translated"
"qrSigning.close","Close","Fechar","translated"
"qrSigning.collectResponse","2. Collect response","2. Coletar resposta","translated"
"qrSigning.fingerprint","Fingerprint","Impressão digital","translated"
"qrSigning.invalidRequest","Invalid signing request","Solicitação de assinatura inválida","translated"
"qrSigning.invalidResponse","Invalid signing response","Resposta de assinatura inválida","translated"
"qrSigning.mismatch","Signing response does not match this request","A resposta de assinatura não corresponde a esta solicitação","translated"
"qrSigning.network","Network","Rede","translated"
"qrSigning.payload","Payload","Carga útil","translated"
"qrSigning.placeholderWarning","This demo returns a placeholder signature and never broadcasts.","Esta demonstração retorna uma assinatura de exemplo e nunca transmite.","translated"
"qrSigning.prepareFailed","Unable to prepare mocknet fixture","Não foi possível preparar a fixture de mocknet","translated"
"qrSigning.preparing","Preparing mocknet fixture…","Preparando fixture de mocknet…","translated"
"qrSigning.purpose","Purpose","Finalidade","translated"
"qrSigning.rejectedBy","Rejected by {name}","Rejeitada por {name}","translated"
"qrSigning.requestReceived","Request received","Solicitação recebida","translated"
"qrSigning.requestSignature","Request signature","Solicitar assinatura","translated"
"qrSigning.scanAnother","Scan another request","Escanear outra solicitação","translated"
"qrSigning.scanApproval","Scan approval response","Escanear resposta de aprovação","translated"
"qrSigning.scanRequest","1. Scan request","1. Escanear solicitação","translated"
"qrSigning.showRequest","1. Show request","1. Mostrar solicitação","translated"
"qrSigning.showRequestHelp","On the other wallet, choose “Sign request” and scan this stream.","No outro wallet, escolha “Assinar solicitação” e escaneie este fluxo.","translated"
"qrSigning.signRequest","Sign request","Assinar solicitação","translated"
"qrSigning.subtitle","Exchange a partially signed transaction between two OPTN wallet screens.","Troque uma transação parcialmente assinada entre duas telas do OPTN Wallet.","translated"
"qrSigning.title","QR signing demo","Demonstração de assinatura por QR","translated"
"quantumroot.activeNetwork","Quantumroot is active on this network. Use the vault workspace below to manage a normal spend lane and a quantum-safe recovery lane.","O Quantumroot está ativo nesta rede. Use a área de trabalho abaixo para gerenciar uma linha de gasto normal e uma linha de recuperação resistente a quantum.","translated"
"quantumroot.activeWorkspace","Active workspace for the beta-production Quantumroot flow.","Área de trabalho ativa para o fluxo Quantumroot de produção beta.","translated"
"quantumroot.back","Back","Voltar","translated"
"quantumroot.betaProduction","Beta production","Produção beta","translated"
"quantumroot.betaTitle","Quantumroot Beta Production","Produção beta do Quantumroot","translated"
"quantumroot.checkingBalances","Checking balances…","Verificando saldos…","translated"
"quantumroot.close","Close","Fechar","translated"
"quantumroot.funded","{count} funded","{count} financiados","translated"
"quantumroot.fundedStatus","Funded","Financiado","translated"
"quantumroot.guidedNow","Guided now: choose one approval key, lock it in Quantum Lock, then spend the matching coin.","Orientado agora: escolha uma chave de aprovação, bloqueie-a no Quantum Lock e gaste a moeda correspondente.","translated"
"quantumroot.liveNow","Live now: normal spending, balance tracking, and Quantum Lock BCH recovery.","Disponível agora: gasto normal, monitoramento de saldo e recuperação de BCH pelo Quantum Lock.","translated"
"quantumroot.livePreview","Live preview","Prévia ao vivo","translated"
"quantumroot.mainnetAhead","Quantumroot is visible on mainnet ahead of activation. The layout stays available, but key actions remain disabled until {date}.","O Quantumroot está visível na Mainnet antes da ativação. O layout continua disponível, mas as ações principais ficam desativadas até {date}.","translated"
"quantumroot.mainnetPreview","Mainnet preview stays visible before activation.","A prévia da Mainnet permanece visível antes da ativação.","translated"
"quantumroot.noFundsYet","No funds yet","Ainda sem fundos","translated"
"quantumroot.noVaults","No Quantumroot vaults derived yet. Sync vaults to provision them for existing wallet address indexes.","Nenhum cofre Quantumroot foi derivado ainda. Sincronize os cofres para provisioná-los para os índices de endereço existentes da carteira.","translated"
"quantumroot.openVaults","Open Vaults","Abrir cofres","translated"
"quantumroot.popup.action.chooseCoinLabel","Choose coin to spend","Choose coin to spend","needs-review"
"quantumroot.popup.action.chooseDescription","Choose one approval key for this vault.","Choose one approval key for this vault.","needs-review"
"quantumroot.popup.action.chooseLabel","Choose approval key","Choose approval key","needs-review"
"quantumroot.popup.action.chooseTitle","Choose an approval key","Choose an approval key","needs-review"
"quantumroot.popup.action.createDescription","Create or receive a plain NFT first, then use it as the approval key.","Create or receive a plain NFT first, then use it as the approval key.","needs-review"
"quantumroot.popup.action.createTitle","Create an approval key","Create an approval key","needs-review"
"quantumroot.popup.action.destinationDescription","Choose where the coin should go, then open the spend list.","Choose where the coin should go, then open the spend list.","needs-review"
"quantumroot.popup.action.destinationLabel","Set destination","Set destination","needs-review"
"quantumroot.popup.action.destinationTitle","Choose a destination","Choose a destination","needs-review"
"quantumroot.popup.action.disabledDescription","The spend list is ready, but spending is disabled on this network.","The spend list is ready, but spending is disabled on this network.","needs-review"
"quantumroot.popup.action.readyDescription","Tap a ready coin to spend it.","Tap a ready coin to spend it.","needs-review"
"quantumroot.popup.action.readyTitle","Ready to spend","Ready to spend","needs-review"
"quantumroot.popup.action.receiveDescription","Send the matching receive coin to the normal lane.","Send the matching receive coin to the normal lane.","needs-review"
"quantumroot.popup.action.receiveLabel","Add receive coin","Add receive coin","needs-review"
"quantumroot.popup.action.receiveTitle","Add the matching receive coin","Add the matching receive coin","needs-review"
"quantumroot.popup.action.refreshDescription","Refresh the wallet scan or choose another approval key.","Refresh the wallet scan or choose another approval key.","needs-review"
"quantumroot.popup.action.refreshLabel","Refresh vault","Refresh vault","needs-review"
"quantumroot.popup.action.refreshTitle","Refresh the vault","Refresh the vault","needs-review"
"quantumroot.popup.action.reviewLabel","Review spend","Review spend","needs-review"
"quantumroot.popup.action.sendDescription","Send the approval key to Quantum Lock.","Send the approval key to Quantum Lock.","needs-review"
"quantumroot.popup.action.sendLabel","Send approval key","Send approval key","needs-review"
"quantumroot.popup.action.sendTitle","Send the approval key","Send the approval key","needs-review"
"quantumroot.popup.addDestinationReview","Add a destination, then review spend.","Add a destination, then review spend.","needs-review"
"quantumroot.popup.addMatchingCoin","Add the matching coin to unlock spend.","Add the matching coin to unlock spend.","needs-review"
"quantumroot.popup.advanced","Advanced","Advanced","needs-review"
"quantumroot.popup.advancedRecovery","Advanced recovery","Advanced recovery","needs-review"
"quantumroot.popup.advancedRecoveryDescription","Recover regular BCH, recover Quantum Lock funds, or refresh vault status.","Recover regular BCH, recover Quantum Lock funds, or refresh vault status.","needs-review"
"quantumroot.popup.approvalKey","Approval key","Approval key","needs-review"
"quantumroot.popup.approvalKeyCapability","Approval key","Approval key","needs-review"
"quantumroot.popup.approvalKeyChanged","Approval key changed on chain","Approval key changed on chain","needs-review"
"quantumroot.popup.approvalKeyInLock","Approval key is in Quantum Lock.","Approval key is in Quantum Lock.","needs-review"
"quantumroot.popup.approvalKeyInQuantumLock","Your approval key is in Quantum Lock.","Your approval key is in Quantum Lock.","needs-review"
"quantumroot.popup.approvalKeyPicked","Approval key picked.","Approval key picked.","needs-review"
"quantumroot.popup.approvalKeySelected","Approval key selected","Approval key selected","needs-review"
"quantumroot.popup.approvalLane","Approval lane","Approval lane","needs-review"
"quantumroot.popup.approvalLaneDescription","Your approval key goes to Quantum Lock.","Your approval key goes to Quantum Lock.","needs-review"
"quantumroot.popup.available","{count} available","{count} available","needs-review"
"quantumroot.popup.availableApprovalKeys","Available approval keys","Available approval keys","needs-review"
"quantumroot.popup.bchRecoveryDescription","BCH recovery sends back to the matching standard wallet address for this vault index when available.","BCH recovery sends back to the matching standard wallet address for this vault index when available.","needs-review"
"quantumroot.popup.bchRecoveryDisabled","BCH recovery is temporarily disabled until the on-chain receive-script validation issue is resolved.","BCH recovery is temporarily disabled until the on-chain receive-script validation issue is resolved.","needs-review"
"quantumroot.popup.block.approvalPending","Send one approval key to Quantum Lock.","Send one approval key to Quantum Lock.","needs-review"
"quantumroot.popup.block.inactiveNetwork","Quantumroot spending is disabled on this network.","Quantumroot spending is disabled on this network.","needs-review"
"quantumroot.popup.block.noDestination","Choose a destination address before spending.","Choose a destination address before spending.","needs-review"
"quantumroot.popup.block.noFamily","Create or receive a plain NFT first. It becomes your approval key.","Create or receive a plain NFT first. It becomes your approval key.","needs-review"
"quantumroot.popup.block.pickFamily","Choose one plain NFT to use as the approval key.","Choose one plain NFT to use as the approval key.","needs-review"
"quantumroot.popup.block.receivePending","Send the matching receive coin to the normal lane.","Send the matching receive coin to the normal lane.","needs-review"
"quantumroot.popup.block.staleInventory","Your selected approval key is not visible right now. Refresh the vault or choose another key.","Your selected approval key is not visible right now. Refresh the vault or choose another key.","needs-review"
"quantumroot.popup.broadcastWarning","This will broadcast after confirmation.","This will broadcast after confirmation.","needs-review"
"quantumroot.popup.category","Category:","Category:","needs-review"
"quantumroot.popup.chooseApprovalKey","Choose approval key","Choose approval key","needs-review"
"quantumroot.popup.chooseApprovalKeyDescription","Quantumroot uses one plain NFT as the approval key. Advanced token tools live in CashTokens.","Quantumroot uses one plain NFT as the approval key. Advanced token tools live in CashTokens.","needs-review"
"quantumroot.popup.chooseOneApproval","Choose one approval key to continue.","Choose one approval key to continue.","needs-review"
"quantumroot.popup.commitment","Commitment:","Commitment:","needs-review"
"quantumroot.popup.completeSteps","Complete the approval key and matching receive coin steps before spending.","Complete the approval key and matching receive coin steps before spending.","needs-review"
"quantumroot.popup.confirmed","Confirmed","Confirmed","needs-review"
"quantumroot.popup.copyDestination","Copy destination","Copy destination","needs-review"
"quantumroot.popup.copyOrScanFund","Copy or scan to fund this vault.","Copy or scan to fund this vault.","needs-review"
"quantumroot.popup.copyQuantumLock","Copy Quantum Lock","Copy Quantum Lock","needs-review"
"quantumroot.popup.copyReceiveAddress","Copy receive address","Copy receive address","needs-review"
"quantumroot.popup.copyRecoveryAddress","Copy recovery address","Copy recovery address","needs-review"
"quantumroot.popup.createOrReceive","Create or receive a plain NFT first, then it will appear here as an approval key you can choose.","Create or receive a plain NFT first, then it will appear here as an approval key you can choose.","needs-review"
"quantumroot.popup.destination","Destination","Destination","needs-review"
"quantumroot.popup.destinationAddress","Destination address","Destination address","needs-review"
"quantumroot.popup.done","Done","Done","needs-review"
"quantumroot.popup.empty","empty","empty","needs-review"
"quantumroot.popup.found","{count} found","{count} found","needs-review"
"quantumroot.popup.fundMatchingReceive","Fund matching receive coin","Fund matching receive coin","needs-review"
"quantumroot.popup.fundMatchingReceiveDescription","Open the send screen prefilled to the vault receive address with the same approval key.","Open the send screen prefilled to the vault receive address with the same approval key.","needs-review"
"quantumroot.popup.helpShortcuts","Help and shortcuts","Help and shortcuts","needs-review"
"quantumroot.popup.inQuantumLock","{count} in Quantum Lock","{count} in Quantum Lock","needs-review"
"quantumroot.popup.inWallet","{count} in wallet","{count} in wallet","needs-review"
"quantumroot.popup.locked","{count} locked","{count} locked","needs-review"
"quantumroot.popup.mainnetDisabled","Mainnet Quantumroot uses the same UI as Chipnet, but the spend, recovery, and token-configuration actions remain disabled until activation on {date}.","Mainnet Quantumroot uses the same UI as Chipnet, but the spend, recovery, and token-configuration actions remain disabled until activation on {date}.","needs-review"
"quantumroot.popup.mintingNft","Minting NFT","Minting NFT","needs-review"
"quantumroot.popup.missing","Missing","Missing","needs-review"
"quantumroot.popup.mutableNft","Mutable NFT","Mutable NFT","needs-review"
"quantumroot.popup.needed","Needed","Needed","needs-review"
"quantumroot.popup.neededLater","Needed later","Needed later","needs-review"
"quantumroot.popup.nextStep","Next step","Next step","needs-review"
"quantumroot.popup.noApprovalKey","No approval key","No approval key","needs-review"
"quantumroot.popup.noDestination","No destination set","No destination set","needs-review"
"quantumroot.popup.noReadyCoin","No ready coin is available yet. After the approval key and the matching receive coin are present, spendable coins appear here.","No ready coin is available yet. After the approval key and the matching receive coin are present, spendable coins appear here.","needs-review"
"quantumroot.popup.normalLane","Normal vault lane","Normal vault lane","needs-review"
"quantumroot.popup.normalLaneDescription","Your BCH and matching receive coin go here.","Your BCH and matching receive coin go here.","needs-review"
"quantumroot.popup.normalLanePending","Add the matching receive coin after the approval key is in Quantum Lock.","Add the matching receive coin after the approval key is in Quantum Lock.","needs-review"
"quantumroot.popup.normalLaneReady","Your normal lane is ready.","Your normal lane is ready.","needs-review"
"quantumroot.popup.noStandardAddress","No standard wallet address available","No standard wallet address available","needs-review"
"quantumroot.popup.openCashTokens","Open CashTokens","Open CashTokens","needs-review"
"quantumroot.popup.openReceiveScreen","Open receive screen","Open receive screen","needs-review"
"quantumroot.popup.otherNft","Other NFT","Other NFT","needs-review"
"quantumroot.popup.otherNftDescription","It sits in Quantum Lock, but it is not the selected approval key. No direct withdrawal path exists yet.","It sits in Quantum Lock, but it is not the selected approval key. No direct withdrawal path exists yet.","needs-review"
"quantumroot.popup.otherNftInQuantumLock","Other NFT in Quantum Lock","Other NFT in Quantum Lock","needs-review"
"quantumroot.popup.otherNfts","{count} other NFT(s)","{count} other NFT(s)","needs-review"
"quantumroot.popup.outpoint","Outpoint","Outpoint","stable-term"
"quantumroot.popup.pending","Pending","Pending","needs-review"
"quantumroot.popup.pendingCoin","Pending coin","Pending coin","needs-review"
"quantumroot.popup.pickApprovalKey","Pick one approval key.","Pick one approval key.","needs-review"
"quantumroot.popup.plainBchCoins","{count} plain BCH coin(s)","{count} plain BCH coin(s)","needs-review"
"quantumroot.popup.plainBchDescription","Use this for plain BCH coins. Protected coins stay in the lanes above.","Use this for plain BCH coins. Protected coins stay in the lanes above.","needs-review"
"quantumroot.popup.previewOnly","Preview only on mainnet until activation.","Preview only on mainnet until activation.","needs-review"
"quantumroot.popup.protectedReceiveCount","Coins already handled by Protected spend: {count}","Coins already handled by Protected spend: {count}","needs-review"
"quantumroot.popup.protectedSpend","Protected spend","Protected spend","needs-review"
"quantumroot.popup.protectedSpendDescription","When the approval key and matching receive coin are present, spending opens here.","When the approval key and matching receive coin are present, spending opens here.","needs-review"
"quantumroot.popup.quantumLock","Quantum Lock","Quantum Lock","stable-term"
"quantumroot.popup.quantumLockBch","Quantum Lock BCH","Quantum Lock BCH","needs-review"
"quantumroot.popup.quantumLockRecovery","Quantum Lock recovery","Quantum Lock recovery","needs-review"
"quantumroot.popup.quantumLockRecoveryCount","Quantum Lock recovery coins: {count}","Quantum Lock recovery coins: {count}","needs-review"
"quantumroot.popup.quantumrootOpens","Quantumroot opens once the approval key sits in Quantum Lock and the matching receive coin sits in the normal lane.","Quantumroot opens once the approval key sits in Quantum Lock and the matching receive coin sits in the normal lane.","needs-review"
"quantumroot.popup.ready","Ready","Ready","needs-review"
"quantumroot.popup.readyCoin","Ready coin","Ready coin","needs-review"
"quantumroot.popup.readyCoinAvailable","Ready coin available.","Ready coin available.","needs-review"
"quantumroot.popup.readyCoins","{count} ready coin(s)","{count} ready coin(s)","needs-review"
"quantumroot.popup.receiveAddress","Receive address","Receive address","needs-review"
"quantumroot.popup.receiveBch","Receive BCH","Receive BCH","needs-review"
"quantumroot.popup.recover","Recover","Recover","needs-review"
"quantumroot.popup.recoverableBchCoins","Recoverable BCH coins","Recoverable BCH coins","needs-review"
"quantumroot.popup.recoverableBchCount","Recoverable BCH coins: {count}","Recoverable BCH coins: {count}","needs-review"
"quantumroot.popup.recovering","Recovering…","Recovering…","needs-review"
"quantumroot.popup.recoverRegularBch","Recover regular BCH","Recover regular BCH","needs-review"
"quantumroot.popup.refresh","Refresh","Refresh","needs-review"
"quantumroot.popup.refreshChooseAnother","Refresh the vault or choose another approval key.","Refresh the vault or choose another approval key.","needs-review"
"quantumroot.popup.refreshVault","Refresh vault","Refresh vault","needs-review"
"quantumroot.popup.refreshVaultStatus","Refresh vault status","Refresh vault status","needs-review"
"quantumroot.popup.reviewDestination","Review the destination before broadcasting.","Review the destination before broadcasting.","needs-review"
"quantumroot.popup.reviewSpend","Review spend","Review spend","needs-review"
"quantumroot.popup.reviewSpendSubtitle","Check the destination, approval key, and ready coin before you broadcast.","Check the destination, approval key, and ready coin before you broadcast.","needs-review"
"quantumroot.popup.reviewSpendTitle","Review spend","Review spend","needs-review"
"quantumroot.popup.saveApprovalKey","Save approval key","Save approval key","needs-review"
"quantumroot.popup.saving","Saving…","Saving…","needs-review"
"quantumroot.popup.selectedApprovalKey","Selected approval key","Selected approval key","needs-review"
"quantumroot.popup.selectedAsApproval","Selected as approval key","Selected as approval key","needs-review"
"quantumroot.popup.sendApprovalHere","Send the approval key here.","Send the approval key here.","needs-review"
"quantumroot.popup.sendApprovalKey","Send approval key","Send approval key","needs-review"
"quantumroot.popup.sendApprovalKeyDescription","Open the send screen prefilled to Quantum Lock with the selected approval key.","Open the send screen prefilled to Quantum Lock with the selected approval key.","needs-review"
"quantumroot.popup.sendApprovalKeyToLock","Send the approval key to Quantum Lock.","Send the approval key to Quantum Lock.","needs-review"
"quantumroot.popup.sendSelectedApprovalKey","Send the selected approval key to Quantum Lock.","Send the selected approval key to Quantum Lock.","needs-review"
"quantumroot.popup.spend","Spend","Spend","needs-review"
"quantumroot.popup.spendDestination","Spend destination","Spend destination","needs-review"
"quantumroot.popup.spending","Spending…","Spending…","needs-review"
"quantumroot.popup.sweepBch","Sweep BCH coins ({count})","Sweep BCH coins ({count})","needs-review"
"quantumroot.popup.sweeping","Sweeping…","Sweeping…","needs-review"
"quantumroot.popup.tapToOpen","Tap to open","Tap to open","needs-review"
"quantumroot.popup.unsupportedQuantumLock","Coins in Quantum Lock that belong to Protected spend are handled above; this recovery list only includes plain BCH coins.","Coins in Quantum Lock that belong to Protected spend are handled above; this recovery list only includes plain BCH coins.","needs-review"
"quantumroot.popup.unsupportedReceive","Coins with an approval key stay in Protected spend; this recovery list only includes plain BCH coins.","Coins with an approval key stay in Protected spend; this recovery list only includes plain BCH coins.","needs-review"
"quantumroot.popup.useRecoveryAddress","Use wallet recovery address","Use wallet recovery address","needs-review"
"quantumroot.popup.vaultSetup","Vault setup","Vault setup","needs-review"
"quantumroot.popup.vaultSetupDescription","Copy addresses and choose the approval key.","Copy addresses and choose the approval key.","needs-review"
"quantumroot.popup.waiting","Waiting","Waiting","needs-review"
"quantumroot.popup.walletRecoveryAddress","Wallet recovery address","Wallet recovery address","needs-review"
"quantumroot.readyToRecover","{count} ready to recover","{count} prontos para recuperar","translated"
"quantumroot.refreshing","Refreshing balances and UTXO status. Vaults remain available while sync completes.","Atualizando saldos e o status dos UTXOs. Os cofres permanecem disponíveis enquanto a sincronização termina.","translated"
"quantumroot.subtitle","Two spending lanes in one vault","Duas linhas de gasto em um único cofre","translated"
"quantumroot.syncingVaults","Syncing Vaults…","Sincronizando cofres…","translated"
"quantumroot.syncVaults","Sync Vaults","Sincronizar cofres","translated"
"quantumroot.toast.approvalKeyMissing","This approval key is no longer visible. Refresh the vault or choose another key.","This approval key is no longer visible. Refresh the vault or choose another key.","needs-review"
"quantumroot.toast.authorizedBroadcast","Quantumroot authorized spend broadcast: {txid}","Quantumroot authorized spend broadcast: {txid}","needs-review"
"quantumroot.toast.authorizedFailed","Quantumroot authorized spend failed: {message}","Quantumroot authorized spend failed: {message}","needs-review"
"quantumroot.toast.broadcastAuthorizedFailed","Failed to broadcast Quantumroot authorized spend.","Failed to broadcast Quantumroot authorized spend.","needs-review"
"quantumroot.toast.broadcastLockRecoveryFailed","Failed to broadcast Quantum Lock recovery.","Failed to broadcast Quantum Lock recovery.","needs-review"
"quantumroot.toast.broadcastSpendFailed","Failed to broadcast Quantumroot spend.","Failed to broadcast Quantumroot spend.","needs-review"
"quantumroot.toast.broadcastSweepFailed","Failed to broadcast Quantumroot sweep.","Failed to broadcast Quantumroot sweep.","needs-review"
"quantumroot.toast.configureFailed","Failed to configure vault: {message}","Failed to configure vault: {message}","needs-review"
"quantumroot.toast.destinationRequired","Destination address is required.","Destination address is required.","needs-review"
"quantumroot.toast.ineligibleReceiveUtxo","That receive UTXO is not eligible for authorized spend.","That receive UTXO is not eligible for authorized spend.","needs-review"
"quantumroot.toast.invalidTokenCategory","Token category must be 64 hexadecimal characters.","Token category must be 64 hexadecimal characters.","needs-review"
"quantumroot.toast.lockRecoveryBroadcast","Quantum Lock recovery broadcast: {txid}","Quantum Lock recovery broadcast: {txid}","needs-review"
"quantumroot.toast.lockRecoveryFailed","Quantum Lock recovery failed: {message}","Quantum Lock recovery failed: {message}","needs-review"
"quantumroot.toast.noBchUtxos","No BCH-only receive UTXOs available to sweep.","No BCH-only receive UTXOs available to sweep.","needs-review"
"quantumroot.toast.noControlToken","No matching Quantum Lock control token is available yet.","No matching Quantum Lock control token is available yet.","needs-review"
"quantumroot.toast.previewActive","Quantumroot mainnet preview is active until activation.","Quantumroot mainnet preview is active until activation.","needs-review"
"quantumroot.toast.reconfigured","Quantumroot vault reconfigured.","Quantumroot vault reconfigured.","needs-review"
"quantumroot.toast.spendBroadcast","Quantumroot spend broadcast: {txid}","Quantumroot spend broadcast: {txid}","needs-review"
"quantumroot.toast.spendFailed","Quantumroot spend failed: {message}","Quantumroot spend failed: {message}","needs-review"
"quantumroot.toast.sweepBroadcast","Quantumroot sweep broadcast: {txid}","Quantumroot sweep broadcast: {txid}","needs-review"
"quantumroot.toast.sweepFailed","Quantumroot sweep failed: {message}","Quantumroot sweep failed: {message}","needs-review"
"quantumroot.toast.unavailable","Quantumroot vault unavailable.","Quantumroot vault unavailable.","needs-review"
"quantumroot.trackedBalance","Tracked Balance","Saldo monitorado","translated"
"quantumroot.vaultNumber","Vault #{id}","Cofre #{id}","translated"
"quantumroot.vaults","Vaults","Cofres","translated"
"quantumroot.workspaceRefreshFailed","Workspace Refresh Failed","Falha ao atualizar a área de trabalho","translated"
"receive.addressesNotReady","Receive addresses not ready","Endereços de recebimento não estão prontos","translated"
"receive.amountBch","Amount (BCH)","Valor (BCH)","translated"
"receive.back","Back","Voltar","translated"
"receive.bip21Active","Request details are active and the QR is now encoding the BIP21 URI.","Os detalhes estão ativos e o QR agora codifica a URI BIP21.","translated"
"receive.bip21Description","Encode amount, label, and message into the QR payload.","Codifique valor, rótulo e mensagem no payload do QR.","translated"
