"key","English (en)","French (fr)","Status"
"outbox.finalizing","Finalizing transaction","Finalisation de la transaction","translated"
"outbox.finalizingMultiple","Finalizing {count} transactions","Finalisation de {count} transactions","translated"
"outbox.historyUpdate","Your wallet history will update automatically. This usually takes a moment.","L’historique du portefeuille sera mis à jour automatiquement. Cela prend généralement un instant.","translated"
"outbox.hoursAgo","{count}h ago","il y a {count} h","translated"
"outbox.justNow","just now","à l’instant","translated"
"outbox.lastNetworkIssue","Last network issue","Dernier problème réseau","translated"
"outbox.minutesAgo","{count}m ago","il y a {count} min","translated"
"outbox.noPending","No pending outgoing transactions.","Aucune transaction sortante en attente.","translated"
"outbox.pendingOutgoing","Pending outgoing transactions","Transactions sortantes en attente","translated"
"outbox.prompt","Prompt","Demande","translated"
"outbox.releaseSendLock","Release send lock","Libérer le verrou d’envoi","translated"
"outbox.releaseStale","Release if stale","Libérer s’il est obsolète","translated"
"outbox.releaseStaleTitle","Available after {minutes} minutes if the transaction is still unresolved","Disponible après {minutes} minutes si la transaction reste sans résolution","translated"
"outbox.requestedBy","Requested by","Demandé par","translated"
"outbox.title","Outbox","Boîte d’envoi","translated"
"outbox.txid","Txid","Txid","stable-term"
"outbox.updated","Updated {age}","Mis à jour {age}","translated"
"outbox.walletSend","Wallet send","Envoi du portefeuille","translated"
"p2p.description","No server: peers meet on Nostr relays over Tor, deterministically elect a coordinator, and run the CoinJoin peer-to-peer. Outputs are unlinkable; you sign only your own inputs after verifying your own outputs.","Sans serveur : les pairs se rencontrent sur des relays Nostr via Tor, élisent un coordinateur déterministe et exécutent le CoinJoin en pair à pair. Les sorties sont impossibles à relier ; vous ne signez que vos propres entrées après avoir vérifié vos sorties.","translated"
"p2p.phase.announce","Announcing & finding peers","Annonce et recherche de pairs","translated"
"p2p.phase.assemble","Assembling & verifying","Assemblage et vérification","translated"
"p2p.phase.broadcast","Broadcasting","Diffusion","translated"
"p2p.phase.register","Registering inputs & outputs","Enregistrement des entrées et sorties","translated"
"p2p.phase.sign","Signing","Signature","translated"
"p2p.requiresPeers","Requires Tor + at least 2 peers in the same tier.","Nécessite Tor et au moins 2 pairs dans le même niveau.","translated"
"p2p.running","Running P2P round…","Exécution d’un tour P2P…","translated"
"p2p.start","Start P2P round","Démarrer un tour P2P","translated"
"p2p.title","P2P Fusion over Nostr","Fusion P2P via Nostr","translated"
"paper.addressConversionError","Address conversion error","Erreur de conversion d’adresse","translated"
"paper.addressDerivationFailed","Unable to derive a valid paper wallet address from the scanned key.","Impossible de dériver une adresse de portefeuille papier valide depuis la clé scannée.","translated"
"paper.back","Back","Retour","translated"
"paper.bchOutputs","BCH outputs","Sorties BCH","translated"
"paper.buildFailed","Failed to build sweep transaction.","Échec de création de la transaction de transfert.","translated"
"paper.confirmDescription","Slide to confirm the one-transaction paper wallet sweep.","Faites glisser pour confirmer le transfert du portefeuille papier en une transaction.","translated"
"paper.confirmTitle","Confirm sweep","Confirmer le transfert","translated"
"paper.decodingError","Decoding error","Erreur de décodage","translated"
"paper.description","Scan a WIF paper wallet and sweep BCH + CashTokens in one transaction.","Scannez un portefeuille papier WIF et transférez BCH + CashTokens en une transaction.","translated"
"paper.label","Paper wallet","Portefeuille papier","translated"
"paper.noCashTokens","No CashTokens detected.","Aucun CashToken détecté.","translated"
"paper.noDestination","No destination wallet address is available.","Aucune adresse de portefeuille de destination disponible.","translated"
"paper.noQrCode","No QR code detected. Please try again.","Aucun QR détecté. Réessayez.","translated"
"paper.notScanned","No paper wallet scanned yet.","Aucun portefeuille papier scanné.","translated"
"paper.noUtxos","No UTXOs found for this paper wallet. If this is a mainnet wallet and you are on chipnet, try switching networks.","Aucun UTXO trouvé pour ce portefeuille papier. S’il s’agit d’un portefeuille mainnet sur chipnet, essayez de changer de réseau.","translated"
"paper.oneTransaction","One transaction only.","Une seule transaction.","translated"
"paper.paperInputs","Paper wallet inputs","Entrées du portefeuille papier","translated"
"paper.scan","Scan","Scanner","translated"
"paper.scanBeforeSweep","Scan a paper wallet before sweeping.","Scannez un portefeuille papier avant le transfert.","translated"
"paper.spendableOutputPlural","spendable outputs","sorties dépensables","translated"
"paper.spendableOutputSingular","spendable output","sortie dépensable","translated"
"paper.sweep","Sweep","Transférer","translated"
"paper.sweepBroadcast","Sweep broadcast","Transfert diffusé","translated"
"paper.title","Paper Wallet","Portefeuille papier","translated"
"paper.tokenBacking","Token outputs are backed with 1000 sats.","Les sorties de tokens sont garanties par 1 000 sats.","translated"
"paper.tokenGroups","Token groups","Groupes de tokens","translated"
"paper.tokenOutputs","Token outputs","Sorties de tokens","translated"
"paper.unexpected","An unexpected error occurred.","Une erreur inattendue s’est produite.","translated"
"paper.unexpectedTryAgain","An unexpected error occurred. Please try again.","Une erreur inattendue s’est produite. Réessayez.","translated"
"paper.utxosTitle","Paper wallet UTXOs","UTXO du portefeuille papier","translated"
"paper.walletFeeInputs","Wallet fee inputs","Entrées de frais du portefeuille","translated"
"priceFeed.loading","Loading…","Chargement…","translated"
"qr.animatedTransfer","Animated QR transfer","Transfert QR animé","translated"
"qr.blocksRecovered","blocks recovered","blocs récupérés","translated"
"qr.cameraActive","Camera active — point at animated QR","Caméra active — visez le QR animé","translated"
"qr.cameraError","Camera unavailable","Caméra indisponible","translated"
"qr.cameraUnavailable","Camera access is unavailable","Accès à la caméra indisponible","translated"
"qr.cancel","Cancel","Annuler","translated"
"qr.duplicates","duplicates","doublons","translated"
"qr.holdSteady","Hold the phone steady and fill the frame with the QR code.","Tenez le téléphone immobile et remplissez le cadre avec le code QR.","translated"
"qr.receivingStream","Receiving QR stream","Réception du flux QR","translated"
"qr.scan","Scan QR","Scanner un QR","translated"
"qr.scanning","Scanning…","Numérisation…","translated"
"qr.streaming","Streaming frame {frame} · {blocks} blocks · {bytes} bytes","Transmission de la trame {frame} · {blocks} blocs · {bytes} octets","translated"
"qr.unableToDecode","Unable to decode QR stream","Impossible de décoder le flux QR","translated"
"qr.uniqueFrames","unique frames","trames uniques","translated"
"qr.walletUpdateProgress","Wallet update progress","Progression de la mise à jour du portefeuille","translated"
"qrSigning.approvedBy","Approved by {name}","Approuvée par {name}","translated"
"qrSigning.approveDemo","Approve demo request","Approuver la demande de démo","translated"
"qrSigning.approveReturn","2. Approve and return","2. Approuver et retourner","translated"
"qrSigning.close","Close","Fermer","translated"
"qrSigning.collectResponse","2. Collect response","2. Recueillir la réponse","translated"
"qrSigning.fingerprint","Fingerprint","Empreinte","translated"
"qrSigning.invalidRequest","Invalid signing request","Demande de signature invalide","translated"
"qrSigning.invalidResponse","Invalid signing response","Réponse de signature invalide","translated"
"qrSigning.mismatch","Signing response does not match this request","La réponse de signature ne correspond pas à cette demande","translated"
"qrSigning.network","Network","Réseau","translated"
"qrSigning.payload","Payload","Charge utile","translated"
"qrSigning.placeholderWarning","This demo returns a placeholder signature and never broadcasts.","Cette démo renvoie une signature fictive et ne diffuse jamais.","translated"
"qrSigning.prepareFailed","Unable to prepare mocknet fixture","Impossible de préparer la fixture mocknet","translated"
"qrSigning.preparing","Preparing mocknet fixture…","Préparation de la fixture mocknet…","translated"
"qrSigning.purpose","Purpose","Objectif","translated"
"qrSigning.rejectedBy","Rejected by {name}","Refusée par {name}","translated"
"qrSigning.requestReceived","Request received","Demande reçue","translated"
"qrSigning.requestSignature","Request signature","Demander une signature","translated"
"qrSigning.scanAnother","Scan another request","Scanner une autre demande","translated"
"qrSigning.scanApproval","Scan approval response","Scanner la réponse d’approbation","translated"
"qrSigning.scanRequest","1. Scan request","1. Scanner la demande","translated"
"qrSigning.showRequest","1. Show request","1. Afficher la demande","translated"
"qrSigning.showRequestHelp","On the other wallet, choose “Sign request” and scan this stream.","Sur l’autre portefeuille, choisissez « Signer la demande » et scannez ce flux.","translated"
"qrSigning.signRequest","Sign request","Signer la demande","translated"
"qrSigning.subtitle","Exchange a partially signed transaction between two OPTN wallet screens.","Échangez une transaction partiellement signée entre deux écrans OPTN Wallet.","translated"
"qrSigning.title","QR signing demo","Démo de signature QR","translated"
"quantumroot.activeNetwork","Quantumroot is active on this network. Use the vault workspace below to manage a normal spend lane and a quantum-safe recovery lane.","Quantumroot est actif sur ce réseau. Utilisez l’espace ci-dessous pour gérer une voie de dépense normale et une voie de récupération résistante au quantique.","translated"
"quantumroot.activeWorkspace","Active workspace for the beta-production Quantumroot flow.","Espace de travail actif pour le parcours Quantumroot en production bêta.","translated"
"quantumroot.back","Back","Retour","translated"
"quantumroot.betaProduction","Beta production","Production bêta","translated"
"quantumroot.betaTitle","Quantumroot Beta Production","Quantumroot en production bêta","translated"
"quantumroot.checkingBalances","Checking balances…","Vérification des soldes…","translated"
"quantumroot.close","Close","Fermer","translated"
"quantumroot.funded","{count} funded","{count} financé(s)","translated"
"quantumroot.fundedStatus","Funded","Financé","translated"
"quantumroot.guidedNow","Guided now: choose one approval key, lock it in Quantum Lock, then spend the matching coin.","Guidé maintenant : choisissez une clé d’approbation, verrouillez-la dans Quantum Lock, puis dépensez la pièce correspondante.","translated"
"quantumroot.liveNow","Live now: normal spending, balance tracking, and Quantum Lock BCH recovery.","Disponible maintenant : dépenses normales, suivi du solde et récupération de BCH par Quantum Lock.","translated"
"quantumroot.livePreview","Live preview","Aperçu en direct","translated"
"quantumroot.mainnetAhead","Quantumroot is visible on mainnet ahead of activation. The layout stays available, but key actions remain disabled until {date}.","Quantumroot est visible sur Mainnet avant son activation. La mise en page reste disponible, mais les actions principales sont désactivées jusqu’au {date}.","translated"
"quantumroot.mainnetPreview","Mainnet preview stays visible before activation.","L’aperçu Mainnet reste visible avant l’activation.","translated"
"quantumroot.noFundsYet","No funds yet","Aucun fonds pour le moment","translated"
"quantumroot.noVaults","No Quantumroot vaults derived yet. Sync vaults to provision them for existing wallet address indexes.","Aucun coffre Quantumroot n’a encore été dérivé. Synchronisez les coffres pour les provisionner à partir des index d’adresses existants du portefeuille.","translated"
"quantumroot.openVaults","Open Vaults","Ouvrir les coffres","translated"
"quantumroot.popup.action.chooseCoinLabel","Choose coin to spend","Choose coin to spend","needs-review"
"quantumroot.popup.action.chooseDescription","Choose one approval key for this vault.","Choose one approval key for this vault.","needs-review"
"quantumroot.popup.action.chooseLabel","Choose approval key","Choose approval key","needs-review"
"quantumroot.popup.action.chooseTitle","Choose an approval key","Choose an approval key","needs-review"
"quantumroot.popup.action.createDescription","Create or receive a plain NFT first, then use it as the approval key.","Create or receive a plain NFT first, then use it as the approval key.","needs-review"
"quantumroot.popup.action.createTitle","Create an approval key","Create an approval key","needs-review"
"quantumroot.popup.action.destinationDescription","Choose where the coin should go, then open the spend list.","Choose where the coin should go, then open the spend list.","needs-review"
"quantumroot.popup.action.destinationLabel","Set destination","Set destination","needs-review"
"quantumroot.popup.action.destinationTitle","Choose a destination","Choose a destination","needs-review"
"quantumroot.popup.action.disabledDescription","The spend list is ready, but spending is disabled on this network.","The spend list is ready, but spending is disabled on this network.","needs-review"
"quantumroot.popup.action.readyDescription","Tap a ready coin to spend it.","Tap a ready coin to spend it.","needs-review"
"quantumroot.popup.action.readyTitle","Ready to spend","Ready to spend","needs-review"
"quantumroot.popup.action.receiveDescription","Send the matching receive coin to the normal lane.","Send the matching receive coin to the normal lane.","needs-review"
"quantumroot.popup.action.receiveLabel","Add receive coin","Add receive coin","needs-review"
"quantumroot.popup.action.receiveTitle","Add the matching receive coin","Add the matching receive coin","needs-review"
"quantumroot.popup.action.refreshDescription","Refresh the wallet scan or choose another approval key.","Refresh the wallet scan or choose another approval key.","needs-review"
"quantumroot.popup.action.refreshLabel","Refresh vault","Refresh vault","needs-review"
"quantumroot.popup.action.refreshTitle","Refresh the vault","Refresh the vault","needs-review"
"quantumroot.popup.action.reviewLabel","Review spend","Review spend","needs-review"
"quantumroot.popup.action.sendDescription","Send the approval key to Quantum Lock.","Send the approval key to Quantum Lock.","needs-review"
"quantumroot.popup.action.sendLabel","Send approval key","Send approval key","needs-review"
"quantumroot.popup.action.sendTitle","Send the approval key","Send the approval key","needs-review"
"quantumroot.popup.addDestinationReview","Add a destination, then review spend.","Add a destination, then review spend.","needs-review"
"quantumroot.popup.addMatchingCoin","Add the matching coin to unlock spend.","Add the matching coin to unlock spend.","needs-review"
"quantumroot.popup.advanced","Advanced","Advanced","needs-review"
"quantumroot.popup.advancedRecovery","Advanced recovery","Advanced recovery","needs-review"
"quantumroot.popup.advancedRecoveryDescription","Recover regular BCH, recover Quantum Lock funds, or refresh vault status.","Recover regular BCH, recover Quantum Lock funds, or refresh vault status.","needs-review"
"quantumroot.popup.approvalKey","Approval key","Approval key","needs-review"
"quantumroot.popup.approvalKeyCapability","Approval key","Approval key","needs-review"
"quantumroot.popup.approvalKeyChanged","Approval key changed on chain","Approval key changed on chain","needs-review"
"quantumroot.popup.approvalKeyInLock","Approval key is in Quantum Lock.","Approval key is in Quantum Lock.","needs-review"
"quantumroot.popup.approvalKeyInQuantumLock","Your approval key is in Quantum Lock.","Your approval key is in Quantum Lock.","needs-review"
"quantumroot.popup.approvalKeyPicked","Approval key picked.","Approval key picked.","needs-review"
"quantumroot.popup.approvalKeySelected","Approval key selected","Approval key selected","needs-review"
"quantumroot.popup.approvalLane","Approval lane","Approval lane","needs-review"
"quantumroot.popup.approvalLaneDescription","Your approval key goes to Quantum Lock.","Your approval key goes to Quantum Lock.","needs-review"
"quantumroot.popup.available","{count} available","{count} available","needs-review"
"quantumroot.popup.availableApprovalKeys","Available approval keys","Available approval keys","needs-review"
"quantumroot.popup.bchRecoveryDescription","BCH recovery sends back to the matching standard wallet address for this vault index when available.","BCH recovery sends back to the matching standard wallet address for this vault index when available.","needs-review"
"quantumroot.popup.bchRecoveryDisabled","BCH recovery is temporarily disabled until the on-chain receive-script validation issue is resolved.","BCH recovery is temporarily disabled until the on-chain receive-script validation issue is resolved.","needs-review"
"quantumroot.popup.block.approvalPending","Send one approval key to Quantum Lock.","Send one approval key to Quantum Lock.","needs-review"
"quantumroot.popup.block.inactiveNetwork","Quantumroot spending is disabled on this network.","Quantumroot spending is disabled on this network.","needs-review"
"quantumroot.popup.block.noDestination","Choose a destination address before spending.","Choose a destination address before spending.","needs-review"
"quantumroot.popup.block.noFamily","Create or receive a plain NFT first. It becomes your approval key.","Create or receive a plain NFT first. It becomes your approval key.","needs-review"
"quantumroot.popup.block.pickFamily","Choose one plain NFT to use as the approval key.","Choose one plain NFT to use as the approval key.","needs-review"
"quantumroot.popup.block.receivePending","Send the matching receive coin to the normal lane.","Send the matching receive coin to the normal lane.","needs-review"
"quantumroot.popup.block.staleInventory","Your selected approval key is not visible right now. Refresh the vault or choose another key.","Your selected approval key is not visible right now. Refresh the vault or choose another key.","needs-review"
"quantumroot.popup.broadcastWarning","This will broadcast after confirmation.","This will broadcast after confirmation.","needs-review"
"quantumroot.popup.category","Category:","Category:","needs-review"
"quantumroot.popup.chooseApprovalKey","Choose approval key","Choose approval key","needs-review"
"quantumroot.popup.chooseApprovalKeyDescription","Quantumroot uses one plain NFT as the approval key. Advanced token tools live in CashTokens.","Quantumroot uses one plain NFT as the approval key. Advanced token tools live in CashTokens.","needs-review"
"quantumroot.popup.chooseOneApproval","Choose one approval key to continue.","Choose one approval key to continue.","needs-review"
"quantumroot.popup.commitment","Commitment:","Commitment:","needs-review"
"quantumroot.popup.completeSteps","Complete the approval key and matching receive coin steps before spending.","Complete the approval key and matching receive coin steps before spending.","needs-review"
"quantumroot.popup.confirmed","Confirmed","Confirmed","needs-review"
"quantumroot.popup.copyDestination","Copy destination","Copy destination","needs-review"
"quantumroot.popup.copyOrScanFund","Copy or scan to fund this vault.","Copy or scan to fund this vault.","needs-review"
"quantumroot.popup.copyQuantumLock","Copy Quantum Lock","Copy Quantum Lock","needs-review"
"quantumroot.popup.copyReceiveAddress","Copy receive address","Copy receive address","needs-review"
"quantumroot.popup.copyRecoveryAddress","Copy recovery address","Copy recovery address","needs-review"
"quantumroot.popup.createOrReceive","Create or receive a plain NFT first, then it will appear here as an approval key you can choose.","Create or receive a plain NFT first, then it will appear here as an approval key you can choose.","needs-review"
"quantumroot.popup.destination","Destination","Destination","needs-review"
"quantumroot.popup.destinationAddress","Destination address","Destination address","needs-review"
"quantumroot.popup.done","Done","Done","needs-review"
"quantumroot.popup.empty","empty","empty","needs-review"
"quantumroot.popup.found","{count} found","{count} found","needs-review"
"quantumroot.popup.fundMatchingReceive","Fund matching receive coin","Fund matching receive coin","needs-review"
"quantumroot.popup.fundMatchingReceiveDescription","Open the send screen prefilled to the vault receive address with the same approval key.","Open the send screen prefilled to the vault receive address with the same approval key.","needs-review"
"quantumroot.popup.helpShortcuts","Help and shortcuts","Help and shortcuts","needs-review"
"quantumroot.popup.inQuantumLock","{count} in Quantum Lock","{count} in Quantum Lock","needs-review"
"quantumroot.popup.inWallet","{count} in wallet","{count} in wallet","needs-review"
"quantumroot.popup.locked","{count} locked","{count} locked","needs-review"
"quantumroot.popup.mainnetDisabled","Mainnet Quantumroot uses the same UI as Chipnet, but the spend, recovery, and token-configuration actions remain disabled until activation on {date}.","Mainnet Quantumroot uses the same UI as Chipnet, but the spend, recovery, and token-configuration actions remain disabled until activation on {date}.","needs-review"
"quantumroot.popup.mintingNft","Minting NFT","Minting NFT","needs-review"
"quantumroot.popup.missing","Missing","Missing","needs-review"
"quantumroot.popup.mutableNft","Mutable NFT","Mutable NFT","needs-review"
"quantumroot.popup.needed","Needed","Needed","needs-review"
"quantumroot.popup.neededLater","Needed later","Needed later","needs-review"
"quantumroot.popup.nextStep","Next step","Next step","needs-review"
"quantumroot.popup.noApprovalKey","No approval key","No approval key","needs-review"
"quantumroot.popup.noDestination","No destination set","No destination set","needs-review"
"quantumroot.popup.noReadyCoin","No ready coin is available yet. After the approval key and the matching receive coin are present, spendable coins appear here.","No ready coin is available yet. After the approval key and the matching receive coin are present, spendable coins appear here.","needs-review"
"quantumroot.popup.normalLane","Normal vault lane","Normal vault lane","needs-review"
"quantumroot.popup.normalLaneDescription","Your BCH and matching receive coin go here.","Your BCH and matching receive coin go here.","needs-review"
"quantumroot.popup.normalLanePending","Add the matching receive coin after the approval key is in Quantum Lock.","Add the matching receive coin after the approval key is in Quantum Lock.","needs-review"
"quantumroot.popup.normalLaneReady","Your normal lane is ready.","Your normal lane is ready.","needs-review"
"quantumroot.popup.noStandardAddress","No standard wallet address available","No standard wallet address available","needs-review"
"quantumroot.popup.openCashTokens","Open CashTokens","Open CashTokens","needs-review"
"quantumroot.popup.openReceiveScreen","Open receive screen","Open receive screen","needs-review"
"quantumroot.popup.otherNft","Other NFT","Other NFT","needs-review"
"quantumroot.popup.otherNftDescription","It sits in Quantum Lock, but it is not the selected approval key. No direct withdrawal path exists yet.","It sits in Quantum Lock, but it is not the selected approval key. No direct withdrawal path exists yet.","needs-review"
"quantumroot.popup.otherNftInQuantumLock","Other NFT in Quantum Lock","Other NFT in Quantum Lock","needs-review"
"quantumroot.popup.otherNfts","{count} other NFT(s)","{count} other NFT(s)","needs-review"
"quantumroot.popup.outpoint","Outpoint","Outpoint","stable-term"
"quantumroot.popup.pending","Pending","Pending","needs-review"
"quantumroot.popup.pendingCoin","Pending coin","Pending coin","needs-review"
"quantumroot.popup.pickApprovalKey","Pick one approval key.","Pick one approval key.","needs-review"
"quantumroot.popup.plainBchCoins","{count} plain BCH coin(s)","{count} plain BCH coin(s)","needs-review"
"quantumroot.popup.plainBchDescription","Use this for plain BCH coins. Protected coins stay in the lanes above.","Use this for plain BCH coins. Protected coins stay in the lanes above.","needs-review"
"quantumroot.popup.previewOnly","Preview only on mainnet until activation.","Preview only on mainnet until activation.","needs-review"
"quantumroot.popup.protectedReceiveCount","Coins already handled by Protected spend: {count}","Coins already handled by Protected spend: {count}","needs-review"
"quantumroot.popup.protectedSpend","Protected spend","Protected spend","needs-review"
"quantumroot.popup.protectedSpendDescription","When the approval key and matching receive coin are present, spending opens here.","When the approval key and matching receive coin are present, spending opens here.","needs-review"
"quantumroot.popup.quantumLock","Quantum Lock","Quantum Lock","stable-term"
"quantumroot.popup.quantumLockBch","Quantum Lock BCH","Quantum Lock BCH","needs-review"
"quantumroot.popup.quantumLockRecovery","Quantum Lock recovery","Quantum Lock recovery","needs-review"
"quantumroot.popup.quantumLockRecoveryCount","Quantum Lock recovery coins: {count}","Quantum Lock recovery coins: {count}","needs-review"
"quantumroot.popup.quantumrootOpens","Quantumroot opens once the approval key sits in Quantum Lock and the matching receive coin sits in the normal lane.","Quantumroot opens once the approval key sits in Quantum Lock and the matching receive coin sits in the normal lane.","needs-review"
"quantumroot.popup.ready","Ready","Ready","needs-review"
"quantumroot.popup.readyCoin","Ready coin","Ready coin","needs-review"
"quantumroot.popup.readyCoinAvailable","Ready coin available.","Ready coin available.","needs-review"
"quantumroot.popup.readyCoins","{count} ready coin(s)","{count} ready coin(s)","needs-review"
"quantumroot.popup.receiveAddress","Receive address","Receive address","needs-review"
"quantumroot.popup.receiveBch","Receive BCH","Receive BCH","needs-review"
"quantumroot.popup.recover","Recover","Recover","needs-review"
"quantumroot.popup.recoverableBchCoins","Recoverable BCH coins","Recoverable BCH coins","needs-review"
"quantumroot.popup.recoverableBchCount","Recoverable BCH coins: {count}","Recoverable BCH coins: {count}","needs-review"
"quantumroot.popup.recovering","Recovering…","Recovering…","needs-review"
"quantumroot.popup.recoverRegularBch","Recover regular BCH","Recover regular BCH","needs-review"
"quantumroot.popup.refresh","Refresh","Refresh","needs-review"
"quantumroot.popup.refreshChooseAnother","Refresh the vault or choose another approval key.","Refresh the vault or choose another approval key.","needs-review"
"quantumroot.popup.refreshVault","Refresh vault","Refresh vault","needs-review"
"quantumroot.popup.refreshVaultStatus","Refresh vault status","Refresh vault status","needs-review"
"quantumroot.popup.reviewDestination","Review the destination before broadcasting.","Review the destination before broadcasting.","needs-review"
"quantumroot.popup.reviewSpend","Review spend","Review spend","needs-review"
"quantumroot.popup.reviewSpendSubtitle","Check the destination, approval key, and ready coin before you broadcast.","Check the destination, approval key, and ready coin before you broadcast.","needs-review"
"quantumroot.popup.reviewSpendTitle","Review spend","Review spend","needs-review"
"quantumroot.popup.saveApprovalKey","Save approval key","Save approval key","needs-review"
"quantumroot.popup.saving","Saving…","Saving…","needs-review"
"quantumroot.popup.selectedApprovalKey","Selected approval key","Selected approval key","needs-review"
"quantumroot.popup.selectedAsApproval","Selected as approval key","Selected as approval key","needs-review"
"quantumroot.popup.sendApprovalHere","Send the approval key here.","Send the approval key here.","needs-review"
"quantumroot.popup.sendApprovalKey","Send approval key","Send approval key","needs-review"
"quantumroot.popup.sendApprovalKeyDescription","Open the send screen prefilled to Quantum Lock with the selected approval key.","Open the send screen prefilled to Quantum Lock with the selected approval key.","needs-review"
"quantumroot.popup.sendApprovalKeyToLock","Send the approval key to Quantum Lock.","Send the approval key to Quantum Lock.","needs-review"
"quantumroot.popup.sendSelectedApprovalKey","Send the selected approval key to Quantum Lock.","Send the selected approval key to Quantum Lock.","needs-review"
"quantumroot.popup.spend","Spend","Spend","needs-review"
"quantumroot.popup.spendDestination","Spend destination","Spend destination","needs-review"
"quantumroot.popup.spending","Spending…","Spending…","needs-review"
"quantumroot.popup.sweepBch","Sweep BCH coins ({count})","Sweep BCH coins ({count})","needs-review"
"quantumroot.popup.sweeping","Sweeping…","Sweeping…","needs-review"
"quantumroot.popup.tapToOpen","Tap to open","Tap to open","needs-review"
"quantumroot.popup.unsupportedQuantumLock","Coins in Quantum Lock that belong to Protected spend are handled above; this recovery list only includes plain BCH coins.","Coins in Quantum Lock that belong to Protected spend are handled above; this recovery list only includes plain BCH coins.","needs-review"
"quantumroot.popup.unsupportedReceive","Coins with an approval key stay in Protected spend; this recovery list only includes plain BCH coins.","Coins with an approval key stay in Protected spend; this recovery list only includes plain BCH coins.","needs-review"
"quantumroot.popup.useRecoveryAddress","Use wallet recovery address","Use wallet recovery address","needs-review"
"quantumroot.popup.vaultSetup","Vault setup","Vault setup","needs-review"
"quantumroot.popup.vaultSetupDescription","Copy addresses and choose the approval key.","Copy addresses and choose the approval key.","needs-review"
"quantumroot.popup.waiting","Waiting","Waiting","needs-review"
"quantumroot.popup.walletRecoveryAddress","Wallet recovery address","Wallet recovery address","needs-review"
"quantumroot.readyToRecover","{count} ready to recover","{count} prêt(s) à récupérer","translated"
"quantumroot.refreshing","Refreshing balances and UTXO status. Vaults remain available while sync completes.","Actualisation des soldes et de l’état des UTXO. Les coffres restent disponibles pendant la synchronisation.","translated"
"quantumroot.subtitle","Two spending lanes in one vault","Deux voies de dépense dans un même coffre","translated"
"quantumroot.syncingVaults","Syncing Vaults…","Synchronisation des coffres…","translated"
"quantumroot.syncVaults","Sync Vaults","Synchroniser les coffres","translated"
"quantumroot.toast.approvalKeyMissing","This approval key is no longer visible. Refresh the vault or choose another key.","This approval key is no longer visible. Refresh the vault or choose another key.","needs-review"
"quantumroot.toast.authorizedBroadcast","Quantumroot authorized spend broadcast: {txid}","Quantumroot authorized spend broadcast: {txid}","needs-review"
"quantumroot.toast.authorizedFailed","Quantumroot authorized spend failed: {message}","Quantumroot authorized spend failed: {message}","needs-review"
"quantumroot.toast.broadcastAuthorizedFailed","Failed to broadcast Quantumroot authorized spend.","Failed to broadcast Quantumroot authorized spend.","needs-review"
"quantumroot.toast.broadcastLockRecoveryFailed","Failed to broadcast Quantum Lock recovery.","Failed to broadcast Quantum Lock recovery.","needs-review"
"quantumroot.toast.broadcastSpendFailed","Failed to broadcast Quantumroot spend.","Failed to broadcast Quantumroot spend.","needs-review"
"quantumroot.toast.broadcastSweepFailed","Failed to broadcast Quantumroot sweep.","Failed to broadcast Quantumroot sweep.","needs-review"
"quantumroot.toast.configureFailed","Failed to configure vault: {message}","Failed to configure vault: {message}","needs-review"
"quantumroot.toast.destinationRequired","Destination address is required.","Destination address is required.","needs-review"
"quantumroot.toast.ineligibleReceiveUtxo","That receive UTXO is not eligible for authorized spend.","That receive UTXO is not eligible for authorized spend.","needs-review"
"quantumroot.toast.invalidTokenCategory","Token category must be 64 hexadecimal characters.","Token category must be 64 hexadecimal characters.","needs-review"
"quantumroot.toast.lockRecoveryBroadcast","Quantum Lock recovery broadcast: {txid}","Quantum Lock recovery broadcast: {txid}","needs-review"
"quantumroot.toast.lockRecoveryFailed","Quantum Lock recovery failed: {message}","Quantum Lock recovery failed: {message}","needs-review"
"quantumroot.toast.noBchUtxos","No BCH-only receive UTXOs available to sweep.","No BCH-only receive UTXOs available to sweep.","needs-review"
"quantumroot.toast.noControlToken","No matching Quantum Lock control token is available yet.","No matching Quantum Lock control token is available yet.","needs-review"
"quantumroot.toast.previewActive","Quantumroot mainnet preview is active until activation.","Quantumroot mainnet preview is active until activation.","needs-review"
"quantumroot.toast.reconfigured","Quantumroot vault reconfigured.","Quantumroot vault reconfigured.","needs-review"
"quantumroot.toast.spendBroadcast","Quantumroot spend broadcast: {txid}","Quantumroot spend broadcast: {txid}","needs-review"
"quantumroot.toast.spendFailed","Quantumroot spend failed: {message}","Quantumroot spend failed: {message}","needs-review"
"quantumroot.toast.sweepBroadcast","Quantumroot sweep broadcast: {txid}","Quantumroot sweep broadcast: {txid}","needs-review"
"quantumroot.toast.sweepFailed","Quantumroot sweep failed: {message}","Quantumroot sweep failed: {message}","needs-review"
"quantumroot.toast.unavailable","Quantumroot vault unavailable.","Quantumroot vault unavailable.","needs-review"
"quantumroot.trackedBalance","Tracked Balance","Solde suivi","translated"
"quantumroot.vaultNumber","Vault #{id}","Coffre n° {id}","translated"
"quantumroot.vaults","Vaults","Coffres","translated"
"quantumroot.workspaceRefreshFailed","Workspace Refresh Failed","Échec de l’actualisation de l’espace de travail","translated"
"receive.addressesNotReady","Receive addresses not ready","Les adresses de réception ne sont pas prêtes","translated"
"receive.amountBch","Amount (BCH)","Montant (BCH)","translated"
