"key","English (en)","Russian (ru)","Status"
"outbox.daysAgo","{count}d ago","{count} дн назад","translated"
"outbox.description","Offline-first protection keeps new sends paused until these transactions are seen or safely released.","Офлайн-защита приостанавливает новые отправки, пока эти транзакции не будут замечены или безопасно освобождены.","translated"
"outbox.destination","Destination","Назначение","stable-term"
"outbox.dismiss","Dismiss","Закрыть","translated"
"outbox.dismissPending","Dismiss pending transactions popup","Закрыть окно ожидающих транзакций","translated"
"outbox.finalizing","Finalizing transaction","Завершение транзакции","translated"
"outbox.finalizingMultiple","Finalizing {count} transactions","Завершение транзакций: {count}","translated"
"outbox.historyUpdate","Your wallet history will update automatically. This usually takes a moment.","История кошелька обновится автоматически. Обычно это занимает мгновение.","translated"
"outbox.hoursAgo","{count}h ago","{count} ч назад","translated"
"outbox.justNow","just now","только что","translated"
"outbox.lastNetworkIssue","Last network issue","Последняя проблема сети","translated"
"outbox.minutesAgo","{count}m ago","{count} мин назад","translated"
"outbox.noPending","No pending outgoing transactions.","Нет ожидающих исходящих транзакций.","translated"
"outbox.pendingOutgoing","Pending outgoing transactions","Ожидающие исходящие транзакции","translated"
"outbox.prompt","Prompt","Запрос","translated"
"outbox.releaseSendLock","Release send lock","Освободить блокировку отправки","translated"
"outbox.releaseStale","Release if stale","Освободить устаревшую","translated"
"outbox.releaseStaleTitle","Available after {minutes} minutes if the transaction is still unresolved","Доступно через {minutes} минут, если транзакция всё ещё не решена","translated"
"outbox.requestedBy","Requested by","Запросил","translated"
"outbox.title","Outbox","Исходящие","translated"
"outbox.txid","Txid","Txid","stable-term"
"outbox.updated","Updated {age}","Обновлено {age}","translated"
"outbox.walletSend","Wallet send","Отправка из кошелька","translated"
"p2p.description","No server: peers meet on Nostr relays over Tor, deterministically elect a coordinator, and run the CoinJoin peer-to-peer. Outputs are unlinkable; you sign only your own inputs after verifying your own outputs.","Без сервера: пиры встречаются в relays Nostr через Tor, детерминированно выбирают координатора и выполняют CoinJoin между собой. Выходы невозможно связать; после проверки своих выходов вы подписываете только свои входы.","translated"
"p2p.phase.announce","Announcing & finding peers","Объявление и поиск пиров","translated"
"p2p.phase.assemble","Assembling & verifying","Сборка и проверка","translated"
"p2p.phase.broadcast","Broadcasting","Трансляция","translated"
"p2p.phase.register","Registering inputs & outputs","Регистрация входов и выходов","translated"
"p2p.phase.sign","Signing","Подписание","translated"
"p2p.requiresPeers","Requires Tor + at least 2 peers in the same tier.","Требуются Tor и как минимум 2 пира в одном уровне.","translated"
"p2p.running","Running P2P round…","Выполняется раунд P2P…","translated"
"p2p.start","Start P2P round","Начать раунд P2P","translated"
"p2p.title","P2P Fusion over Nostr","P2P Fusion через Nostr","translated"
"paper.addressConversionError","Address conversion error","Ошибка преобразования адреса","translated"
"paper.addressDerivationFailed","Unable to derive a valid paper wallet address from the scanned key.","Не удалось вывести действительный адрес бумажного кошелька из отсканированного ключа.","translated"
"paper.back","Back","Назад","translated"
"paper.bchOutputs","BCH outputs","Выходы BCH","translated"
"paper.buildFailed","Failed to build sweep transaction.","Не удалось создать транзакцию перевода.","translated"
"paper.confirmDescription","Slide to confirm the one-transaction paper wallet sweep.","Сдвиньте, чтобы подтвердить перевод бумажного кошелька одной транзакцией.","translated"
"paper.confirmTitle","Confirm sweep","Подтвердить перевод","translated"
"paper.decodingError","Decoding error","Ошибка декодирования","translated"
"paper.description","Scan a WIF paper wallet and sweep BCH + CashTokens in one transaction.","Сканируйте бумажный кошелёк WIF и переведите BCH + CashTokens одной транзакцией.","translated"
"paper.label","Paper wallet","Бумажный кошелёк","translated"
"paper.noCashTokens","No CashTokens detected.","CashToken не обнаружены.","translated"
"paper.noDestination","No destination wallet address is available.","Адрес кошелька назначения недоступен.","translated"
"paper.noQrCode","No QR code detected. Please try again.","QR-код не обнаружен. Повторите попытку.","translated"
"paper.notScanned","No paper wallet scanned yet.","Бумажный кошелёк ещё не отсканирован.","translated"
"paper.noUtxos","No UTXOs found for this paper wallet. If this is a mainnet wallet and you are on chipnet, try switching networks.","UTXO для этого бумажного кошелька не найдены. Если кошелёк mainnet открыт в chipnet, попробуйте сменить сеть.","translated"
"paper.oneTransaction","One transaction only.","Только одна транзакция.","translated"
"paper.paperInputs","Paper wallet inputs","Входы бумажного кошелька","translated"
"paper.scan","Scan","Сканировать","translated"
"paper.scanBeforeSweep","Scan a paper wallet before sweeping.","Сначала отсканируйте бумажный кошелёк.","translated"
"paper.spendableOutputPlural","spendable outputs","доступных выхода","translated"
"paper.spendableOutputSingular","spendable output","доступный выход","translated"
"paper.sweep","Sweep","Перевести","translated"
"paper.sweepBroadcast","Sweep broadcast","Перевод транслирован","translated"
"paper.title","Paper Wallet","Бумажный кошелёк","translated"
"paper.tokenBacking","Token outputs are backed with 1000 sats.","Выходы токенов обеспечены 1000 sats.","translated"
"paper.tokenGroups","Token groups","Группы токенов","translated"
"paper.tokenOutputs","Token outputs","Выходы токенов","translated"
"paper.unexpected","An unexpected error occurred.","Произошла неожиданная ошибка.","translated"
"paper.unexpectedTryAgain","An unexpected error occurred. Please try again.","Произошла неожиданная ошибка. Повторите попытку.","translated"
"paper.utxosTitle","Paper wallet UTXOs","UTXO бумажного кошелька","translated"
"paper.walletFeeInputs","Wallet fee inputs","Входы комиссии кошелька","translated"
"priceFeed.loading","Loading…","Загрузка…","translated"
"qr.animatedTransfer","Animated QR transfer","Анимированный QR-перевод","translated"
"qr.blocksRecovered","blocks recovered","восстановленных блоков","translated"
"qr.cameraActive","Camera active — point at animated QR","Камера активна — наведите на анимированный QR","translated"
"qr.cameraError","Camera unavailable","Камера недоступна","translated"
"qr.cameraUnavailable","Camera access is unavailable","Доступ к камере недоступен","translated"
"qr.cancel","Cancel","Отмена","translated"
"qr.duplicates","duplicates","дубликатов","translated"
"qr.holdSteady","Hold the phone steady and fill the frame with the QR code.","Держите телефон неподвижно и заполните кадр QR-кодом.","translated"
"qr.receivingStream","Receiving QR stream","Получение QR-потока","translated"
"qr.scan","Scan QR","Сканировать QR","translated"
"qr.scanning","Scanning…","Сканирование…","translated"
"qr.streaming","Streaming frame {frame} · {blocks} blocks · {bytes} bytes","Передача кадра {frame} · блоков: {blocks} · байт: {bytes}","translated"
"qr.unableToDecode","Unable to decode QR stream","Не удалось декодировать QR-поток","translated"
"qr.uniqueFrames","unique frames","уникальных кадров","translated"
"qr.walletUpdateProgress","Wallet update progress","Ход обновления кошелька","translated"
"qrSigning.approvedBy","Approved by {name}","Одобрено {name}","translated"
"qrSigning.approveDemo","Approve demo request","Одобрить демонстрационный запрос","translated"
"qrSigning.approveReturn","2. Approve and return","2. Одобрить и вернуться","translated"
"qrSigning.close","Close","Закрыть","translated"
"qrSigning.collectResponse","2. Collect response","2. Получить ответ","translated"
"qrSigning.fingerprint","Fingerprint","Отпечаток","translated"
"qrSigning.invalidRequest","Invalid signing request","Недействительный запрос подписи","translated"
"qrSigning.invalidResponse","Invalid signing response","Недействительный ответ подписи","translated"
"qrSigning.mismatch","Signing response does not match this request","Ответ подписи не соответствует этому запросу","translated"
"qrSigning.network","Network","Сеть","translated"
"qrSigning.payload","Payload","Полезная нагрузка","translated"
"qrSigning.placeholderWarning","This demo returns a placeholder signature and never broadcasts.","Демонстрация возвращает фиктивную подпись и никогда не транслирует транзакцию.","translated"
"qrSigning.prepareFailed","Unable to prepare mocknet fixture","Не удалось подготовить fixture mocknet","translated"
"qrSigning.preparing","Preparing mocknet fixture…","Подготовка fixture mocknet…","translated"
"qrSigning.purpose","Purpose","Назначение","translated"
"qrSigning.rejectedBy","Rejected by {name}","Отклонено {name}","translated"
"qrSigning.requestReceived","Request received","Запрос получен","translated"
"qrSigning.requestSignature","Request signature","Запросить подпись","translated"
"qrSigning.scanAnother","Scan another request","Сканировать другой запрос","translated"
"qrSigning.scanApproval","Scan approval response","Сканировать ответ об одобрении","translated"
"qrSigning.scanRequest","1. Scan request","1. Сканировать запрос","translated"
"qrSigning.showRequest","1. Show request","1. Показать запрос","translated"
"qrSigning.showRequestHelp","On the other wallet, choose “Sign request” and scan this stream.","На другом кошельке выберите «Подписать запрос» и отсканируйте этот поток.","translated"
"qrSigning.signRequest","Sign request","Подписать запрос","translated"
"qrSigning.subtitle","Exchange a partially signed transaction between two OPTN wallet screens.","Обменивайтесь частично подписанной транзакцией между двумя экранами OPTN Wallet.","translated"
"qrSigning.title","QR signing demo","Демонстрация QR-подписи","translated"
"quantumroot.activeNetwork","Quantumroot is active on this network. Use the vault workspace below to manage a normal spend lane and a quantum-safe recovery lane.","Quantumroot активен в этой сети. Используйте рабочую область ниже для управления обычным путём расходования и квантово-безопасным путём восстановления.","translated"
"quantumroot.activeWorkspace","Active workspace for the beta-production Quantumroot flow.","Активная рабочая область бета-процесса Quantumroot.","translated"
"quantumroot.back","Back","Назад","translated"
"quantumroot.betaProduction","Beta production","Бета-версия в работе","translated"
"quantumroot.betaTitle","Quantumroot Beta Production","Quantumroot в бета-версии","translated"
"quantumroot.checkingBalances","Checking balances…","Проверка балансов…","translated"
"quantumroot.close","Close","Закрыть","translated"
"quantumroot.funded","{count} funded","Пополнено: {count}","translated"
"quantumroot.fundedStatus","Funded","Пополнено","translated"
"quantumroot.guidedNow","Guided now: choose one approval key, lock it in Quantum Lock, then spend the matching coin.","С подсказками: выберите ключ подтверждения, заблокируйте его в Quantum Lock и потратьте соответствующую монету.","translated"
"quantumroot.liveNow","Live now: normal spending, balance tracking, and Quantum Lock BCH recovery.","Уже доступно: обычные расходы, отслеживание баланса и восстановление BCH через Quantum Lock.","translated"
"quantumroot.livePreview","Live preview","Предпросмотр в реальном времени","translated"
"quantumroot.mainnetAhead","Quantumroot is visible on mainnet ahead of activation. The layout stays available, but key actions remain disabled until {date}.","Quantumroot отображается в Mainnet до активации. Макет доступен, но основные действия отключены до {date}.","translated"
"quantumroot.mainnetPreview","Mainnet preview stays visible before activation.","Предпросмотр Mainnet остаётся видимым до активации.","translated"
"quantumroot.noFundsYet","No funds yet","Средств пока нет","translated"
"quantumroot.noVaults","No Quantumroot vaults derived yet. Sync vaults to provision them for existing wallet address indexes.","Производные хранилища Quantumroot ещё не созданы. Синхронизируйте хранилища, чтобы подготовить их для существующих индексов адресов кошелька.","translated"
"quantumroot.openVaults","Open Vaults","Открыть хранилища","translated"
"quantumroot.popup.action.chooseCoinLabel","Choose coin to spend","Choose coin to spend","needs-review"
"quantumroot.popup.action.chooseDescription","Choose one approval key for this vault.","Choose one approval key for this vault.","needs-review"
"quantumroot.popup.action.chooseLabel","Choose approval key","Choose approval key","needs-review"
"quantumroot.popup.action.chooseTitle","Choose an approval key","Choose an approval key","needs-review"
"quantumroot.popup.action.createDescription","Create or receive a plain NFT first, then use it as the approval key.","Create or receive a plain NFT first, then use it as the approval key.","needs-review"
"quantumroot.popup.action.createTitle","Create an approval key","Create an approval key","needs-review"
"quantumroot.popup.action.destinationDescription","Choose where the coin should go, then open the spend list.","Choose where the coin should go, then open the spend list.","needs-review"
"quantumroot.popup.action.destinationLabel","Set destination","Set destination","needs-review"
"quantumroot.popup.action.destinationTitle","Choose a destination","Choose a destination","needs-review"
"quantumroot.popup.action.disabledDescription","The spend list is ready, but spending is disabled on this network.","The spend list is ready, but spending is disabled on this network.","needs-review"
"quantumroot.popup.action.readyDescription","Tap a ready coin to spend it.","Tap a ready coin to spend it.","needs-review"
"quantumroot.popup.action.readyTitle","Ready to spend","Ready to spend","needs-review"
"quantumroot.popup.action.receiveDescription","Send the matching receive coin to the normal lane.","Send the matching receive coin to the normal lane.","needs-review"
"quantumroot.popup.action.receiveLabel","Add receive coin","Add receive coin","needs-review"
"quantumroot.popup.action.receiveTitle","Add the matching receive coin","Add the matching receive coin","needs-review"
"quantumroot.popup.action.refreshDescription","Refresh the wallet scan or choose another approval key.","Refresh the wallet scan or choose another approval key.","needs-review"
"quantumroot.popup.action.refreshLabel","Refresh vault","Refresh vault","needs-review"
"quantumroot.popup.action.refreshTitle","Refresh the vault","Refresh the vault","needs-review"
"quantumroot.popup.action.reviewLabel","Review spend","Review spend","needs-review"
"quantumroot.popup.action.sendDescription","Send the approval key to Quantum Lock.","Send the approval key to Quantum Lock.","needs-review"
"quantumroot.popup.action.sendLabel","Send approval key","Send approval key","needs-review"
"quantumroot.popup.action.sendTitle","Send the approval key","Send the approval key","needs-review"
"quantumroot.popup.addDestinationReview","Add a destination, then review spend.","Add a destination, then review spend.","needs-review"
"quantumroot.popup.addMatchingCoin","Add the matching coin to unlock spend.","Add the matching coin to unlock spend.","needs-review"
"quantumroot.popup.advanced","Advanced","Advanced","needs-review"
"quantumroot.popup.advancedRecovery","Advanced recovery","Advanced recovery","needs-review"
"quantumroot.popup.advancedRecoveryDescription","Recover regular BCH, recover Quantum Lock funds, or refresh vault status.","Recover regular BCH, recover Quantum Lock funds, or refresh vault status.","needs-review"
"quantumroot.popup.approvalKey","Approval key","Approval key","needs-review"
"quantumroot.popup.approvalKeyCapability","Approval key","Approval key","needs-review"
"quantumroot.popup.approvalKeyChanged","Approval key changed on chain","Approval key changed on chain","needs-review"
"quantumroot.popup.approvalKeyInLock","Approval key is in Quantum Lock.","Approval key is in Quantum Lock.","needs-review"
"quantumroot.popup.approvalKeyInQuantumLock","Your approval key is in Quantum Lock.","Your approval key is in Quantum Lock.","needs-review"
"quantumroot.popup.approvalKeyPicked","Approval key picked.","Approval key picked.","needs-review"
"quantumroot.popup.approvalKeySelected","Approval key selected","Approval key selected","needs-review"
"quantumroot.popup.approvalLane","Approval lane","Approval lane","needs-review"
"quantumroot.popup.approvalLaneDescription","Your approval key goes to Quantum Lock.","Your approval key goes to Quantum Lock.","needs-review"
"quantumroot.popup.available","{count} available","{count} available","needs-review"
"quantumroot.popup.availableApprovalKeys","Available approval keys","Available approval keys","needs-review"
"quantumroot.popup.bchRecoveryDescription","BCH recovery sends back to the matching standard wallet address for this vault index when available.","BCH recovery sends back to the matching standard wallet address for this vault index when available.","needs-review"
"quantumroot.popup.bchRecoveryDisabled","BCH recovery is temporarily disabled until the on-chain receive-script validation issue is resolved.","BCH recovery is temporarily disabled until the on-chain receive-script validation issue is resolved.","needs-review"
"quantumroot.popup.block.approvalPending","Send one approval key to Quantum Lock.","Send one approval key to Quantum Lock.","needs-review"
"quantumroot.popup.block.inactiveNetwork","Quantumroot spending is disabled on this network.","Quantumroot spending is disabled on this network.","needs-review"
"quantumroot.popup.block.noDestination","Choose a destination address before spending.","Choose a destination address before spending.","needs-review"
"quantumroot.popup.block.noFamily","Create or receive a plain NFT first. It becomes your approval key.","Create or receive a plain NFT first. It becomes your approval key.","needs-review"
"quantumroot.popup.block.pickFamily","Choose one plain NFT to use as the approval key.","Choose one plain NFT to use as the approval key.","needs-review"
"quantumroot.popup.block.receivePending","Send the matching receive coin to the normal lane.","Send the matching receive coin to the normal lane.","needs-review"
"quantumroot.popup.block.staleInventory","Your selected approval key is not visible right now. Refresh the vault or choose another key.","Your selected approval key is not visible right now. Refresh the vault or choose another key.","needs-review"
"quantumroot.popup.broadcastWarning","This will broadcast after confirmation.","This will broadcast after confirmation.","needs-review"
"quantumroot.popup.category","Category:","Category:","needs-review"
"quantumroot.popup.chooseApprovalKey","Choose approval key","Choose approval key","needs-review"
"quantumroot.popup.chooseApprovalKeyDescription","Quantumroot uses one plain NFT as the approval key. Advanced token tools live in CashTokens.","Quantumroot uses one plain NFT as the approval key. Advanced token tools live in CashTokens.","needs-review"
"quantumroot.popup.chooseOneApproval","Choose one approval key to continue.","Choose one approval key to continue.","needs-review"
"quantumroot.popup.commitment","Commitment:","Commitment:","needs-review"
"quantumroot.popup.completeSteps","Complete the approval key and matching receive coin steps before spending.","Complete the approval key and matching receive coin steps before spending.","needs-review"
"quantumroot.popup.confirmed","Confirmed","Confirmed","needs-review"
"quantumroot.popup.copyDestination","Copy destination","Copy destination","needs-review"
"quantumroot.popup.copyOrScanFund","Copy or scan to fund this vault.","Copy or scan to fund this vault.","needs-review"
"quantumroot.popup.copyQuantumLock","Copy Quantum Lock","Copy Quantum Lock","needs-review"
"quantumroot.popup.copyReceiveAddress","Copy receive address","Copy receive address","needs-review"
"quantumroot.popup.copyRecoveryAddress","Copy recovery address","Copy recovery address","needs-review"
"quantumroot.popup.createOrReceive","Create or receive a plain NFT first, then it will appear here as an approval key you can choose.","Create or receive a plain NFT first, then it will appear here as an approval key you can choose.","needs-review"
"quantumroot.popup.destination","Destination","Destination","needs-review"
"quantumroot.popup.destinationAddress","Destination address","Destination address","needs-review"
"quantumroot.popup.done","Done","Done","needs-review"
"quantumroot.popup.empty","empty","empty","needs-review"
"quantumroot.popup.found","{count} found","{count} found","needs-review"
"quantumroot.popup.fundMatchingReceive","Fund matching receive coin","Fund matching receive coin","needs-review"
"quantumroot.popup.fundMatchingReceiveDescription","Open the send screen prefilled to the vault receive address with the same approval key.","Open the send screen prefilled to the vault receive address with the same approval key.","needs-review"
"quantumroot.popup.helpShortcuts","Help and shortcuts","Help and shortcuts","needs-review"
"quantumroot.popup.inQuantumLock","{count} in Quantum Lock","{count} in Quantum Lock","needs-review"
"quantumroot.popup.inWallet","{count} in wallet","{count} in wallet","needs-review"
"quantumroot.popup.locked","{count} locked","{count} locked","needs-review"
"quantumroot.popup.mainnetDisabled","Mainnet Quantumroot uses the same UI as Chipnet, but the spend, recovery, and token-configuration actions remain disabled until activation on {date}.","Mainnet Quantumroot uses the same UI as Chipnet, but the spend, recovery, and token-configuration actions remain disabled until activation on {date}.","needs-review"
"quantumroot.popup.mintingNft","Minting NFT","Minting NFT","needs-review"
"quantumroot.popup.missing","Missing","Missing","needs-review"
"quantumroot.popup.mutableNft","Mutable NFT","Mutable NFT","needs-review"
"quantumroot.popup.needed","Needed","Needed","needs-review"
"quantumroot.popup.neededLater","Needed later","Needed later","needs-review"
"quantumroot.popup.nextStep","Next step","Next step","needs-review"
"quantumroot.popup.noApprovalKey","No approval key","No approval key","needs-review"
"quantumroot.popup.noDestination","No destination set","No destination set","needs-review"
"quantumroot.popup.noReadyCoin","No ready coin is available yet. After the approval key and the matching receive coin are present, spendable coins appear here.","No ready coin is available yet. After the approval key and the matching receive coin are present, spendable coins appear here.","needs-review"
"quantumroot.popup.normalLane","Normal vault lane","Normal vault lane","needs-review"
"quantumroot.popup.normalLaneDescription","Your BCH and matching receive coin go here.","Your BCH and matching receive coin go here.","needs-review"
"quantumroot.popup.normalLanePending","Add the matching receive coin after the approval key is in Quantum Lock.","Add the matching receive coin after the approval key is in Quantum Lock.","needs-review"
"quantumroot.popup.normalLaneReady","Your normal lane is ready.","Your normal lane is ready.","needs-review"
"quantumroot.popup.noStandardAddress","No standard wallet address available","No standard wallet address available","needs-review"
"quantumroot.popup.openCashTokens","Open CashTokens","Open CashTokens","needs-review"
"quantumroot.popup.openReceiveScreen","Open receive screen","Open receive screen","needs-review"
"quantumroot.popup.otherNft","Other NFT","Other NFT","needs-review"
"quantumroot.popup.otherNftDescription","It sits in Quantum Lock, but it is not the selected approval key. No direct withdrawal path exists yet.","It sits in Quantum Lock, but it is not the selected approval key. No direct withdrawal path exists yet.","needs-review"
"quantumroot.popup.otherNftInQuantumLock","Other NFT in Quantum Lock","Other NFT in Quantum Lock","needs-review"
"quantumroot.popup.otherNfts","{count} other NFT(s)","{count} other NFT(s)","needs-review"
"quantumroot.popup.outpoint","Outpoint","Outpoint","stable-term"
"quantumroot.popup.pending","Pending","Pending","needs-review"
"quantumroot.popup.pendingCoin","Pending coin","Pending coin","needs-review"
"quantumroot.popup.pickApprovalKey","Pick one approval key.","Pick one approval key.","needs-review"
"quantumroot.popup.plainBchCoins","{count} plain BCH coin(s)","{count} plain BCH coin(s)","needs-review"
"quantumroot.popup.plainBchDescription","Use this for plain BCH coins. Protected coins stay in the lanes above.","Use this for plain BCH coins. Protected coins stay in the lanes above.","needs-review"
"quantumroot.popup.previewOnly","Preview only on mainnet until activation.","Preview only on mainnet until activation.","needs-review"
"quantumroot.popup.protectedReceiveCount","Coins already handled by Protected spend: {count}","Coins already handled by Protected spend: {count}","needs-review"
"quantumroot.popup.protectedSpend","Protected spend","Protected spend","needs-review"
"quantumroot.popup.protectedSpendDescription","When the approval key and matching receive coin are present, spending opens here.","When the approval key and matching receive coin are present, spending opens here.","needs-review"
"quantumroot.popup.quantumLock","Quantum Lock","Quantum Lock","stable-term"
"quantumroot.popup.quantumLockBch","Quantum Lock BCH","Quantum Lock BCH","needs-review"
"quantumroot.popup.quantumLockRecovery","Quantum Lock recovery","Quantum Lock recovery","needs-review"
"quantumroot.popup.quantumLockRecoveryCount","Quantum Lock recovery coins: {count}","Quantum Lock recovery coins: {count}","needs-review"
"quantumroot.popup.quantumrootOpens","Quantumroot opens once the approval key sits in Quantum Lock and the matching receive coin sits in the normal lane.","Quantumroot opens once the approval key sits in Quantum Lock and the matching receive coin sits in the normal lane.","needs-review"
"quantumroot.popup.ready","Ready","Ready","needs-review"
"quantumroot.popup.readyCoin","Ready coin","Ready coin","needs-review"
"quantumroot.popup.readyCoinAvailable","Ready coin available.","Ready coin available.","needs-review"
"quantumroot.popup.readyCoins","{count} ready coin(s)","{count} ready coin(s)","needs-review"
"quantumroot.popup.receiveAddress","Receive address","Receive address","needs-review"
"quantumroot.popup.receiveBch","Receive BCH","Receive BCH","needs-review"
"quantumroot.popup.recover","Recover","Recover","needs-review"
"quantumroot.popup.recoverableBchCoins","Recoverable BCH coins","Recoverable BCH coins","needs-review"
"quantumroot.popup.recoverableBchCount","Recoverable BCH coins: {count}","Recoverable BCH coins: {count}","needs-review"
"quantumroot.popup.recovering","Recovering…","Recovering…","needs-review"
"quantumroot.popup.recoverRegularBch","Recover regular BCH","Recover regular BCH","needs-review"
"quantumroot.popup.refresh","Refresh","Refresh","needs-review"
"quantumroot.popup.refreshChooseAnother","Refresh the vault or choose another approval key.","Refresh the vault or choose another approval key.","needs-review"
"quantumroot.popup.refreshVault","Refresh vault","Refresh vault","needs-review"
"quantumroot.popup.refreshVaultStatus","Refresh vault status","Refresh vault status","needs-review"
"quantumroot.popup.reviewDestination","Review the destination before broadcasting.","Review the destination before broadcasting.","needs-review"
"quantumroot.popup.reviewSpend","Review spend","Review spend","needs-review"
"quantumroot.popup.reviewSpendSubtitle","Check the destination, approval key, and ready coin before you broadcast.","Check the destination, approval key, and ready coin before you broadcast.","needs-review"
"quantumroot.popup.reviewSpendTitle","Review spend","Review spend","needs-review"
"quantumroot.popup.saveApprovalKey","Save approval key","Save approval key","needs-review"
"quantumroot.popup.saving","Saving…","Saving…","needs-review"
"quantumroot.popup.selectedApprovalKey","Selected approval key","Selected approval key","needs-review"
"quantumroot.popup.selectedAsApproval","Selected as approval key","Selected as approval key","needs-review"
"quantumroot.popup.sendApprovalHere","Send the approval key here.","Send the approval key here.","needs-review"
"quantumroot.popup.sendApprovalKey","Send approval key","Send approval key","needs-review"
"quantumroot.popup.sendApprovalKeyDescription","Open the send screen prefilled to Quantum Lock with the selected approval key.","Open the send screen prefilled to Quantum Lock with the selected approval key.","needs-review"
"quantumroot.popup.sendApprovalKeyToLock","Send the approval key to Quantum Lock.","Send the approval key to Quantum Lock.","needs-review"
"quantumroot.popup.sendSelectedApprovalKey","Send the selected approval key to Quantum Lock.","Send the selected approval key to Quantum Lock.","needs-review"
"quantumroot.popup.spend","Spend","Spend","needs-review"
"quantumroot.popup.spendDestination","Spend destination","Spend destination","needs-review"
"quantumroot.popup.spending","Spending…","Spending…","needs-review"
"quantumroot.popup.sweepBch","Sweep BCH coins ({count})","Sweep BCH coins ({count})","needs-review"
"quantumroot.popup.sweeping","Sweeping…","Sweeping…","needs-review"
"quantumroot.popup.tapToOpen","Tap to open","Tap to open","needs-review"
"quantumroot.popup.unsupportedQuantumLock","Coins in Quantum Lock that belong to Protected spend are handled above; this recovery list only includes plain BCH coins.","Coins in Quantum Lock that belong to Protected spend are handled above; this recovery list only includes plain BCH coins.","needs-review"
"quantumroot.popup.unsupportedReceive","Coins with an approval key stay in Protected spend; this recovery list only includes plain BCH coins.","Coins with an approval key stay in Protected spend; this recovery list only includes plain BCH coins.","needs-review"
"quantumroot.popup.useRecoveryAddress","Use wallet recovery address","Use wallet recovery address","needs-review"
"quantumroot.popup.vaultSetup","Vault setup","Vault setup","needs-review"
"quantumroot.popup.vaultSetupDescription","Copy addresses and choose the approval key.","Copy addresses and choose the approval key.","needs-review"
"quantumroot.popup.waiting","Waiting","Waiting","needs-review"
"quantumroot.popup.walletRecoveryAddress","Wallet recovery address","Wallet recovery address","needs-review"
"quantumroot.readyToRecover","{count} ready to recover","Готово к восстановлению: {count}","translated"
"quantumroot.refreshing","Refreshing balances and UTXO status. Vaults remain available while sync completes.","Обновление балансов и состояния UTXO. Хранилища остаются доступны во время синхронизации.","translated"
"quantumroot.subtitle","Two spending lanes in one vault","Два пути расходования в одном хранилище","translated"
"quantumroot.syncingVaults","Syncing Vaults…","Синхронизация хранилищ…","translated"
"quantumroot.syncVaults","Sync Vaults","Синхронизировать хранилища","translated"
"quantumroot.toast.approvalKeyMissing","This approval key is no longer visible. Refresh the vault or choose another key.","This approval key is no longer visible. Refresh the vault or choose another key.","needs-review"
"quantumroot.toast.authorizedBroadcast","Quantumroot authorized spend broadcast: {txid}","Quantumroot authorized spend broadcast: {txid}","needs-review"
"quantumroot.toast.authorizedFailed","Quantumroot authorized spend failed: {message}","Quantumroot authorized spend failed: {message}","needs-review"
"quantumroot.toast.broadcastAuthorizedFailed","Failed to broadcast Quantumroot authorized spend.","Failed to broadcast Quantumroot authorized spend.","needs-review"
"quantumroot.toast.broadcastLockRecoveryFailed","Failed to broadcast Quantum Lock recovery.","Failed to broadcast Quantum Lock recovery.","needs-review"
"quantumroot.toast.broadcastSpendFailed","Failed to broadcast Quantumroot spend.","Failed to broadcast Quantumroot spend.","needs-review"
"quantumroot.toast.broadcastSweepFailed","Failed to broadcast Quantumroot sweep.","Failed to broadcast Quantumroot sweep.","needs-review"
"quantumroot.toast.configureFailed","Failed to configure vault: {message}","Failed to configure vault: {message}","needs-review"
"quantumroot.toast.destinationRequired","Destination address is required.","Destination address is required.","needs-review"
"quantumroot.toast.ineligibleReceiveUtxo","That receive UTXO is not eligible for authorized spend.","That receive UTXO is not eligible for authorized spend.","needs-review"
"quantumroot.toast.invalidTokenCategory","Token category must be 64 hexadecimal characters.","Token category must be 64 hexadecimal characters.","needs-review"
"quantumroot.toast.lockRecoveryBroadcast","Quantum Lock recovery broadcast: {txid}","Quantum Lock recovery broadcast: {txid}","needs-review"
"quantumroot.toast.lockRecoveryFailed","Quantum Lock recovery failed: {message}","Quantum Lock recovery failed: {message}","needs-review"
"quantumroot.toast.noBchUtxos","No BCH-only receive UTXOs available to sweep.","No BCH-only receive UTXOs available to sweep.","needs-review"
"quantumroot.toast.noControlToken","No matching Quantum Lock control token is available yet.","No matching Quantum Lock control token is available yet.","needs-review"
"quantumroot.toast.previewActive","Quantumroot mainnet preview is active until activation.","Quantumroot mainnet preview is active until activation.","needs-review"
"quantumroot.toast.reconfigured","Quantumroot vault reconfigured.","Quantumroot vault reconfigured.","needs-review"
"quantumroot.toast.spendBroadcast","Quantumroot spend broadcast: {txid}","Quantumroot spend broadcast: {txid}","needs-review"
"quantumroot.toast.spendFailed","Quantumroot spend failed: {message}","Quantumroot spend failed: {message}","needs-review"
"quantumroot.toast.sweepBroadcast","Quantumroot sweep broadcast: {txid}","Quantumroot sweep broadcast: {txid}","needs-review"
"quantumroot.toast.sweepFailed","Quantumroot sweep failed: {message}","Quantumroot sweep failed: {message}","needs-review"
"quantumroot.toast.unavailable","Quantumroot vault unavailable.","Quantumroot vault unavailable.","needs-review"
"quantumroot.trackedBalance","Tracked Balance","Отслеживаемый баланс","translated"
"quantumroot.vaultNumber","Vault #{id}","Хранилище №{id}","translated"
