"key","English (en)","Hausa (Nigeria) (ha-NG)","Status"
"fusion.privacy","Privacy","Sirri","translated"
"fusion.protocolNote","Steps 1–4 run end-to-end on the server path: the wallet joins a pool, exchanges blind signatures, submits over Tor, and broadcasts the assembled CoinJoin. P2P Fusion runs the same round without a server over Nostr and Tor. Experimental wallet-hardening items are still pending, but your own outputs are verified before signing, so an invalid round fails safely.","Matakai 1–4 suna gudana gaba ɗaya ta hanyar server: wallet yana shiga pool, yana musanya sa hannun ɓoye, yana aika ta Tor sannan ya watsa CoinJoin da aka haɗa. P2P Fusion yana gudanar da zagaye ɗaya ba tare da server ba ta Nostr da Tor. Wasu abubuwan ƙarfafa wallet na gwaji har yanzu ana jira, amma ana tabbatar da fitarwarka kafin sa hannu, don haka zagaye mara inganci yana ƙare lafiya.","translated"
"fusion.queryAuto","Query (Auto)","Tambaya (kai tsaye)","translated"
"fusion.queryServer","Query Server","Tambayi server","translated"
"fusion.remoteTorRequired","This is a remote server, so Tor is required — but no Tor proxy was found. Start Tor above, or the query will be refused.","Wannan server ne na nesa, don haka ana buƙatar Tor — amma ba a sami Tor proxy ba. Fara Tor a sama, ko za a ƙi tambayar.","translated"
"fusion.selected","● selected","● an zaɓa","translated"
"fusion.serverMode","Fuse Now using CashFusion server","Haɗa yanzu ta amfani da CashFusion server","translated"
"fusion.serverModeDescription","Fuse via a CashFusion server. Auto-fuses when on.","Haɗa ta CashFusion server. Yana haɗawa kai tsaye idan yana kunne.","translated"
"fusion.serverModeLabel","Server Fusion","Fusion ta server","translated"
"fusion.serverParameters","Server parameters (live)","Ma’aunin server (kai tsaye)","translated"
"fusion.servers","Fusion servers","Fusion servers","stable-term"
"fusion.step1","1. Pool joining.","1. Shiga pool.","translated"
"fusion.step1Text","Your wallet announces UTXOs it wants to fuse to the server.","Wallet ɗinka yana sanar da server UTXO ɗin da yake son haɗawa.","translated"
"fusion.step2","2. Blind signing.","2. Sa hannu a ɓoye.","translated"
"fusion.step2Text","Participants generate blinded output addresses and exchange blind signatures — nobody learns the input-to-output mapping.","Masu shiga suna ƙirƙirar adireshin fitarwa a ɓoye kuma su musanya sa hannun ɓoye — babu wanda ya san alaƙar shigarwa da fitarwa.","translated"
"fusion.step3","3. Covert submission.","3. Aika a ɓoye.","translated"
"fusion.step3Text","Each participant submits the transaction via Tor or direct connection. The server assembles the final transaction.","Kowane mai shiga yana aika ciniki ta Tor ko haɗin kai tsaye. Server yana haɗa cinikin ƙarshe.","translated"
"fusion.step4","4. Broadcast.","4. Watsawa.","translated"
"fusion.step4Text","All participants broadcast the jointly constructed transaction.","Dukkan masu shiga suna watsa cinikin da aka gina tare.","translated"
"fusion.summary","CashFusion combines UTXOs from many participants into a single transaction, breaking blockchain history links between inputs and outputs. It is non-custodial — your funds never leave your control.","CashFusion yana haɗa UTXO na masu shiga da yawa zuwa ciniki guda, yana karya alaƙar tarihin blockchain tsakanin shigarwa da fitarwa. Ba ya riƙe kuɗinka — kuɗinka suna ƙarƙashin ikonka koyaushe.","translated"
"fusion.syncingCoins","Syncing wallet coins — try again in a moment.","Ana daidaita tsabar wallet — sake gwadawa nan da ɗan lokaci.","translated"
"fusion.tiers","Tiers","Matakai","translated"
"fusion.torOff","Tor is off. Remote fusion queries will be refused — enable Tor above, or use a localhost server.","Tor a kashe yake. Za a ƙi tambayoyin Fusion na nesa — kunna Tor a sama ko yi amfani da localhost server.","translated"
"hardware.active","active","mai aiki","translated"
"hardware.advanced","Advanced (derivation path)","Na gaba (hanyar derivation)","translated"
"hardware.airGap","air-gap","rabu da network","translated"
"hardware.beforeConnecting","Before connecting","Kafin haɗawa","translated"
"hardware.bip44Path","BIP44 path","Hanyar BIP44","translated"
"hardware.comingSoon","Coming soon","Nan ba da jimawa ba","translated"
"hardware.connect","Connect {device}","Haɗa {device}","translated"
"hardware.connecting","Connecting…","Ana haɗawa…","translated"
"hardware.connectionType","Connection type","Nau’in haɗi","translated"
"hardware.description","The device holds your private keys. The wallet is the bridge. Keys never leave the hardware.","Na’urar tana riƙe da maɓallan sirrinka. Maɓallan ba sa barin na’urar.","translated"
"hardware.disconnect","Disconnect","Cire haɗi","translated"
"hardware.enableKeystone","Enable Keystone (QR mode)","Kunna Keystone (yanayin QR)","translated"
"hardware.howItWorks","How it works","Yadda yake aiki","translated"
"hardware.keystoneHow","Keystone's air-gapped QR signing isn't finished yet — the app can't build or read the QR codes it would need to in this build. Support is planned but not ready for real funds.","Sa hannun QR mai rabuwa na Keystone bai shirya da kuɗi na gaske ba.","translated"
"hardware.keystoneSubtitle","Air-gapped QR signing — not yet supported","Sa hannun QR mai rabuwa — ba ya aiki tukuna","translated"
"hardware.ledgerStep1","USB: plug in → enter PIN → open Bitcoin Cash app","USB: haɗa → shigar da PIN → buɗe Bitcoin Cash","translated"
"hardware.ledgerStep2","Bluetooth (Nano X): enable BLE on device → open Bitcoin Cash app","Bluetooth (Nano X): kunna BLE → buɗe Bitcoin Cash","translated"
"hardware.ledgerStep3","The browser will show a device picker prompt","Browser zai nuna mai zaɓar na’ura","translated"
"hardware.ledgerSubtitle","USB (WebHID) or Bluetooth (Nano X)","USB (WebHID) ko Bluetooth (Nano X)","translated"
"hardware.notSupported","{device} support isn't finished yet — it can't connect or sign in this build. Pick another device, or use the software wallet.","Ba a kammala tallafin {device} ba. Zaɓi wata na’ura ko yi amfani da walat na manhaja.","translated"
"hardware.onekeyStep1","Install OneKey Bridge if not already installed","Sanya OneKey Bridge idan ana buƙata","translated"
"hardware.onekeyStep2","Plug in your OneKey device or pair via Bluetooth","Haɗa OneKey da USB ko Bluetooth","translated"
"hardware.onekeyStep3","Unlock your device with your PIN","Buɗe na’urar da PIN","translated"
"hardware.onekeyStep4","Allow the connection when requested","Bada izinin haɗi idan an nema","translated"
"hardware.onekeySubtitle","USB or Bluetooth via OneKey Bridge","USB ko Bluetooth ta OneKey Bridge","translated"
"hardware.path","Path","Hanya","translated"
"hardware.softwareHow","Your private keys never leave the device. The wallet builds an unsigned transaction, the device shows the details on its screen, you physically confirm, and the device sends back only the signature. Like Electron Cash's hardware wallet mode.","Walat tana gina ma’amala mara sa hannu; na’urar tana nuna bayanai kuma ta mayar da sa hannu bayan ka tabbatar.","translated"
"hardware.softwareLabel","Software Wallet","Walat na manhaja","translated"
"hardware.softwareSubtitle","Encrypted keys stored on this device","Maɓallan da aka ɓoye a wannan na’ura","translated"
"hardware.title","Hardware Wallet","Walat na na’ura","translated"
"hardware.trezorStep1","Install Trezor Suite — it includes the Bridge daemon","Sanya Trezor Suite — yana ɗauke da Bridge daemon","translated"
"hardware.trezorStep2","Plug in your Trezor (USB) or pair via Bluetooth (newer models)","Haɗa Trezor da USB ko Bluetooth","translated"
"hardware.trezorStep3","Unlock your device with your PIN","Buɗe na’urar da PIN","translated"
"hardware.trezorStep4","Allow the connection popup when it appears","Bada izinin popup na haɗi idan ya bayyana","translated"
"hardware.trezorSubtitle","USB or Bluetooth via Trezor Bridge","USB ko Bluetooth ta Trezor Bridge","translated"
"history.awaitingConfirmation","Awaiting confirmation","Ana jiran tabbatarwa","translated"
"history.block","Block","Toshe","translated"
"history.closeDetails","Close details","Rufe bayanai","translated"
"history.confirmations","{count} confirmations","tabbatarwa {count}","stable-term"
"history.confirmed","Confirmed","An tabbatar","translated"
"history.detailsUnavailable","Transaction details are not available from Electrum right now.","Bayanan ciniki ba sa samuwa daga Electrum a yanzu.","translated"
"history.fee","Fee","Kuɗin aiki","translated"
"history.first","First","Na farko","translated"
"history.last","Last","Na ƙarshe","translated"
"history.loadDetailsFailed","Failed to load transaction details.","An kasa loda bayanan ciniki.","translated"
"history.loadingDetails","Loading transaction details…","Ana loda bayanan ciniki…","translated"
"history.newestFirst","Newest first","Sabbi da farko","translated"
"history.noActivity","No activity yet","Babu aiki","translated"
"history.noData","No data available.","Babu bayanai","translated"
"history.noTransactions","No transactions available yet.","Babu ma’amaloli","translated"
"history.oldestFirst","Oldest first","Tsoffi da farko","translated"
"history.openExplorer","Open in explorer","Buɗe a explorer","translated"
"history.output","Output","Fitarwa","translated"
"history.pending","Pending","Ana jira","translated"
"history.perPage","{count} per page","{count} a kowane shafi","translated"
"history.recipients","Recipients","Masu karɓa","translated"
"history.recorded","{count} recorded","An rubuta {count}","translated"
"history.senders","Senders","Masu aikawa","translated"
"history.status","Status","Matsayi","stable-term"
"history.sync","Sync","Daidaita","translated"
"history.timestamp","Timestamp","Lokaci","translated"
"history.title","Transaction History","Tarihi","translated"
"history.transaction","Transaction","Ma’amala","stable-term"
"history.transactionHash","Transaction Hash","Hash na ma’amala","translated"
"history.unavailable","Unavailable","Ba ya samuwa","translated"
"history.unconfirmed","Unconfirmed","Ba a tabbatar ba","translated"
"history.unknown","Unknown","Ba a sani ba","translated"
"history.yourWallet","Your wallet","Wallet ɗinka","translated"
"home.block","Block","Toshe","translated"
"home.confirmed","Confirmed","An tabbatar","translated"
"home.latestActivity","Latest wallet activity","Sabon aikin walat","translated"
"home.noQrCode","No QR code detected. Try again.","Ba a sami lambar QR ba. Sake gwadawa.","translated"
"home.noRecentActivity","No recent activity yet.","Babu sabon aiki tukuna.","translated"
"home.pending","Pending","Ana jira","translated"
"home.pendingConfirmation","Pending confirmation","Ana jiran tabbaci","translated"
"home.portfolio","Portfolio","Tarin kadarori","translated"
"home.quickActions","Quick Actions","Ayyuka masu sauri","translated"
"home.receive","Receive","Karɓa","translated"
"home.recentActivity","Recent Activity","Ayyukan baya-bayan nan","translated"
"home.scanQr","Scan QR","Duba QR","translated"
"home.send","Send","Aika","translated"
"home.sync","Sync","Daidaita","translated"
"home.syncing","Syncing…","Ana daidaitawa…","translated"
"home.title","Home","Gida","translated"
"home.toggleBalance","Toggle BCH and USD balance","Canza ma’aunin BCH da USD","translated"
"home.unsupportedQr","QR scanned, but it is not a supported wallet payload.","An duba QR, amma ba bayanan walat da ake tallafawa ba ne.","translated"
"home.usdPriceUnavailable","USD price unavailable","Farashin USD ba ya samuwa","translated"
"home.usdUnavailable","USD unavailable","USD ba ya samuwa","translated"
"home.viewAll","View all","Duba duka","translated"
"home.walletOverview","Wallet overview","Bayanin walat","translated"
"nav.actions","Actions","Ayyuka","stable-term"
"nav.apps","Apps","Manhajoji","translated"
"nav.assets","Assets","Kadarori","translated"
"nav.home","Home","Gida","translated"
"nav.settings","Settings","Saituna","translated"
"network.chipnet","Chipnet","Chipnet","stable-term"
"network.mainnet","Mainnet","Mainnet","stable-term"
"network.switch","Switch network. Current: {network}","Canza hanyar sadarwa. Yanzu: {network}","translated"
"nftConfig.capability","NFT Capability","Iko na NFT","translated"
"nftConfig.commitment","NFT Commitment","Commitment na NFT","translated"
"nftConfig.done","Done","An gama","translated"
"nftConfig.minting","minting","samarwa","translated"
"nftConfig.mintingDescription","one NFT authority that can create multiple next NFTs.","Iko na NFT guda da zai iya ƙirƙirar NFT na gaba da yawa.","translated"
"nftConfig.mutable","mutable","mai canzawa","translated"
"nftConfig.mutableDescription","one NFT that may update its commitment when spent.","NFT guda da zai iya sabunta commitment idan an kashe shi.","translated"
"nftConfig.none","none","babu","translated"
"nftConfig.noneDescription","one immutable NFT, best for approvals or receipts.","NFT guda marar canji, ya dace da amincewa ko rasit.","translated"
"nftConfig.placeholder","Up to 40 bytes","Har zuwa bytes 40","translated"
"nftConfig.title","NFT Configuration","Tsarin NFT","translated"
"nostr.active","{active}/{total} active","{active}/{total} masu aiki","translated"
"nostr.add","Add","Ƙara","translated"
"nostr.chat","Nostr chat","Hirar Nostr","translated"
"nostr.checking","Checking…","Ana dubawa…","translated"
"nostr.checkRelayStatus","Check relay status","Duba matsayin relay","translated"
"nostr.connected","connected","an haɗa","translated"
"nostr.deriving","Deriving…","Ana samo…","translated"
"nostr.disable","Disable","Kashe","translated"
"nostr.dmDescription","End-to-end encrypted DMs using NIP-17.","Saƙonnin kai tsaye masu rufin sirri daga ƙarshe zuwa ƙarshe ta NIP-17.","translated"
"nostr.enable","Enable","Kunna","translated"
"nostr.identity","Nostr identity","Asalin Nostr","translated"
"nostr.identityDescription","Derived from your seed via NIP-06 (a separate path) — your spending keys are never reused.","An samo shi daga seed ɗinka ta NIP-06 (hanya dabam); ba a sake amfani da maɓallan kashe kuɗi ba.","translated"
"nostr.invalidRelay","Enter a secure relay URL beginning with wss://","Shigar da amintaccen URL relay da ya fara da wss://","translated"
"nostr.privacyWarning","Relay operators can still observe connection metadata, timing, and recipient tags. Encrypted content is not the same as network anonymity.","Masu gudanar da relay har yanzu suna iya ganin bayanan haɗi, lokaci da tags na mai karɓa. Abin da aka rufe ba ya nufin rashin sanin sunan hanyar sadarwa.","translated"
"nostr.relays","Relays","Relays","stable-term"
"nostr.relaysDescription","WSS relays used for chat and the P2P-fusion transport. Add your own or use the defaults.","WSS relays da ake amfani da su don hira da jigilar P2P-Fusion. Ƙara naka ko yi amfani da tsofaffi.","translated"
"nostr.remove","Remove","Cire","translated"
"nostr.unknown","unknown","ba a sani ba","translated"
"nostr.unreachable","unreachable","ba a iya isa","translated"
"notifications.dismiss","Dismiss","Rufe","translated"
"notifications.fundsReceived","Funds received","An karɓi kuɗi","translated"
"notifications.fundsReceivedBody","{amount} sats to {address} • {txid}","{amount} sats zuwa {address} • {txid}","translated"
"notifications.incomingBch","Incoming BCH","An karɓi BCH","translated"
"notifications.incomingToken","Incoming token","An karɓi token","translated"
"notifications.transactionConfirmed","Transaction confirmed","An tabbatar da ma’amala","translated"
"notifications.unknownAddress","unknown address","adireshin da ba a sani ba","translated"
"onboarding.back","Back","Koma","translated"
"onboarding.closeHelp","Close help","Rufe taimako","translated"
"onboarding.confirm","Confirm","Tabbatar","translated"
"onboarding.confirmError","Those don't match your seed phrase. Check the words and try again.","Kalmomin ba su dace da kalmar iri ba. Duba su ka sake gwadawa.","translated"
"onboarding.confirmInstruction","Type the requested words to prove you saved them correctly.","Shigar da kalmomin da aka nema don tabbatar da ka adana su daidai.","translated"
"onboarding.confirmPasswordPlaceholder","Confirm password","Tabbatar da kalmar sirri","translated"
"onboarding.confirmSeed","Confirm Your Seed Phrase","Tabbatar da kalmomin farawa","translated"
"onboarding.connectHardware","Connect Hardware Wallet","Haɗa walat na na’ura","translated"
"onboarding.continue","Continue","Ci gaba","translated"
"onboarding.createNewWallet","Create New Wallet","Ƙirƙiri sabon walat","translated"
"onboarding.createWallet","Create Wallet","Ƙirƙiri walat","translated"
"onboarding.createWatchOnly","Create Watch-Only Wallet","Ƙirƙiri walat na kallo kawai","translated"
"onboarding.creating","Creating Wallet…","Ana ƙirƙira…","translated"
"onboarding.creationFailed","Wallet creation failed. Please try again.","Ƙirƙirar walat ta kasa. Sake gwadawa.","translated"
"onboarding.databasePreparationFailed","Could not prepare the wallet on this device.","An kasa shirya wallet a wannan na’ura.","translated"
"onboarding.generatedMnemonic","Generated Mnemonic:","Kalmomin tunawa da aka ƙirƙira:","translated"
"onboarding.generatingSeed","Generating seed phrase…","Ana ƙirƙirar kalmar farawa…","translated"
"onboarding.helpCreateDescription","Use this if you want a new wallet with a fresh seed phrase on this device.","Yi amfani da wannan idan kana son ƙirƙirar sabon wallet da sabuwar kalmar iri a wannan na’ura.","translated"
"onboarding.helpCreateTitle","Create Wallet","Ƙirƙiri walat","translated"
"onboarding.helpDescription","Create a wallet for the first time or restore one you already have.","Ƙirƙiri sabon walat ko dawo da wanda kuke da shi.","translated"
"onboarding.helpImportDescription","Use this if you already have a 12-word recovery phrase and want access to an existing wallet.","Yi amfani da wannan idan kana da kalmomin dawo da 12 kuma kana son samun damar wallet da ke akwai.","translated"
"onboarding.helpImportTitle","Import Wallet","Shigo da walat","translated"
"onboarding.helpNetworkDescription","Select Mainnet for real funds or CHIPNET for test funds before you proceed.","Zaɓi Mainnet don kuɗi na gaske ko CHIPNET don kuɗin gwaji kafin ka ci gaba.","translated"
"onboarding.helpNetworkTitle","Choose a network","Zaɓi hanyar sadarwa","translated"
"onboarding.helpTitle","Getting started","Fara amfani","translated"
"onboarding.importFailed","Wallet import failed. Please try again.","Shigo da walat ya kasa. Sake gwadawa.","translated"
"onboarding.importing","Importing Wallet…","Ana shigowa…","translated"
"onboarding.importWallet","Import Wallet","Shigo da walat","translated"
"onboarding.invalidMnemonic","Enter a valid English BIP39 recovery phrase with 12, 15, 18, 21, or 24 words.","Shigar da ingantacciyar jumlar dawo da BIP39 ta Turanci mai kalmomi 12, 15, 18, 21 ko 24.","translated"
"onboarding.missingWord","Word {number} is missing.","Kalma ta {number} ta ɓace.","translated"
"onboarding.mnemonicLoading","The recovery phrase is still loading. Please wait a moment.","Har yanzu ana loda kalmomin dawo da wallet. Jira kaɗan.","translated"
"onboarding.mnemonicWarning","Your recovery phrase is the master key to your wallet. Store it securely and never share it.","Kalmomin dawo da wallet su ne babban mabuɗin wallet ɗinka. Ajiye su lafiya kuma kada ka taɓa raba su.","translated"
"onboarding.nameRequired","Give this wallet a name.","Sanya wa walat suna.","translated"
"onboarding.nameWallet","Name This Wallet","Sanya wa walat suna","translated"
"onboarding.nameWalletDescription","Give this wallet a name and a password. Each wallet on this device has its own independent password.","Ba wa wannan wallet suna da kalmar sirri. Kowane wallet a wannan na’ura yana da kalmar sirri mai zaman kanta.","translated"
"onboarding.passwordMismatch","Passwords do not match.","Kalmomin sirri ba su dace ba.","translated"
"onboarding.passwordPlaceholder","Password (or leave blank)","Kalmar sirri (ko bar ta babu komai)","translated"
"onboarding.poweredBy","Powered with Bitcoin Covenants for Bitcoin Cash","Bitcoin Covenants ne ke ƙarfafa shi don Bitcoin Cash","translated"
"onboarding.recoveryDescription","Enter your BIP39 recovery phrase (12, 15, 18, 21, or 24 words). Each box corresponds to the word order.","Shigar da kalmomin dawo da BIP39 na Turanci (12, 15, 18, 21 ko 24). Kowane akwati yana wakiltar tsarin kalma.","translated"
"onboarding.recoveryPhrase","Recovery Phrase","Jumlar dawo da walat","translated"
"onboarding.seedInstruction","Write these 12 words down in order and keep them somewhere safe. Anyone with this phrase can spend your funds — never share it or store it digitally.","Rubuta waɗannan kalmomi 12 bisa tsari kuma ajiye su a wuri mai aminci. Duk wanda ya mallaki wannan jimla zai iya kashe kuɗinka — kada ka taɓa raba ta ko adana ta a na’ura.","translated"
"onboarding.seedTitle","Your Seed Phrase","Kalmomin farawar ku","translated"
"onboarding.toggleTheme","Toggle theme","Canza salo","translated"
"onboarding.walletAlreadyAvailable","This wallet is already available on this device.","Wannan wallet ya riga ya kasance a kan na’urar.","translated"
"onboarding.walletAlreadyExists","This wallet may already exist on this device.","Wataƙila wannan wallet ya riga ya kasance a wannan na’ura.","translated"
"onboarding.walletNamePlaceholder","Wallet name","Sunan walat","translated"
"onboarding.walletSavedIdFailed","Wallet was saved, but its wallet ID could not be resolved.","An adana wallet, amma ba a iya gano ID ɗinsa ba.","translated"
"onboarding.walletSetup","Wallet Setup","Saita walat","translated"
"onboarding.walletSetupDescription","Choose the network and address path this wallet will use.","Zaɓi hanyar sadarwa da hanyar adireshi da wannan wallet zai yi amfani da su.","translated"
"onboarding.welcomeAlt","OPTN Wallet","OPTN Wallet","stable-term"
"onboarding.word","Word","Kalma","translated"
"onboarding.wordCountLabel","Phrase length","Tsawon jimla","translated"
"onboarding.wordPlaceholder","word","kalma","translated"
"onboarding.words","words","kalmomi","translated"
"onboarding.wroteItDown","I've written it down","Na rubuta su","translated"
"outbox.amount","Amount","Adadi","translated"
"outbox.clearPending","Clear pending lock","Share makullin jira","translated"
"outbox.clearPendingTitle","Clear this pending lock if the transaction was not actually sent","Share wannan makulli idan ba a aika ma’amalar da gaske ba","translated"
"outbox.copyTxid","Copy txid","Kwafi txid","translated"
"outbox.daysAgo","{count}d ago","kwanaki {count} da suka wuce","translated"
"outbox.description","Offline-first protection keeps new sends paused until these transactions are seen or safely released.","Kariyar offline-first tana dakatar da sabbin aikawa har sai an ga waɗannan ma’amaloli ko an sake su lafiya.","translated"
"outbox.destination","Destination","Inda za a aika","stable-term"
"outbox.dismiss","Dismiss","Rufe","translated"
"outbox.dismissPending","Dismiss pending transactions popup","Rufe popup na ma’amaloli masu jira","translated"
"outbox.finalizing","Finalizing transaction","Ana kammala ma’amala","translated"
"outbox.finalizingMultiple","Finalizing {count} transactions","Ana kammala ma’amaloli {count}","translated"
"outbox.historyUpdate","Your wallet history will update automatically. This usually takes a moment.","Tarihin walat zai sabunta kansa. Yawanci zai ɗauki ɗan lokaci kaɗan.","translated"
"outbox.hoursAgo","{count}h ago","awa {count} da suka wuce","translated"
"outbox.justNow","just now","yanzu-yanzu","translated"
"outbox.lastNetworkIssue","Last network issue","Matsalar network ta ƙarshe","translated"
"outbox.minutesAgo","{count}m ago","minti {count} da suka wuce","translated"
"outbox.noPending","No pending outgoing transactions.","Babu ma’amalar fita mai jira.","translated"
"outbox.pendingOutgoing","Pending outgoing transactions","Ma’amalolin fita masu jira","translated"
"outbox.prompt","Prompt","Buƙata","translated"
"outbox.releaseSendLock","Release send lock","Sake makullin aikawa","translated"
"outbox.releaseStale","Release if stale","Sake idan ya tsufa","translated"
"outbox.releaseStaleTitle","Available after {minutes} minutes if the transaction is still unresolved","Zai kasance bayan minti {minutes} idan har ba a warware ma’amalar ba","translated"
"outbox.requestedBy","Requested by","Wanda ya nema","translated"
"outbox.title","Outbox","Akwatin fita","translated"
"outbox.txid","Txid","Txid","stable-term"
"outbox.updated","Updated {age}","An sabunta {age}","translated"
"outbox.walletSend","Wallet send","Aika daga walat","translated"
"p2p.description","No server: peers meet on Nostr relays over Tor, deterministically elect a coordinator, and run the CoinJoin peer-to-peer. Outputs are unlinkable; you sign only your own inputs after verifying your own outputs.","Babu server: peers suna haɗuwa a Nostr relays ta Tor, suna zaɓar coordinator mai ƙaddara, sannan su gudanar da CoinJoin tsakanin juna. Ba za a iya haɗa fitarwa ba; kana sa hannu kan abubuwan shigarwarka kawai bayan ka tabbatar da fitarwarka.","translated"
"p2p.phase.announce","Announcing & finding peers","Sanarwa da neman peers","translated"
"p2p.phase.assemble","Assembling & verifying","Haɗawa da tabbatarwa","translated"
"p2p.phase.broadcast","Broadcasting","Watsawa","translated"
"p2p.phase.register","Registering inputs & outputs","Rijistar shigarwa da fitarwa","translated"
"p2p.phase.sign","Signing","Sa hannu","translated"
"p2p.requiresPeers","Requires Tor + at least 2 peers in the same tier.","Yana buƙatar Tor da peers aƙalla 2 a rukuni ɗaya.","translated"
"p2p.running","Running P2P round…","Ana gudanar da zagayen P2P…","translated"
"p2p.start","Start P2P round","Fara zagayen P2P","translated"
"p2p.title","P2P Fusion over Nostr","Fusion P2P ta Nostr","translated"
"paper.addressConversionError","Address conversion error","Kuskuren sauya adireshi","translated"
"paper.addressDerivationFailed","Unable to derive a valid paper wallet address from the scanned key.","An kasa samo ingantaccen adireshin wallet na takarda daga maɓallin da aka duba.","translated"
"paper.back","Back","Koma","translated"
"paper.bchOutputs","BCH outputs","Fitarwar BCH","translated"
"paper.buildFailed","Failed to build sweep transaction.","Gina cinikin kwashewa ya gaza.","translated"
"paper.confirmDescription","Slide to confirm the one-transaction paper wallet sweep.","Ja don tabbatar da kwashe wallet na takarda a ciniki guda.","translated"
"paper.confirmTitle","Confirm sweep","Tabbatar da kwashewa","translated"
"paper.decodingError","Decoding error","Kuskuren fassara bayanai","translated"
"paper.description","Scan a WIF paper wallet and sweep BCH + CashTokens in one transaction.","Duba wallet na takarda WIF kuma ka kwashe BCH + CashTokens a ciniki guda.","translated"
"paper.label","Paper wallet","Wallet na takarda","translated"
"paper.noCashTokens","No CashTokens detected.","Ba a gano CashToken ba.","translated"
"paper.noDestination","No destination wallet address is available.","Babu adireshin wallet na inda za a aika.","translated"
"paper.noQrCode","No QR code detected. Please try again.","Ba a gano lambar QR ba. Sake gwadawa.","translated"
"paper.notScanned","No paper wallet scanned yet.","Ba a duba wallet na takarda ba tukuna.","translated"
"paper.noUtxos","No UTXOs found for this paper wallet. If this is a mainnet wallet and you are on chipnet, try switching networks.","Ba a sami UTXO na wannan wallet na takarda ba. Idan wallet na mainnet ne kana kan chipnet, sauya hanyar sadarwa.","translated"
"paper.oneTransaction","One transaction only.","Ciniki guda kawai.","translated"
"paper.paperInputs","Paper wallet inputs","Shigarwar wallet na takarda","translated"
"paper.scan","Scan","Duba","translated"
"paper.scanBeforeSweep","Scan a paper wallet before sweeping.","Duba wallet na takarda kafin kwashewa.","translated"
"paper.spendableOutputPlural","spendable outputs","fitarwa da za a iya kashewa","translated"
"paper.spendableOutputSingular","spendable output","fitarwa da za a iya kashewa","translated"
"paper.sweep","Sweep","Kwasa","translated"
"paper.sweepBroadcast","Sweep broadcast","An watsa kwashewa","translated"
"paper.title","Paper Wallet","Wallet na takarda","translated"
"paper.tokenBacking","Token outputs are backed with 1000 sats.","Fitarwar token tana da goyon bayan sats 1000.","translated"
"paper.tokenGroups","Token groups","Rukunin token","translated"
"paper.tokenOutputs","Token outputs","Fitarwar token","translated"
"paper.unexpected","An unexpected error occurred.","An sami kuskure da ba a zata ba.","translated"
"paper.unexpectedTryAgain","An unexpected error occurred. Please try again.","An sami kuskure da ba a zata ba. Sake gwadawa.","translated"
"paper.utxosTitle","Paper wallet UTXOs","UTXO na wallet na takarda","translated"
"paper.walletFeeInputs","Wallet fee inputs","Shigarwar kuɗin wallet","translated"
"priceFeed.loading","Loading…","Ana lodawa…","translated"
"qr.animatedTransfer","Animated QR transfer","Canja wurin QR mai motsi","translated"
"qr.blocksRecovered","blocks recovered","tubalan da aka dawo da su","translated"
"qr.cameraActive","Camera active — point at animated QR","Kyamara tana aiki — nuna mata QR mai motsi","translated"
"qr.cameraError","Camera unavailable","Kyamara ba ta samuwa","translated"
"qr.cameraUnavailable","Camera access is unavailable","Ba a samun damar kyamara","translated"
"qr.cancel","Cancel","Soke","translated"
"qr.duplicates","duplicates","maimaitattu","translated"
"qr.holdSteady","Hold the phone steady and fill the frame with the QR code.","Riƙe waya ba tare da motsi ba kuma cika frame da lambar QR.","translated"
"qr.receivingStream","Receiving QR stream","Ana karɓar rafi na QR","translated"
"qr.scan","Scan QR","Duba QR","translated"
"qr.scanning","Scanning…","Ana dubawa…","translated"
"qr.streaming","Streaming frame {frame} · {blocks} blocks · {bytes} bytes","Ana aika frame {frame} · tubali {blocks} · bytes {bytes}","translated"
"qr.unableToDecode","Unable to decode QR stream","An kasa warware rafin QR","translated"
"qr.uniqueFrames","unique frames","frames na musamman","translated"
"qr.walletUpdateProgress","Wallet update progress","Ci gaban sabunta walat","translated"
"qrSigning.approvedBy","Approved by {name}","{name} ya amince","translated"
"qrSigning.approveDemo","Approve demo request","Amince da buƙatar gwaji","translated"
"qrSigning.approveReturn","2. Approve and return","2. Amince ka dawo","translated"
"qrSigning.close","Close","Rufe","translated"
"qrSigning.collectResponse","2. Collect response","2. Tattara amsa","translated"
"qrSigning.fingerprint","Fingerprint","Alamar yatsa","translated"
"qrSigning.invalidRequest","Invalid signing request","Buƙatar sa hannu ba daidai ba","translated"
"qrSigning.invalidResponse","Invalid signing response","Amsar sa hannu ba daidai ba","translated"
"qrSigning.mismatch","Signing response does not match this request","Amsar sa hannu ba ta dace da wannan buƙata ba","translated"
"qrSigning.network","Network","Hanyar sadarwa","translated"
"qrSigning.payload","Payload","Abin da aka ɗora","translated"
"qrSigning.placeholderWarning","This demo returns a placeholder signature and never broadcasts.","Wannan gwaji yana mayar da sa hannun wucin gadi kuma ba ya watsa ciniki.","translated"
"qrSigning.prepareFailed","Unable to prepare mocknet fixture","An kasa shirya fixture na mocknet","translated"
"qrSigning.preparing","Preparing mocknet fixture…","Ana shirya fixture na mocknet…","translated"
"qrSigning.purpose","Purpose","Manufa","translated"
"qrSigning.rejectedBy","Rejected by {name}","{name} ya ƙi","translated"
